Female 15-19 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,10.147507629705,10.2709069493522,10.3842832469775,10.6674495987473,10.0948033707865,10.1684341859014,10.2713178294574,10.3821440649307,10.4228609184011,10.4018369690011,10.5082348186319,10.683145686955,10.9915942441943,11.1474417196488,11.0238282272846,10.7106645773804,10.7933390614132,10.895812690374,10.8624817129937,10.6168337891218,10.2015113350126
Albania,9.96677740863787,10.3801169590643,9.38673341677096,8.84573894282632,9.93377483443709,11.1111111111111,11.0681114551084,10.1884159106769,9.8565190268247,8.81028938906752,9.59170447180817,9.73901973265436,9.20970752955818,8.16203143893591,6.06238964096527,5.95031773541306,6.3573883161512,6.47935779816514,6.11656087709175,5.47466511357018,5.02364066193853
Algeria,10.1445895522388,10.2569458951326,9.99068033550792,9.94605529332434,9.73526900085397,9.91867915229177,10.7234314980794,10.8390971969421,10.8409724990036,11.3094388119377,12.061664681752,11.2401671583088,9.91905141945046,7.67191559302264,7.53751366391732,7.81176470588235,7.87327053945649,7.54068401357584,6.84295007180874,6.14580331782818,5.76224679202647
Angola,9.89115002366304,9.70116933737549,9.51448707909162,9.23022095509622,10.0032268473701,10.2394000576868,10.3707414829659,10.3018788262613,10.1459988911477,10.3600062883194,10.6048053024027,10.8605341246291,11.1111111111111,10.8009819074461,11.0717734148696,10.6072583542939,10.7200725905762,10.6120521749395,10.3087757313109,9.85830871676764,9.40644800596347
Argentina,9.27327327327327,8.57787810383747,8.37819320739943,8.59044706305658,8.72025295390248,8.51535054223308,8.08250894548516,7.85528031290743,8.2178517397882,9.17565964178767,8.45205188177759,8.28393372853017,8.13341700053096,7.72425249169435,7.22389647225669,7.13949608589639,6.95695487941555,6.67638365925746,6.3458110516934,6.02372156328991,5.73355817875211
Armenia,10.3932584269663,12.2699386503067,6.41158221302999,7.50220653133274,9.79020979020979,11.6793365583967,11.2090680100756,8.6217008797654,7.34649122807018,7.9646017699115,9.20245398773006,9.72477064220183,7.82292298362644,5.25686977299881,5.56542332741267,6.04623592175459,6.29827688651218,5.93881223755249,5.29519172245892,5.00308832612724,5.06008855154965
Aruba,11.1111111111111,9.52380952380952,8.33333333333333,11.5384615384615,10.3448275862069,10.3448275862069,9.67741935483871,9.09090909090909,6.06060606060606,5.12820512820513,6.52173913043478,5.76923076923077,7.14285714285714,7.01754385964912,5.35714285714286,5.26315789473684,5.08474576271186,5.35714285714286,5.26315789473684,5.17241379310345,5.35714285714286
Australia,6.70103092783505,6.57721073471184,7.41687979539642,8.78082910617457,8.72663921444409,8.81226053639847,8.71397498640566,8.08489135927236,7.99113392440504,6.81893049302734,6.72808197909119,6.65497417908994,6.51812130177515,6.08994103669806,5.80075662042875,5.8330647760232,5.76058303612963,5.69928758905137,5.64292995485656,5.54609929078014,5.45668582508136
Austria,5.99946193166532,6.48197955890264,7.15235309758043,6.36152055857254,6.17877943783236,7.20540405303978,8.1115017579106,7.70586753966255,6.30472854640981,5.50280009739469,5.75992255566312,5.69605294256677,5.73025856044724,5.04279435577146,4.7816091954023,4.57456541628545,4.51539338654504,4.62730795532254,4.66285714285714,4.66130884041332,4.59796672828096
Azerbaijan,10.7702349869452,12.2215876641919,6.10837438423645,6.37938318546684,8.56498873027799,11.5265866209262,12.4327744384688,10.4002337131172,9.09831613253666,8.62025634581553,9.55352856457033,10.4911228960111,9.46953090749671,6.83903252710592,6.08852393350691,7.01071080817916,7.24249952226256,6.72950047125354,5.91749113309688,5.43053747442812,5.43518864400448
Bahamas,9.52380952380952,8.51063829787234,8.92857142857143,8.33333333333333,9.41176470588235,10.5263157894737,12.2641509433962,10.9243697478992,10.8527131782946,9.09090909090909,9.67741935483871,8.48484848484848,8.47457627118644,7.97872340425532,7.03517587939698,6.69856459330144,6.51162790697674,6.2780269058296,6.08695652173913,5.93220338983051,5.43933054393305
Bahrain,9.25925925925926,9.67741935483871,9.58904109589041,9.27835051546392,10.7843137254902,12.1951219512195,11.7241379310345,8.33333333333333,8.33333333333333,9.09090909090909,9.35251798561151,9.35483870967742,10.1156069364162,8.97097625329815,8.47457627118644,7.62331838565022,7.11297071129707,6.49606299212598,6.17977528089888,6.07142857142857,5.84192439862543
Bangladesh,9.98959932643257,9.70620720123702,10.049029221416,9.68143613157622,10.4858948386902,10.4405124435577,10.4900843400957,10.6570911333479,11.1164037966197,11.5952838123046,11.5787655458314,10.8079165509856,10.095828566508,9.58923071599128,8.95142334813267,7.95346432264736,7.60662755668305,7.33157768733541,6.9697901238018,6.52910940177172,6.0996509614263
Barbados,8.7719298245614,8.33333333333333,8.46153846153846,9.52380952380952,10.2362204724409,11.71875,10.7692307692308,9.9236641221374,9.70149253731343,7.5187969924812,7.75193798449612,7.57575757575758,6.76691729323308,5.3030303030303,5.22388059701493,5.22388059701493,5.26315789473684,5.34351145038168,4.65116279069767,4.7244094488189,4.91803278688525
Belarus,9.32222993291696,9.28240740740741,5.85485307212823,6.28205128205128,7.75526908123593,8.77332274712187,8.03864734299517,6.85778527262507,6.65932856356632,6.71806167400881,7.4635241301908,7.48091603053435,5.76885597349444,4.56721180694057,4.49897750511247,4.860088365243,4.84361424847958,4.61503827104908,4.33153828143292,4.08412814869161,4.07587798000513
Belgium,7.06447187928669,6.30410654827969,5.76758147512864,7.23192019950125,7.18355718355718,7.69846030793841,7.77954635893355,7.10458424290534,6.3754427390791,5.83785880527541,5.7241644256627,5.75187969924812,5.75407733186733,5.4054054054054,5.21554018094731,5.39688102330471,5.33888022187554,5.36451169188446,5.29642918161626,5.20762423417291,5.16216675157072
Belize,11.7647058823529,10.2564102564103,8.51063829787234,9.25925925925926,11.1111111111111,11.9402985074627,12.8571428571429,12.6582278481013,10.8695652173913,10.1851851851852,11.2903225806452,10.6382978723404,10.8974358974359,10.4046242774566,9.62566844919786,9.04522613065326,8.41121495327103,8.03571428571429,7.59493670886076,6.99588477366255,6.32411067193676
Benin,8.49315068493151,9.10698496905394,10.0083402835696,9.51650038372985,8.8950660180681,9.24317617866005,9.70027247956403,10,10.0737100737101,10.2573018080668,10.3355302576393,10.4012266802964,10.4870557261957,10.4522995058913,10.485211033566,10.7090320682554,10.6480872880242,10.2871381110584,9.83588857698121,9.39637228664882,9.01579140653691
Bhutan,10,10.4166666666667,10.1851851851852,9.4488188976378,8.9041095890411,9.35672514619883,9.26829268292683,9.52380952380952,10.0371747211896,10.4,11.5107913669065,12.3376623376623,11.377245508982,9.66850828729282,8.97435897435898,8.21256038647343,8.29493087557604,7.9646017699115,7.20338983050848,6.5843621399177,6.187624750499
