Male service workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Costa Rica,40.0999984741211,40.7999992370606,39.7000007629394,41.7000007629394,41.2000007629394,42.5,40.9000015258789,37.7000007629394,39,38.7000007629394,39.2000007629394,39.2999992370606,40.5,42.2999992370606,43.2000007629394,45.4000015258789,45.2999992370606,45.7000007629394,46.7000007629394,46.4000015258789,46.9000015258789,51,50.9000015258789,52,52.5,52.2999992370606,53.5999984741211,54.2000007629394
Croatia,,,,,,,,,,,,,,,,,45.2999992370606,46.4000015258789,47.4000015258789,46.0999984741211,49.9000015258789,47.2999992370606,47.0999984741211,45.2000007629394,45.5,46.7999992370606,47.4000015258789,47.7999992370606
Cuba,,,,,,,,,,,,,,,,41.7999992370606,41.9000015258789,41.9000015258789,49.2000007629394,43.9000015258789,43.7999992370606,48.7999992370606,48.7000007629394,48.5999984741211,50,51,52.4000015258789,53.5
Cyprus,45.5999984741211,47,48,49,49.4000015258789,50.4000015258789,51.2999992370606,52.2999992370606,52.9000015258789,54,54.7999992370606,55,55.5999984741211,56.2999992370606,56.9000015258789,57.5999984741211,,,,59.2000007629394,58.5,61.4000015258789,60.9000015258789,60.7999992370606,59.4000015258789,59,61.4000015258789,60.0999984741211
Czech Rep.,,,,,,,,,,,,,,38.5999984741211,40.2999992370606,41,41.5,41.5,42.2999992370606,43.0999984741211,43.9000015258789,44.2000007629394,44.5,44.9000015258789,45.4000015258789,45.5,45.2999992370606,45.2999992370606
Denmark,,48.2000007629394,,50.0999984741211,54.4000015258789,53,53.7000007629394,53.7999992370606,55.2999992370606,55,54.7999992370606,54.7999992370606,55.5,56.7000007629394,57,56,57.0999984741211,57.5999984741211,57,57.9000015258789,57.9000015258789,59,60.2999992370606,60.7999992370606,61,60.7999992370606,61.2999992370606,63
Dominica,,,,,,,,,,29.3999996185303,,30.7000007629394,,,,,,40,,42.5,,43.9000015258789,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,45.0999984741211,45.5,,,51.0999984741211,,,53.5999984741211,51.9000015258789,53.4000015258789,,
Ecuador,,,,,,,,,,,,,61.5999984741211,59.5,,,64.3000030517578,63.5999984741211,,60.5999984741211,59.2999992370606,59.7999992370606,61.2999992370606,,61.0999984741211,61.5999984741211,61,
Egypt,33.2000007629394,33.2999992370606,34.7000007629394,35.0999984741211,35.9000015258789,,,,,40.2000007629394,40.9000015258789,43.7000007629394,40.9000015258789,42.4000015258789,42.7000007629394,43.0999984741211,,44.9000015258789,46.2000007629394,46.7999992370606,48,48.4000015258789,49.5999984741211,49.2999992370606,48.4000015258789,47.2000007629394,45.5999984741211,
