Male service workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Saint Kitts and Nevis,,,,,28,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,42.5999984741211,41.5,42.9000015258789,44.2999992370606,50.2000007629394,49.2999992370606,48.9000015258789,47.4000015258789,,46.7000007629394,50.5999984741211,48.7999992370606,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,42.4000015258789,,,,,,,,,,48.0999984741211,,,,,,
San Marino,42.5999984741211,42.9000015258789,43.9000015258789,45,44.5999984741211,45,45.0999984741211,45.5999984741211,45.5999984741211,45.7999992370606,46,46.4000015258789,47.5,47.5,,43.0999984741211,43.2999992370606,43.5999984741211,43.2999992370606,43.9000015258789,,46.7999992370606,47.2000007629394,46.7000007629394,47.2000007629394,49.0999984741211,49.9000015258789,50.7999992370606
Sao Tome and Principe,25.2000007629395,30.7999992370606,33.7000007629394,24.8999996185303,28.8999996185303,,,,,,,35.5999984741211,,,,,,,,,42.5999984741211,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,68.5999984741211,70.4000015258789,68.8000030517578,70.5,,,,71.9000015258789,71.5999984741211
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,42.7999992370606,42.2999992370606,41.7999992370606,41.7000007629394
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,23.3999996185303,,,
Singapore,64.5999984741211,62.7999992370606,62.5,62.7999992370606,61.5,62.4000015258789,63,63.5,62.9000015258789,62.2999992370606,59.2000007629394,62.7000007629394,63,63.0999984741211,63.7999992370606,63.7999992370606,66.3000030517578,66,66.5,67.1999969482422,56.9000015258789,69.5999984741211,70.5,70.5999984741211,71.5999984741211,,72.5,72.0999984741211
Slovak Republic,,,,,,,,,,,,,,,39.2000007629394,41.2999992370606,40.5,39.5999984741211,40.0999984741211,41.7999992370606,43.9000015258789,43.9000015258789,43.5,43.2999992370606,43.2999992370606,44,44.2999992370606,43
Slovenia,,,,,,,,,,,,,,36.7999992370606,38.0999984741211,38.5,38.2000007629394,38.5999984741211,40.5,42.2999992370606,44.2999992370606,42.5,42.5999984741211,44.7000007629394,44,43.4000015258789,44.7000007629394,45
South Africa,,,,,,,,,,,,,,,,,,,,,50.4000015258789,51.9000015258789,51.5,53.5,54.9000015258789,56.5999984741211,56.0999984741211,53.7999992370606
Spain,38.5,39.5999984741211,40.7999992370606,41,41.7999992370606,43,44.5999984741211,45.0999984741211,45.2000007629394,45.9000015258789,46.2999992370606,47.5,48.4000015258789,50,51.0999984741211,51.4000015258789,52,51.5999984741211,51,51,51.4000015258789,50.5999984741211,51.2000007629394,51.4000015258789,51.2999992370606,52,52,52.7999992370606
Sri Lanka,,29.8999996185303,,,,29.3999996185303,,,,,,,,38.4000015258789,38.5,36.2999992370606,41,,36.7000007629394,,,43.7000007629394,,,,40.7000007629394,41.2999992370606,40.9000015258789
Saint Helena,,,,,,,,,,,,,,,,,,,50.5,,,,,,,,,
Suriname,,,,,,,,,,,,,65.4000015258789,65.0999984741211,62.5,56.0999984741211,52.9000015258789,56.9000015258789,56.2999992370606,64.3000030517578,,,,,54.5999984741211,,,
Sweden,47,47.5,48.5,48.9000015258789,49.2999992370606,49.5,51,50.2000007629394,51,51.5,51.7000007629394,52.9000015258789,55,56.0999984741211,56.7999992370606,56.2999992370606,56.5999984741211,57.2000007629394,58,58.7000007629394,59.7000007629394,60.7999992370606,61.5,61.9000015258789,62.2000007629394,63.0999984741211,63.0999984741211,63.5
Switzerland,45.5,46,47.0999984741211,48.5,48.4000015258789,48.9000015258789,49.5999984741211,50.9000015258789,52,53.0999984741211,54.2000007629394,55.7000007629394,56.7000007629394,57.5999984741211,57.7999992370606,57,58.2000007629394,59.4000015258789,59.4000015258789,59.5999984741211,59.2999992370606,59.7000007629394,60.7000007629394,62.0999984741211,62.5,62.2000007629394,62.0999984741211,62.2000007629394
Syria,,,,40.5999984741211,42,,,,,47.2999992370606,,,,44.0999984741211,44.2999992370606,43.9000015258789,,47.2999992370606,,44.4000015258789,43.2999992370606,44.7000007629394,43.0999984741211,48.2999992370606,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,30.7999992370606,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,15.6999998092651,,,,,20.7000007629395,
Thailand,19.6000003814697,23.1000003814697,24.2000007629395,23.2000007629395,23,20.2000007629395,22.1000003814697,22.7000007629395,21.2999992370605,20.7000007629395,22.8999996185303,24.7999992370605,24.1000003814697,26.2999992370605,26.2999992370605,29.1000003814697,29.7000007629394,30.5,30.3999996185303,32.7999992370606,31.8999996185303,32.7999992370606,31.6000003814697,32.5999984741211,34.4000015258789,34.0999984741211,34.2000007629394,34.5999984741211
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,40.7999992370606,41.7999992370606,47.2000007629394,46.4000015258789,45.2000007629394,47.9000015258789
Tonga,,,,,30.2999992370606,,,,,,,,,,,,,,,,,,,35.5,,,,
Trinidad and Tobago,45,42,42.9000015258789,44.4000015258789,46.0999984741211,46.5,49.5,49.0999984741211,49.7999992370606,49.2000007629394,,50,51.2999992370606,52.2000007629394,52.0999984741211,53.5,54.7000007629394,53.2000007629394,52.2999992370606,52.5,53.4000015258789,51.0999984741211,53,53.4000015258789,53.4000015258789,52.2999992370606,,
Tunisia,31.7000007629394,,,,,,,,,40.7999992370606,,,,,,,,,,,,,,,,,,
Turkey,,,60.2999992370606,62.7000007629394,62.9000015258789,44.5999984741211,,,39.5,39.0999984741211,40.7000007629394,39.7000007629394,40.9000015258789,40.5999984741211,40.0999984741211,40.5,40.5999984741211,40.2999992370606,41.2000007629394,41.5999984741211,45,45.5,48.4000015258789,49.2999992370606,48.0999984741211,50.2000007629394,51.0999984741211,51.5999984741211
Uganda,,,,,,,,,,,,,,,,,,,,,,,,27.6000003814697,,,,
United Arab Emirates,,,,,,,,,,,,,,,,54.5999984741211,,,,,54.5999984741211,,,,,48.7999992370606,,
United Kingdom,47.7000007629394,49.2000007629394,50.2999992370606,51.5999984741211,52.9000015258789,53.5999984741211,54.4000015258789,55.0999984741211,52.2000007629394,52,52.5,53.5,54.5999984741211,55.4000015258789,57.5,58.2000007629394,58.0999984741211,58.7999992370606,59.2999992370606,60.2000007629394,61,61.5999984741211,62.4000015258789,63.2000007629394,64.4000015258789,64.5999984741211,64.8000030517578,64.5
United States,55.2000007629394,55.7000007629394,57.5,57.9000015258789,57.5999984741211,58,58.2000007629394,59,59.4000015258789,59.5,59.9000015258789,61.0999984741211,62,62.5999984741211,62.5,62.2999992370606,62.5999984741211,62.5999984741211,62.9000015258789,63.7000007629394,63.9000015258789,64.5999984741211,65,67.3000030517578,67.4000015258789,67.5999984741211,67.3000030517578,67.5999984741211
Uruguay,,,,,64.3000030517578,,63.2000007629394,59.0999984741211,59.5999984741211,58.7999992370606,59.5999984741211,60.5,57.2000007629394,58,58.9000015258789,59.2999992370606,,,61.7000007629394,60.5999984741211,60.7000007629394,62.4000015258789,63.7000007629394,64.8000030517578,64.4000015258789,63.7999992370606,56.9000015258789,56
Venezuela,48.7999992370606,49.2999992370606,48.9000015258789,50.5999984741211,50.2999992370606,50.2000007629394,49.7000007629394,49.5999984741211,50.2999992370606,51.5999984741211,51.7000007629394,51.5999984741211,51.7999992370606,53,,,,,,,,,,58.5999984741211,,,55.7000007629394,56.2999992370606
Vietnam,,,,,,,,,,,,,,,,,17.8999996185303,20.5,22.1000003814697,21.3999996185303,21,20.3999996185303,21.3999996185303,22.6000003814697,23.2999992370605,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,56.7999992370606,50.9000015258789,48.7999992370606,48.0999984741211,51.2000007629394,58.0999984741211,60,57.4000015258789,58.5,58.2000007629394,59.7999992370606,61.0999984741211
"Yemen, Rep.",,,,,,,,,,,,37.7000007629394,,,39.9000015258789,,,,39.4000015258789,43,,,,,,,,
Zambia,,,,,,,,,,,22.3999996185303,,,,,,,,26.8999996185303,,26,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,28,,,,,,,,
