Total 15-19 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,10.2221131427169,10.3487447461093,10.4639068025796,10.7519788918206,10.1866711715517,10.2423651234336,10.3176310317631,10.4205645489303,10.4539311550998,10.4401681044017,10.5516871987145,10.7284227708631,11.0179969776068,11.1782742006132,11.0549717057397,10.7362849963308,10.8235108294339,10.9257094271442,10.8917248575327,10.6400152629184,10.2208637082922
Albania,9.9670510708402,10.5072463768116,9.49720670391062,8.93525949705725,9.91580916744621,11.2453144523115,11.4478114478114,10.4124408384043,9.90881458966565,8.71369294605809,9.48500651890482,10.0675458346735,9.65604291574629,8.56090825406566,6.34920634920635,6.299676184869,6.70178519168862,6.86619718309859,6.5050266114725,5.7910447761194,5.32848925219497
Algeria,10.0068540095956,10.0679431747993,9.84350402815075,9.93038664765579,10.1469304626127,10.2509676613809,10.8984582668793,10.9788659093995,10.9524562930148,11.4306941201443,12.1984002098086,11.37525873615,10.0341624551794,7.76077082622279,7.6296423912776,7.90793125160327,7.97728441433586,7.65106474975678,6.96447340760984,6.27065415956814,5.89610756112802
Angola,10.0096478533526,9.82123151622158,9.6426432421641,9.35343261896113,10.0608252506987,10.3053435114504,10.4532722179781,10.3836262323189,10.2316421269812,10.4650235303502,10.7017789606387,10.9459622096522,11.1889216512216,10.8713692946058,11.1405835543767,10.6636539232479,10.7874404076936,10.6932175475371,10.3958218801539,9.9560389296877,9.51119102824966
Argentina,9.14232406273687,8.4633220910624,8.36878746857474,8.68981564345803,8.84019330111648,8.68445332923266,8.27946295375435,8.0719862379251,8.46873461349089,9.47026343034626,8.72790275860202,8.56936304252408,8.41735110411646,7.99586339812443,7.47788010111954,7.39707516945274,7.21435676041733,6.93359778521549,6.59867662235173,6.27163145960138,5.97738604687684
Armenia,11.094674556213,12.5399872040947,6.26338329764454,7.43764172335601,10.285941223193,12.0976299964627,11.6849580374435,9.01737567405632,7.84424379232506,8.10055865921788,9.68475788105297,10.421430904933,8.57327725655128,5.98726114649682,6.36020151133501,6.94313540684888,7.1608832807571,6.66878374087012,5.9313882654697,5.5537512179279,5.56844547563805
Aruba,10.8108108108108,9.30232558139535,10,9.61538461538462,12.0689655172414,11.864406779661,11.6666666666667,9.23076923076923,6.34920634920635,6.25,6.74157303370786,7.07070707070707,7.40740740740741,7.27272727272727,6.25,5.30973451327434,5.30973451327434,5.35714285714286,6.36363636363636,5.45454545454545,5.66037735849057
Australia,6.78914709818713,6.66304347826087,7.5021893548701,8.94732274581272,8.85518975406616,8.99148561362302,8.89977546438049,8.29061451806848,8.19096653405102,7.01551029419882,6.92227438706312,6.86019712646496,6.73608851285389,6.29036538971954,5.98944033790919,6.02355989151115,5.95618616979808,5.89078292351788,5.83409631935543,5.73232503388742,5.63949035716772
Austria,6.58881199538639,7.07288965715932,7.81139042749609,6.9178929995874,6.64167113015533,7.73291105832674,8.66684336072091,8.24074074074074,6.69881402319823,5.82230623818526,6.09542842867849,6.00097181729835,6.01001669449082,5.27994330262225,5.00058554865909,4.76744186046512,4.71283001389532,4.81537214955435,4.87634970393591,4.86524326216311,4.79154433352907
Azerbaijan,11.7789291882556,12.5112781954887,6.1088295687885,6.4932225623087,9.08739365815932,12.0583582351907,13.0314832846478,10.8412055780477,9.73512688947441,8.86547603751767,9.9273309520877,11.0033128253668,9.86341244961935,7.25652450668364,6.68022369089985,7.6414256096357,7.85548237117396,7.28002292920608,6.35701447355974,5.78535758032602,5.74832183038669
Bahamas,10.126582278481,9.09090909090909,8.33333333333333,8.45070422535211,8.7719298245614,10.0529100529101,12.3809523809524,11.587982832618,11.0671936758893,9.25266903914591,9.53947368421053,8.64197530864198,8.98550724637681,8.44686648501362,7.29166666666667,6.96517412935323,6.73076923076923,6.49651972157773,6.36363636363636,6.01336302895323,5.92105263157895
