Male 20-39 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,28.4936049265751,28.6872671488056,28.7948666532986,28.8283378746594,28.9225260416667,28.4186180977161,27.9673898024043,27.5250941028858,27.0763101440392,27.0051194539249,26.9523541020581,27.1939498975894,27.7556705133307,28.4787636076485,29.2596027136512,29.9028875902372,30.3354065707635,30.9420265041263,31.6893758341351,32.5101478895228,33.2426066474745
Albania,26.6009852216749,27.1942446043165,27.4412855377009,27.7719112988384,27.037037037037,27.5720164609054,30.0435413642961,31.7616240995416,33.3135743924126,31.7057704502219,27.7850589777195,27.384815055159,29.2199488491049,31.6708229426434,33.109756097561,31.1524609843938,28.3403235470342,26.0817307692308,25,25.4901960784314,25.2173913043478
Algeria,28.3602150537634,27.7450781408565,26.3661453541858,25.1461011855068,21.7048497470991,22.8958359701304,24.5470918529505,26.7770379701278,29.0190842692217,30.7336232290644,33.5109147609148,36.0287023637241,37.0952407583468,36.5702694268178,33.6633663366337,30.6010171058715,28.7045252883762,27.934352981612,28.5134343349795,28.360286591607,27.2394071209924
Angola,29.0354330708661,28.5650022492128,27.7981277981278,26.8988514264542,25.9718498659517,25.8816497310221,25.9508408796895,26.1920313520575,26.4851485148515,26.4001294917449,26.797385620915,27.23388671875,28.1580352375868,29.2274597830153,29.8923841059603,30.804495711328,31.2562545866969,31.8444241871771,32.5371135171336,32.7966145430149,32.9376141497645
Argentina,32.4309016764839,31.434184675835,30.2789986623352,29.2839330245814,28.8753545803437,29.0789473684211,29.0266887274297,28.9813197150921,28.6554832248373,28.7588590171616,30.0143424536628,30.8028428533825,31.5100772084628,31.7299861064533,30.7911683532659,30.0217710045764,29.3749460416127,28.7293283833952,28.1151745821612,27.5884532388746,26.8099319892149
Armenia,26.01246105919,28.9544235924933,33.2591768631813,30.1869158878505,26.7479674796748,28.0638143582306,29.688535453943,33.4763948497854,33.8372093023256,30.4319371727749,27.8008298755187,27.4825174825175,30.7425399028452,32.9234972677596,32.1212121212121,30.2076356329538,27.8710543989255,27.1929824561404,28.1546811397558,27.7282086479067,26.2900976290098
Aruba,25,26.3157894736842,26.0869565217391,25.9259259259259,29.6296296296296,30,32.258064516129,36.6666666666667,34.375,37.5,31.8181818181818,28.5714285714286,26,25,26.4150943396226,27.4509803921569,26.4150943396226,25.4901960784314,22.6415094339623,22.6415094339623,24
Australia,31.5637065637066,29.6479175611851,28.2855493553973,27.0582156389941,28.3998752339364,29.9458985231759,31.8887980376124,32.9866835764109,32.409907266111,31.7576564580559,29.8002103049422,28.7011448874852,27.9756895745676,27.279195944143,26.8868324985143,26.126932465419,25.5584293439925,25.0625995902572,24.8986511387927,24.8977248259528,24.728698452706
Austria,25.9707983845915,25.2478314745973,27.3032336790726,28.1975889444281,28.2342905885698,28.9863166713209,30.2130044843049,31.6699191524951,33.442265795207,33.7601254246146,31.3710302091402,29.1177205698575,27.1816181862625,26.5202702702703,25.9427207637231,24.6986528007563,23.500352858151,22.3659454374412,22.0622935346862,22.1115065243179,22.3574325936531
Azerbaijan,26.1188554658841,29.5685279187817,32.5818572195384,28.8235294117647,24.8706725029845,24.7207207207207,26.9513008672448,31.9901568748078,32.3604420515727,33.2807570977918,31.6654030831438,30.5562302647559,32.5022872827081,33.7076225437271,32.9547800949824,31.0358645562012,29.3123772102161,28.6516853932584,29.3057153816648,29.2151995417224,27.5353999234596
Bahamas,27.7777777777778,26.8292682926829,26.9230769230769,27.536231884058,28.5714285714286,28.2608695652174,28.8461538461538,31.8965517241379,35.4838709677419,35.9712230215827,33.7748344370861,33.125,31.7365269461078,31.0734463276836,30.8108108108108,29.7435897435897,28.7128712871287,27.4038461538462,26.1682242990654,25.9259259259259,25.6880733944954
Bahrain,33.8709677419355,32.3943661971831,32.5301204819277,25.2631578947368,28.5714285714286,30.6122448979592,43.7810945273632,47.3251028806584,47.0383275261324,45.3731343283582,42.4,42.1052631578947,41.3793103448276,37.8486055776892,35.4359925788497,33.5640138408305,31.8555008210181,30.298273155416,29.1729323308271,28.0882352941176,27.521613832853
Bangladesh,30.0675098273799,29.3164910105394,28.7459851975981,27.1407157579164,25.8898152508102,26.1635005127704,26.363069781436,27.1873755287066,28.4466233523894,29.8314097342821,31.7464547711557,33.6762086678196,35.039033837345,35.3745876824364,34.8004356461016,33.5760929267449,31.897714609685,30.4781763897446,29.1866914835496,28.0068447017276,27.2322031608807
Barbados,30.9278350515464,27.4509803921569,23.0769230769231,21.2962962962963,22.5225225225225,26.7241379310345,30.5084745762712,36.3636363636364,38.0952380952381,38.2113821138211,33.3333333333333,32.2314049586777,30.952380952381,29.6875,27.5590551181102,24.21875,22.8346456692913,22.7642276422764,22.7642276422764,22.3140495867769,21.3675213675214
