gdp pc test,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,472.05349959347,473.588077589445,475.127644277651,476.672215875608,478.221808653557,479.776438934632,481.33612309503,482.900877564187,484.470718824945,486.045663413733,487.625727920736,489.21092899007,490.801283319962,492.396807662918,493.997518825909,495.603433670539,497.214569113229,498.830942125391,500.45256973361,502.079469019823,503.711657121494,505.349151231803,506.99196859982,508.640126530689,510.293642385812,511.95253358303,513.616817596806,515.286511958411,516.961634256107,518.642202135333,520.32823329889,522.019745507132,523.716756578143,525.419284387937,527.127346870637,528.840962018669,530.560147882948,532.28492257307,534.015304257506,535.751311163785,537.492961578696,539.240273848472,540.993266378988,542.751957635956,544.516366145115,546.286510492428,548.06240932428,549.844081347673,551.631545330421,553.424820101351,555.223924550498,557.028877629309,558.839698350835,560.656405789939,562.479019083494,564.307557430581,566.142040092698,567.982486393956,569.828915721289,571.681347524654,573.539801317236,575.404296675655,577.274853240173,579.151490714898,581.034228867995,582.92308753189,584.818086603485,586.71924604436,588.626585880989,590.540126204951,592.459887173136,594.385889007964,596.318151997594,598.25669649614,600.201542923883,602.152711767488,604.11022358022,606.074098982157,608.044358660413,610.021023369351,612.004113930805,613.993651234296,615.989656237255,617.992149965242,620.001153512168,622.016688040518,624.038774781574,626.067435035634,628.102690172244,630.144561630419,632.193070918867,634.248239616219,636.310089371257,638.378641903136,641.333261519708,644.301556056627,647.283588805778,650.27942335198,653.289123574346,656.312753647639,659.350378043645,662.402061532546,665.467869184299,668.547866370027,671.642118763412,674.750692342094,677.873653389078,681.011068494149,684.163004555289,687.329528780106,690.510708687268,693.706612107938,696.917307187226,700.142862385636,703.383346480531,706.638828567598,709.909378062321,713.195064701458,716.495958544535,719.812129975333,723.143649703393,726.490588765521,729.853018527304,733.231010684634,736.624637265232,740.033970630186,743.459083475497,746.900048833622,750.35694007504,753.829830909808,757.318795389142,766.752197402054,779.44531446281,812.856279479195,815.35952134691,816.414838035311,837.066935406928,820.853029629645,849.740069478856,856.228843403318,868.498222588053,857.358654882083,853.100709991072,849.444717680397,846.267281765072,845.22066173728,833.614056241455,836.197138197653,845.079978553216,837.620774345246,833.315923359967,773.695137773372,739.981105812534,803.486536923231,825.58003120264,846.442402508526,866.192480568929,786.113359958181,827.092154818656,809.074114321196,810.431624893938,896.860746392093,978.011438791904,1013.13273629217,994.571243991093,961.924184798108,1030.88806745381,852.395944816645,770.010794019077,751.441273957438,709.504941901079,705.445798661072,649.341395157402,558.85324144129,500.449447347788,601.874209874185,617.910635977866,635.341351017988,653.296853334239,670.987220917247,663.909877731095,595.038741036515,726.734054779544,785.127571108213,804.717457749025,874,887.914577662562,983.65231367466,984.805841434435,1154.85936487362,1214.61365305682,1261.35418448909,1349.69694102398
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,601.215222388559,601.839631030257,602.464688168762,603.090394477588,603.716750630948,604.343757303757,604.971415171629,605.599724910881,606.228687198533,606.858302712305,607.488572130625,608.119496132622,608.751075398134,609.3833106077,610.016202442572,610.649751584704,611.283958716761,611.918824522118,612.554349684856,613.190534889771,613.827380822366,615.133803707692,616.443007082793,617.754996865447,619.06977898603,620.38735938754,621.707744025621,623.030938868594,624.356949897482,625.68578310604,627.017444500776,628.351940100984,629.689275938769,631.029458059073,632.372492519704,633.718385391365,635.067142757676,636.418770715206,637.773275373503,639.130662855112,640.490939295615,641.854110843647,643.220183660932,644.589163922309,645.961057815758,647.335871542427,648.713611316666,650.094283366048,651.477893931402,652.864449266839,654.25395563978,655.646419330986,657.041846634585,658.440243858102,659.841617322485,661.245973362136,662.653318324938,664.063658572284,665.477000479109,666.893350433912,668.31271483879,669.735100109467,671.160512675321,672.588958979413,674.020445478519,675.454978643155,676.892564957608,678.333210919969,679.776923042154,681.223707849944,682.673571883006,692.737977829925,702.950759620347,713.31410470488,723.830232782919,734.501396278067,745.329880820587,756.318005736946,767.468124546593,778.782625466048,790.263931920433,801.914503062536,813.736834299531,825.733457827467,837.906943173629,850.259897746898,862.794967396229,875.514836977357,888.422230927861,901.519913850701,914.810691106364,927.352778872644,940.066819117252,952.955169314906,966.020219261384,979.264391516656,992.690141854074,1006.29995971573,1020.09636867406,1034.08192689978,1048.25922763619,1062.00590409652,1075.93285191408,1090.04243513393,1104.33704880273,1118.81911937536,1133.49110512679,1148.35549656933,1163.41481687541,1178.67162230588,1194.12850264391,1209.42357935276,1224.91456409916,1240.60396618462,1250.98427633138,1261.45144001212,1272.00618394275,1282.64924091968,1293.38134987077,1304.20325590657,1315.11571037208,1326.11947089891,1337.21530145789,1348.40397241209,1359.68626057034,1371.06294924111,1382.53482828694,1394.10269417926,1405.7673500537,1417.52960576583,1422.79701442645,1428.08399628955,1433.39062408734,1438.71697082229,1444.06310976815,1449.42911447093,1454.81505874995,1460.22101669883,1465.6470626865,1471.09327135827,1476.55971763679,1482.04647672314,1487.55362409782,1493.08123552184,1498.62938703769,1504.19815497046,1509.78761592884,1515.3978468062,1521.02892478163,1526.68092732102,1532.3539321781,1598.49274970246,1601.05613632982,1665.79473669905,1714.68877618169,1807.13058686107,1825.30248740848,1942.28424417251,2029.78958534169,2113.34660578154,2220.34269647724,2238.78743670272,2312.88895774055,2391.77961601132,2473.69710013055,2563.94557351866,2660.07483654155,2760.19693055431,2859.81201277126,2956.93736008304,3066.0229334948,3188.57728074174,3313.42218810088,3478.45916929956,3491.42659688276,3503.59174172342,3517.61562701541,3533.00391004821,3549.26494664477,3566.56881033051,3591.7556033401,3611.02554004799,3630.88072218604,3652.07617360155,3672.86753872322,3692.08963082379,3715.54970572814,3738.93273535973,3762.60654447423,3790.98170101084,3824.84799474551,2717.56828978611,2497.43790090032,2716.64619280324,2918.81669780969,3285.53473487082,3569.59450622406,3193.05460353875,3584.77319666884,3928.27513771936,4195.21036763768,4476.0451660371,4604.21173734186,4855.21002368607,5115.25283737324,5369,5652.04932138233,5958.02119672736,6365.53035936449,6550.89616351037,6746.44531227102,6914.26731653183,6969.30628256456
Algeria,766.253664378884,766.234779456874,766.215895000297,766.197011009143,766.178127483399,766.159244423055,766.140361828099,766.121479698518,766.102598034303,766.083716835442,766.064836101922,766.045955833732,766.027076030862,766.008196693299,765.989317821032,765.97043941405,765.951561472341,765.932683995894,765.913806984696,765.894930438738,765.876054358006,773.695864767641,781.595517645904,789.575828206906,797.637619988324,805.781724936389,814.008983491734,822.320244676132,830.716366180103,839.198214451433,847.766664784582,856.422601411013,865.166917590443,874.000515703021,882.924307342453,891.939213410072,901.046164209875,910.246099544525,919.539968812333,928.928731105236,938.413355307771,947.994820197058,957.674114543806,967.452237214353,977.330197273746,987.309014089866,997.389717438633,1007.57334761026,1017.86095551663,1028.25360279973,1038.75236194119,1049.35831637301,1060.07256058931,1070.89620025933,1081.83035234148,1092.87614519864,1104.0347187146,1115.30722441167,1126.69482556954,1138.19869734532,1149.82002689478,1161.5600134949,1173.41986866763,1185.40081630487,1197.50409279482,1209.73094714956,1222.08264113392,1234.56044939571,1247.16565959725,1259.89957254826,1272.76350234008,1287.25206597445,1301.90556085943,1316.72586449775,1331.71487576473,1346.87451515168,1362.20672501188,1377.71346980948,1393.39673637122,1409.25853414097,1425.30089543718,1441.52587571332,1457.93555382119,1474.53203227732,1491.31743753233,1508.29392024337,1525.46365554973,1542.82884335147,1560.39170859134,1578.15450153983,1596.11949808347,1614.28900001648,1632.66533533564,1651.25085853861,1670.04795092557,1689.05902090434,1708.286504299,1727.73286466191,1747.4005935894,1767.29221104103,1787.41026566241,1807.7573351118,1828.33602639035,1849.14897617611,1870.19885116191,1891.48834839698,1913.02019563256,1934.79715167136,1956.82200672105,1979.09758275176,2001.62673385768,2024.41234662267,2047.45734049019,2070.76466813732,2079.71902456991,2088.7121012397,2097.74406557991,2106.81508574778,2115.92533062767,2125.07496983426,2134.26417371564,2143.49311335656,2152.76196058152,2162.07088795806,2171.4200687999,2180.80967717023,2190.23988788491,2199.71087651572,2209.22281939366,2218.77589361222,2228.37027703066,2238.00614827734,2247.68368675304,2257.4030726343,2267.1644868768,2276.96811121866,2286.81412818391,2296.70272108582,2306.63407403034,2316.60837191954,2326.62580045505,2336.68654614147,2346.79079628991,2356.93873902143,2367.13056327058,2377.36645878887,2387.64661614834,2397.97122674512,2408.34048280294,2418.75457737674,2429.21370435628,2397.53111122672,2449.00818535148,2436.33995024701,2557.81850727563,2572.47444340732,2764.42362881141,3013.97602290862,3059.5768653896,3548.41602232655,3716.78867942314,3202.96261970378,2550.81687982835,3146.57863037047,3214.43660870967,3327.99122040643,3070.75339207156,3246.99177120866,3519.79411606818,3747.74452761775,4003.57359003787,3559.34990880386,4182.66376569336,4194.60334945108,4320.9593075318,4489.03498567229,4642.62341062526,4910.4167564913,5373.1662882663,5682.0337082876,5610.19630482258,5573.37959077939,5745.16021293762,5853.65621822806,5986.54203777547,6107.18101310772,5876.04809516284,5681.35853922344,5415.9862639545,5457.74556879201,5244.50961212113,5061.30346391376,5023.21664742035,4800.3171165056,4652.84115320986,4732.43300025754,4824.21247527764,4797.29505081149,4965.22836091317,5048.6155656488,5098.85356434079,5156.44740499925,5288.04038182766,5576.85156410152,5790.96769240897,6011,6022.27094036931,6133.78276274306,6162.71983982498,6173.7297410961,6300.6482136053,6354.64052282308,6419.12782939372
American Samoa,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,674.453726335164,676.643975936196,678.841338246562,681.045836364376,683.257493462761,685.476332790095,687.70237767025,689.935651502846,692.176177763488,694.423980004019,696.679081852763,698.941507014778,701.211279272101,703.488422484001,705.772960587228,708.064917596266,710.364317603583,712.671184779887,714.985543374379,717.307417715008,719.636832208727,721.973811341747,724.3183796798,726.67056186839,729.030382633059,731.397866779642,733.77303919453,736.155924844931,738.546548779134,740.944936126768,743.351112099072,745.765101989154,748.186931172264,750.616625106052,753.054209330844,755.499709469904,757.953151229708,760.414560400212,762.883962855122,765.361384552169,767.84685153338,770.340389925351,772.842025939524,775.351785872459,777.869696106115,780.395783108123,782.930073432068,785.472593717764,788.023370691538,790.582431166509,793.149802042869,795.725510308167,798.309583037595,800.902047394266,803.502930629507,806.112260083141,808.730063183775,811.356367449088,813.991200486125,816.634589991578,819.286563752086,821.947149644524,824.616375636291,827.294269785614,829.980860241834,832.676175245706,835.380243129697,838.093092318279,840.814751328234,843.545248768949,846.284613342717,849.032873845043,851.790059164942,854.556198285243,857.331320282899,860.115454329285,862.908629690511,865.710875727725,868.522221897424,871.342697751764,874.172332938871,877.011157203148,879.859200385595,882.716492424117,885.583063353841,888.458943307431,891.344162515406,894.238751306456,897.142740107761,900.056159445315,902.979039944238,905.911412329109,908.853307424278,911.804756154202,951.806595009938,993.56335683689,1037.15203196158,1082.65298835757,1130.1501198264,1179.7310006794,1231.48704720556,1285.51368622313,1341.91053102577,1400.7815650477,1462.23533358633,1526.38514393607,1593.34927430214,1663.25119187972,1736.21978050039,1812.3895782657,1891.90102560601,1974.90072422186,2061.5417073854,2151.9837221003,2246.39352364016,2344.9451830088,2447.82040788906,2555.20887767195,2667.30859318395,2784.32624175719,2906.47757831562,3033.98782317985,3167.09207732412,3306.03575585102,3451.07504048323,3602.47735190649,3760.52184283479,3925.49991270692,4097.71574496318,4277.48686789303,4465.14474008783,4531.98769573372,4599.83128651679,4668.69049188651,4738.58051553386,4809.51678874818,4881.51497382429,4954.59096752068,5028.76090456936,5104.04116123833,5180.4483589474,5257.99936793802,5336.71131099819,5416.60156724305,5497.68777595206,5579.98784046368,5663.51993212829,5748.30249432032,5834.35424651043,5921.69418839869,6010.34160410955,6100.31606644966,6191.63744122946,6284.32589164943,6296.66080876057,6309.01993692995,6321.40332367919,6333.8110166232,6346.24306347034,6358.69951202262,6371.18041017586,6383.68580591991,6396.21574733881,6408.77028261096,6421.34946000935,6433.95332790171,6446.58193475071,6459.23532911414,6471.91355964509,6484.61667509218,6497.34472429965,6604.36415360505,6713.1463273445,6823.72028013312,6936.1155248226,7050.36206037838,7166.49037988654,7284.5314786926,7404.51686267436,7526.47855665098,7650.44911293064,7776.46161999892,8200.79027302611,8648.2727477499,9120.17245038934,9617.82172590264,11295.5587702757,13265.961001245,,,,,
Andorra,1260.12325620895,1262.21440175927,1264.30901751751,1266.40710924241,1268.50868270226,1270.6137436749,1272.7222979478,1274.834351318,1276.94990959217,1279.06897858662,1281.19156412732,1283.31767204987,1285.44730819961,1287.58047843154,1289.71718861039,1291.85744461062,1294.00125231644,1296.14861762182,1298.29954643052,1300.45404465608,1302.61211822188,1317.90369891147,1333.37479001456,1349.02749883382,1364.86395740988,1380.88632281174,1397.09677743061,1413.49752927714,1430.09081228219,1446.87888660113,1463.86403892162,1481.04858277517,1498.43485885221,1516.02523532092,1533.82210814981,1551.82790143405,1570.04506772567,1588.47608836763,1607.12347383177,1625.9897640608,1645.07752881423,1664.38936801839,1683.92791212059,1703.69582244741,1723.69579156717,1743.93054365671,1764.40283487243,1785.1154537257,1806.07122146271,1827.27299244872,1848.72365455685,1870.42612956145,1892.38337353608,1914.59837725611,1937.07416660615,1959.81380299215,1982.82038375844,2006.09704260957,2029.64695003718,2053.47331375183,2077.57937911994,2101.96842960582,2126.64378721892,2151.60881296631,2176.86690731047,2202.4215106325,2228.27610370069,2254.43420814465,2280.89938693499,2307.67524486863,2334.76542905979,2362.17362943678,2389.9035792446,2417.95905555342,2446.34387977306,2475.06191817354,2504.11708241164,2533.51333006373,2563.25466516485,2593.34513875405,2623.78884942622,2654.58994389032,2685.75261753424,2717.28111499621,2749.17973074299,2781.45280965478,2814.10474761707,2847.13999211939,2880.56304286106,2914.37845236414,2948.59082659351,2983.20482558422,3018.22516407628,3053.65661215678,3089.50399590969,3125.77219807316,3162.46615870462,3199.59087585367,3237.15140624285,3275.15286595638,3313.60043113708,3352.49933869135,3391.85488700251,3431.67243665249,3471.95741115198,3512.71529767918,3553.95164782717,3595.6720783601,3637.88227197828,3680.58797809217,3723.79501360551,3767.50926370765,3811.73668267516,3856.48329468288,4003.17974703107,4155.45637372132,4313.52543854862,4477.60727959308,4647.93061635701,4824.73286858515,5008.26048721246,5198.76929790086,5396.52485764366,5601.80282493491,5814.88934401956,6036.08144376004,6265.68745167538,6504.02742372989,6751.43359047046,7008.25082013459,7274.83709937442,7551.56403226705,7838.81735830665,8136.99749010042,8446.52007151797,8767.81655707202,9101.33481333818,9447.53974325209,9806.91393415407,10179.9583304848,10567.1929320695,10969.1575189642,11386.4124038743,11819.5392131943,12269.1416977575,12735.8465744258,13220.3043996924,13723.1904765158,14245.2057956484,14787.0780127724,15349.5624628051,15933.4432127866,16539.5341548191,17168.68014058,17821.7581589904,18499.6785586809,19203.3863169596,19933.8623570487,20692.1249154288,21479.2309611944,22296.2776694011,23144.4039504565,24024.7920376878,24938.6691352993,25887.3091290153,26872.034361795,27894.2174770931,28955.2833322364,30056.7109845829,31200.0357532322,32386.8513591616,32191.4346902732,33080.0082287757,33951.7892792275,34247.0908849396,33016.1723052794,32840.7941726404,32632.6351789226,32006.0431439996,30833.014406041,30183.8586043985,28684.5751426028,27523.3572205509,26568.2020786384,25820.2986376618,25465.8049206724,25621.5372794759,26576.0008008038,27517.7136072597,28281.8933930064,28511.1832634434,28091.122477675,27041.0171246327,25514.0385202786,25092.4327022828,25063.7690551698,25839.0650587233,28057.4713621957,28982.1382160595,30144.9716557499,30265.9410535338,33293.0005273776,34485.4835229009,35925.2782828301,37427.6063160504,39002.4098291062,39924.8371760538,39244.406089215,37046.5027016922,34710.2140125939,33052.2823183342,31630.7428446619,
Angola,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,359.93258185463,361.620339622073,363.316011444606,365.019634431978,366.731245867951,368.450883211112,370.178584095695,371.914386332406,373.658327909247,375.410446992351,377.170781926814,378.939371237538,380.71625363007,382.501467991451,384.295053391067,386.097049081506,387.907494499412,389.726429266354,391.553893189688,393.389926263432,395.23456866914,397.087860776778,398.949843145614,400.820556525102,402.700041855772,404.588340270129,406.485493093552,408.3915418452,410.306528238916,412.230494184148,414.163481786857,416.105533350444,418.056691376676,420.016998566613,421.986497821546,423.965232243932,425.953245138342,427.950580012404,429.957280577759,431.973390751016,433.998954654711,436.034016618276,438.07862117901,440.132813083048,442.196637286347,444.270138955663,446.353363469547,448.446356419333,450.549163610135,452.661831061855,454.784405010184,456.916931907617,459.05945842447,461.212031449901,463.374698092933,465.54750568349,467.730501773431,469.923734137587,472.127250774813,474.341099909033,476.565329990298,478.799989695848,481.045127931171,483.300793831082,485.567036760789,487.843906316983,490.131452328915,492.429724859492,494.738774206369,497.058650903052,499.389405720006,501.731089665758,504.083753988025,506.447450174825,508.82222995561,511.208145302395,513.605248430898,516.013591801681,518.433228121299,520.864210343451,523.306591670144,525.760425552851,528.225765693686,530.702666046577,533.191180818447,535.6913644704,538.203271718913,540.726957537035,543.262477155588,545.809886064375,548.369240013399,550.940595014078,553.524007340473,556.119533530521,583.836757925437,612.93542009018,643.484371446695,675.555894999878,709.225876369076,744.573983343857,781.68385438892,820.643296544158,861.544493188151,904.48422215667,949.564084732296,996.890746046978,1046.57618746635,1098.73797155299,1153.49952023554,1210.99040684192,1271.34666268756,1334.71109894415,1401.23364455041,1471.07170096455,1544.39051459764,1621.36356780929,1702.17298939068,1787.00998550622,1876.07529211357,1969.57964993238,2067.74430308574,2170.80152259409,2278.99515596026,2392.58120414609,2511.82842730577,2637.01898070924,2768.44908236014,2906.42971388828,3051.28735637472,3203.3647628508,3363.02176929874,3440.90138989874,3520.61027255607,3598.80554389846,3450.82022791,3672.08157291099,3549.03534337306,3827.94046481177,3966.41504370971,3917.76117408237,4006.20630240528,4463.82592323335,4269.27674188414,4413.59639931086,4826.48811301664,5102.21021356798,5308.1361809455,5522.7763745902,5346.62749933096,5408.11939639166,5651.88286702733,5526.21139597585,5473.28800494457,5722.02372628606,5470.21203791969,3430.84872188868,3050.31582558262,3008.6473549265,3070.81648993941,3064.88794035398,3074.74554268081,2953.40672590544,2756.95367186443,2584.55704550339,2527.46791401664,2492.8321322462,2220.60533240043,2430.20831133157,2728.52990179482,2730.55888427358,2777.41763054795,2730.85423766519,2627.84568498613,1869.92375309381,1851.44626956352,1989.02468149384,2157.35209724093,2277.14088401006,2384.4792585215,2417.18102137464,2446.64587311703,2479.69022868301,2773.28731173818,2785.39395693837,3007.11459524883,3533,4148.00245047527,4950.17855339,5488.45774780583,5475.94589392224,5497.6181033348,5546.64657203168,5838.15537582502
Anguilla,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,775.668710588828,780.794194374853,785.953546465326,791.146990656106,796.374752221855,801.637057925812,806.934136029629,812.266216303268,817.633530034974,823.036310041304,828.474790677224,833.94920784628,839.459799010824,845.006803202322,850.590461031715,856.21101469986,861.868708008037,867.563786368519,873.296496815224,879.067088014424,884.875810275537,890.722915561981,896.608657502104,902.533291400187,908.497074247516,914.500264733532,920.543123257049,926.625911937553,932.748894626569,938.912336919107,945.116506165182,951.361671481412,957.648103762691,963.976075693939,970.34586176193,976.7577382672,983.211983336029,989.708876932509,996.248700870684,1002.83173882678,1009.4582763515,1016.12860088242,1022.84300175645,1029.60177022241,1036.40519945359,1043.25358456058,1050.14722260396,1057.08641260727,1064.07145556992,1071.10265448028,1078.18031432883,1085.30474212134,1092.47624689226,1099.69513971806,1106.96173373075,1114.27634413147,1121.63928820415,1129.05088532929,1136.51145699778,1144.02132682488,1151.58082056423,1159.19026612201,1166.84999357114,1174.56033516559,1182.32162535484,1190.13420079832,1197.99840038007,1205.91456522339,1213.8830387057,1221.90416647337,1229.97829645676,1238.10577888526,1246.28696630256,1254.52221358186,1262.81187794133,1271.15631895955,1279.55589859115,1288.01098118248,1296.52193348744,1305.08912468338,1313.71292638708,1322.39371267092,1331.1318600791,1339.92774764393,1348.78175690232,1357.69427191229,1366.66567926967,1375.69636812483,1384.7867301996,1393.9371598042,1403.14805385444,1412.41981188882,1421.75283608597,1431.14753128203,1466.22275842827,1502.15762550154,1538.97320095569,1576.69106959998,1615.33334525421,1654.92268371391,1695.48229603336,1737.0359621341,1779.60804474704,1823.22350369618,1867.90791053243,1913.68746352617,1960.58900302711,2008.6400272007,2057.86870815017,2108.30390843371,2159.97519798649,2212.91287145735,2267.1479659704,2322.71227932202,2379.6383886237,2437.95966940188,2497.71031516587,2558.92535745538,2621.64068637931,2685.893071658,2751.72018418115,2819.16061809406,2888.25391342526,2959.04057926862,3031.56211753367,3105.86104727796,3181.98092963583,3259.96639335808,3339.86316097764,3421.71807561647,3505.57912844946,3591.49548684149,3679.51752317398,3769.69684437806,3862.08632219142,3956.74012415684,4053.71374538031,4153.06404106764,4254.84925985836,4359.12907797666,4465.96463421932,4575.41856580106,4687.55504507853,4802.43981717422,4920.14023852256,5040.72531636073,5164.26574918724,5290.83396821217,5420.50417982331,5553.35240909296,5689.45654435114,5475.31785836185,6031.55382095293,6214.20607418148,6148.6847016514,6318.47807782358,6393.50692529047,6391.27642386282,6858.38516527715,7507.02869242941,7866.61868295851,8151.64195083901,8050.17897429598,8015.96617909399,8263.6471196852,8975.70578844904,9911.09364904067,10604.3480759344,11605.7441832381,12220.7691108264,12335.0144596966,11709.2870866924,12197.8264962601,12770.8347596477,13477.4158857628,12888.0937698926,12957.8065430059,14096.1282675908,15298.7688253213,15611.946137912,15551.7256419812,15678.6720726032,15179.2600488362,15300.1115358929,18278.821179266,19478.9009652012,22716.0548035714,25037.5469899257,24145.3738227523,19309.7469019966,18220.4782484423,18600.5836746356,
Antigua and Barbuda,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,538.376199022954,541.933695208122,545.514698708678,549.119364856868,552.747850011348,556.400311563964,560.076907946582,563.777798637954,567.503144170645,571.253106137986,575.027847201093,578.827531095915,582.652322640343,586.502387741352,590.377893402205,594.279007729691,598.20589994142,602.158740373164,606.137700486243,610.142952874962,614.174671274102,618.233030566451,622.318206790394,626.430377147544,630.569720010434,634.736414930252,638.930642644626,643.15258508547,647.402425386871,651.680347893033,655.986538166276,660.321182995084,664.684470402205,669.07658965281,673.497731262701,677.948087006574,682.42784992634,686.937214339498,691.476375847562,696.045531344547,700.64487902551,705.274618395144,709.934950276438,714.626076819382,719.348201509739,724.101529177868,728.886266007616,733.702619545252,738.550798708479,743.431013795488,748.343476494085,753.288399890874,758.265998480497,763.276488174938,768.320086312892,773.397011669189,778.507484464284,783.651726373812,788.829960538202,794.042411572356,799.289305575391,804.570870140449,809.887334364566,815.238928858614,820.6258857573,826.048438729237,831.506822987078,837.001275297723,842.532033992584,848.099338977926,853.703431745276,859.34455538189,865.022954581304,870.738875653949,876.49256653783,882.284276809281,888.114257693798,893.982762076928,899.890044515243,905.836361247378,911.821970205152,917.84713102475,923.912105057989,930.017155383652,936.162546818902,942.348545930767,948.575421047705,954.843442271239,961.152881487677,967.504012379907,973.897110439261,980.332452977474,986.810319138707,993.33098991166,1017.67600629955,1042.61768163491,1068.17063911182,1094.34986031638,1121.17069401036,1148.64886513007,1176.80048400588,1205.64205580759,1235.19049022136,1265.46311136377,1296.47766793888,1328.25234364422,1360.80576783181,1394.15702643047,1428.3256731358,1463.33174087444,1499.19575354929,1535.93873807256,1573.5822366938,1612.14831962998,1651.65959800517,1692.13923710737,1733.61096997019,1776.09911128743,1819.62857166866,1864.22487224425,1909.91415962825,1956.72322124804,2004.67950104969,2053.81111558823,2104.14687051225,2155.71627745254,2208.5495713246,2262.67772805527,2318.13248274376,2374.9463482678,2433.1526343458,2492.78546706621,2553.87980889543,2616.47147917625,2680.59717512848,2746.29449336441,2813.60195193155,2882.55901289556,2953.20610547671,3025.58464975332,3099.73708094622,3175.70687429829,3253.53857056381,3333.27780212253,3414.9713197337,3498.66701994587,3584.41397317838,3672.26245249118,3762.26396305967,3854.47127237196,3948.93844116619,4138.46959451169,4333.74453294495,4597.8300450111,4676.11480474893,4382.06644610643,3991.80498784544,4319.59397107148,4535.03599611547,5105.69039194974,5532.03143513707,5882.22466026011,5973.22056719064,6453.08807924106,7024.11140744931,7693.92384820628,8513.74369756916,9474.13768887535,10425.22689775,11211.4388645536,11573.5614366675,11751.6022621023,11677.3536134108,12036.981411064,12477.5486885785,11650.3560907605,12104.5205108189,12387.2807220904,12613.1599338411,12826.309853315,12738.744630553,12770.7392517543,12874.342594994,13346.2816401663,14114.0915016707,14579,16223.3891232461,17161.6862603199,17226.5807026447,15219.4999772147,13921.5162201654,13508.8026074498,13722.9861632911
