Physicians per 1000 people,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,1.25150001049042,,,,,,,,,,,,,,,1.697,,,,,,,,,,,
Gabon,0.117283947765827,,,,,,,,,,0.190500006079674,,,,,,,,,,,0.457199990749359,,0.433400005102158,,0.518100023269653,,,0.245700001716614,0.494199991226196,,,,0.2150599957,0.256990999,0.289,,,,,,,,,0.29,,,,,,,
Gambia,0.042613636702299,,,,,,,,,,0.040899999439716,,,,,0.040100000798702,,,,,,,,,,0.08110000193119,,,,,,,,0.0163000003,,,,0.035,,,,,,0.11,,,,,0.038,,,
Georgia,,,,,,,,,,,3.20000004768372,3.29999995231628,3.3199999332428,3.40000009536743,3.47510004043579,3.63000011444092,3.72000002861023,3.80999994277954,3.95000004768372,4,4.12319993972778,4.2121000289917,4.31869983673096,4.33300018310547,4.47130012512207,4.61100006103516,4.69869995117188,4.80800008773804,4.86840009689331,4.97060012817383,4.9256000519,4.897600174,4.7255001068,5.00330019,4.898900032,4.792,4.457,5.192,5.042,3.768,4.731,4.295,3.907,4.089,,,4.65,4.538,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.8,2.9,3,3.1,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.4,,,3.44,3.483,3.531,,,
Ghana,0.046501327306032,,,,,0.072806231677532,,,,,0.077500000596046,,,,,0.077500000596046,,,,,,,,,0.067199997603893,,,0.048700001090765,,0.043000001460314,,,,,,,0.062,,,,,,0.09,,0.15,,,,0.11,0.085,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,1.3,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.9,2,2,2.1,2.2,2.3,2.3,2.4,2.5,2.6,2.8,2.9,2.9,3.1,3.3,3.2,3.3,3.4,3.6,3.7,3.8,3.8,3.9,3.9,4,4.1,4.2,4.3,4.4,,,,5,5.35,,6.043,,,
Greenland,1.16923081874847,,,,,,,,,,0.905200004577637,,,,,,,,,,1.13549995422363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,0.222222223877907,,,,,,,,,,0.345899999141693,,,,,,,,,,,,,,0.490299999713898,,,,0.55349999666214,,0.5,,,0.5777999759,,0.65,,0.5,0.9756,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18690001964569,,,,,,,,,,,,,1.084,,,,,,,,,,,,
Guatemala,0.184203892946243,,,,,0.271134465932846,,,,,0.273699998855591,,,,,,,,,,,,,,0.469700008630753,,,,0.260300010442734,,0.7799999714,,,0.2500999868,,1.1,,0.933,,0.9,,,,,,,,,,,,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,0.036352042108774,,,,,0.02178899012506,,,,,0.019700000062585,,,,,,,,,,,0.021999999880791,0.021500000730157,,,0.025699999183416,,,,,0.1342999935,,,,0.1521999985,0.13,,,,,0.094,,,,0.11,0.1,,,,,,
Guinea-Bissau,0.04488330334425,,,,,,,,,,0.051500000059605,,,,,,,,,,0.141499996185303,,,,,0.144400000572205,,,,,,,,,0.1765999943,,0.166,,,,,,,,0.12,,,,0.045,,,
Guyana,0.254833042621613,,,,,,,,,,0.235499992966652,,,,,0.249300003051758,,,,,,,,,0.165000006556511,0.168400004506111,,,,,0.1700000018,,,0.1118000001,,0.33,,0.181,,,0.48,,,,,,,,,,,
Haiti,0.105152472853661,,,,,0.069756217300892,,,,,0.079899996519089,,,,,0.080700002610683,,,,,,0.110100001096725,,,0.140799999237061,0.136999994516373,,,0.142700001597404,,0.0799999982,,0.0839999989,0.0921000019,,0.16,,,0.25,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,0.081309400498867,,,,,0.190200448036194,,,,,0.268500000238419,,,,,0.268999993801117,,,,0.330700010061264,,0.332399994134903,,,0.690599977970123,,,,0.829100012779236,,0.6999999881,0.4106999934,,,,0.65,,0.832,,,0.57,,,,,,,,,,,
"Hong Kong, China",0.326697140932083,,,,,0.3962621986866,,,,,0.662599980831146,,,,,0.67220002412796,,,,,0.825999975204468,,,,,,0.931800007820129,,,,,,,1.203799963,1.2707999945,1.319,,,,,,,,,,,,,,,,
Hungary,1.5,1.6,1.7,1.7,1.8,1.9,1.9,2,1.9,2,2,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.5,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.7,2.7,2.7,2.8,2.9,2.9,2.9,2.9,3,3,3,3.1,3.1,,,3.2,3.2,,,3.04,2.783,3.097,,,
Iceland,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.6,1.7,1.8,1.9,1.9,2,2,2.1,2.2,2.3,2.3,2.4,2.6,2.6,2.7,2.7,2.8,2.8,2.8,3,3,3,3,3.1,3.3,3.3,3.4,3.4,3.5,3.6,3.6,3.616,,3.77,,3.934,,,
India,0.210477665066719,,,,,0.204917058348656,,,,,0.204500004649162,,,,,0.204099997878075,,,,,0.371199995279312,0.270000010728836,,,0.396499991416931,,,,0.406599998474121,,,,0.4799999893,0.4066999853,,,,,0.513,,,,,,0.6,0.599,,,,,,
Indonesia,0.02061789855361,,,,,0.0315454415977,,,,,0.037300001829863,,,,,0.037099998444319,,,,0.085400000214577,,0.080300003290176,,0.106299996376038,,,,,,0.142299994826317,0.1441999972,0.1476999968,0.1501999944,0.1615999937,0.1599999964,,,,,,0.162,,,0.13,,,0.13,0.288,,,,
Iran,0.244223803281784,,,,,0.256923884153366,,,,,0.30579999089241,,,,,,,,,,,0.338299989700317,,,,,0.346500009298325,0.375999987125397,0.31810000538826,,,,,0.3183000088,,,0.85,,1.049,,,,,,0.45,0.89,,,,,,
Iraq,0.195414051413536,,,,,0.199974924325943,,,,,0.308899998664856,,,,,,,,,,0.563000023365021,0.568000018596649,,,,,0.596099972724914,0.576399981975555,,,0.6029000282,,,0.6028000116,,,,,0.55,,,0.543,,,0.658,0.66,,0.528,,0.69,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2.1,2.1,2.1,2.2,2.3,2.2,2.4,2.4,2.6,2.786,,2.94,3.08,3.187,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,2.47161769866943,,,,,2.5001950263977,,,,,2.88120007514954,2.97440004348755,3.15590000152588,3.30419993400574,,,,,,2.6939001083374,3.09409999847412,3.16659998893738,3.21350002288818,3.32299995422363,3.35339999198914,3.21460008621216,3.20040011405945,3.20740008354187,3.21029996871948,3.19549989700317,3.2070000172,3.3029000759,3.6565001011,3.6960000992,3.7309000492,3.736,3.766,3.793,3.775,3.915,3.766,3.91,,3.82,,,3.67,3.633,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.7,3.9,4.1,4,4.1,4.2,4.2,4.4,4.4,4.1,4.203,,3.7,,4.242,,,
Jamaica,0.386126458644867,,,,,0.501704573631287,,,,,0.379900008440018,,,,,,,,,0.360700011253357,,0.358900010585785,,,0.489100009202957,,,,,,0.5699999928,,,0.4720000029,,0.57,1.401,1.401,,,,,,0.85,,,,,,,,
Japan,1,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,,1.4,1.5,1.5,,1.6,,1.7,,1.7,,1.8,,1.8,,1.9,,1.9,,2,,2.12,,2.063,,,,,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
