Ratio of young literate females to males (% ages 15-24),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.76247731381,,,101.225937445746,,,,,,,,100.879681145179,100.87968457743,100.677966546428,100.96029175221,100.902345104743,101.019682595921,,
Comoros,,,,,,,,,,,,,,,,,,,,,79.1534527411796,,,,,,,,,,,,,,,,,,,,92.3840276923524,,,,,,,,,98.7323784438954,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.900852130126,,,,,,,,84.7455725916479,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8973633008857,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,100.809889438672,,,,,,,,,,,,,,,,100.865161583749,,,,,,,,,100.871359955805,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1478764948281,,,,,,,,,,73.2477986221468,,73.5949419050318,,,,,,,,,84.5523781076562,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9380138662476,,,,,,,,,,100.008981072169,97.4304971050054,97.4304971050054,97.4304971050054,,,,,100.03683610203,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9962836889371,,,,,,,99.9974196575886,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.084643827772,,,,,,,,,100.079142870939,,,,,,,,100.060490875442,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,103.299665690245,,,,,,,,,,,,,,,,,,,,,102.600477948877,,,,,102.434311026206,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,97.5930598988814,,,,,,,,99.2311535033554,,,,,,,,,,,100.118343563227,,,,,,100.431246606068,,100.027377059745,,
Egypt,,,,,,,,,,,,,,,,,60.4730830670646,,,,,,,,,,75.6572523628685,,,,,,,,,,84.733255767117,,,,,,,,,87.6451674540223,93.05079942189,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.003105429221,,,,,,,,,,,,,,101.119182190376,100.719018736399,101.13023353049,100.649907076105,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.154260749263,,,,,,,,,100.52238200049,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5574516071344,,,,,,,93.6374093958032,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.07060032692,,,,,,,,,,,100.084487930027,,,,,,,,,100.09768798094,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4714037137141,,,,,,,,,,61.8971061093248,,,,59.5864919990139,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5706056151474,,,,,,,,,,,97.7505112474438,,,,,98.0400826603919,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3363689006532,,,,,,,,,84.5088877933438,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.074035607096,,,,,,,100.093571324253,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.2307391112503,,,,,,,,,97.2503409656067,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,99.8348094572831,,,,,,,,,,99.9908600964155,,,,,,,,,,100.097778371928,,,,,,,,99.8853870731669,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,100.574828636448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5401274259421,,,,,,,,90.7522363894737,,,,,,,94.9923531381198,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.4492075311505,,,,,,79.0955398083882,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,29.8243638333401,,,,,,,,,,,,,,,,,,,,,61.3674970322239,,,,,,,,,81.2516117203988,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,99.5935776782409,,,,,,,,,,,,,,,,,,,,,,115.425531914894,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.625715694751,,,,,,102.545188369085,,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,99.8958573809583,,,,,,,,,,,,,,100.20202020202,,,,,,,,,,100.609137055838,,,,,100.145726099369,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,60.8031301815743,,,,,,,,,,67.1328782537047,,,,,,,,,,80.4665406566217,,,,,84.1015585183396,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,91.1343828023861,,,,,,,,,,97.6047596975328,,,,,,,,,,,,,,99.6713608219569,,99.2217547244735,,99.8442104085984,,,
Iran,,,,,,,,,,,,,,,,,59.7005655498668,,,,,,,,,,77.6005101108619,,,,,87.8461192170059,,,,,84.311377245509,,,,,,,,,98.6011318767712,98.9568914646595,,99.7249009968332,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5303108470278,,,,,,,,,94.7322859584873,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,98.981838022335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,99.8895678050697,,,,,,,,,,,,,,,,,,,,100.015669830291,,,,,,,,100.011432021914,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.289759727419,,,,,,,,,,106.628884196196,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
