Male industry workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Singapore,33.2999992370606,35.5,36.0999984741211,35.7999992370606,37.2000007629394,36.2999992370606,35.5999984741211,35,36,36.7999992370606,40.2000007629394,36.7000007629394,36.4000015258789,36.2000007629394,35.5999984741211,34.7000007629394,33.2000007629394,32.5999984741211,32.4000015258789,31.6000003814697,42.2000007629394,29.2000007629394,28.2999992370606,28.2999992370606,27.2000007629395,,26,26.3999996185303
Slovak Republic,,,,,,,,,,,,,,,48.2000007629394,47.2000007629394,48.4000015258789,49,49.7000007629394,48.7999992370606,47.2000007629394,47.9000015258789,48.7000007629394,48.9000015258789,49.5,49.5999984741211,49.7999992370606,51.2000007629394
Slovenia,,,,,,,,,,,,,,51.7000007629394,49.7999992370606,51.4000015258789,50.2000007629394,49.4000015258789,47.4000015258789,46.0999984741211,45.0999984741211,46.2999992370606,46.7999992370606,45.9000015258789,45.4000015258789,47.2999992370606,44.9000015258789,43.5
South Africa,,,,,,,,,,,,,,,,,,,,,33.4000015258789,34.7999992370606,33.7000007629394,33.4000015258789,34.4000015258789,34.5,34.5,35.2999992370606
Spain,41.7999992370606,41.0999984741211,39.7999992370606,39.5,38.7999992370606,37.7000007629394,38.0999984741211,38.7000007629394,39.9000015258789,40.5,41.2999992370606,41.2999992370606,40.9000015258789,39.2000007629394,38.5,38.7000007629394,38.2999992370606,39.0999984741211,39.9000015258789,40.5999984741211,40.7999992370606,41.5999984741211,41.5999984741211,41.7999992370606,41.9000015258789,41.5,42.0999984741211,41.5999984741211
Sri Lanka,,18.8999996185303,,,,18.2999992370605,,,,,,,,19.1000003814697,16.7000007629395,21,21.5,,22.6000003814697,,,34.5999984741211,,,,24.1000003814697,11,26.3999996185303
Saint Helena,,,,,,,,,,,,,,,,,,,33.2999992370606,,,,,,,,,
Suriname,,,,,,,,,,,,,24.8999996185303,25.2999992370605,25.2999992370605,30.1000003814697,32.5999984741211,30.6000003814697,32.2999992370606,21.7999992370605,,,,,30.7999992370606,,,
Sweden,45.2999992370606,44.9000015258789,43.7999992370606,43.5,43.5999984741211,43.7999992370606,43.7999992370606,44.0999984741211,43.2999992370606,43.2000007629394,43.2000007629394,42.4000015258789,40.2000007629394,38.7999992370606,38,39.0999984741211,39.0999984741211,38.5999984741211,38.2000007629394,37.5,36.5999984741211,35.5999984741211,35.0999984741211,34.7000007629394,34.5999984741211,33.7000007629394,33.7000007629394,32.7999992370606
Switzerland,46.7000007629394,46.5999984741211,45.7000007629394,45.2999992370606,44.7000007629394,44.2999992370606,44,43.2000007629394,42.5,41.9000015258789,41.0999984741211,39.5999984741211,38.7000007629394,37.5,37.2999992370606,38.0999984741211,36.2999992370606,35.2000007629394,35.0999984741211,34.9000015258789,35.5,35.2999992370606,34.4000015258789,33.0999984741211,32.7999992370606,33.0999984741211,33.2000007629394,32.7000007629394
Syria,,,,32.2000007629394,35.9000015258789,,,,,30,,,,29.8999996185303,33.0999984741211,35.2999992370606,,35.5999984741211,,32,30.3999996185303,29.7999992370606,32.2000007629394,29.1000003814697,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,27.1000003814697,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,4,,,,,6.59999990463257,
Thailand,12.6000003814697,15.1000003814697,16,14.8000001907349,15.3999996185303,12.6000003814697,12.3999996185303,13.1000003814697,13.1999998092651,13.5,14.6999998092651,16.1000003814697,16.6000003814697,18.2999992370605,19.1000003814697,20.6000003814697,21.7999992370605,20.3999996185303,17.6000003814697,17.7999992370605,18.5,19.1000003814697,20.5,20.5,21.6000003814697,21.6000003814697,22,22
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,35.7000007629394,36.0999984741211,34.5999984741211,33.7999992370606,34.7000007629394,33
Tonga,,,,,11.8999996185303,,,,,,,,,,,,,,,,,,,13.5,,,,
Trinidad and Tobago,43.7000007629394,47.7000007629394,47.0999984741211,45.9000015258789,43.7000007629394,41.0999984741211,37.7000007629394,37.2000007629394,34.9000015258789,33.9000015258789,,35.5,33.7999992370606,33.2999992370606,32.0999984741211,32.5999984741211,32.9000015258789,34.0999984741211,36.7000007629394,36.2000007629394,36.7000007629394,38.0999984741211,37,38,40,41.0999984741211,,
Tunisia,29.2999992370606,,,,,,,,,31.1000003814697,,,,,,,,,,,,,,,,,,
Turkey,,,35.7000007629394,32.5999984741211,33.2000007629394,25.1000003814697,,,26.6000003814697,26.3999996185303,25.7000007629395,25.2999992370605,25.8999996185303,26.3999996185303,27.5,27.2000007629395,28,28.6000003814697,28.2999992370606,27.6000003814697,28,26.7000007629395,26.7000007629395,26.2999992370605,26.2000007629395,28.1000003814697,29.1000003814697,29.2999992370606
Uganda,,,,,,,,,,,,,,,,,,,,,,,,10.3000001907349,,,,
United Arab Emirates,,,,,,,,,,,,,,,,36.2000007629394,,,,,36.2000007629394,,,,,44.7999992370606,,
United Kingdom,46.9000015258789,45.0999984741211,43.9000015258789,42.7000007629394,41.4000015258789,40.7999992370606,40,39.5,43.7999992370606,43.9000015258789,43.5999984741211,42.2999992370606,41.4000015258789,40.9000015258789,38.9000015258789,38.4000015258789,38.5999984741211,38.2000007629394,37.9000015258789,37.0999984741211,36.5,36,35.2000007629394,34.7000007629394,33.4000015258789,33.2999992370606,33,33.2000007629394
United States,39.7999992370606,39.2999992370606,37.4000015258789,37.0999984741211,37.7000007629394,37.5999984741211,37.4000015258789,36.7000007629394,36.5,36.2999992370606,36,34.7000007629394,33.7999992370606,33.4000015258789,33.5,33.7000007629394,33.4000015258789,33.5999984741211,33.2999992370606,32.7000007629394,32.5999984741211,32.0999984741211,31.5,30.3999996185303,30.2999992370606,30.2000007629394,30.6000003814697,30.2999992370606
Uruguay,,,,,35.7000007629394,,36.7999992370606,40.9000015258789,40.4000015258789,41.0999984741211,40.4000015258789,39.2999992370606,35.7999992370606,36,34.9000015258789,33.7000007629394,,,32.5999984741211,33.5999984741211,33,31.5,30,28.5,28.2000007629394,29.1000003814697,27.5,28.5
Venezuela,31.2999992370606,31.3999996185303,31.8999996185303,29.5,28.2999992370606,28.2000007629394,29.7000007629394,31.2000007629394,31.2999992370606,29.7999992370606,29.6000003814697,30.7999992370606,31.7000007629394,31.2999992370606,,,,,,,,,,25,,,29.3999996185303,30.3999996185303
Vietnam,,,,,,,,,,,,,,,,,12.5,15,14,14.1000003814697,14.6999998092651,16.5,17.6000003814697,19.7000007629395,20.7999992370605,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,30.5,38.2999992370606,41.2000007629394,42.2000007629394,38.5999984741211,32,27.1000003814697,29.6000003814697,28.2999992370606,29.7999992370606,27.2000007629395,27.2000007629395
"Yemen, Rep.",,,,,,,,,,,,14,,,12.8999996185303,,,,8.60000038146973,13.8000001907349,,,,,,,,
Zambia,,,,,,,,,,,14.8999996185303,,,,,,,,10,,8.80000019073486,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,18.7000007629395,,,,,,,,
