Total 0-4 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,17.5849797521168,16.9487674656367,17.2872893696692,17.6309837919337,17.9744910887744,18.1811360396188,18.3552018355202,18.6528918896933,18.8965736545035,19.1495244414952,19.1264546915324,18.5839624566415,17.7428218161835,17.439042195941,17.0144502829426,16.3179078921034,15.3329779462576,14.2115704821625,13.1471225620034,12.2176726984546,11.4043036639301
Albania,14.2504118616145,15.8695652173913,17.3805090006207,16.9074371321562,15.0608044901777,13.9941690962099,12.8694350916573,12.2041920216362,11.8237082066869,10.5649537184807,9.45241199478488,7.1405596654873,7.03692016408962,7.27216937710954,7.27762803234501,6.71180453341183,5.91161837869476,5.39906103286385,5.3518628030751,5.43283582089552,5.35876475930972
Algeria,15.8784555631711,16.7490220300597,18.1498286878415,19.5085129581481,19.4501018329939,18.7601448370583,17.8575225943647,17.3824501063493,15.1768056324658,12.8670487511498,9.89706268030422,9.60672105199075,9.70100793359496,9.47255113024758,8.79377814968866,7.79599356358294,6.88845663693071,6.37768889849746,6.21820475089342,6.2337075884152,6.107762704348
Angola,16.9561022672455,18.3844625910395,18.8660411259732,19.197239375227,19.1846128554989,19.0252495596007,19.4805194805195,19.706386626661,19.8255650379818,19.7016830182659,18.6650791427371,18.4438560596943,17.0756107834878,16.6297833102812,15.8294225668231,14.814679835271,13.7070524412297,12.6965114538105,11.8526663001649,11.1198637969151,10.4197227085601
Argentina,11.3521077488193,11.2721332209106,10.9553277895958,10.5065330230893,10.2316280619897,10.6412425034599,11.7105917454003,10.6689162366018,10.2843426883309,9.92752789600828,9.28557892742088,8.57452686478531,8.36325185658781,8.02406750182152,7.5839653304442,7.11374583178955,6.67682475186761,6.29106235279534,6.15552722637042,6.00708119505112,5.83408582309293
Armenia,11.094674556213,15.0351887396033,16.9700214132762,15.6916099773243,11.5965051628276,10.6473293243721,10.6843124596514,11.3241461953265,10.9762979683973,8.96958410924891,6.40233994150146,6.82783404116302,7.34390164995147,7.4203821656051,6.80100755667506,6.00062833804587,5.55205047318612,5.49380755795491,5.57871112536069,5.5537512179279,5.33642691415313
Aruba,18.9189189189189,18.6046511627907,16,15.3846153846154,12.0689655172414,10.1694915254237,8.33333333333333,10.7692307692308,9.52380952380952,8.75,7.86516853932584,6.06060606060606,5.55555555555556,5.45454545454545,5.35714285714286,6.19469026548672,5.30973451327434,5.35714285714286,5.45454545454545,5.45454545454545,5.66037735849057
Australia,10.7677333008882,10.7065217391304,10.6256689695436,10.2751019699731,9.49163196354208,9.20434527304756,7.70225216030482,7.56914119359534,7.37186988064592,7.17006126842192,6.6510172143975,6.3011817780611,6.30375156896472,6.1665044678404,6.03590285110876,5.90616524308788,5.74179465190614,5.60416352391009,5.5447720197766,5.53613469358636,5.52113068300494
Austria,7.43944636678201,6.98645923365024,8.03863087629598,8.80209049649292,8.168184252812,6.61124307205067,5.71163530347204,5.95238095238095,5.70832790303662,5.78449905482042,5.15863102672995,4.83479105928086,4.60290961125686,4.53579021970234,4.59070148729359,4.6046511627907,4.55071792496526,4.44495890728094,4.43515615929409,4.52689301131723,4.69759248385203
Azerbaijan,10.3626943005181,14.5864661654135,18.5831622176591,18.2772190642763,14.5591647331787,12.2868693970821,11.4573190522558,12.1157594841805,13.0633753986964,11.5508158807658,8.60943465944082,7.91528632276384,8.79982086878638,8.73116910672608,7.84951703101169,6.73314246223714,6.02479659046881,5.8947167287666,5.97862075489547,5.87958164515217,5.57814124988182
Bahamas,15.1898734177215,15.9090909090909,17.5925925925926,18.3098591549296,15.7894736842105,14.2857142857143,12.3809523809524,12.4463519313305,11.0671936758893,11.0320284697509,10.1973684210526,8.64197530864198,8.11594202898551,7.62942779291553,7.29166666666667,6.96517412935323,6.49038461538462,6.26450116009281,5.90909090909091,5.79064587973274,5.70175438596491
Bahrain,17.3913043478261,17.7777777777778,17.8343949044586,20.9424083769634,17.5115207373272,14.9090909090909,12.6801152737752,11.864406779661,11.7886178861789,11.5916955017301,9.50920245398773,9.34065934065934,8.65265760197775,7.94551645856981,7.15036803364879,6.66013712047013,6.45161290322581,6.20629370629371,5.92654424040067,5.6406124093473,5.4858934169279
Bangladesh,15.4650762702145,17.2205936996821,17.3925893088034,17.6557473905337,17.8467142733239,18.0700333974294,18.0021018861663,17.115087726112,15.3746367787464,13.7493559015037,12.5796529016034,11.3933805281994,9.90250755672868,9.23592324989442,8.66994702208042,8.05078661825939,7.39807592943434,6.80271136706823,6.41224493586826,6.19657633123699,5.98440414391335
Barbados,12.3222748815166,13.716814159292,13.7931034482759,13.9830508474576,10.9243697478992,8.94308943089431,8.46774193548387,8.23529411764706,7.72200772200772,6.94980694980695,5.92885375494071,5.55555555555556,5.46875,5.42635658914729,5.3639846743295,4.9618320610687,4.61538461538462,4.7244094488189,4.76190476190476,4.89795918367347,4.6218487394958
Belarus,8.50981404958678,10.4062540048699,11.8480517894223,10.607644940165,8.27342108173875,7.97565663036515,7.71301376954136,8.13,7.86549707602339,5.9511054835882,4.70412729985082,4.65424177614828,4.99374478732277,4.93800769559641,4.67515364354697,4.33898305084746,4.04063996262992,3.99564111877951,4.15564790328674,4.30841980822278,4.32930181418362
