Male 10-14 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,11.7006158218854,11.9438965592812,12.3521155003008,11.8256130790191,11.9303385416667,12.0988725065048,12.2702777393948,12.3745294855709,12.3965675758504,12.542662116041,12.6773799454938,12.9116117850953,13.0852898262369,12.8941282644255,12.4408219044365,12.4140598143692,12.3821879650475,12.200801287539,11.7911791179118,11.2208691702858,10.6307249411149
Albania,12.1510673234811,11.2230215827338,10.5067985166873,11.29883843717,12.8703703703704,12.9218106995885,11.1756168359942,10.8055009823183,10.3141671606402,10.0824350031706,10.8781127129751,10.5775470473718,9.39897698209719,7.04488778054863,6.95121951219512,7.26290516206482,7.42959856201318,7.03125,6.25,5.75980392156863,5.71428571428572
Algeria,11.1783154121864,11.1020905216156,11.5915363385465,12.1890131908499,13.4930080333234,13.5552461713707,13.1475791927111,12.8306640273529,13.0448441058666,13.4731378875018,12.5259875259875,11.0528219971056,8.53419831105643,8.31686258192032,8.49631761205677,8.46971798428109,8.06122448979592,7.31225296442688,6.57487235289194,6.16171954964176,6.0818430803931
Angola,11.4173228346457,11.2910481331534,11.0704110704111,11.8932938125232,12.1983914209115,12.5224148236701,12.496765847348,12.3666448944045,12.6237623762376,12.7549368727744,13.029269678886,13.134765625,12.7282434596903,12.9255518144407,12.2350993377483,12.2448979591837,12.0154780172126,11.5831054390763,11.0112735796406,10.4453733808123,9.96827838123618
Argentina,9.07340280924332,9.03732809430255,9.4209822281674,9.56537228357677,9.50275321208076,9.17956656346749,8.91302783972376,9.36030103480715,10.4469203805709,9.57652433667194,9.35017652250662,9.16030534351145,8.67341822921889,8.0726297130264,7.94388224471021,7.7087128448927,7.37287403954071,7.00303746203172,6.63991395002482,6.31081796343797,6.22962694675842
Armenia,14.6417445482866,7.10455764075067,8.5650723025584,11.8691588785047,14.1463414634146,13.5605511240029,10.4042412193506,9.50337216431637,9.36046511627907,10.3403141361257,11.4107883817427,9.72027972027972,7.14781401804303,7.51366120218579,8.08080808080808,8.23844608171467,7.65614506380121,6.7476383265857,6.2415196743555,6.1770761839396,6.27615062761506
Aruba,12.5,10.5263157894737,13.0434782608696,14.8148148148148,14.8148148148148,13.3333333333333,9.67741935483871,6.66666666666667,6.25,7.5,6.81818181818182,8.16326530612245,8,5.76923076923077,5.66037735849057,5.88235294117647,5.66037735849057,5.88235294117647,5.66037735849057,5.66037735849057,6
Australia,7.21525096525096,8.09360240446544,9.65941889551664,9.5246296934206,9.65377417342483,9.4896914753619,8.85799945489234,8.73811033608117,7.46566498415307,7.36795383932534,7.19242902208202,7.09632846427162,6.60121552127162,6.25277950724896,6.27387723915443,6.17575264442636,6.08981895132847,6.01714849381592,5.89666101569986,5.79200459341133,5.74809213750613
Austria,7.92171481826654,8.7360594795539,7.87065283709579,7.26256983240223,8.3309638896787,9.24322814856186,8.80044843049327,7.13688318929468,6.15468409586057,6.45414162529396,6.24838626387813,6.27343164208948,5.49987778049377,5.18822393822394,4.91646778042959,4.84519026234933,4.91649023759116,4.9623706491063,4.93157149598867,4.86358244365362,4.86757337151038
Azerbaijan,14.4534115920763,7.23350253807106,7.89049919484702,10.9954751131222,14.4448865897334,15.2072072072072,12.6084056037358,10.6736388803445,10.2862000566733,10.9358569926393,12.1809451604751,11.0031576390576,8.18847209515096,7.68732455193263,8.63101383440016,8.73572430374674,7.99607072691552,6.93529639674545,6.23321825853472,6.11036853160206,6.25717566016074
Bahamas,13.8888888888889,12.1951219512195,11.5384615384615,11.5942028985507,11.9047619047619,13.0434782608696,13.4615384615385,12.0689655172414,10.4838709677419,10.7913669064748,9.27152317880795,10,8.98203592814371,7.90960451977401,7.56756756756757,7.17948717948718,6.93069306930693,6.73076923076923,6.54205607476636,6.48148148148148,5.96330275229358
Bahrain,11.2903225806452,11.2676056338028,10.8433734939759,12.6315789473684,12.6050420168067,12.9251700680272,8.95522388059701,8.23045267489712,8.01393728222997,8.05970149253731,7.73333333333333,8.13397129186603,7.54310344827586,7.17131474103586,6.49350649350649,6.05536332179931,5.74712643678161,5.49450549450549,5.41353383458647,5.29411764705882,5.18731988472622
Bangladesh,11.1348487438045,10.3068815871048,10.5955872084904,11.9792642558241,12.0765587347312,12.2430043463398,12.3401603232254,12.6453350530129,13.0672276035217,12.9785304830257,12.0867406337228,11.1561394904623,10.5577809052963,9.8154172879671,8.67661819036026,8.22365075167321,7.86788137084319,7.45272735889294,6.97558129844154,6.5170298363461,6.24251429600612
Barbados,11.340206185567,9.80392156862745,12.5,12.962962962963,13.5135135135135,13.7931034482759,11.0169491525424,10.7438016528926,8.73015873015873,8.13008130081301,8.13008130081301,7.43801652892562,6.34920634920635,5.46875,5.51181102362205,5.46875,5.51181102362205,5.69105691056911,4.8780487804878,4.95867768595041,5.12820512820513
Belarus,11.5328467153285,7.66580534022394,8.30627705627706,10.1172273190622,11.7831325301205,10.6771435174486,8.29616413916146,8.000858000858,7.86189683860233,8.58564910825384,8.73167622689611,6.83854052873061,5.43331836551414,5.39294768379811,5.80293699668404,5.77907827359181,5.50366069174451,5.16247379454927,4.85145816298719,4.79568671963678,5.03256364712848
Belgium,6.74976481655692,6.31313131313131,7.88418708240534,7.86807501616728,8.29268292682927,8.55469567036185,7.75,7.09501883633319,6.43298969072165,6.26520681265207,6.21616202125526,6.25981161695447,5.8587786259542,5.68907247465265,5.87583148558758,5.79868708971554,5.81752484191509,5.74712643678161,5.65295169946333,5.59228157941754,5.62198822059611
Belize,12.1212121212121,10.2564102564103,10.8695652173913,12.7272727272727,15,13.6363636363636,13.8888888888889,13.5802469135802,11.8279569892473,12.7272727272727,12.6984126984127,12.6760563380282,11.3924050632911,10.3448275862069,9.62566844919786,9.31372549019608,8.7962962962963,7.89473684210526,7.14285714285714,6.93877551020408,6.37450199203187
Benin,9.84293193717278,10.9437751004016,10.3641456582633,11.2807463952502,11.7691723614275,12.3241795043536,12.6596980255517,12.636815920398,12.7921801954951,12.5307125307125,12.6429861529199,12.5631951466127,12.3199311975919,12.2050900984581,12.2992049326627,12.0981630309989,11.5631416837782,10.9566828816308,10.3779560810811,9.88829528897523,9.4310702371292
Bhutan,11.4942528735632,11.8811881188119,11.5044247787611,10.8527131782946,11.2582781456954,10.9289617486339,10.4545454545455,11.4285714285714,11.7857142857143,12.4513618677043,13.3333333333333,11.4369501466276,9.62566844919786,8.80195599022005,8.13953488372093,8.01781737193764,7.93991416309013,7.2463768115942,6.47773279352227,6.12648221343874,6.22568093385214
Bolivia,11.6777531411678,11.4534494306765,11.9277108433735,12,12.1693121693122,12.0733788395904,12.2302158273381,12.5933469110659,12.0799273387829,11.9182136131289,12.0347994200097,12.2377622377622,11.5707434052758,11.1706056129985,10.4629151609017,9.82677675246884,9.19840294840295,8.59283196239718,8.03343723434401,7.50068813652629,7.0121130551817
Bosnia and Herzegovina,13.4630350194553,9.37062937062937,11.605415860735,12.2155688622754,12.3068116771608,11.4068441064639,10.1351351351351,8.7960687960688,8.39981229469732,8.47772277227723,8.26306913996627,6.43210555250138,6.2465450525152,5.18394648829431,4.92359932088285,4.90478938257357,4.84347312463083,4.63414634146341,4.42198357548958,4.28759894459103,4.26116838487972
Botswana,13.1313131313131,12,11.5079365079365,14.1342756183746,14.1566265060241,13.4177215189873,13.0977130977131,13.2042253521127,13.5542168674699,13.5947712418301,12.7634660421546,11.8995633187773,10.9311740890688,9.89632422243167,10.0444444444444,9.84848484848485,9.50080515297906,8.92164468580295,8.40840840840841,8.08448652585579,7.86676116229624
