"GNI per capita, Atlas method (current US$)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,560,430,250,210,190,220,250,280,310,350,380,370,300,280,280,300,320,330,390,450,510,610,740,880,980,1110,1260
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880,2790,2550,1860,1830,1970,2070,2290,2520,2650,2840,3210,3560,3840,4440,5460,6810,8120,10100,12020,12390,11850,13330,14180
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,1780,1830,2230,2840,3610,4210,4520,4970,5330,5470,5300,5000,4470,5700,5800,5730,6230,7010,7760,8360,8930,9190
Lesotho,,,,,,80,80,80,80,90,90,100,150,220,230,280,320,340,410,450,530,620,550,490,400,390,420,500,520,550,570,640,640,660,660,680,680,610,600,580,640,580,640,750,910,980,1020,1070,1090,1170,1250,1380
Liberia,,160,160,190,200,210,220,230,240,250,260,280,290,340,370,410,430,470,520,520,500,440,360,360,360,350,360,390,280,,,,,,,,120,130,120,180,140,150,80,90,120,140,160,190,240,270,330,370
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4810,4890,5120,6660,8710,10900,13260,12930,13334.3689978227,5123.40911923345,10287.4023465295
Liechtenstein,,,,,,,,,,,,5120,6500,8210,10150,11190,12370,14760,18520,22620,22630,20340,18790,19030,19750,22890,31210,41550,43690,45550,47660,54420,56780,62100,70190,78740,80330,77840,78870,79080,68390,65170,68510,78700,92660,104120,111790,119130,136770,147764.902023627,149489.527101128,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2320,2020,1900,2100,2300,2590,2860,2980,3200,3420,3760,4600,5870,7380,8520,10080,12000,11700,11620,12940,13850
Luxembourg,,1630,1680,1870,1920,2020,2070,2240,2560,2880,3160,3820,4900,6460,7440,7980,8510,9990,12130,14510,14520,13990,12640,12240,12310,14630,18830,24390,26900,29530,33150,36750,37750,38960,43130,46000,47970,43810,43450,43650,42890,39900,42110,58610,69180,67070,79660,83770,68770,71860,77380,76960
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,4540,4420,5010,6150,7120,7690,8530,9550,11960,13700,15490,16870,17070,16990,15470,14500,14640,13870,15500,17600,22110,24080,26610,34820,34370,36660,46400,55720,59827.2389122026
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660,1390,1340,1710,2090,2110,1910,1800,1800,1680,1680,1940,2420,2830,3130,3390,4130,4450,4580,4710,4690
Madagascar,,130,130,140,140,150,160,170,170,180,180,190,210,260,310,300,310,310,390,460,430,390,360,320,300,300,280,260,230,240,220,230,240,240,230,240,250,250,240,250,260,230,280,290,290,280,330,400,410,420,420,430
Malawi,,50,50,50,60,60,70,60,60,60,80,80,100,120,130,130,130,150,170,190,190,180,170,170,160,150,150,160,160,180,210,200,220,160,160,170,200,200,180,150,140,160,190,220,220,220,250,290,320,340,360,320
Malaysia,,300,300,310,330,350,360,370,430,420,420,470,600,790,900,970,1030,1180,1490,1820,1960,1890,1820,1970,1930,1880,1960,2130,2240,2370,2530,2850,3200,3560,4010,4450,4570,3600,3340,3420,3510,3760,4130,4700,5240,5810,6600,7500,7590,8130,8800,9800
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160,3630,3360,4020,4040,4870,5050,5490,5800,5750
Mali,,,,,,,,,60,70,70,80,90,100,130,150,170,180,230,260,250,210,190,180,160,200,240,270,,290,290,340,330,270,260,260,280,270,260,250,240,250,310,380,440,470,500,580,620,660,670,660
Malta,,,,,,,,,,,,1090,1260,1560,1990,2120,2320,2660,3300,4280,4670,4550,3940,3830,3690,4000,4930,6260,6910,7600,8080,8870,8720,8760,9290,9910,10270,9940,10380,10510,10160,10310,11300,12940,14380,15270,16550,18740,18220,18620,19780,19760
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3040,2640,2520,2530,2620,2850,2970,2970,3090,3320,3560,3620,3760,3770,3720,3750,4080,4140
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,190,180,190,190,190,230,320,340,350,370,380,430,480,480,440,420,400,380,400,440,490,510,490,540,610,640,580,600,650,580,560,560,510,470,500,510,590,690,830,930,1060,1000,980,980,1110
Mauritius,,,,,,,,,,,,,,,,,,1020,1230,1250,1280,1190,1070,1030,1070,1260,1630,2070,2240,2440,2620,2990,3120,3230,3470,3780,3900,3780,3640,3870,3890,3880,4220,4990,5360,5540,6050,6830,7260,7950,8230,8570
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,360,380,430,460,500,540,600,620,670,710,800,960,1170,1410,1480,1420,1530,1820,2420,3050,2730,2190,2030,2110,1930,1900,1990,2290,2740,3180,3670,4060,4400,3640,3490,3530,3810,4220,4820,5250,5620,6140,6910,7520,8230,8870,9370,8420,8590,8970,9740
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120,2130,2210,2150,2110,2010,2060,2210,2250,2270,2380,2440,2590,2610,2620,2600,2810,2890,3080,3310
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,640,460,470,480,500,460,400,370,400,460,570,730,890,1030,1160,1500,1570,1820,1980,2070
Monaco,,,,,,,,,,,,15850,20160,24700,28350,29870,32490,36450,44230,52790,52490,47400,40860,38120,37590,43370,55330,71190,75270,79560,82520,91310,89570,92240,97020,101110,99660,95040,92450,90840,86410,84030,94120,113020,128380,137530,161470,186950,165116.752045012,168502.187334439,171266.152318833,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,1440,1320,1230,1350,1520,1690,1590,1430,1200,810,510,430,460,550,580,520,480,470,480,530,610,760,900,1120,1400,1800,1790,1900,2340,3160
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2430,3090,3650,4300,4200,5610,7030,6670,6810,6940
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,180,190,200,200,200,210,230,240,250,270,290,350,450,540,580,610,650,790,940,870,840,680,620,580,660,720,920,930,1000,1060,1070,1030,1130,1090,1270,1230,1290,1290,1320,1330,1310,1480,1760,1980,2150,2270,2570,2800,2870,2940,2940
Mozambique,,,,,,,,,,,,,,,,,,,,,,280,230,230,260,310,280,220,180,170,180,150,150,130,130,160,190,220,240,230,230,230,230,260,290,300,330,380,420,430,450,510
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,1770,1620,1440,1100,1130,1370,1430,1580,1720,1830,1920,1870,2030,2210,2180,2150,2020,1890,1950,1890,1890,2170,2760,3390,3880,4120,4250,4150,4430,5170,5670
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,60,50,50,60,70,80,80,80,80,80,80,90,100,120,120,120,120,130,140,160,160,150,160,170,180,190,210,220,220,220,210,200,200,210,220,230,220,220,230,240,240,260,290,320,350,380,440,490,540,610,700
Netherlands,,1220,1310,1460,1700,1840,2000,2230,2480,2740,3050,3540,4670,6030,7040,7680,8370,9650,11870,13920,13030,11430,10250,9930,9570,10830,13630,17200,18090,18820,19700,21780,22260,23490,25640,27340,27710,25810,26250,26580,25560,25290,28800,35430,39880,43390,46310,48820,48590,48580,49660,48250
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,1820,2150,2530,3340,3610,3980,4130,5360,6380,6330,6460,6860,6760,7810,7860,7220,6050,5510,5560,6300,8260,13590,14770,15010,15480,16350,16590,17000,18300,18290,17790,15750,14810,14020,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,6430,7520,8090,7700,7200,6870,6780,7660,9680,12400,13400,13380,11890,11780,12090,13110,14930,16340,16900,15580,14760,13730,13520,13930,16580,21000,24950,25680,27540,27920,28990,28310,30620,31197.1987955958
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,140,150,170,200,230,290,290,310,310,320,330,380,510,570,600,680,650,500,600,660,680,690,710,690,760,860,680,370,310,220,240,290,450,610,870,880,880,920,960,970,960,990,1080,1160,1190,1280,1390,1380,1430,1540,1650
Niger,,150,160,160,170,170,170,170,150,150,160,160,160,210,240,220,240,290,360,420,410,360,290,220,220,250,280,340,330,310,300,290,240,210,190,200,200,200,190,170,170,170,190,220,250,270,280,330,340,320,330,370
Nigeria,,100,110,110,110,110,100,100,120,170,180,200,220,340,400,510,560,550,640,760,760,720,540,400,360,290,260,280,270,270,270,290,240,220,220,260,280,270,270,270,320,350,420,540,630,830,960,1150,1150,1240,1260,1430
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,1610,1710,1860,2050,2240,2470,2630,2850,3100,3540,4190,5260,6680,8290,9040,9840,10990,12950,15460,16220,15550,14730,14910,15430,17230,20450,23530,24610,26010,27310,30190,29610,30230,32030,35080,37180,35410,34860,35860,37530,39200,44010,53200,62760,68830,76950,85580,86130,86850,88500,98860
Oman,,100,100,100,100,110,160,230,280,320,330,360,310,700,1510,2770,2720,2650,3070,3960,5480,6210,6160,6320,6560,5930,5380,5200,5660,5710,6070,6570,6370,6270,6420,6660,7030,6730,6620,7360,8400,8470,8610,9530,10780,12780,15180,19060,18500,19120,16813.7982707397,17115.6433875631
Pakistan,,90,100,100,110,120,130,150,160,170,180,170,150,150,160,190,210,260,290,340,380,390,380,370,370,360,390,420,410,410,410,430,440,440,470,480,480,450,450,,,500,540,620,710,790,850,940,1000,1050,1120,1260
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4810,4980,5770,6350,6370,6110,6030,5490,6550,7460,7650,8550,8910,8950,9130,9020,8430,8590,9240,9860
Panama,,460,490,510,540,580,620,660,710,700,770,820,930,1050,1170,1160,1170,1350,1520,1580,1840,2120,2060,2070,2300,2340,2680,2240,2080,2140,2230,2450,2640,2780,2810,3010,3210,3440,3500,3610,3570,3680,3780,4140,4460,5500,6080,6850,7100,7710,8610,9910
Papua New Guinea,,130,130,140,160,170,190,200,230,260,270,310,390,490,550,520,530,630,710,790,790,720,680,670,670,710,760,880,890,820,870,920,1080,1130,1040,1020,930,780,690,620,550,510,500,570,680,720,940,1100,1190,1300,1480,1790
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670,1830,1830,1700,1550,1350,1280,1170,1040,1110,1210,1440,1780,2290,2380,2820,3170,3290
Peru,,290,310,340,390,460,490,480,490,520,580,630,750,940,1090,1080,940,870,910,1050,1290,1320,1040,1010,950,1000,1120,770,680,770,1140,1440,1550,1780,1990,2190,2340,2220,2100,2050,1970,2040,2160,2390,2700,2940,3370,3980,4130,4600,5120,5880
Philippines,,220,190,170,180,200,210,220,240,220,220,220,260,320,380,420,450,500,590,700,750,740,670,570,520,540,600,660,700,720,720,770,820,920,1030,1170,1230,1140,1030,1050,1040,1000,1030,1140,1210,1300,1510,1760,1870,2060,2200,2470
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030,2420,2740,3170,3760,4170,4310,4390,4600,4670,4860,5480,6270,7270,8340,9800,11870,12190,12390,12330,12670
Portugal,,410,430,470,520,570,640,730,790,940,1060,1250,1670,2030,2170,2280,2380,2480,2810,3290,3360,3170,2770,2470,2480,3020,4080,5530,6200,7000,8020,9660,9890,10240,11000,11900,12190,12070,12140,12100,11720,11670,13110,15850,18060,18720,19970,21550,21750,21870,21420,20580
Puerto Rico,,830,900,970,1060,1150,1240,1350,1560,1750,1990,2130,2360,2520,2580,2590,2710,2940,3320,3610,3820,3700,3680,4000,4220,4780,5300,5790,5960,6170,6400,6710,7040,7320,7770,8070,8440,8620,9380,10610,10640,11050,12300,13500,14120,14640,15210,16070,16300,16620,17230,18000
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63440,74510,71260,73440,78720,80670.1482927643
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810,1710,1440,1240,1190,1270,1470,1590,1520,1520,1580,1690,1750,1930,2310,3010,3920,4870,6430,8050,8250,7950,8140,8420
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3420,3070,2900,2650,2650,2610,2660,2140,1760,1710,1780,2100,2590,3410,4460,5820,7590,9710,9290,10000,10810,12700
Rwanda,,40,40,40,40,40,50,50,50,60,60,60,70,80,100,130,160,180,230,270,280,270,260,250,260,300,320,350,350,350,330,350,320,160,220,230,260,260,250,230,210,210,200,220,260,300,350,420,470,510,560,590.650451789025
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,940,1150,1310,1340,1370,1560,1720,2160,2660,3160,3370,3720,3820,4130,4470,4870,5220,5340,5700,5570,5940,6750,7850,8970,8960,9890,10900,11820,12480,13780,13100,13110,13470,13330
St. Lucia,,,,,,,,,,,,,,,,,,,,,,1150,1190,1490,1430,1730,1900,2170,2330,2730,2830,3180,3270,3370,3540,3720,3700,3800,4010,4270,4100,4220,4470,5010,5110,5720,5990,6420,6630,6510,6720,6530
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,180,160,170,180,180,170,190,190,210,220,300,310,340,370,390,390,460,540,620,710,760,820,930,1030,1120,1340,1610,1670,1740,1830,2120,2170,2130,2290,2450,2760,2790,2820,3080,3420,3950,4380,4730,4960,5460,5880,6210,6260,6030,6100,6380
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,670,660,680,720,930,1040,1050,990,1000,1050,800,1000,1340,1350,1380,1400,1420,1450,1460,1530,1870,2100,2260,2400,2800,2680,2840,2970,3220
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26670,26160,30180,36460,41080,43610,46880,51470,44676.7213026612,42125.5174787792,40770.3806649835,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,710,740,800,850,970,1080,1140,1240,1320
Saudi Arabia,,,,,,,,,,760,1040,1400,1800,3600,5370,8000,8550,9150,11610,14430,17040,15400,12720,10730,9280,8640,7580,7470,7010,7300,8090,8580,8170,7770,7830,8230,8580,8290,8030,8350,8570,8470,9070,10250,11910,13320,14560,16670,16260,16720,18030,18842.6162604365
Senegal,,,,,,,,270,250,260,250,270,300,360,440,480,470,460,570,630,640,590,470,430,430,500,640,730,730,710,710,750,710,590,560,540,540,530,530,510,490,470,550,670,770,800,870,980,1030,1040,1030,1040
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2190,1400,1340,1310,2070,2870,3430,3760,4370,5360,5740,5550,5530,5280
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,290,310,330,320,340,340,350,330,350,410,480,620,770,870,910,960,1120,1660,2110,2340,2260,2130,2160,2400,2660,3230,3970,4570,5000,5190,5930,6240,6410,6430,6690,7310,7310,7310,7390,7210,6840,7440,8810,10540,11920,12350,11330,10410,10390,11140,11640
Sierra Leone,,,,170,170,170,160,150,160,170,180,180,200,240,270,240,230,260,330,390,380,370,320,310,260,190,190,190,220,200,190,140,170,180,200,230,220,190,170,160,160,220,300,300,310,330,370,420,440,450,480,580
Singapore,,,,,540,600,660,750,850,960,1090,1280,1610,2090,2670,2930,3030,3390,3990,4710,5360,5660,6140,6890,7060,7300,8050,9280,10290,11450,12740,14730,17000,19810,22420,24270,27230,25190,24590,24500,22090,21780,22860,24760,27240,30590,33800,34310,35200,42530,45690,47210
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,1330,1620,2000,2030,2060,1980,2300,2660,3260,4120,4910,5240,5290,5270,5440,5640,5930,6800,8800,11040,12550,14410,15900,15820,16030,17100,17170
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6790,6580,7260,8510,9970,11100,10870,11180,11150,10800,10790,12470,15400,18070,19570,21520,24210,23750,23910,23780,22710
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,750,830,900,890,1440,1320,1220,1010,930,840,840,860,900,970,1030,1060,970,1050,1120,1130
Somalia,,70,70,70,70,80,90,90,90,90,100,120,140,130,190,180,160,130,110,110,120,120,110,120,130,150,170,170,170,150,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,430,460,500,540,570,620,660,720,780,850,900,1090,1380,1590,1550,1490,1610,1940,2510,2940,2890,2650,2660,2400,2360,2670,3290,3580,3390,3320,3320,3460,3610,3740,3760,3680,3290,3150,3050,2830,2620,2860,3620,4850,5480,5760,5850,5730,6100,6950,7610
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,500,570,640,730,840,930,1010,1110,1160,1290,1550,2040,2680,3180,3360,3560,3930,4870,6060,6150,5530,4730,4460,4440,5260,6930,9170,10430,11880,13340,15220,14670,14180,14550,15300,15580,15220,15230,15420,15060,15120,17570,21590,25450,27490,29400,31850,32140,31450,30930,30110
Sri Lanka,,140,130,130,130,150,160,160,170,170,170,190,210,250,280,260,260,250,270,280,310,320,320,340,380,410,440,460,450,470,500,560,610,640,700,740,790,810,820,860,830,860,950,1070,1210,1350,1540,1770,1970,2260,2580,2920
Sudan,,120,120,120,120,120,120,130,130,150,160,160,190,250,320,370,410,420,460,480,490,470,430,390,400,550,800,790,720,530,440,340,300,310,390,390,370,330,330,330,340,360,420,490,580,700,870,1010,1110,1200,1320,1450
Suriname,,,,,,,,,,,,,,,,,1550,1910,2070,2260,2510,2450,2300,2260,2250,2310,2300,2880,2270,1430,1130,1020,,1110,1350,1680,1910,2000,1820,1930,1630,1840,2120,2820,3330,3980,5180,6350,7000,7630,7830,8480
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,290,360,,,,,,,,,,,,,,,,,1230,1290,1500,1520,1510,1750,1850,1870,1650,1640,1520,1480,1260,1340,1710,2390,2560,2720,2770,2670,2650,2830,2860
Sweden,,2310,2490,2740,2960,3190,3460,3770,4100,4480,4780,5430,6750,8220,9730,10270,10820,11930,14160,16420,16560,14800,12750,12270,12340,14500,18360,22960,24780,26360,27620,29710,26850,26450,26770,28980,29790,29520,29360,29490,27670,27190,30680,37190,42920,45680,48900,52390,48830,50860,53530,56210
Switzerland,,,,,,,,,,,,,,,,,,,,,,18130,16830,17050,17140,19310,24330,31910,33430,35020,35610,38810,38710,39730,43100,45870,45580,42630,40920,41160,38690,37670,43480,51290,58530,60610,59040,59340,66630,73350,76350,82730
Syria,,250,230,250,270,250,280,300,370,360,400,500,500,710,960,1080,1050,1170,1280,1560,1750,1740,1700,1640,1690,1480,1270,1190,890,910,990,1110,1070,970,900,850,850,920,890,970,1110,1210,1240,1390,1520,1650,1850,2150,2450,2610,2559.19481343502,2509.37857973667
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,290,230,200,170,170,180,180,170,160,170,210,270,320,370,440,570,650,730,780,860
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,180,180,170,160,170,190,210,250,280,310,310,310,330,360,380,390,410,450,500,530,540,570
Thailand,,110,120,130,140,160,170,180,190,210,210,220,260,330,380,420,450,530,610,710,760,760,760,790,790,830,950,1160,1320,1490,1660,1890,2130,2400,2750,2980,2740,2070,1960,1960,1900,1900,2060,2370,2600,2890,3280,3750,3860,4320,4620,5210
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,330,490,740,1180,1850,2900,2250,2730,3340,3670
Togo,,90,90,100,110,120,120,130,140,130,130,140,170,220,260,270,290,330,350,420,390,320,250,230,230,250,310,390,400,400,400,410,330,300,300,310,350,330,320,300,270,260,290,330,370,390,410,400,450,460,470,500
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,690,690,720,770,860,1070,1160,1220,1350,1450,1530,1820,2010,2280,2260,2210,2130,2030,1910,1880,1950,2260,2550,2780,2860,3210,3330,3470,3800,4240
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,640,680,730,760,760,770,790,810,830,870,1000,1200,1500,2170,2530,2810,3360,3940,5140,6140,6750,6090,5950,5900,5090,4480,3930,3630,3710,3900,4140,3920,3860,3890,4150,4320,4540,4770,5300,6050,6760,8050,9570,11060,13220,15090,17410,16260,15740,14660,14400
Tunisia,,,230,230,230,220,220,240,250,270,310,400,460,610,770,820,850,940,1130,1360,1420,1280,1180,1180,1160,1140,1270,1340,1310,1430,1480,1700,1680,1740,1820,2010,2160,2190,2300,2310,2290,2210,2500,2930,3200,3370,3560,3890,4100,4150,4020,4150
Turkey,,,,,,,470,520,560,560,540,560,650,860,1120,1310,1410,1530,1820,1860,1860,1570,1400,1310,1310,1440,1740,1860,1920,2300,2590,2940,3150,2680,2850,2920,3190,3410,3540,4200,3480,3480,3810,5070,6520,7510,8500,9340,9130,9980,10510,10830
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,690,610,610,550,560,620,600,650,750,990,1310,1600,1960,2330,3050,3570,4110,4920,5550
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2710,3330,2530,3310,3740,3970,4700,5070,5360,4790,4960,6070
Uganda,,,,,,,,,,,,,,,,,,,,,,,,180,190,250,310,390,400,320,240,190,180,180,230,270,290,280,280,260,240,240,240,270,290,310,330,380,400,460,470,440
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620,1610,1520,1420,1230,1010,920,860,890,850,760,700,730,790,980,1270,1540,1950,2570,3220,2840,2990,3150,3500
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33720,33380,36120,40210,41470,42820,42150,41650,37700,35270,36040,36358.1574984735
United Kingdom,,,,,,,,,,2290,2490,2830,3500,3900,4320,4460,4670,5300,6740,8510,9520,9510,8770,8280,8160,9180,11370,14400,15550,16260,16990,19020,18960,19340,19640,20850,22390,23600,24770,25910,25850,26180,29170,34570,39030,41190,44490,45700,41220,38410,37840,38250
United States,,3120,3250,3430,3690,3990,4160,4510,4820,5010,5380,6010,6990,7660,8170,8620,9260,10400,11800,12950,13910,13760,14080,15680,16890,18490,20680,22740,22990,23260,23460,24810,25550,26820,28090,29290,30250,30930,32630,34890,35490,35970,38360,42020,44670,46280,46910,47890,46080,47230,48550,50120
Uruguay,,580,610,660,680,720,640,610,670,820,850,870,1060,1370,1620,1490,1420,1630,2150,2870,3650,3290,2190,1740,1510,1780,2210,2600,2730,2840,3180,3830,4350,5040,5530,6160,6970,7240,7260,7050,6500,5140,4240,4130,4720,5380,6380,7690,8520,10110,11700,13510
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,590,570,580,600,610,620,650,630,560,450,420,460,530,600,760,960,1130,1310,1500,1720
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,850,800,810,860,960,980,860,990,1090,1200,1090,1120,1210,1170,1270,1280,1310,1420,1420,1430,1370,1230,1360,1590,1780,1990,2120,2510,2590,2700,2870,3080
Venezuela,,1130,1170,1140,1080,1000,1020,1100,1110,1200,1220,1330,1600,2030,2510,2900,3060,3310,3760,4200,4700,4620,4350,3860,3490,3410,3180,3250,2450,2570,2590,2760,2740,2630,2920,2980,3360,3350,3540,4090,4560,3950,3450,4060,4920,6050,7520,9230,10140,11520,11760,12470
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460,1590,1720,1760,1600,1260,1070,1140,1230,1340,1241.61690590765,1276.42342284947,1332.17059521041,1392.85125184388,1488.66260737661,1591.20274367501,1637.50540688458
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,130,110,130,170,200,260,310,350,360,370,390,410,430,480,550,630,700,790,920,1030,1160,1270,1400
Virgin Islands (U.S.),,,,,,,,,,,,4170,4510,4830,5210,4690,4930,5440,6620,8000,8620,7960,8300,8640,8930,9850,11550,12590,13660,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,460,380,320,300,330,370,380,420,480,510,540,610,700,810,900,1020,1110,1220,1110,1079.14882846976
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
