"GNI per capita, Atlas method (current US$)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Bolivia,,,,,,,,,,250,270,300,330,410,510,600,650,730,840,910,1070,900,900,870,850,760,730,720,730,730,750,770,790,810,850,900,950,980,970,980,940,910,900,940,1000,1090,1210,1460,1610,1760,1960,2220
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,1070,1360,1400,1450,1550,1700,1970,2480,2940,3270,3730,4460,4660,4640,4690,4650
Botswana,,70,80,80,90,90,100,110,130,150,180,230,310,400,470,490,530,620,800,1000,1210,1160,1050,980,970,1050,1220,1830,2150,2530,2860,3040,3090,2760,3010,2940,3160,3310,3140,3120,3320,3070,3610,4310,5070,5360,5640,5710,5390,5990,7070,7720
Brazil,,230,250,270,270,270,310,370,410,440,500,590,750,970,1170,1350,1480,1660,1950,2180,2080,2000,1710,1620,1570,1790,2040,2250,2750,2700,2870,2780,2740,3040,3730,4460,5050,4870,4130,3860,3290,3050,2950,3310,3960,4800,6100,7480,8140,9520,10700,11630
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12170,12550,13680,15270,15140,15200,15800,16330,16330,14510,14110,14740,16120,17150,17790,19910,22920,27250,30400,33390,31590,31849.3680653123,32062.2048064953,31590
Bulgaria,,,,,,,,,,,,,,,,,,,,,,2390,2130,2040,1970,2200,2750,3140,2850,2260,1620,1430,1250,1240,1360,1150,1170,1240,1450,1620,1730,1900,2300,2960,3640,4080,4530,5700,6080,6320,6640,6870
Burkina Faso,,80,80,80,80,80,90,90,90,90,90,90,110,140,160,170,170,200,250,300,300,280,240,210,210,240,270,330,330,330,360,320,280,230,230,250,250,250,260,250,240,240,290,340,410,440,450,510,550,600,620,670
Burundi,,70,80,80,70,60,60,50,50,70,70,70,80,100,110,120,140,150,180,220,250,240,230,220,240,240,250,250,220,210,210,200,170,160,150,140,140,140,130,130,130,130,120,120,130,140,160,180,180,200,220,240
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,310,320,290,290,300,310,320,350,400,460,520,580,660,690,740,800,880
Cameroon,,,,,,,110,130,150,160,170,180,200,270,340,330,330,500,600,610,810,820,760,760,780,900,1010,1100,1040,920,870,870,900,780,720,650,640,630,630,600,580,570,660,800,900,960,990,1100,1150,1140,1140,1170
Canada,,2340,2360,2470,2670,2920,3080,3370,3680,3930,4330,4950,5950,7060,7840,8530,8880,9520,10350,11320,12070,11630,11890,12780,13510,14130,15850,18160,19410,20150,20420,20790,20570,20270,20280,20220,20690,20310,20870,22130,22420,22840,24640,28530,33110,36910,40330,43460,41890,43250,46730,50970
Cape Verde,,,,,,,,,,,,,,,,,,,,,,480,440,420,420,480,610,800,860,860,870,960,1110,1170,1270,1240,1270,1240,1320,1310,1310,1270,1470,1770,2050,2260,2560,2930,3220,3340,3610,3810
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,80,80,80,90,90,100,100,110,110,110,120,140,160,180,200,240,270,300,340,340,330,260,270,280,330,400,470,480,480,470,470,440,370,350,300,310,300,290,270,260,250,250,300,340,360,390,430,460,470,480,490
Chad,,110,110,110,120,120,130,130,140,140,140,150,160,190,230,220,230,240,220,240,230,210,200,180,210,210,210,270,270,270,290,330,250,220,210,200,210,220,200,180,190,200,210,340,420,450,490,530,630,680,690,740
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42430,41270,40360,42770,49540,55320,59810,65440,,,,,
Chile,,600,640,660,650,740,760,770,800,860,1020,1110,1320,1620,1120,980,1070,1320,1740,2240,2640,2190,1780,1600,1410,1410,1560,1820,2090,2240,2490,3020,3330,3610,4320,4930,5380,5250,4910,4920,4760,4550,4570,5230,6250,7260,8600,10020,9940,10720,12270,14280
China,,70,80,90,100,110,100,90,110,120,120,130,160,180,200,180,190,190,210,220,220,220,220,250,280,310,320,330,320,330,350,390,410,460,530,650,750,790,840,930,1000,1100,1270,1500,1740,2040,2480,3040,3620,4240,4940,5740
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,280,290,310,310,320,300,310,320,330,360,390,460,550,590,620,690,850,1060,1250,1340,1320,1270,1270,1210,1220,1240,1300,1250,1250,1220,1310,1430,1780,2190,2530,2650,2550,2310,2340,2320,2350,2350,2580,2930,3430,4050,4630,5020,5460,6090,6990
Comoros,,,,,,,,,,,,,,,,,,,,,,380,330,310,310,350,440,550,540,570,550,650,640,520,500,470,470,440,420,410,410,410,470,560,650,670,690,740,800,810,830,840
"Congo, Dem. Rep.",,230,270,230,230,220,220,220,230,250,270,290,360,430,460,430,460,510,610,650,570,490,420,350,270,260,250,260,250,240,220,200,200,160,140,130,120,120,110,90,80,90,110,120,130,140,150,170,100,190,200,220
"Congo, Rep.",,150,150,160,170,170,190,200,210,220,230,270,340,420,500,480,450,480,610,820,1080,1210,1070,1050,980,970,1040,920,930,920,950,1050,790,680,430,470,590,580,490,570,630,680,700,780,970,1210,1390,1850,1950,2210,2200,2550
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,360,350,350,370,400,410,450,480,530,580,640,770,900,990,1070,1270,1510,1770,1980,1440,1030,1040,1300,1580,1830,2090,2210,2230,2340,2360,2600,2780,3040,3250,3300,3410,3500,3480,3710,3860,3900,4170,4420,4670,5040,5540,6060,6180,6860,7660,8740
Cote d'Ivoire,,170,190,220,210,230,230,260,280,290,300,310,370,460,580,660,760,930,1100,1130,1100,930,700,640,620,720,800,890,810,760,740,770,740,680,700,720,780,770,740,670,620,600,660,800,900,940,990,1110,1200,1210,1140,1220
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,5360,5040,5220,5140,5390,6390,8150,9690,10860,12200,13790,13700,13550,13830,13290
Cuba,,,,,,,,,,,,850,1040,1240,1500,1550,1600,1790,2000,2150,2430,2340,2180,2310,2310,2390,2490,2780,2750,2650,2340,2120,1870,2140,2540,2700,2490,2230,2390,2620,2750,2820,3090,3480,3950,4510,4980,5440,5520.92773669164,5655.1154228024,5810.61484500394,5440
Cyprus,,,,,,,,,,,,,,,,,1530,1820,2410,3410,4070,4510,4220,4360,4480,5090,6450,8090,8770,9510,9670,11230,11190,11900,12720,13600,13680,14770,13630,13440,13410,13590,15480,18410,21490,22880,24240,27570,29710,28570,28750,26000
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6340,7720,9750,11890,13440,14910,17840,17920,18380,18720,18130
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,3300,3650,4270,5510,6730,8020,8880,9690,11060,13440,14990,14090,12760,11600,11420,11740,13910,17570,21930,22850,24120,25290,28440,28300,30080,32270,34420,34670,32940,32390,31830,30620,30060,33940,41560,48590,52250,54700,59040,58350,59590,60160,59770
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,760,760,770,750,740,720,740,760,780,800,890,980,1030,1049.66434163425,1072.93578779693,1104.3057011834,1128.26946237465,1135.81301208739,1154.24383279246,1177.15910701624
Dominica,,,,,,,,,,,,,,,,,,,570,780,950,980,980,1090,1170,1460,1750,2090,2100,2300,2390,2590,2750,2830,2980,3080,3160,3370,3340,3390,3940,4180,4640,4930,4980,5570,5730,6240,6420,6570,6700,6460
Dominican Republic,,220,240,260,230,250,250,250,280,340,370,430,510,610,710,770,830,890,1030,1150,1230,1240,1250,1350,1040,1000,930,910,900,860,1020,1310,1560,1680,1890,2120,2270,2350,2450,2600,2620,2780,2560,2450,2870,3430,4100,4430,4640,4980,5190,5470
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,210,210,220,280,350,470,470,500,520,520,510,600,830,1100,1300,1380,1580,1840,2150,2500,2450,2160,1940,1840,1790,1660,1540,1400,1390,1500,1620,1690,1840,2000,2110,2210,2190,1800,1550,1560,1740,2130,2560,2890,3110,3310,3860,4060,4330,4770,5190
Egypt,,150,150,150,160,160,160,170,190,210,220,240,260,270,310,330,370,370,410,480,510,530,530,560,590,630,780,790,780,750,730,750,750,830,940,1050,1160,1240,1360,1470,1500,1410,1340,1280,1290,1440,1630,1960,2270,2550,2760,3000
El Salvador,,240,250,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,1180,1330,1550,1680,1810,1900,1990,2110,2180,2260,2410,2610,2810,2980,3170,3380,3300,3350,3480,3580
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,300,360,330,330,310,370,390,330,360,380,770,940,730,1260,1640,2140,2170,3290,5250,4610,6380,9360,12960,9840,11670,13560
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,180,190,200,200,190,180,180,180,170,200,230,240,240,230,270,310,390,450
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4730,5820,7570,9730,11420,13380,15010,14260,14150,15260,15830
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,210,200,190,230,280,270,250,250,240,220,210,160,150,150,150,130,130,130,130,120,110,130,160,180,220,280,340,370,380,410
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,280,290,300,290,300,340,350,350,400,440,530,720,930,1120,1220,1300,1360,1660,1870,2040,1800,1580,1660,1580,1790,1770,1790,1790,1790,1790,1990,2090,2230,2460,2660,2580,2300,2350,2230,2140,2170,2420,3030,3590,3620,3830,4040,3900,3610,3720,4200
Finland,,1370,1470,1620,1810,1970,2060,2090,2270,2420,2630,3080,3910,4980,6130,6640,6980,7680,9260,11110,11630,11350,10520,10480,10800,12620,15990,20910,23430,25220,24350,23460,20060,19600,21350,24170,25810,24850,25000,25440,24810,24660,27640,33980,38550,41130,44200,47960,46540,47130,47740,46940
France,,1570,1700,1880,2050,2220,2370,2570,2820,3010,3220,3630,4650,5760,6630,7040,7700,8670,10610,12830,12910,11760,10200,9590,9540,11030,14060,18000,18960,20050,20880,23250,23030,23780,25120,26410,26220,25110,24710,24270,23080,22330,25130,30420,34850,36760,38900,41940,42390,42280,42690,41750
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,2090,2520,2430,2400,2640,2660,3330,4600,5120,5620,5940,6820,8060,9240,9710,9240,8280,8120,8420,10350,13120,15480,15050,15390,16160,17430,17590,17690,18150,18020,17490,16890,16400,15990,,,,,,,,,,,,
Gabon,,340,410,340,370,420,440,460,530,570,610,680,910,1700,2860,4440,4000,3080,3510,4590,5290,4840,4260,4310,3870,3850,3430,4160,4590,4830,5190,5140,4450,4150,3920,4110,4290,3960,3290,3100,3330,3420,3590,3980,5080,5420,6360,7510,7880,8220,8710,10070
