Net barter terms of trade (2000 = 100),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,64.9572649573,63.3663366337,63.7254901961,73,85.2631578947,85.1063829787,96.5517241379,106.7961165049,112.7272727273,118.75,118.8034188034,114.1592920354,115.5844155844,110,121.7821782178,130.97,122.61,121.7,124.49,112.37,100,92.05,91.79,111.46,101.47,82.53,80.92,84.29,80.47,78.64
Burundi,,,,,,,,,,,,,,,,,,,,,230.9210526316,170.8609271523,181.8181818182,212.1323529412,265.5021834061,243.1451612903,296.2264150943,179.0849673203,217.8913738019,177.5,128.2798833819,136.3914373089,97.9452054795,120.4081632653,171.3692946058,163.57,118.94,109.54,121.18,115.93,100,85.79,86.75,89.81,93.24,113.05,122.29,121.66,133.26,137.88
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,103.42,104.95,100.64,94.54,88.8,85.83,83.32,80.71,85
Cameroon,,,,,,,,,,,,,,,,,,,,,80.2083333333,70.8571428571,114.5251396648,88,80.3921568627,77.2058823529,101.9607843137,89.6551724138,84.6774193548,66.4383561644,81.25,102.5862068966,64.4578313253,74,84.7457627119,90.4,82.26,87.07,83.49,70.27,100,94.61,103.62,110.06,116.64,128.54,134.66,133.26,138.57,121.58
Canada,,,,,,,,,,,,,,,,,,,,,114.0611,106.8342,103.2491,103.8465,102.3503,99.86263,98.49959,101.5128,103.8148,106.0102,103.2723,101.035,99.20403,98.42035,99.10902,103.1944,104.2229,103.0751,106.7816,105.0641,100,101.143,105.463,111.4453,115.6111,119.7201,119.8083,123.5483,126.5885,114.7701
Cape Verde,,,,,,,,,,,,,,,,,,,,,100,218.0555555556,135.7142857143,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,101.03,101.29,94.65,88.15,102.06,108.82,103.45,110.47,136.17
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,97.07,96.11,98.94,96.25,95.59,97.38,95.15,86.78,
Central African Rep.,,,,,,,,,,,,,,,,,,,,,260.6060606061,252.2522522523,270.0787401575,260.162601626,269.3693693694,257.8947368421,234.6153846154,243.6708860759,278.0141843972,295.7746478873,237.5,268.9393939394,280.7407407407,273.8461538462,200,192.97,166.92,150,123.68,107.14,100,97.93,96.02,96.33,98.62,90.92,87.2,83.63,75.38,78.5
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.62,91.85,92.56,100.84,95.61,100,85.16,82.18,99.74,118.57,138.3,153.1,153.05,176.52,136.01
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
