Net barter terms of trade (2000 = 100),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.95,104.54,104.68,103.5,95.72,99.54,101.59,101.04,109.06
Lesotho,,,,,,,,,,,,,,,,,,,,,131,116,106.5217391304,102.0202020202,102.4390243902,100,93.1506849315,63.7362637363,101.0638297872,100,100,88.7096774194,100.8196721311,100,100,100,100,100,100,99.06,100,101.11,101.57,95.8,89.25,85.59,82.1,78.2,71.14,78.25
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.86,104.48,109.98,112.72,114.48,120.21,120.18,119.78,111.36
Libya,,,,,,,,,,,,,,,,,,,,,,,104.6687456133,97.1609759797,100.0924854566,102.2613042202,,,,,,,,,,,,,,,100,88.16,87.43,96.75,116.78,158.88,178.47,173.1,203.43,140.41
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.63,102.44,99.04,96.04,93.78,93.36,91.35,88.01,90.4
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,83.3333333333,82.6086956522,92.1875,100,106.7796610169,96.5517241379,112.0689655172,94.3661971831,94.3661971831,70.5128205128,80.9523809524,72.0930232558,71.1111111111,71.5909090909,77.6595744681,79.61,81.55,84.69,93.75,88.89,100,89.27,85.51,84.98,79.82,75.81,74.99,75.28,71.15,75.51
Malawi,,,,,,,,,,,,,,,,,,,,,163.3333333333,195.2380952381,200,185.9649122807,191.0714285714,167.3469387755,144.8275862069,137.3134328358,129.3333333333,138.1578947368,148.2352941176,157.4712643678,127.7777777778,114.1176470588,89.3203883495,105.66,112.38,117.14,103.09,106.12,100,101.16,92.86,88.12,83.97,82.05,85.39,84.78,76.21,94.18
Malaysia,,,,,,,,,,,,,,,,,,,,,71.4285714286,62.2807017544,64.4859813084,70.5882352941,86.3157894737,80.2197802198,75.3086419753,87.5,88.8888888889,94.2307692308,102.7272727273,109.1743119266,109.0909090909,108.5714285714,110.1851851852,108.55,112.07,111.21,107,105.1,100,99.6,99.95,102.31,101.87,102.21,101.61,101.97,104.34,99.66
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,102.76,104.58,99.16,98.2,106.36,117.13,97.09,97.21,127.85
Mali,,,,,,,,,,,,,,,,,,,,,116.40625,107.1428571429,109.8039215686,119.3548387097,124.7058823529,121.1764705882,112,126.8518518519,128.4403669725,130.6930693069,134.7826086957,126.9565217391,113.3333333333,109.4827586207,100.8849557522,109.6,110.74,106.54,111.76,100.99,100,98.32,109,126.07,121.82,108.47,129.64,134.87,140.09,165.42
Malta,,,,,,,,,,,,,,,,,,,,,102.1261,99.11304,100.9557,94.81043,98.34154,100,106.5266,110.9115,121.3929,123.1014,,,,,,102.2079,99.52317,97.7256,96.85178,96.66122,100,92.81618,88.47926,92.32762,85.3675,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.93,99.67,102.42,108.88,110.53,110.79,109.03,108.95,108.33
Mauritania,,,,,,,,,,,,,,,,,,,,,72.2627737226,79.3893129771,80.8,77.0491803279,80.701754386,88.0341880342,93.2773109244,93.75,86.524822695,97.1428571429,97.3154362416,104.0816326531,109.8039215686,120.2702702703,97.037037037,102.21,93.75,102.94,103.33,103.77,100,98.43,95.35,92.35,94.88,124.89,135.27,127.06,148.76,150.9
Mauritius,,,,,,,,,,,,,,,,,,,,,92.5,82.4175824176,78.0487804878,79.746835443,81.3333333333,80.2816901408,87.012987013,96.3855421687,96.6292134831,93.3333333333,92.6315789474,94.1747572816,93.137254902,90.5660377358,89.2156862745,88.5,90.68,91.38,94.17,96.94,100,94.52,98.13,104.46,100.87,91.95,86.86,86.41,76.16,81.3
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,305.3571428571,306.5573770492,245.3125,207.3529411765,197.1428571429,173.9130434783,109.3333333333,113.2530120482,90.3225806452,90.3225806452,102.1505376344,97.8494623656,96.9072164948,97.9166666667,95.9183673469,92.45,96.12,97.06,94,95,100,97.38,97.86,98.82,101.65,103.58,104.08,105.06,105.85,104.01
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.18,97.59,93.14,86.26,88.02,96.72,79.83,81.89,106.34
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.31,107.51,112.71,126.82,127.85,165.38,168.76,182.98,170.16
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,90.1639344262,85.3448275862,89.1089108911,80.198019802,79.797979798,78.7878787879,82.8571428571,82.3008849558,92.5925925926,89.1891891892,84.9206349206,88.7931034483,92.0353982301,88.1818181818,79.674796748,89.06,91.54,94.78,105.88,103.88,100,96.88,101,105.49,104.76,99.48,100.4,98.42,133.38,137.44
Mozambique,,,,,,,,,,,,,,,,,,,,,240.2777777778,254.6666666667,223.2876712329,225.7142857143,220.6349206349,215.3846153846,220.8333333333,216.049382716,195.4545454545,183.5164835165,175,178,141.4141414141,135.0515463918,162.1951219512,151.06,115.15,115.84,116.67,117.71,100,97,91.59,95.18,102.65,106.05,121.37,116.52,109.17,98.22
Myanmar,,,,,,,,,,,,,,,,,,,,,,721.0526315789,617.6470588235,600,600,339.0243902439,273.8095238095,220.9302325581,252.1739130435,273.4693877551,251.8518518519,222.8070175439,177.5862068966,160,186.7647058824,214.29,165.12,125.49,115.69,110.1,100,104.07,97.07,106.71,104.23,107.81,118.31,109.96,120.08,117.1
Namibia,,,,,,,,,,,,,,,,,,,,,112.2302158273,95.5555555556,89.9224806202,87.7697841727,90.350877193,107.0422535211,96.5517241379,89.8148148148,102.8301886792,103.5087719298,92.7536231884,76.0563380282,74.8344370861,79.2307692308,88.3720930233,82.61,90.4,91.94,95.41,94.29,100,100.98,100.97,99.22,101.28,104.93,128.75,135.36,120.61,113.51
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.54,101.62,97.71,94.05,85.17,83.93,83.59,76.3,80.74
Netherlands,,,,,,,,,,,,,,,,,,,,,92.13215,92.61173,93.7094,92.7125,94.80159,95.76895,98.61009,95.12164,95.53323,93.6993,95.76895,96.25209,96.02862,96.05398,96.51482,97.60844,98.07659,99.18343,99.91277,99.74215,100,101.59,103.0392,103.8311,103.3546,103.9334,103.5489,103.3521,103.3143,102.5079
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.84,94.25,96.46,107.7,112.16,111.07,113.27,110.07,103.47
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,96.12,100.45,104.44,136.07,138.64,145.81,187.75,185.89,192.09
New Zealand,,,,,,,,,,,,,,,,,,,,,88.44905,87.90101,86.90077,84.77039,84.59538,83.10117,83.13405,92.25993,98.55475,103.566,102.1844,96.87518,98.16012,101.2493,100.5839,99.03683,98.07468,96.24187,96.27867,96.09384,100,104.4954,98.66474,102.4033,108.3488,107.4885,109.5161,118.0632,121.3287,110.9861
Nicaragua,,,,,,,,,,,,,,,,,,,,,162.1621621622,139.7590361446,123.3333333333,138.3561643836,176.1194029851,123.3766233766,149.2957746479,114.8148148148,125.3012048193,114.4578313253,155,126.5060240964,93.023255814,104.6511627907,122.8915662651,128.89,113.98,109,113.68,105.38,100,88.41,86.99,84.05,82.5,81.37,79.39,78.64,75.16,83.9
Niger,,,,,,,,,,,,,,,,,,,,,230.487804878,187.323943662,221.0526315789,258.3333333333,227.4509803922,205.8823529412,226.2295081967,225.3521126761,201.3157894737,184.9315068493,165.0602409639,152.4390243902,143.4782608696,146.0317460317,119.1011235955,121.43,106.06,100,99.01,93.27,100,104.39,108.15,110.83,132.34,147.16,183.32,270.8,196.08,185.24
Nigeria,,,,,,,,,,,,,,,,,,,,,181.25,192,163.6363636364,155.1724137931,154.5454545455,143.4782608696,70.2702702703,72.602739726,60.9375,75.7142857143,88.5057471264,74.3902439024,65.0406504065,59.4059405941,56.1224489796,55.56,86.9,65.09,43.88,59.6,100,89.51,90.57,97.32,114.98,150.29,169.84,169.88,209.79,145.34
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,102.65,104.02,100.14,94.77,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,77.41953,83.93144,85.71449,84.68277,91.34856,89.13132,67.05628,63.03314,61.29539,65.10991,67.11649,66.0864,62.04877,61.26574,58.84181,60.3018,65.58105,67.61975,60.52408,71.46922,100,96.16065,90.14391,91.2961,101.5096,123.0429,140.8966,135.6391,156.8704,128.6177
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,86.27,97.34,117.36,112.07,155.59,180.17,177.02,252.83,150.13
Pakistan,,,,,,,,,,,,,,,,,,,,,129.4871794872,116.6666666667,112.9411764706,120.7792207792,122.7848101266,116.4383561644,150,135.0649350649,124.3902439024,114.1176470588,108.6956521739,105.5555555556,104.5454545455,107.1428571429,107.7777777778,119.19,120,118.56,136.05,117.2,100,99.85,94.81,88.68,84.56,75.19,70.01,65.54,57.63,63.35
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.55,98.12,94.69,96.76,103.99,115.01,93.72,96.41,78.4
Panama,,,,,,,,,,,,,,,,,,,,,,94.5945945946,86.9565217391,91.4285714286,90,102.8985507246,100,89.0243902439,80,75.2808988764,68.75,82.7586206897,104.3010752688,106.8181818182,110.3448275862,100,102.08,103.13,103.09,106.32,100,102.66,101.65,97.18,95.33,93.52,90.84,89.98,85.89,92.42
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,92.5,88.4,98,110.09,120.23,177.47,177.65,171.51,164.14
Paraguay,,,,,,,,,,,,,,,,,,,,,68.1818181818,71.8518518519,74.358974359,69.0265486726,93.5185185185,62,58.024691358,87.5,100,120.987654321,103.3707865169,103.488372093,94.4444444444,103.4482758621,125.8823529412,118.28,118.28,118.28,109,104.12,100,100.2,96.65,101.44,104.28,97.39,95.52,100.07,107.35,104.91
Peru,,,,,,,,,,,,,,,,,,,,,245.5882352941,201.3888888889,200,193.1506849315,195.7142857143,170.7692307692,129.1666666667,128.5714285714,139.7590361446,119.1489361702,114.1414141414,107.2164948454,117.5257731959,110.5263157895,118.5567010309,123.36,119.44,127.18,111.22,103.16,100,95.6,98.45,102.23,111.32,119.41,152.07,157.58,136.65,129.12
Philippines,,,,,,,,,,,,,,,,,,,,,99.1176470588,70.6422018349,74.3772241993,71.9457013575,69.0322580645,80.198019802,86.7469879518,94.0476190476,106.0240963855,97.7272727273,87.3684210526,93.4065934066,79.2079207921,77.6699029126,77.8846153846,80.2,81.13,82.41,87.39,102.88,100,99.21,92.5,95.64,92.53,86.25,77.27,75.71,67.66,72.03
Poland,,,,,,,,,,,,,,,,,,,,,22.18981,22.1083,21.89966,21.0276,20.73765,21.23955,21.64146,22.44427,23.03916,26.86277,95.49326,83.59846,91.96513,99.52435,101.1825,102.4033,100.2821,99.29314,103.2168,104.3496,100,101.8384,105.2507,101.6625,106.5655,106.7531,106.5668,108.7235,106.9339,107.1469
Portugal,,,,,,,,,,,,,,,,,,,,,,,,85.21355,82.42912,88.94447,100.4833,102.6094,105.7435,104.0449,103.5374,103.4069,106.617,105.2749,106.5381,104.7377,101.2221,103.6305,106.3387,103.1038,100,104.5389,105.8181,101.6212,100.0198,100,101.8533,103.3283,99.32863,107.6377
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,95.14,86.36,105.46,120.89,159.21,187.49,186.34,249.94,173.09
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,56.8965517241,46.0606060606,67.8832116788,84.6153846154,88.0952380952,60.9022556391,78.9473684211,39.7435897436,48.75,40.8284023669,40.2298850575,81.1111111111,69.1489361702,80.6818181818,90.4255319149,110.1,92.31,130.61,110.34,93.26,100,98.79,90.04,90.14,92.38,125.93,131.12,127.55,165.38,155.34
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,102.86,98.1,94.26,88.14,82.34,80.09,77.39,72.36,74.88
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,93.74,98.26,101.4,102.34,119.62,127.03,125.79,123.92,116.16
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,93.47,100.04,101.66,103.47,98.32,98.12,99.25,106.5,107.36
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.87,103.01,95.49,87.88,83.59,84.97,80.53,72.89,80.39
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,124.35,136.11,121.88,113.73,100,120.33,191.93,177.48,147.92,130.69,125.94,133.58,147.47,165.42
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,105.48,104.02,113.67,129.17,177.56,201.64,236.15,267.48,175.58
Senegal,,,,,,,,,,,,,,,,,,,,,158.4158415842,165.5913978495,143.8202247191,139.7590361446,161.8421052632,163.6363636364,172.2891566265,168.75,166.6666666667,171.875,172.2222222222,171.4285714286,172.2222222222,166.6666666667,133.0357142857,156.25,165.66,126.32,130.43,114.85,100,98.36,99.1,99.41,98.47,97.73,99.62,97.34,93.99,99.21
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,111.5384615385,83.6538461538,85.0877192982,87.9310344828,76.6355140187,77.9661016949,71.3043478261,84.9557522124,93.2038834951,94.3396226415,102.8,102.8,97.2,109.57,101.83,100,89.13,87.33,83.97,81.64,78.45,73.94,68.62,67.4,77.29
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,79.99,81.02,77.84,78.67,68.11,64.85,61.22,53.11,64.63
Singapore,,,,,,,,,,,,,,,,,,,,,126.8041237113,130.303030303,131.914893617,129.0322580645,125.2747252747,125.5813953488,122.0779220779,116.2790697674,115.5555555556,113.9784946237,116.1616161616,112.8712871287,109.7087378641,109.8039215686,105.6074766355,104.35,104.39,104.67,104.3,103.23,100,95.92,94.4,90.68,89.39,86.76,86.07,84.48,83.08,82.62
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,198.1505308279,140.8777429467,144.3395685926,140.4904610172,199.1326884963,191.395,116.7318149619,108.4280255087,84.9919856861,,,,,,,,,,,,100,100.46,106.4,109.05,109.97,99.65,101.31,108.04,88.16,87.28
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98.94,96.69,101.38,104.5,103.79,107.64,106.78,102.16,101.28
South Africa,,,,,,,,,,,,,,,,,,,,,126.3157894737,110.5263157895,97.3214285714,98.275862069,104.1237113402,106.0975609756,108.6021505376,111.8181818182,111.1111111111,105.6603773585,104.347826087,105.3097345133,102.5862068966,103.6363636364,107.2727272727,106.03,107.48,106.6,104.04,102.04,100,101.24,103.6,107.22,108.38,108.83,118.32,121.19,129.88,135.01
Spain,,,,,,,,,,,,,,,,,,,,,84.11565,69.23467,68.89684,65.76002,66.14619,69.80981,100.0008,100.0008,100.0008,100.0008,100.0008,101.6771,103.9628,103.8747,102.275,104.3134,105.0502,104.665,107.2254,106.3339,100,101.5031,103.7361,103.6396,102.1163,101.7689,103.5294,104.706,102.7585,107.2156
Sri Lanka,,,,,,,,,,,,,,,,,,,,,87.1794871795,80.7692307692,76,94.2028985507,114.9253731343,94.1176470588,90.1639344262,92.4242424242,88,85,82.4175824176,80.4347826087,95.6043956044,100,98.8888888889,99,100,105,,,100,98.28,97.16,93.51,87.35,82.03,79.36,74.89,69.1,78.48
Sudan,,,,,,,,,,,,,,,,,,,,,91.1392405063,106.3291139241,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92.87,88.94,101.98,117.93,156.42,176.02,181.68,226.71,152.47
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,92,97.12,104.26,128.34,128.46,156.03,154.36,153.72,151
Swaziland,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.63,97.44,93.66,90.77,92.93,97.84,90.13,99.6,112.83
Sweden,,,,,,,,,,,,,,,,,,,,,94.86423,92.49229,90.63718,89.83691,91.80431,92.69228,103.9869,105.6033,107.4871,109.0813,108.5023,108.6088,108.3675,104.744,105.5102,110.242,108.5838,107.4316,108.0811,103.9699,100,97.0882,95.07224,94.82819,92.4376,89.72522,88.23404,89.55928,86.58907,89.61368
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.82458,88.15166,89.67439,92.13398,90.32191,92.30883,96.23312,96.41087,97.41753,95.84805,98.77312,102.6375,100,101.1427,102.2241,101.6618,101.4056,98.1078,96.38486,96.42233,99.35094,106.5852
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,90.43,91.49,97.62,106.83,129.12,130.3,133.59,144.99,148.26
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.3773584906,127.7777777778,120,107.4468085106,111.4583333333,98,100,107.8431372549,97.98,95.28,98.68,98.4,99.08,100,95.19,98.3,101.7,103.01,97.96,109.03,110.02,107.93,121.13
Thailand,,,,,,,,,,,,,,,,,,,,,151.5625,132.3943661972,120.2898550725,129.2307692308,126.5625,118.0327868852,130.5084745763,129.2307692308,127.397260274,122.0779220779,118.5185185185,117.6470588235,120,119.7674418605,121.5909090909,116,114.41,115.09,108.16,107.37,100,92.16,92.23,94.33,96.02,96.86,95.79,96.13,94.3,97.07
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,118.2692307692,122.7272727273,125,126.3157894737,136.4864864865,138.0281690141,136.5853658537,130.4347826087,133.3333333333,130.9278350515,133.3333333333,124.7619047619,127.5229357798,90.4761904762,95.0495049505,99.12,92.37,100,114.85,114.14,100,37.71,30.44,24.35,29.51,21.4,20.43,21.75,30.36,28.56
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98.57,103.27,98.67,96.98,88.41,79.82,69.92,64.88,77.16
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,175.9291050776,171.691272621,145.2427378065,143.0952086449,142.0288064688,137.0072411992,98.2053192888,89.9642671482,77.1819696045,84.7388613322,100,,,,,,,,,,100,98.37,92.56,106.35,111.72,123.73,136.35,134.06,157.12,130.95
Tunisia,,,,,,,,,,,,,,,,,,,,,123.595505618,119.2771084337,118.4210526316,112.5,112.8571428571,111.4285714286,116,116.25,119.0476190476,117.8571428571,109.1836734694,104.0404040404,97.1962616822,95.0980392157,93.3333333333,95.8,99.17,96.46,96.43,97.27,100,100.22,100.12,97.05,93.95,92.65,89.67,89.65,95.06,94.27
Turkey,,,,,,,,,,,,,,,,,,,,,109.0909090909,103.2467532468,95.9641255605,95.3237410072,107.1782178218,95.7142857143,110.1694915254,117.4603174603,114.4,105.7692307692,109.0909090909,111.214953271,115.3846153846,120.4081632653,109.6153846154,105.74,106.96,111.43,110.89,109.38,100,97.73,97.14,97.07,97.62,96.74,92.15,94.71,91.16,94.98
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,165.2173913043,247.1698113208,295.6989247312,315.625,295.2380952381,191.7159763314,191.6129032258,183.0769230769,145.6896551724,133.9622641509,120.3883495146,113.4615384615,131.4285714286,197.17,157.66,156,139,120.62,100,94.54,95.11,96.41,95.99,100.89,105.95,105.17,106.23,120.42
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,93.41,91.72,101.02,114,138.65,149.16,151.32,174.61,134.71
United Kingdom,,,,,,,,,,,,,,,,,,,,,106.5107,106.7676,105.1923,103.3998,102.246,102.642,96.97195,97.44839,99.43493,99.60289,100.7887,100.9492,102.1395,104.3241,102.9573,100.1477,100.9734,102.5475,102.6831,102.1383,100,99.69129,102.2646,104.8774,105.454,105.2955,104.2885,103.6596,104.6325,103.9933
United States,,,,,,,,,,,,,,,,,,,,,90.53699,93.69633,96.33652,101.5297,101.0879,102.8914,107.53,102.0002,104.1269,103.7041,101.3715,102.2839,101.5727,102.3776,102.8232,103.3394,102.863,104.0286,107.0527,104.8008,100,102.7991,104.3582,102.9771,101.2381,97.16645,95.95435,96.56176,91.81276,98.95343
Uruguay,,,,,,,,,,,,,,,,,,,,,140.6976744186,102.5210084034,106.6666666667,100,106.1224489796,98.9473684211,117.8571428571,127.2727272727,129.6703296703,124.7422680412,115.8415841584,113.7254901961,110.6796116505,109.0909090909,108.9108910891,116.19,112.26,111.43,119.39,110.75,100,104.04,102.6,103.47,99.92,90.74,88.58,88.74,94.09,98.47
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,91.34,106.28,103.92,103.74,93.87,99.3,83.87,83.54,95.36
Venezuela,,,,,,,,,,,,,,,,,,,,,154.1176470588,157.9545454545,145.0549450549,154.5454545455,144.3037974684,143.0555555556,76.3157894737,89.156626506,67.3913043478,77.4193548387,89.5833333333,73.1958762887,69,64,63.3663366337,63.39,73.39,70.87,50.98,68,100,82.22,87.58,98.71,118.08,154.41,184.4,202.13,249.47,187.1
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,96.34,96.69,94.38,93.55,96.03,94.71,91.69,94.64,97.35
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,88.75,91.47,97.91,113.76,139.16,152.45,149.37,167.48,126.61
Zambia,,,,,,,,,,,,,,,,,,,,,222.4719101124,163.6363636364,120.1834862385,154.1666666667,162.3529411765,186.1538461538,204,255.5555555556,312.3076923077,166.3551401869,206.862745098,152.6717557252,126.4900662252,123.2394366197,151.2820512821,189.66,152.25,141.74,112.87,87.13,100,93.52,91.08,95.12,112.58,125.41,197.56,193.82,171.18,155.9
Zimbabwe,,,,,,,,,,,,,,,,,,,,,84.8591549296,72.2972972973,73.3840304183,81.5533980583,95.1086956522,96.9135802469,97.7011494253,96.8085106383,97.5124378109,96.1165048544,97.5124378109,98.3606557377,100,97.3154362416,97.972972973,96.75,97.6,96.93,97.32,97.09,100,93.17,94.16,97.74,101.7,91.52,86.18,92.33,84.08,90.94
