Male 40-59 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,14.3297015632402,13.9381985535832,13.6154000401043,13.3878292461399,13.2161458333333,13.0818155536282,12.9888075169269,12.8293601003764,12.7796506282562,12.3506825938567,12.0101494220468,11.8244840081928,11.8185435734182,12.0254949517739,12.3236858802284,12.7878996218632,13.4544205746556,14.3786597267404,15.5250007759397,16.7248573618326,17.8591991625229
Albania,14.2857142857143,14.8201438848921,14.3386897404203,13.6219640971489,13.9814814814815,14.40329218107,15.5297532656023,16.1755075311067,16.7753408417309,18.8332276474318,21.0353866317169,23.0369889682025,23.9769820971867,23.503740648379,21.9512195121951,22.2689075630252,24.6255242660276,27.8245192307692,30.1577669902913,28.9828431372549,26.583850931677
Algeria,15.8602150537634,15.222244773696,14.0018399264029,12.6565369844715,11.4549241297233,11.6820655613214,12.3106261256489,11.5080079179413,11.3013429670934,12.2317295553374,13.9163201663202,16.5701881331404,19.2103349924501,21.252470612712,23.6550748670926,26.1766065649561,28.0567879325643,28.9310878157759,27.7684774420357,26.1044012282497,25.1772192685677
Angola,14.5177165354331,14.3499775078722,14.0822140822141,13.63467951093,13.2707774798928,12.8212791392708,12.3156532988357,11.7787938166776,11.2147753236862,11.0715441890579,11.1963626030122,11.42578125,11.8312867058195,12.0931537598204,12.5745033112583,13.2948831706596,14.3238374808193,15.6244302643573,16.8099118205157,18.1658667492388,19.2684802460829
Argentina,21.4771182600816,21.745424464895,21.7752723103382,21.918418240114,22.0173535791757,21.5557275541796,20.6028343284656,19.9502755006048,19.7796695042564,20.1019153048673,20.7082965578111,21.2319031324033,21.4178281359671,21.9470128874623,23.4176632934683,24.5123739281113,25.645342312009,26.4681066486669,26.3197087539302,26.2122877732991,26.149945671858
Armenia,16.5109034267913,15.0134048257373,12.3470522803115,11.1214953271028,14.2276422764228,16.6062364031907,20.2783300198807,19.2519926425506,17.6162790697674,18.782722513089,20.1936376210235,24.0559440559441,24.3580846634282,22.5409836065574,20.6060606060606,21.5003348961822,25.6548018804567,28.6774628879892,28.561736770692,27.1791352093342,25.3138075313808
Aruba,12.5,15.7894736842105,17.3913043478261,14.8148148148148,14.8148148148148,16.6666666666667,19.3548387096774,20,25,25,27.2727272727273,30.6122448979592,34,34.6153846153846,30.188679245283,27.4509803921569,24.5283018867924,25.4901960784314,26.4150943396226,26.4150943396226,28
Australia,23.1418918918919,23.1429798196651,22.8785837983452,22.976231484671,22.5514660012477,21.538236584296,21.2319433088035,21.2935954343691,22.6787181594084,24.4784731469152,26.4248159831756,27.4772996446901,27.190275829827,27.0390465178333,26.1227608455726,25.459723352319,25.2449251508739,25.0550117611351,25.1124051006118,24.7900667480083,24.5676678568928
Austria,27.8036657347002,27.819083023544,24.3441122635754,22.2287562481623,21.3534262155246,21.1672717118123,23.4585201793722,24.7003066629495,24.9727668845316,25.4768748366867,27.0591272915053,28.7428142964259,30.603764360792,31.1534749034749,29.9522673031026,28.196643819428,26.6290284638908,26.4346190028222,26.2623879188296,25.4092526690391,24.5526127415891
Azerbaijan,17.0212765957447,15.7360406091371,12.5067096081589,10.9954751131222,12.8133704735376,14.8828828828829,18.2121414276184,17.1331897877576,15.386795126098,15.0630914826498,17.3110942633308,21.7391304347826,23.7877401646844,23.6881882962643,22.4860623580425,22.5806451612903,25.3438113948919,27.6636962417668,28.0398925968546,27.0765705556616,26.2342135476464
