Female 40-59 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,14.3438453713123,14.0636042402827,13.8385146804836,13.5838715991388,13.3602528089888,13.1472239550842,12.9546809779368,12.7324991545485,12.6527915427816,12.1928817451206,11.8621804587249,11.7074409548802,11.7110699529848,11.9285498032092,12.2335689971197,12.6970227670753,13.362792029786,14.2830929575397,15.414283814337,16.593740504406,17.6994122586062
Albania,14.4518272425249,15.0584795321637,14.2678347934919,13.8079827400216,14.2857142857143,14.6464646464646,15.8668730650155,16.4689462665736,15.9700561447286,17.7491961414791,20.0259235255995,22.4061107574793,24.1443683883012,24.4860943168077,23.7786933490288,24.3789716926632,25.7731958762887,27.6949541284404,28.736295441431,26.7909143855562,24.5271867612293
Algeria,14.4356343283582,13.7037810737414,13.2712022367195,12.5421443020904,12.4252775405636,12.9127649088221,13.0815194195476,12.349836184929,12.2917497010761,13.0301299443096,14.3707820563716,16.7957227138643,19.1825333485349,21.2608027145963,23.6957169830071,26.1788235294118,27.9507864257064,28.6702636846228,27.3760243304891,25.5958506565677,24.5662174158664
Angola,15.2389966871746,15.0281507145951,14.6828504306969,14.2195295794726,13.810906744111,13.3544851456591,12.8256513026052,12.2651467173316,11.6614304195158,11.5547869831787,11.7232808616404,11.9881305637982,12.3883696780893,12.5920538230748,12.9787576440296,13.596837944664,14.5958908548837,15.9003718349761,17.1235102925244,18.5400290392029,19.670145359672
Argentina,19.6516516516517,20.6600021498441,21.2978369384359,21.8854007376091,22.2749209519055,22.0024438674202,21.2165859818985,20.5345501955671,20.1270801815431,20.1762811458274,20.5453965553902,21.0011653240107,21.1903267847661,21.6685123661868,23.0411274596703,24.0364460794798,25.0466979369889,25.7257378841249,25.4387007328184,25.1954112385767,25.0038325923655
Armenia,16.7134831460674,17.9141104294479,15.9255429162358,14.4748455428067,16.3947163947164,17.7608845888044,20.9697732997481,19.5894428152493,18.3114035087719,19.76401179941,21.7791411042945,26.6666666666667,27.7744087325652,26.4038231780167,24.8075784487863,24.9555423829283,27.9263220439691,29.6940611877624,28.0584297017651,25.4478072884497,22.8336495888678
Aruba,16.6666666666667,14.2857142857143,16.6666666666667,15.3846153846154,13.7931034482759,17.2413793103448,19.3548387096774,21.2121212121212,24.2424242424242,25.6410256410256,28.2608695652174,32.6923076923077,33.9285714285714,33.3333333333333,30.3571428571429,26.3157894736842,22.0338983050847,23.2142857142857,24.5614035087719,24.1379310344828,25
Australia,22.9258713794796,22.6132864056313,22.3883533346449,22.6342487318524,22.2204624643649,20.9696433834365,20.4594888526373,20.3006568974229,21.6518898740084,23.69605797738,25.8979401718249,27.3409334502582,27.3021449704142,27.1847223444513,26.162253047499,25.2900418949404,24.8178012094898,24.3344581927259,24.2172710062618,23.8297872340426,23.5786995360432
Austria,28.8942695722357,29.3706293706294,26.6684392448817,25.885699508663,24.1073689541656,22.391793845384,23.4304369663486,23.0168723243516,23.2174130597948,23.9590942293645,25.5324298160697,27.2276057669582,29.1637549499185,29.9329169558177,28.9195402298851,27.3787740164684,25.8152793614595,25.3248233416914,25.0057142857143,24.1102181400689,23.1977818853974
Azerbaijan,18.8642297650131,19.9314677327242,17.3399014778325,15.1246303337558,15.251690458302,16.1578044596912,18.9496994621955,17.4408413672217,15.9967409016839,15.7325961296808,17.5948151704273,22.6654369379756,26.2165716790881,26.8974145120934,26.1165631884638,25.6864654333009,27.0781578444487,28.6333647502356,28.1874183311555,26.4645713222987,24.9533059394845
