Per capita total expenditure on health at average exchange rate (US$),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Cook Is,267.60857923,243.35793713,190.4635361,177.51092896,161.09014288,174.5537669,246.01448884,227.86395703,323.83758201,362.37631151,439.16156289,383.74615186,456.79202297,448.66090355,434.7938111,538.69321895
Costa Rica,219.94649435,221.45811276,216.30928897,235.82515632,255.14934986,265.51108861,292.29394057,316.34171056,327.20173636,341.4868806,359.77611079,409.92957869,524.33888345,617.698283,666.76765603,811.43805168
Cote d'Ivoire,37.92615747,44.70402422,46.61410676,52.95703912,42.93139812,31.77352881,24.69648698,23.12727034,29.72774894,36.86569398,39.02706288,44.26443267,61.25118446,71.8341187,61.04527379,59.74525371
Croatia,323.35682802,369.13695241,301.78666152,372.19176553,371.97604186,377.04391864,375.69181317,374.6882405,495.37920285,613.97806746,704.89767859,789.81451904,1008.04586996,1224.05169259,1112.0023313,1066.72460606
Cuba,112.66451113,120.21748609,126.96687963,134.66451803,153.76356486,167.68041996,179.48641566,194.79682311,201.87752959,205.90161753,301.54299654,358.13539721,585.94379564,584.63866145,672.20393273,607.02721936
Cyprus,706.38044547,754.99585541,716.3966026,764.37227358,781.09886248,743.99542999,776.31481251,885.8897118,1234.93606602,1341.17278008,1407.99818006,1465.96997439,1674.05996645,1917.63775016,1794.39267013,1704.5280683
Czech Republic,374.43104879,403.33844413,369.41879905,398.13532593,383.83183533,361.41842127,404.36824226,522.59381262,666.17218713,770.88327586,881.24404895,967.38095359,1140.34198614,1473.82837181,1494.55579925,1480.00298496
Czechoslovakia,,,,,,,,,,,,,,,,
Denmark,2827.29975883,2878.18788198,2628.59554232,2670.81276001,2926.94834972,2608.77719273,2726.07501987,3018.61641409,3751.23129125,4382.21584871,4645.65387608,5008.28220882,5664.94817648,6345.45678188,6451.70353569,6421.50085221
Djibouti,31.99253183,30.67193109,34.00650267,39.43436941,46.89280721,43.73829624,41.42322494,42.44570964,50.08479836,47.42566031,63.16910882,65.79296173,77.96119213,82.4769433,94.42731972,91.66213141
Dominica,185.60556521,198.87427886,212.7724088,216.16640711,226.97439951,231.24226534,236.25797237,238.35902106,242.98865339,247.61050077,261.08357178,278.92013586,308.66350276,328.09992757,342.06480278,419.25765732
Dominican Republic,108.32301053,112.49145655,132.76790367,142.91588309,150.26650229,174.77661059,174.05146706,178.2827209,132.60474163,126.06781435,198.41399529,211.01455384,231.0647034,269.10607004,278.74872192,323.34566862
East Germany,,,,,,,,,,,,,,,,
Ecuador,72.90344452,80.84272201,88.45520801,83.42084538,64.90718762,53.5810289,78.24310417,107.49718366,144.95173202,163.31791937,181.56643696,205.08723731,228.48132409,270.06460048,320.94090733,328.19946568
Egypt,37.44497199,45.61272749,58.54551543,65.78950512,72.76944074,78.61416882,75.77551838,73.60372934,58.07410411,58.84837863,65.90719129,75.24379675,84.63868769,101.23318902,113.62026791,123.18763023
El Salvador,105.69782229,134.99319595,155.29782571,168.50703111,168.07382323,176.5397568,181.04175526,183.30946987,183.10650284,189.3248266,201.45399241,202.88126293,206.98687236,215.93487107,227.74417528,236.78373284
Equatorial Guinea,21.83155476,26.50894655,43.9166388,48.98316016,39.85588561,46.41342775,64.44613594,145.4983493,124.970588,189.02097166,229.5388585,278.72552087,371.55163951,750.74928627,804.46772997,896.18667337
Eritrea,8.43354757,7.76044363,9.10124162,9.33540879,9.08285662,9.08761071,9.16608481,7.46286692,7.70160681,8.18099655,7.83648298,8.41136461,9.04065069,10.65961855,10.67304469,11.90349972
Eritrea and Ethiopia,,,,,,,,,,,,,,,,
Estonia,165.71357227,219.32359379,222.72520888,222.92986046,271.37095265,250.00258743,252.19089163,298.41209727,408.86516384,517.19803465,516.62048059,623.29166648,835.69732601,1057.76180424,967.3020095,853.32661218
Ethiopia,3.99363832,4.22214438,4.40284032,4.54183373,4.51079263,5.31784682,5.65429708,5.30305343,5.92334399,5.99189911,6.80179943,8.32978487,11.79987036,14.04323536,15.54930077,15.71461791
Faeroe Islands,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,
Fiji,78.28403127,87.89687564,92.33541517,65.5691611,75.05774264,79.82862477,66.35811076,78.05817904,94.21143946,119.11142053,131.87655787,143.77865221,151.92802923,153.0510915,145.39712204,154.27682267
Finland,2010.20422132,2011.35348458,1845.9547342,1850.70025151,1860.19288534,1698.62736221,1783.87121576,2029.68047383,2568.22029219,2968.72720411,3145.76119153,3295.04121261,3743.79526217,4253.8644363,4078.47730688,3984.33591437
France,2739.73277683,2736.95497709,2435.32317818,2482.00824887,2451.71894474,2202.70236216,2234.30695655,2489.20315816,3158.75633408,3630.42719502,3784.93852245,3947.38476387,4483.03121077,4940.96210783,4839.85401117,4690.93184981
French Guiana,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,
Gabon,136.35025661,150.20063841,117.07776119,133.81705013,115.54490657,102.36531017,106.63902235,122.283802,153.52928006,160.06792822,164.22255412,190.89924464,233.69018814,263.33276432,265.73670233,302.06784432
Gambia,21.22260284,18.85001126,17.81173875,20.51438636,19.75364092,18.78697732,18.18135894,15.76195642,15.14289327,17.24669004,18.89514097,19.24748096,21.49527066,26.37122177,26.77427946,26.12479413
Georgia,29.01632333,45.96064888,56.9572553,48.6460068,36.67806407,44.7129693,53.7079071,64.03320887,74.11171636,96.75202342,123.13146863,146.34171633,188.1498862,261.87692087,250.9573636,271.62547155
Germany,3126.31438623,3102.38847292,2699.91599411,2734.41470389,2691.20688618,2387.1595913,2400.53408061,2610.3461823,3208.9764495,3527.97925712,3626.47487191,3747.89919035,4230.81650913,4718.15917267,4722.74313675,4668.32532819
Ghana,19.95445266,20.39357869,20.48672645,21.31753527,20.4574842,12.32307303,15.16446481,14.57878352,17.95303337,25.81905572,34.81729838,47.97294447,65.56446253,68.51149554,54.4712386,67.03337705
Gibraltar,,,,,,,,,,,,,,,,
Greece,1063.91142234,1112.59836674,1063.95733988,1054.59208697,1113.65982798,917.20984872,1053.46732823,1220.5698782,1576.8087706,1805.3126866,2088.95459737,2288.5302518,2677.09804954,3078.40821387,3015.47337593,2729.36505193
Greenland,,,,,,,,,,,,,,,,
Grenada,190.52352074,203.43228658,218.93162957,247.31412965,291.52324115,339.34735547,392.35346545,353.6918608,359.37599096,335.73723249,412.26749556,435.74701686,448.14073121,474.09007171,462.1011115,439.22314085
Guadeloupe,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,
Guatemala,53.71958113,55.65335014,63.92914194,74.56116073,79.88646585,94.91066023,103.64084087,109.01781469,114.87610791,122.84051541,136.16012633,170.35576155,183.88841435,198.5067007,189.78121359,196.89339858
Guernsey,,,,,,,,,,,,,,,,
Guinea,27.05847505,27.78167125,26.33589615,24.9694457,23.66483965,21.08740546,20.05078989,21.43139054,21.64500386,21.93895908,16.21743864,16.86670183,22.75084471,25.97621308,25.12769794,23.00746998
Guinea-Bissau,25.50951958,20.2808109,16.04043905,12.21491086,10.61591894,10.74106778,9.23203015,10.97857786,20.36264961,21.64025416,23.48284404,23.71237427,27.49815215,33.13959396,47.99698967,46.8536096
Guyana,41.51308059,45.42281674,51.03552629,49.3514836,42.83667007,54.27928,53.43308433,56.26579087,55.69764551,80.24661531,101.83435404,116.74889931,122.56129523,153.50783449,166.71789131,158.78327698
Haiti,22.59933187,23.84446923,24.56185038,26.99015227,27.20051074,25.6786892,22.46970429,18.88228631,14.64248738,18.39393533,19.58806347,29.34141425,34.5391947,35.33440734,40.08593274,46.40791023
Holy See,,,,,,,,,,,,,,,,
Honduras,37.9190015,35.48398984,39.47095508,49.70827984,50.72119774,62.1655117,65.71121236,73.68115665,79.69370658,85.09728331,82.70943658,89.03091094,102.22123151,115.68858452,134.45597568,
"Hong Kong, China",,,,,,,,,,,,,,,,
Hungary,323.22695769,315.3165681,308.82049747,335.16438594,345.16029017,326.02620155,374.7306725,496.12773805,689.72500193,812.50986227,909.25530189,907.89204974,1023.25819548,1118.72597813,957.03703748,942.34499939
Iceland,2213.01650059,2274.57636629,2649.20985568,2783.5383184,3218.81651104,3034.09443276,2674.09079584,3228.47406935,4026.29005759,4560.14035045,5321.77865422,5150.58786929,6175.1459531,4929.15294483,3698.07832154,3722.25376943
India,15.73576201,15.85808367,18.35371925,18.40926443,18.22755347,19.5693972,20.92409913,21.05781072,23.6566076,26.43529895,30.62026436,33.07905268,40.39964904,43.12475092,44.32984661,54.24549406
Indonesia,19.80628368,22.45919435,20.33183162,9.54915768,15.15809449,15.13273463,16.57182934,19.97728503,26.81440356,27.07512836,30.14689749,39.65636774,50.56796819,53.36093578,56.35137088,76.89321523
Iran,68.14677324,86.10193265,109.92425764,134.06929521,177.6892197,231.00405281,293.52512133,101.81464978,96.64595431,116.75083306,156.1094191,174.35617093,219.91363806,276.56244084,287.14721355,316.92538673
Iraq,,8.53208064,8.88601931,9.16248672,15.19664608,34.26055252,24.49723094,9.5306084,18.34513167,62.4109394,61.94071822,66.05678727,107.94831482,160.73176522,200.41468821,246.75322661
Ireland,1237.50559769,1328.20713782,1402.20842514,1459.44764565,1558.21722626,1561.43646069,1831.00019971,2206.03485082,2908.08055186,3449.25215934,3693.45646364,3925.56003021,4552.41276529,5241.04343506,4713.57133976,4241.63794469
Isle of Man,,,,,,,,,,,,,,,,
Israel,1280.97853989,1383.87789425,1438.01484552,1396.72760951,1322.80216096,1456.73074405,1502.29826835,1337.65752696,1367.5729399,1414.33142055,1485.20358356,1542.73247755,1737.4308798,2073.08312967,2004.32231549,2183.22302984
Italy,1437.51163718,1634.46978989,1604.37160115,1652.7340042,1643.31300953,1553.92070865,1610.53600547,1778.17199054,2183.51499526,2570.22323864,2711.71165191,2850.58836582,3094.56601399,3471.67858616,3323.34057517,3247.67931731
Jamaica,96.62394491,123.02210105,177.84243841,175.00836291,161.732701,189.45575915,178.32292064,179.71708179,162.43629194,183.41494866,170.5087824,186.72882085,230.11441945,272.32557757,227.58675619,247.27997906
Japan,2891.41336589,2600.12677309,2361.91649726,2221.30636806,2603.80209074,2834.2096802,2550.51782782,2453.53916465,2691.77029205,2912.80548342,2927.70623489,2795.61247886,2805.83281494,3253.10202246,3754.17193319,4065.41894622
Jersey,,,,,,,,,,,,,,,,
Jordan,127.20711832,132.22223701,145.6608702,157.30296597,160.52344822,169.22262337,181.00955562,186.27627515,185.9062966,202.60398763,205.55755733,218.11427706,251.95912877,329.55214282,373.28790924,357.43869743
Kazakhstan,48.35740082,58.26432613,67.03209249,70.21773769,49.07317418,50.96332432,51.6894117,59.8259656,76.25206654,113.3777724,153.2940204,208.53635249,231.72461399,329.80684978,325.93625355,393.10063597
Kenya,14.05697094,17.72537127,18.65775946,21.32192039,17.76721707,19.0362959,18.71313774,18.12122624,19.61219562,19.89318382,22.93377302,27.79488621,32.12121197,32.99259206,35.53647406,36.84523849
Kiribati,70.39629851,80.11517874,81.61977558,58.34942056,76.14007434,64.41062637,65.98524079,74.75724802,101.45687167,117.72039565,115.97588627,122.27039108,176.78293776,171.10824536,158.78224324,159.61174743
North Korea,,,,,,,,,,,,,,,,
South Korea,441.894088,493.58600029,454.37961623,312.96982004,422.47728823,508.4603649,538.79152205,594.43805852,696.92070859,789.14176944,994.21252582,1191.72067557,1364.58166338,1237.40068635,1184.2313743,1438.78306107
"United Korea (former)
",,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,
Kuwait,629.13999413,671.20253118,668.67819714,652.20872634,595.79718266,487.53971459,626.27936493,656.72167099,727.18238892,747.64336392,848.99014891,973.71363319,1000.04417483,1116.62940353,1578.75097298,1223.29573528
Kyrgyz Republic,22.32242556,24.751517,20.65968797,23.35560495,15.27470778,12.93295436,14.65312724,17.44204605,20.82518398,24.56674079,28.40779214,35.79965012,48.6514657,56.32633626,57.02567097,53.47824202
Lao,15.25084643,17.57612567,21.99466057,16.03570625,10.36693736,10.82220624,12.9092507,12.86773763,17.62598519,19.43193485,20.15839978,23.16783174,27.63144142,38.74417838,39.09077981,46.16728607
Latvia,115.24748105,140.64523296,160.06976651,175.70363598,196.25589278,196.58555787,215.23996917,248.16731278,295.1813912,386.903805,441.37874249,590.45990319,881.71641385,974.29906376,756.40127587,717.58085486
Lebanon,360.93608207,414.40239347,501.56439807,541.89613616,490.3212355,455.22367095,432.87076239,426.91043131,419.87723857,452.55409542,434.32690671,446.05875109,510.09092722,555.76301814,617.13146173,651.04259242
Lesotho,36.63066875,34.41481831,32.07559144,29.42428545,27.64470776,26.63885991,26.74114726,22.5691039,32.99371681,41.37764244,41.09428512,47.6367792,63.94193623,66.26062832,75.0272649,108.86118289
Liberia,,,,7.29474701,8.54845995,9.96210213,9.73139998,8.90498635,6.87571772,7.55627885,8.69953611,12.11914769,24.83121951,27.47533374,27.99046453,29.15712966
Libya,187.13327545,187.6535779,200.31153167,213.94417778,215.30211556,216.43207113,221.81569952,182.0256853,190.97711335,203.80099913,223.08372284,241.40431438,340.50950288,468.62516883,427.23641942,483.72488857
Liechtenstein,,,,,,,,,,,,,,,,
Lithuania,99.68036152,130.63638383,162.5783173,192.71405629,193.09346802,212.24460637,219.74549737,262.49884886,351.07665755,374.08279466,445.99761202,552.07120519,724.86750045,934.40671484,835.61777423,781.41967969
Luxembourg,2815.88029431,2810.23339462,2470.73640073,2582.97675929,2867.50912412,3473.53224624,3387.54686201,4182.41166989,4949.0897573,6107.19456572,6435.02843959,6982.19106359,7625.16870987,8054.81635894,8262.37961206,8181.10261057
"Macao, China",,,,,,,,,,,,,,,,
"Macedonia, FYR",200.71932621,202.27203341,177.93578224,187.22926601,164.47252878,156.72612887,144.96729573,175.09119522,218.47578214,237.15107224,237.67163567,251.99306809,274.16154661,326.64042808,311.42637673,316.87077326
Madagascar,6.73619863,9.30241117,8.55261036,8.25387437,7.99496669,9.37516118,10.95218882,10.35883556,11.45986138,9.16536035,10.41381264,11.83371651,16.00357522,21.642137,17.75463612,15.90011218
Malawi,6.95467768,10.56340732,13.32004176,9.19798397,10.58562727,9.41203952,7.53352979,10.86170165,12.67205666,16.45048459,17.63333885,21.24139409,19.74197454,21.2317324,25.35577319,25.62494812
Malaysia,124.11319458,136.73410755,123.09095998,95.89780454,106.74122258,124.56994635,138.17413974,149.33655763,185.00740433,190.21941375,188.23062815,230.41730938,261.89762617,306.35306225,316.47750722,367.91860286
Maldives,95.78387504,112.092734,124.29820996,129.70873517,142.79049938,162.15838771,152.40894508,151.07955922,209.813447,236.05006409,270.43676331,317.15067347,339.37960605,454.99057309,355.30508251,382.47500438
Mali,14.41309263,21.58291449,18.23216139,16.9858031,16.20183902,14.79404768,16.5732468,16.78542909,21.31244621,24.49686153,25.04218023,26.5177339,29.60668871,33.62161099,33.08878336,31.65952422
Malta,591.41110042,638.78192988,635.49886571,663.17453078,657.06649801,642.75422502,674.58298506,838.78623819,1074.78447293,1249.37686939,1394.39762023,1446.33185623,1580.86880798,1596.18750451,1667.74046334,1696.9187267
Marshall Islands,373.82572595,412.1824206,407.42908531,384.70287325,374.35515811,465.64773228,412.35744567,418.63196712,385.25649677,420.25396629,422.43960105,459.27073897,489.75479014,476.04800988,540.32396313,520.38008456
Martinique,,,,,,,,,,,,,,,,
Mauritania,29.42597424,23.29863287,23.01306073,23.84502662,27.63861904,24.25812228,19.56861769,24.36051865,23.86559725,28.59776165,29.68051027,30.7300285,38.6917721,47.27623307,37.93145194,42.68553844
Mauritius,128.59989828,135.43185253,126.96789556,126.88854577,126.26931441,144.98352441,145.15094141,165.40325654,183.46449914,220.02868655,232.35327721,263.22301737,316.61776744,395.07092927,382.24770499,448.9274513
Mayotte,,,,,,,,,,,,,,,,
Mexico,176.1139258,183.00960175,223.42730209,235.54328705,276.8059349,327.8492275,372.875884,395.87458491,396.96160206,439.94089291,477.81054265,514.37434839,564.18530268,597.703288,523.73961625,
"Micronesia, Fed. Sts.",189.1621115,174.63045313,148.72967039,141.96888649,155.53255001,170.44538435,189.71195161,176.56358084,215.20654321,227.84360455,276.73438799,274.77662103,278.81479867,306.0551423,335.93721913,366.20530789
Moldova,30.07542781,40.37456551,42.71570891,30.93919198,16.55639906,23.54693119,29.01035187,37.00297429,45.67758423,61.16744631,76.08737945,100.98490395,133.92651616,193.56839177,190.50656257,190.41303705
Monaco,2877.44518694,2768.43116727,2632.0029009,2641.95488684,2805.42446757,2434.80271429,2483.48494621,2752.87919858,3908.18745049,4596.8660481,4794.16218606,4945.74145026,5626.07463209,6692.00300296,6657.82459346,6325.54241865
Mongolia,19.40734558,21.04182654,18.76718799,18.15838332,17.88312033,21.64384641,23.64654231,27.34339421,27.4570274,30.32711932,33.31322447,46.9329599,73.57494515,120.31288077,96.53722063,120.10831088
Montenegro,138.7294079,101.78445273,101.26058478,103.75971325,101.65075968,116.81572707,155.42010178,175.4177335,248.60025787,287.10672022,313.49371156,354.99429645,458.43460853,573.91692048,621.23442873,578.34877165
Montserrat,,,,,,,,,,,,,,,,
Morocco,47.87469723,51.5565498,49.33083551,55.09300769,55.671864,53.75052386,57.4825891,72.83999862,87.89555503,98.73465172,98.95982891,111.89550498,125.48391677,147.36903771,151.51309,147.95034571
Mozambique,7.27592516,8.42895343,10.29483756,11.38465051,13.25586434,14.10775754,11.9316812,13.06759525,13.34501943,14.22585207,18.31709601,18.07752057,17.68416765,18.09859681,22.9572644,21.33926933
Myanmar,2.56896003,2.53995786,2.02695709,2.01587002,2.59805924,3.38430644,2.62253668,3.0195901,3.99363396,4.93824009,5.13618933,5.81258398,7.52487452,10.65229369,14.28581314,17.14426649
Namibia,132.01090509,134.85418239,143.21525907,128.91170358,127.48873803,126.04783947,113.1389719,105.02988641,160.17612312,209.25154132,255.5161534,271.10156895,283.31069475,275.23664539,296.72591182,361.30572527
Nauru,550.37400304,476.09421189,425.13961705,348.80186917,363.59537315,333.06225136,312.77435782,344.77443731,429.59525266,358.88796761,398.8186886,407.76947359,494.20647406,577.23165026,595.47971759,713.25674642
Nepal,,,,,,,,,,,,,,,,
Netherlands,2256.66729666,2210.61555225,1968.53703392,2067.16920631,2105.04177597,1924.63272272,2072.17882123,2405.06830073,3242.74456902,3735.3731685,3846.01128831,4032.10309412,4625.9037923,5236.86553894,5750.93364856,5593.05223138
Netherlands Antilles,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,
New Zealand,1188.85808088,1277.9283238,1297.29287352,1124.06057236,1153.42383211,1051.43872688,1051.51110931,1244.18121039,1601.80433396,1973.78522296,2288.12755318,2295.1794552,2694.32672044,2820.19798906,2701.85931545,3278.61660992
Ngorno-Karabakh,,,,,,,,,,,,,,,,
Nicaragua,57.76325346,58.3285871,47.94370702,53.09791738,51.67614217,54.27717373,54.66567741,57.19065976,61.55284211,66.25797668,71.2220624,78.21907203,92.67874475,105.21340786,103.94291563,
