Female 20-39 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,28.0264496439471,28.150765606596,28.1519861830743,28.107261695048,28.1776685393258,27.6668746101061,27.2361359570662,26.8684477510991,26.4948794185662,26.4523536165327,26.4423562695766,26.7078642173876,27.2830887590825,28.0290644868302,28.8504844200052,29.5280671029588,29.9742236406039,30.5662593122683,31.3173294321053,32.1330902461258,32.8743352924713
Albania,26.578073089701,26.9005847953216,27.4092615769712,27.6159654800431,26.8684957426679,27.5252525252525,28.7151702786378,30.7745987438939,32.9382407985028,31.9614147909968,29.3583927414128,29.3443666454488,30.1182327317984,31.2575574365175,31.3713949381989,28.5961871750433,25.6586483390607,23.5091743119266,22.4466243508367,22.8305183459522,22.6359338061466
Algeria,27.3554104477612,27.6582410695634,27.4370922646785,26.5509103169251,24.779390834045,24.5687530803351,24.7865983781477,26.6381507098653,28.505380629733,30.2870198486363,33.1216091041419,35.6501966568338,36.6833884391746,36.1327607231854,33.235615621584,30.1505882352941,28.1986569922033,27.3257331824906,27.7604122666216,27.4894002387519,26.2811718182552
Angola,28.8215806909607,28.2806409701169,27.5254502740799,26.6571632216679,25.782510487254,25.8148254975483,26.002004008016,26.3035676588558,26.6124561079283,26.4738248703034,26.7881800607567,27.1454005934718,28.0166147455867,29.0571870170015,29.7714837463791,30.7366151634926,31.226910363601,31.8243522398631,32.4864572047671,32.6941370850648,32.76183376817
Argentina,32.984984984985,31.9896807481458,30.703729078986,29.4503912926149,28.5904476618406,28.3641362456087,27.980074370308,27.7509778357236,27.3827534039334,27.385728007232,28.5349776738252,29.224299538937,29.8498817396341,30.0110741971207,29.0684275837617,28.2756555588827,27.5912166369184,26.8836795011944,26.2111309170133,25.6348434765701,24.8160355664572
Armenia,27.247191011236,28.2208588957055,31.9544984488108,29.4792586054722,26.961926961927,27.9889426399447,29.5340050377834,33.2551319648094,33.7719298245614,30.7374631268437,28.7730061349693,28.0733944954128,30.4426925409339,31.4217443249701,29.0704558910598,26.081802015412,23.0540701128936,21.9556088782244,22.88496652465,22.7918468190241,22.0746363061354
Aruba,27.7777777777778,28.5714285714286,29.1666666666667,26.9230769230769,31.0344827586207,34.4827586206896,35.4838709677419,36.3636363636364,33.3333333333333,35.8974358974359,32.6086956521739,28.8461538461538,25,24.5614035087719,25,24.5614035087719,23.728813559322,23.2142857142857,21.0526315789474,20.6896551724138,21.4285714285714
Australia,30.8541973490427,28.4205895292565,26.7558528428094,25.7127864264474,26.940133037694,28.8240495137047,30.8591625883632,32.0742799393633,31.8128791413906,31.1079389480619,29.3551392195425,28.1594075806294,27.2559171597633,26.3134735545191,25.792349726776,24.9677731227844,24.360365948209,23.8470191226097,23.6566186107471,23.6524822695035,23.4886780693858
Austria,27.6029055690073,25.3362022592792,25.6846583355491,24.3858288078614,24.0567232210686,25.0688016012009,26.6197890507283,28.2296650717703,29.9224418313735,30.4358412466521,28.8238141335915,27.1330654691562,25.4833449802003,24.7975942632431,24.2298850574713,23.0100640439158,21.8700114025086,20.7886938682471,20.5028571428571,20.5281285878301,20.7255083179298
Azerbaijan,27.4804177545692,28.0982295830954,30.8374384236453,27.418673426278,24.4177310293013,24.253859348199,26.4156912369503,31.8141980718668,33.5415535035307,34.028650414677,33.3413346135382,32.0267465990316,32.5295922840859,33.0900750625521,31.5641898658121,28.9581304771178,26.6386394037837,25.315739868049,25.6113496359903,25.75785754138,24.5984310795667
Bahamas,30.952380952381,29.7872340425532,28.5714285714286,26.3888888888889,28.2352941176471,28.4210526315789,30.188679245283,32.7731092436975,34.108527131783,35.6643356643357,34.1935483870968,33.3333333333333,31.638418079096,30.8510638297872,30.6532663316583,29.1866028708134,27.906976744186,26.457399103139,25.2173913043478,24.5762711864407,24.2677824267782
Bahrain,27.7777777777778,27.4193548387097,27.3972602739726,26.8041237113402,24.5098039215686,26.0162601626016,31.0344827586207,39.2857142857143,39.7058823529412,37.603305785124,38.1294964028777,37.741935483871,38.4393063583815,37.7308707124011,35.8353510895884,34.5291479820628,32.8451882845188,30.7086614173228,28.8389513108614,27.3214285714286,26.4604810996564
Bangladesh,28.4285077509782,27.713717693837,27.0798195724652,26.6369202033828,26.0302966165755,26.2889845636879,26.6446318668794,27.1450454572582,28.4005504392929,29.9792119586778,32.0085789958544,33.8952127870543,35.0518507583865,35.1212928677717,34.3235831809872,32.9389865563599,31.1776597431425,29.6969116590855,28.3328209857567,27.0797637709161,26.2084002548251
Barbados,28.9473684210526,25.8333333333333,24.6153846153846,23.015873015873,22.0472440944882,25,29.2307692307692,33.587786259542,35.0746268656716,35.3383458646617,31.7829457364341,29.5454545454545,27.8195488721804,26.5151515151515,24.6268656716418,23.134328358209,21.8045112781955,21.3740458015267,20.1550387596899,18.8976377952756,19.672131147541
Belarus,30.3724265556327,30.4398148148148,32.546749777382,29.6153846153846,26.6421117249847,25.9428344581183,26.2995169082126,28.6303166572981,28.7103283801137,28.3957415565345,27.6094276094276,28.0343511450382,29.4679399727149,28.7195851615477,26.6257668711656,23.5851041447507,20.8948740225891,20.013507429086,20.2996956216343,20.3472731719247,19.7128941297103
Belgium,27.5720164609054,26.7258601553829,26.9939965694683,25.1039068994181,25.2136752136752,25.7748450309938,27.3378432152805,29.4105973407422,29.456906729634,28.6656322730799,27.007299270073,25.7706766917293,24.665567161444,23.8918918918919,23.1860918928508,22.5512528473804,22.256890275611,21.9738651994498,22.0399794976935,22.2430224642614,22.159959246052
Belize,29.4117647058824,25.6410256410256,25.531914893617,24.0740740740741,22.2222222222222,22.3880597014925,22.8571428571429,26.5822784810127,29.3478260869565,30.5555555555556,30.6451612903226,31.2056737588652,32.051282051282,32.3699421965318,33.6898395721925,33.6683417085427,32.7102803738318,31.25,29.957805907173,29.2181069958848,28.0632411067194
