Total GDP (PPP$ inflation-adjusted),1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1548335478.66658,1561121057.73544,1574012362.51589,1587009595.26989,1600114868.65692,1613327918.80656,1626649917.18513,1640082528.18266,1653625494.67787,1667280495.02547,1681048248.81986,1694929968.79758,1708925896.40461,1723037255.49954,1737265774.33102,1751611215.62179,1766075322.1869,1780658856.19109,1795363084.41536,1810188280.17363,1825136225.62259,1840207709.54626,1855403525.03893,1870724469.52646,1886172365.37492,1901747516.73821,1917451252.80738,1933284913.90233,1949249334.58646,1965345353.98264,1981574856.45213,1997937656.41385,2014436177.98757,2031070243.27713,2047842301.13121,2064752710.32756,2081802358.18045,2098993201.41743,2116325613.43058,2133801572.88066,2151422002.32512,2169187290.12285,2187099445.66712,2205159954.72611,2223369226.24373,2241729306.1535,2260240615.61066,2278904673.62866,2297723011.6588,2316696620.24965,2335827050.58395,2360319073.24714,2385068036.71364,2410076311.22063,2435347409.59719,2460883184.12345,2486686063.8126,2512760199.63173,2539107503.50948,2565731041.66994,2592633906.19284,2619818639.78574,2647288958.43321,2675046874.52348,2703095574.01889,2731438852.47961,2760079370.26565,2789019807.20778,2818264039.9825,2847814208.66937,2877674835.42142,2907848702.34587,2938338611.78728,2969148582.96704,3000281470.75248,3031740150.70457,3063529331.53726,3095651948.26035,3128110957.08028,3160910555.57361,3194054366.63778,3227545428.8052,3261387418.4413,3295584659.892,3330140275.7261,3365058032.89741,3400341728.95423,3435995818.31127,3472024166.42606,3508429409.71809,3545216728.45032,3582390082.41935,3619952826.99093,3657909618.10497,3710015435.23576,3762862833.71304,3816463655.48029,3870827934.54749,3925966466.39585,3981890824.08371,4038611396.51912,4096140008.83693,4154487957.66707,4213667334.13623,4273689697.22906,4334566734.32307,4396310940.25662,4458934953.20895,4522450871.89635,4586871615.76912,4652210251.64204,4718479301.38042,4785692121.08548,4853862918.48934,4923004660.43436,4993131161.82351,5064256393.36432,5136395196.22667,5209561150.534,5283769423.08986,5359035355.75212,5435373014.11758,5512797345.13625,5591325661.84574,5670971802.82838,5751753449.3515,5833684777.66643,5916783844.0496,6001065919.29824,6086549452.00722,6173250081.2688,6346269922.50127,6552912116.59538,6944154787.10049,7080984870.98011,7210782402.48189,7522259324.62066,7508577425.98883,7915256519.28964,8125143366.72015,8399286261.5673,8453494607.31419,8579190228.01102,8716368007.07684,8864567688.56279,9042156270.51418,9109504329.1271,9335017199.02306,9643226227.03027,9780889405.82169,9970546691.30521,9495638569.10151,9319091172.49804,10377429564.1455,10917410890.8615,11431665110.5446,11924691711.9565,11008266113.7453,11727882235.6273,11528895928.5011,11496563403.7751,12541783188.7357,13372223261.1147,13474722128.1191,12861587461.9028,12144573714.9381,12754263660.8901,10385069672.9318,9360778669.4898,9328907463.62158,9246382633.1505,9925519392.07467,10046659415.8214,9530243362.03875,9285248464.7409,11911018388.5049,12781470382.8107,13532357804.805,14210681051.0177,14914397305.3886,15174524666.205,14088961361.4369,17906611559.0533,20161007467.4346,21480714192.3792,24135263532,25235397125.9687,28669373933.6438,29386600399.5685,35313007873.4206,38153131914.1119,40347231704.8588
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,246765781.953272,247797236.802981,248833580.295591,249874221.511138,250918567.047486,251967834.045141,253021429.767137,254079364.58636,255142255.123872,256208899.963805,257279915.13733,258355919.214968,259436315.811026,260521115.417762,261610328.547116,262703965.730746,263802648.804012,264905778.32387,266013364.883293,267125419.095101,268242565.419374,270022825.278351,271814995.986094,273619131.986628,275435287.926907,277263518.657479,279103879.233166,280955801.882792,282820586.807612,284697667.971561,286587728.270747,288489571.091104,290404508.102373,292331968.799362,294272009.904074,296225322.06734,298191331.411867,300170731.720451,302162946.859907,304168034.628714,306187334.021208,308218985.88123,310264974.231055,312324076.773604,314396998.371623,316483802.268836,318584551.944837,320698661.021589,322827492.257722,324969808.267062,327126977.81989,330908026.068445,334732596.935376,338600920.083297,342514545.769459,346473052.662558,350478002.715378,354528313.847596,358626221.035192,362771309.622236,366963828.590831,371205367.381373,375495514.347487,379835198.338198,384225354.94503,388666251.080972,393158154.719198,397702691.563112,402298780.825577,406948737.371692,411652163.845452,421616266.280783,431821245.73326,442273291.083748,452978750.317413,463943399.950664,475173140.239072,486674754.013604,498454430.062397,510519268.384886,522876550.027291,535532939.606216,548495244.475428,561771243.363761,575368912.296808,589295579.150726,603559591.492358,618168632.340744,633131437.604047,648456963.393412,664152561.743221,679824702.488737,695866601.581983,712287294.259595,729095066.305556,746299351.303627,763909808.311674,781936326.997471,800388012.789044,819275190.470667,838607382.108952,857154523.249436,876111678.589452,895488391.183918,915293319.77753,935536408.87753,956226698.178223,977375698.329626,998991727.636042,1021085583.74683,1043668311.31078,1066624518.49142,1090085768.19964,1114062361.63379,1129363584.98644,1144875666.63484,1160600066.33449,1176540799.81536,1192699372.07143,1209081191.43702,1225687842.06678,1242573944.23228,1259656813.97333,1276938561.87425,1294421320.06296,1310736179.4745,1329998504.81203,1348097305.27135,1366405864.2522,1384926424.83321,1397186668.16677,1410946988.33407,1423356889.71873,1435839536.88065,1448395299.09745,1462473976.50117,1475182469.57245,1504027647.19979,1524272945.19396,1574069800.35335,1606496972.78883,1630251124.39545,1661597398.11727,1670757902.54893,1681462172.25629,1711777500.35638,1742294908.78188,1780592469.99729,1813066478.33971,1845757241.13112,1861813092.30426,1982084653.34131,2032223755.95571,2169757613.16103,2296379796.61357,2492029465.02024,2594515985.7447,2847629545.20317,3070594642.06942,3298959411.78426,3576006234.95187,3718979660.77822,3960968052.13504,4220517567.95626,4494950053.25302,4794429513.63662,5115305290.14555,5454535562.3456,5803456554.8849,6157745172.00156,6547795510.74857,6978679665.49541,7427443385.55726,7981595883.77306,8196497518.82816,8411426557.12132,8633125740.68071,8860865664.50257,9093646254.36244,9332034289.29409,9594656743.20241,9840149316.37143,10085105246.8982,10341518363.4164,10618274745.919,10918948953.302,11270722468.5078,11650548053.7755,12020978569.0397,12342901890.0715,12581772456.2995,8945405951.6475,8159087165.79703,8760915023.81738,9280208399.31743,10320199726.7722,11110709151.2895,9872611914.79067,11037649309.1516,12070509222.5487,12887082139.09,13774482920.9689,14225992133.3806,15083685835.7955,15984454096.647,16868324200,17788154765.4784,18894581970.9767,20281800495.979,20924167975.1261,21626799092.042,22029760466.3326
Algeria,1918099965.23918,1924931181.77766,1931785813.12243,1938666156.12083,1945569910.32489,1952498606.30958,1959452242.21816,1966430050.0725,1973433560.27789,1980461238.75378,1987514615.83012,1994592157.50208,2001695394.02426,2008824323.48392,2015978177.9791,2023157721.62433,2030362952.50716,2037593868.71523,2044850468.33627,2052132749.45811,2059440710.16868,2094642288.60273,2130445706.15609,2166861370.07803,2203899066.0692,2241570337.76809,2279885315.06247,2318855101.72051,2358490988.80376,2398803618.50406,2439806335.45017,2481509323.84385,2523925493.67907,2567067118.69506,2610945795.92788,2655574187.84266,2700965169.28155,2747132741.13247,2794089321.654,2841848443.85197,2890422928.71051,2939828632.90274,2990078850.65211,3041188042.58779,3093170910.62543,3146041414.52609,3199816714.97916,3254510276.30184,3310139809.69265,3366719257.0765,3424265858.68165,3482797166.15905,3542327867.73963,3602876056.71967,3664460152.21853,3727095626.1589,3790802569.83125,3855598114.56833,3921501901.40852,3988531646.97364,4056706482.74809,4126047017.53605,4196573054.92802,4268304725.09098,4341262489.94126,4415467148.39612,4490939841.70496,4567703293.4221,4645778136.43026,4725187832.06446,4805954984.83616,4903300164.04872,5002616382.39144,5103945465.00074,5207326107.52517,5312800399.99642,5420411267.76377,5530202487.20793,5642217308.33812,5756501210.2786,5873099145.64112,5992058359.2937,6113428485.703,6237257225.74479,6363593181.10701,6492487378.74167,6623993373.14777,6758162723.38032,6895049519.57317,7034710489.11138,7177198721.65455,7322573104.39677,7470892083.31301,7622215244.28568,7776605004.25211,7934119971.49425,8094826639.24359,8258787698.35632,8426070506.32371,8596740237.82291,8770868646.27237,8948521736.30222,9129775836.08391,9314699646.20216,9503368707.20796,9695861956.812,9892252300.87851,10092619752.8611,10297045915.761,10505614012.0574,10718404910.9176,10935507053.4086,11157006587.2565,11382993380.7508,11576857856.5006,11774024163.022,11974548254.0617,12178486739.4667,12385899007.1806,12596845150.036,12811381703.7897,13029574422.4084,13251481247.2207,13477167262.7548,13706698328.687,13940138906.2624,14177554208.6723,14419012407.7037,14664582479.0707,14914336428.6505,15168344891.2364,15426677090.3523,15689409788.2437,15956616151.9368,16228374732.8866,16504760464.9682,16785856008.8258,17071735831.239,17362486775.5049,17658187468.9791,17958924418.9843,18264785161.8843,18575853579.0954,18892219233.0317,19213975110.7616,19541208175.5429,19874015936.4881,20212492276.3209,20556732175.313,20906834140.1784,21262900266.5894,21465990317.9173,22386359332.2161,22721547573.6587,24340175337.0498,24991594362.651,27435099347.3237,30568600793.5297,31711333213.0932,37561779094.8339,40141306587.4038,35253866097.4243,28594261846.2594,35936586817.7735,37463953303.0334,39679645976.8883,37554862584.2866,40823222905.4594,45565360977.3843,49990856938.8419,55033863229.7747,50421355720.2756,61069647354.5446,63138725813.7804,67079164261.5488,71906237762.321,76757992415.2291,83812034208.1459,94700744778.1192,103444082851.151,105534519119.082,108360003543.5,115452717342.8,121538100157.17,128309974553.584,134958305967.596,133700724969.817,132935097339.264,130174513442.891,134632213465.518,132681803177.802,131242433149.223,133406432002.474,130424150424.697,129121394987.066,133888058878.189,138873905015.009,140286900995.391,147336667021.859,151958330396.619,155687512631.915,159758156981.431,166265761903.287,177976640470.594,187604467329.73,197692466939,201688596737.938,207782324908.566,212804232842.122,217990085418.227,225086364872.559,230518498553.519
American Samoa,5510286.94415829,5509612.49043195,5508263.58297928,5507589.12925295,5506240.22180028,5505565.76807394,5504891.31434761,5503542.40689494,5502867.9531686,5501519.04571593,5500844.5919896,5500170.13826326,5498821.23081059,5498146.77708425,5496797.86963158,5496123.41590525,5495448.96217892,5494100.05472624,5493425.60099991,5492076.69354724,5491402.2398209,5508558.60809657,5525089.65198877,5542351.01633329,5558982.96681303,5576349.96724742,5593771.13996982,5610556.71802114,5628084.50139492,5644972.53345267,5662607.57729926,5680297.6275091,5697341.64408582,5715139.94426002,5732287.98588947,5750195.19579928,5768158.25894109,5785464.67804312,5803537.65556984,5820949.69475729,5839133.25654161,5857373.5314156,5874946.37758286,5893298.25675264,5910978.34238884,5929442.50598255,5947964.25571086,5965807.61494332,5984442.68475732,6002394.92756295,6021144.00800248,5998188.71529877,5975769.01927287,5953140.4537161,5930301.89848039,5908007.72805465,5886264.17244991,5863556.67524603,5841402.50358167,5819807.9681347,5797243.72907702,5775241.90327036,5753808.88311975,5732175.75295509,5710341.43911499,5689085.25885822,5667630.80157474,5645977.00364328,5624122.79662551,5603648.27210821,5582188.30677771,5561325.59154378,5540268.50628091,5519016.00859389,5498370.55429772,5477532.80726494,5456501.73630093,5436087.66190889,5415483.45683419,5394688.10148436,5374519.85821369,5354163.73278443,5334443.33399117,5313711.094833,5293617.92662242,5274170.8940063,5253706.34904266,5233891.36152765,5214733.08773771,5194551.64191919,5175030.41059072,5155327.6099871,5136294.0567646,5116227.95913375,5096834.69908184,5078121.6423601,5059233.29587547,5039303.00761109,5020926.96478901,5001507.08509513,4982782.29775156,5103327.92376512,5226363.65029043,5352792.81005984,5481759.16216027,5614172.06275966,5750061.19238688,5888562.17735301,6030593.49900437,6176185.36611375,6325368.17480939,6478172.50956546,6634629.14419723,6743707.97651648,7130935.00981445,7541145.878392,7975699.12578455,8433866.77930544,8919144.74566992,9431949.35043182,9975045.08236506,10633769.2124377,11337802.0766367,12087344.1247966,12885217.7595627,13737466.2954246,14646066.5293853,15612938.938175,16645139.0356572,17745106.3607995,18919010.2560601,20274330.8348616,21726588.0541348,23282311.8894031,24950692.8670712,26737064.9766664,28651737.8743415,30703389.8741061,32901251.496924,35257923.1993713,37784208.5181031,40952767.6372816,44389962.5557748,48112738.3549,52149194.9367422,56522869.6514128,61266421.8634644,66403756.5233503,71976377.0602782,78012805.4966331,84556445.9430432,87408446.6876163,89811705.8692403,91781786.3799969,93378467.6391103,94689766.5368741,95872954.0859091,97124846.7363079,98684403.991269,100840541.222586,103821365.561665,107788987.042729,112732689.733526,118461076.275606,124643577.256385,131018114.494087,137527254.511871,144207664.675014,150928910.002978,157564438.964912,164010201.692941,170241520.466411,176275917.951803,182138617.317675,185455550.800425,188620769.054395,191570127.724098,194422662.966266,197615662.753403,201742459.417942,207229014.02138,214217344.589255,222569119.360148,232016710.541365,242123402.739113,252551969.980126,263239726.723611,274168702.779579,285074848.475247,295666097.300828,305713063.967747,319664433.762792,333294288.86,346651813.951043,359880354.00542,373098109.873163,386280997.966264,399439999.10263,412764792.509782,426502960.369741,440857130.132628,455957274.165397,489480569.02611,525590127.971752,564274189.678039,605557291.506282,723424061.442305,864012040.011088,,,,
Andorra,3344367.12197856,3349917.0222691,3355476.13249148,3361044.46792936,3366622.04389179,3372208.87571319,3377804.97875346,3383410.36839797,3389025.06005762,3394649.0691689,3400282.41119389,3405925.10162037,3411577.15596178,3417238.58975732,3422909.41857198,3428589.65799659,3434279.32364783,3439978.43116831,3445686.99622659,3451405.03451724,3457132.56176087,3520120.77979253,3585444.81034916,3650468.41184433,3717889.41998451,3786390.29714979,3855987.10570847,3926696.13633189,3998533.91114102,4071517.18689557,4147126.82226495,4222469.50949202,4300508.04490585,4379796.90484215,4460354.69049964,4542200.26749745,4625352.76951982,4709831.60201001,4797263.56938784,4884473.25123866,4974714.44713422,5066401.23624796,5159555.12273748,5254197.91642781,5350351.7370245,5448039.01838356,5549046.91567378,5649890.41104185,5754142.91158021,5860064.48678305,5967679.95690951,6077014.49494516,6188093.63146297,6300943.25954985,6417526.71396617,6535979.03297883,6654345.20789334,6776595.80993514,6902829.27707646,7029039.15297252,7157260.9610682,7289626.51387299,7421986.81739404,7558601.75995064,7697401.38424983,7838418.15634107,7983913.27955957,8129489.75456961,8279664.77457402,8432245.34474997,8584932.48265285,8744766.77617497,8904780.73626538,9067346.45832531,9234948.14614331,9402760.22714129,9575743.72314211,9751492.80741531,9930048.57284864,10114046.0411408,10298371.2339979,10488284.8683107,10681238.1599337,10877276.3033298,11076445.1351635,11278791.1431501,11487175.5797729,11698898.2276186,11914008.7452733,12132557.4971919,12354595.5634268,12580174.7494887,12812365.8215038,13048274.7037459,13287956.6864076,13531467.8454587,13778865.053476,14033405.5814942,14288786.3071559,14551504.1834442,14818421.128045,15092952.0227885,15368494.4930084,15651857.983572,15939756.4745988,16232257.3905755,16529429.1140442,16831340.9988036,17141701.2655617,17457028.7800912,17777397.3949527,18102882.0121153,18433558.5974171,18773360.6785163,19615580.7604523,20494710.8351936,21412340.2769553,22374603.5761266,23379091.0002758,24422797.780778,25522095.4428347,26664487.7289335,27856861.3151566,29106967.4783618,30411871.2692223,31779968.8013966,33201877.8064279,34692482.2781752,36248446.9472359,37872587.4320073,39567838.9834975,41344813.0766621,43191883.6442696,45135925.077587,47156921.5592848,49266361.2341877,51477149.7042408,53784843.7583341,56193616.8427028,58717999.6502363,61353122.1635954,64103756.5408267,66974877.7595885,69971672.14211,73111815.3769368,76389607.7534058,79810977.6609431,83395828.5257866,87137923.8519814,91044039.3246399,95121238.582003,106626601.979968,119862004.019974,134877151.184397,151734448.965644,170511537.275362,191342541.262185,214368755.787702,239718267.145243,267631217.776483,298257306.383579,331821319.437694,368468235.482018,408320829.752255,451422896.591768,497911924.689699,547842431.250108,601459145.377214,659173728.602887,721563226.865001,789073246.514613,825903448.413648,893060982.152258,962770888.591054,1016727634.19209,1022411807.77759,1056028577.41542,1085981466.11936,1102032077.53419,1102372764.05918,1126703073.98499,1125181144.54374,1139191755.3586,1159330065.90347,1180039288.33842,1207435674.50876,1246564653.25834,1315618343.64299,1382379860.7743,1449192499.35104,1504620674.3617,1544899371.78221,1562078436.23866,1547936717.0253,1583608520.27377,1621600794.10043,1685404696.58535,1821070178.76331,1861986451.82896,1928826011.39316,1956208834.0541,2210322305.0126,2380981238.87165,2593912867.85518,2817999334.74807,3037819696.76942,3246908155.75494,3295427866.53802,3414591252.46207,,,
Angola,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,564024433.878498,570789499.706952,577635763.279767,584563978.737801,591575272.903329,598670785.469677,605851298.945882,613118345.845128,620471984.218125,627914141.512535,635445641.096057,643067312.838156,650780373.872589,658586055.068596,666485216.866448,674479112.593268,682569009.656066,690755799.948837,699041165.51155,707425629.990931,715910507.366258,724497523.359472,733187229.084108,741981378.134782,750880538.5449,759886896.810168,769001043.913681,778224796.267085,787559172.869434,797005200.764149,806564743.423223,816238855.803231,826029019.243963,835936731.312208,845963083.966818,856109601.748314,866378251.780259,876769742.108533,887285641.637099,897927968.28546,908697897.277986,919597049.149995,930627061.958176,941789151.310098,953085426.798666,964516691.45469,976085535.235206,987792789.284864,999640638.088424,1011630840.48676,1023764264.54961,1036043607.92484,1048470227.24694,1061045951.07238,1073772164.01968,1086651658.27355,1099684924.56353,1112874796.95584,1126223202.92501,1139731141.60513,1153401521.12506,1167235372.88018,1181235655.38779,1195403916.2745,1209741715.38583,1224251600.56106,1238935660.20184,1253795512.08347,1268833776.22346,1284052606.99516,1299454181.17235,1315039694.6694,1330812867.80489,1346774939.90446,1362928681.04795,1379275871.80418,1395819334.00292,1412560890.86392,1429503416.85995,1446649299.53632,1464000950.93662,1481560282.06155,1499330803.6664,1517313948.60312,1535512754.84473,1553930295.90755,1572568604.78969,1591430271.26293,1610518454.66453,1629835259.43843,1649383903.37382,1669167090.61511,1689187552.6289,1709448048.446,1807696388.01202,1911591728.47083,2021458535.0563,2137639225.20358,2260497905.10425,2390417544.82629,2527803776.53591,2673086333.69306,2826718866.70539,2989181063.65758,3160981092.12731,3342654422.7552,3534770256.69629,3737927455.24472,3952760248.46473,4179940468.57444,4420177393.7389,4674222334.63515,4942868495.95532,5226953124.99921,5527367474.1829,5845046467.86028,6180983326.4381,6536228481.32705,6911890997.38827,7309143563.7531,7729228204.93451,8199251940.53229,8697857940.56732,9226786044.38703,9787876998.28038,10383088193.2899,11014496150.0964,11684300852.8662,12394838806.5826,13148582259.4336,13948163055.3624,14518305343.2442,15126421736.7864,15751781128.9497,15387076265.082,16676828232.9251,16411246939.8111,18017767425.2867,19000619431.4259,19100895729.314,19883074300.866,22558805821.4629,21974321740.4472,23136443067.2851,25759271127.9209,27710792468.2666,29322621995.7992,31022771407.9558,30546116977.5677,31449739379.6873,33494939946.9987,33421067603.0534,33823195784.8359,36175744070.1834,35418507022.2743,22771980492.7896,20769142909.0182,21030408907.168,22064393793.7147,22680878747.7337,23486197848.1239,23341860208.5058,22584341408.3836,21947236541.2743,22207981001.6301,22598924250.4701,20701704241.5697,23239586318.7683,26738719908.0206,27449126131.6054,28704755637.4299,29093196583.7797,28913949565.7907,21264305439.2446,21741459485.6337,24077352617.0745,26864912395.1145,29129725870.6462,31327920385.4589,32659922658.8801,34072903027.9384,35678388054.707,41295562609.9672,42950616048.5341,47985910869.0994,58255711193,70559039851.4811,86753695863.6889,99000603270.4427,101606805795.505,104905064857.442,108277719886.071
Anguilla,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1570729.13894238,1592820.1565247,1614348.58443978,1636883.12366748,1659644.98363035,1682636.18458628,1705858.76356664,1729314.77450966,1753006.28839498,1776935.39337918,1801932.66972296,1826348.76518335,1851848.31661788,1877605.11671556,1903621.45178898,1929899.62713349,1956441.96717824,1983250.81563843,2011201.83216546,2038556.57710545,2067069.89280365,2094980.29740178,2124065.90962248,2153444.43328085,2183118.46941678,2214005.14091988,2244284.13450068,2274866.61380669,2306688.01641151,2338830.63126549,2370352.19746228,2403139.58216205,2437214.42407605,2470670.68200356,2504462.66920754,2539570.11949472,2574048.97237372,2609862.30847103,2646036.54951254,2682574.90136163,2719480.59649094,2756756.89419401,2795429.92380039,2833464.07165206,2872915.21288536,2912764.00809314,2953013.98996234,2993668.72050379,3034731.79128541,3077277.92632185,3119175.6493533,3162578.0185416,3206417.78462879,3250698.83300658,3295425.08131643,3340600.47970614,3387350.65037654,3434572.7931717,3481134.5927842,3529305.79325474,3577961.60949306,3628265.53296189,3677911.17973622,3729229.06415076,3779882.23625943,3832232.1265706,3885108.81243256,3939722.88458483,3993675.19734177,4049390.40769276,4104437.57527619,4161273.52283336,4218681.38093416,4276666.22610057,4336495.98885052,4395658.55096212,4456693.19479297,4518342.52198815,4580611.99101114,4644812.19474813,4708347.12817128,4773841.30274203,4839995.44324761,4906815.41187207,4974307.11945575,5042476.52588224,5112696.30614783,5183623.91509437,5255265.64110747,5327627.82477167,5400716.85928573,5475951.61069297,5551944.82491572,5628703.24053221,5807708.34613437,5992106.76812565,6183594.32143994,6379292.06760151,6582483.3819109,6793457.6166456,7009123.8118019,7233017.74632641,7461896.53162436,7699472.85610895,7946080.25140497,8198237.09374613,8459941.548062,8729549.55821424,9007291.33557327,9293403.6283758,9590289.87906003,9896146.36115725,10211234.4387307,10535822.8990047,10870188.1592331,11217052.438918,11574389.6004786,11942504.6432443,12324332.8666691,12715017.801229,13120201.8381757,13537609.2880877,13970484.179238,14413486.6616175,14872843.7486202,15346059.4346004,15836719.0867975,16342211.5299041,16859629.2366151,17399436.4145097,17952070.7167897,19024151.5937994,20009216.2910201,20918047.7894539,21762856.4255487,22541548.4873215,23280478.0397191,23992250.9652477,24699399.9534778,25418081.6536819,26183950.6504279,26999544.9567921,27881577.4081271,28819441.3428625,29801289.4247312,30818994.5842295,31868683.9382344,32951313.9540254,34078709.7785491,35230467.6832858,36412521.8838473,35337701.4578674,39241289.1591198,40727906.6101854,40556724.2920926,41891509.6559703,42593543.1362851,42764030.5520661,46040339.6145055,50417204.6983559,52690611.9384561,54216570.6150302,53018478.7247133,52392354.9465583,54135152.2810578,59787176.256859,68198235.3990489,76319493.1024996,87913512.1880288,97326205.1986213,102775340.478192,101507809.754536,109597471.068897,118475034.065252,128695844.293149,126367759.413797,130044546.465607,144400737.9732,160040420.681686,167469346.221382,172126499.405448,180273371.490792,182196658.36618,191985799.552384,239141817.488337,264406601.70164,321690634.68702,388198278.255454,447663175.982548,,,
