Urban population,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Guatemala,1287739,1354495.67141,1416995.725374,1481865.695594,1549143.290464,1618881.11484,1678244.301624,1739458.553634,1802724.867108,1868308.888152,1936380.34415,2002849.696632,2071675.798812,2142378.39004,2214270.213836,2286879.28832,2353683.280038,2420860.230864,2489031.00449,2559100.249972,2631715.38084,2722593.138256,2816886.414834,2914102.5705,3013460.701238,3114417.09664,3220293.68925,3328083.06312,3438302.84841,3551714.74596,3668923.77327,3790825.969728,3916936.47846,4047037.798088,4180713.132376,4317757.4925,4458569.636486,4603145.97952,4752523.299108,4908108.296104,5070966.56827,5242394.38432,5421671.26695,5608173.91904,5800839.78932,5998935.88488,6205031.420928,6416839.601648,6635350.658976,6861992.571064,7097770.89712,7346546.080384
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,327880,394253.798428,418342.051512,443204.621132,469071.409632,496094.82174,528305.001766,561886.784976,596242.525098,630422.605156,663629.13981,700065.127096,735379.957074,769667.026298,803262.361334,836581.31445,874445.382356,912306.006118,951452.546616,993730.01009,1040761.27727,1084277.161998,1134194.632468,1189627.665806,1248826.4889,1310712.35463,1357416.00462,1405393.7196,1459761.58448,1527760.6682,1614122.15724,1722675.22461,1849762.53036,1985554.63485,2115798.001416,2229853.01625,2324906.94681,2402165.69001,2466553.8807,2526526.668492,2588709.89178,2659246.931286,2732222.068848,2808225.754548,2887304.796726,2969663.5956,3061448.962936,3158365.933098,3261453.62268,3371856.233178,3490362.3912,3624244.24448
Guinea-Bissau,80788,81908.24609,83029.538592,84046.882656,84952.961648,85763.25555,86502.69504,87195.956778,88045.15926,89322.121086,91233.24912,93891.581732,97221.36288,101189.344284,105714.574784,110711.0235,117421.8282,124698.8086,132277.55903,139784.83554,146933.26655,158987.467386,170792.14158,182486.500912,194389.99164,206788.92159,221419.13841,236654.28168,252513.08502,268970.7132,286006.47045,300520.937218,315582.728594,331162.139538,347205.490346,363670.4248,379064.475576,394842.764986,411030.09211,427665.605076,444787.22405,462807.91479,481362.002436,500508.27183,520318.962468,540854.98775,562104.1776,584131.93865,606943.5475,630528.382,654879.8128,679119.555414
Guyana,164865,167282.44287,172077.14306,176936.24567,181925.30286,187068.16423,192445.83597,197956.34165,203307.109648,208104.237768,212077.1565,215533.571864,218111.182014,220142.55494,222122.60419,224395.59303,227089.883888,230081.691674,233022.71772,235397.882824,236847.85728,235755.78833,233817.15426,231275.8831,228490.23876,225738.83988,223079.84145,220490.97417,218105.04978,216063.05931,214456.33773,213372.306224,212776.09629,212509.972986,212343.540624,212111.24123,211759.93116,211332.113314,210891.990096,210543.567696,210356.00094,210427.056936,210625.387356,210885.0372,211112.938036,211244.2038,211839.198606,212338.250256,212770.228644,213180.992352,213604.51323,214715.36
Haiti,603626,630787.860064,659463.754092,689088.019012,719654.711976,751151.208,785340.461084,820585.682432,856716.83262,893483.36364,930719.84728,953577.202832,976445.99726,999667.194624,1023722.14046,1048998.81772,1070284.791334,1092666.045456,1116341.385432,1141525.222464,1168333.46292,1226953.8614,1288638.5168,1353022.84587,1419502.18578,1487585.84373,1590151.924224,1695655.872292,1804193.198896,1916007.170994,2031302.4327,2133035.4078,2237404.79102,2344498.8728,2454443.0006,2567299.7371,2665949.24376,2766783.71976,2869394.46268,2973205.39284,3077752.076,3279073.753484,3484104.941856,3692707.249908,3904830.196704,4120460.03484,4328514.746496,4539532.836756,4753939.352976,4972406.060244,5195489.1153,5397254.068162
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,454668,482194.215632,511164.4578,541420.494428,572458.793568,603903.9132,636751.419036,670055.187192,704162.074968,739631.812608,776945.87616,816325.711192,857745.359868,901412.007624,947528.314148,996260.5939,1044932.82922,1096306.1229,1150251.95874,1206530.28048,1264958.068,1326252.95876,1389746.15056,1455539.6912,1523798.82364,1594632.0445,1666804.986,1741359.87575,1818203.0565,1897203.45735,1978215.2306,2058803.872766,2141173.97912,2224869.007828,2309290.413568,2394003.26159,2479200.30262,2564620.893146,2650628.612096,2737808.865544,2826647.08158,2925851.195664,3027232.4436,3131014.779662,3237429.697824,3346682.92707,3455170.496074,3566537.943438,3681005.527036,3798820.036622,3920122.26348,4044146.81737
"Hong Kong, China",2619983,2706964.0364,2832186.2176,2939688.8388,3020180.1696,3109377.138,3146520.7366,3236781.0144,3316190.1674,3379660.5964,3473191.11,3564807.3566,3650021.0344,3771147.1776,3870518.6156,4001832.12,4068531.288,4144040.6634,4236447.04,4492011.6558,4631622.618,4756619.5776,4846224.946,4935836.3832,5000161.1364,5069901.04,5206349.8924,5342214.714,5451917.5832,5583711.9312,5676947.265,5729774.272,5783690.151,5889599.268,6029569.8036,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6925900,6977700,7003700,7067800,7071600
Hungary,5581057,5649837.457572,5710577.378636,5768045.983872,5829004.72033,5888034.8457,5948404.8132,6013288.78232,6079236.8994,6147719.70762,6214324.4592,6276071.463246,6338877.300444,6403550.04887,6476603.42784,6559474.11275,6637209.49771,6709856.73465,6774925.08554,6829141.93448,6875576.32302,6895409.370864,6910701.18641,6919652.841642,6925108.52449,6931779.72735,6935762.653904,6939904.820202,6945022.351696,6885378.320786,6830026.21944,6816589.3548,6800877.465624,6780096.700938,6757810.30254,6735414.78685,6710780.537636,6684226.343244,6655673.59902,6623866.18554,6593734.52325,6615098.72408,6632656.74928,6649949.59248,6671423.86022,6694280.68725,6736235.8245,6778098.509,6818439.199,6860002.7925,6896515.86195,6923443.618
Iceland,141326,144626.78736,148214.95304,151775.04056,155412.05988,159058.9792,162628.1892,166139.93592,169306.33664,171773.59216,173567.862,175706.376724,179037.166412,182510.665638,185758.078768,188920.21951,191505.800288,193642.504146,195871.166732,198515.42223,201354.5988,204268.9411,207630.2624,211018.53942,213902.48388,216226.4585,218390.2308,221376.36078,225460.2772,228866.45928,231254.595,234404.50022,237828.14814,240722.9055,243286.84534,245080.9284,246822.399272,249270.745152,252377.007522,255875.096308,259836.23205,263675.760976,266405.585742,268625.111346,271365.369252,276072.41158,282986.299408,290603.216388,296430.395288,297817.585934,297762.70584,298996.148
India,77837971,82690546.631246,85192315.084624,87781893.257682,90465456.75496,93248811.57085,96250505.0078,99363393.27525,102594799.7321,105953204.70735,109445480.664,113751884.500376,118228753.7396,122879005.883256,127704318.246144,132705664.20424,138133117.777236,143751923.014272,149557400.823292,155541977.899776,161699532.88722,167286857.78532,173009154.44862,178867998.38072,184867037.30988,191007830.21016,197206893.955668,203536678.45518,209989528.33095,216555572.503776,223225968.65603,229747143.2662,236352871.03296,243037426.93333,249795236.7582,256620831.26085,263510956.92207,270460871.90464,277462092.94263,284504821.41765,291581989.26369,299776947.312784,308037280.38336,316369566.137742,324784774.603088,333291530.99805,342182577.52386,351170133.38277,360260080.17108,369459868.21128,378773211.3411,388524908.882
Indonesia,13586478,13970478.163086,14552239.415952,15157512.61194,15787658.312748,16443721.83144,17142875.515556,17868851.768554,18621518.792238,19400527.759052,20205532.6354,21270530.737106,22373294.550336,23513607.098498,24691052.320998,25905241.72542,27303863.1138,28745101.408536,30230056.31424,31760481.530346,33337262.52576,35330615.99529,37385595.1112,39497130.2958,41657673.95348,43860620.43601,46276956.4686,48737378.98173,51241037.448,53788590.38115,56380361.98376,59193529.404,62053712.28252,64958819.00768,67906406.9376,70894796.52806,74518774.421004,78197262.379376,81936066.435436,85744701.568224,89630340.52822,92511315.18711,95442928.8124,98414539.82305,101409848.7465,104416259.49975,107451053.429168,110493252.185228,113550013.118968,116633669.30067,119753166.58788,122824688.225404
Iran,7263698,7765082.70984,8123171.196168,8496286.39386,8885191.152978,9290579.69616,9755855.460056,10242231.109808,10748390.828448,11272036.216584,11812187.97332,12391914.38562,12992857.66914,13621949.89203,14288799.596,15001892.85231,15724054.724854,16494568.700588,17320600.198002,18210457.651628,19169840.51913,20179477.067086,21254187.833182,22390869.086118,23584382.35131,24827198.62825,26050261.62402,27313237.12678,28576735.06376,29787816.1311,30908599.4039,32023132.20804,33037829.31398,33995744.350784,34964568.21294,35995295.18904,37095865.620792,38262867.55632,39470519.074272,40675826.896056,41846527.93398,42934842.516956,43989734.9194,45023900.22962,46058493.305004,47109549.28906,47878652.21724,48654717.6878,49435754.54326,50217428.55976,50995941.0494,51672517.758378
Iraq,3216208,3364850.250086,3575653.233614,3800030.817738,4039880.999578,4296779.53959,4532955.765024,4785699.587706,5053788.45004,5335011.937342,5627633.1489,5924797.68581,6232251.86268,6551368.68921,6884386.9364,7232682.85076,7562735.263608,7906447.388462,8264352.548778,8637005.51784,9024982.44343,9354511.612292,9695139.460792,10047222.180886,10411127.276712,10787233.10414,11142307.526636,11508984.209262,11887639.97344,12278663.893094,12682458.11378,13004950.859688,13335549.608972,13674454.950288,14021872.050816,14378012.6178,14778153.1042,15189312.348,15611790.8893,16045895.5534,16491942.6903,16875959.043072,17268824.819728,17670739.090356,18081909.104948,18502544.13354,19033213.400832,19579057.337996,20140509.228128,20718013.921836,21312028.39128,21920955.289442
Ireland,1297971,1310504.6536,1332285.5364,1356554.8863,1379716.3798,1401504.057,1424513.5008,1448734.6979,1472842.5624,1499153.0841,1529548.845,1558989.7002,1593945.3858,1631517.0774,1670768.95,1710683.247,1747698.6309,1782680.9792,1819466.3394,1855333.085,1888404.624,1917153.942,1941932.2084,1962362.2092,1981215.958318,1991055.6455,1996427.63628,2001102.180618,1997010.506664,1993543.888182,1999662.04444,2018359.19768,2039393.16788,2056865.056584,2072270.268392,2090240.7072,2115764.96652,2146097.977784,2177704.114976,2211598.992288,2250608.21404,2297020.023646,2346523.058448,2395698.527366,2450737.312296,2515791.18978,2588634.315692,2659705.956674,2714253.681168,2747323.605996,2769536.87688,2791138.35
Isle of Man,26667,26770.145058,27011.21943,27410.260268,27934.497892,28556.20685,29105.64156,29740.600846,30415.824564,31071.815222,31665.66827,31828.270518,31895.471066,31904.770602,31907.310372,31937.00835,32362.915968,32825.565652,33260.159668,33576.041352,33717.59808,33725.479864,33561.46248,33345.178482,33240.228792,33361.5072,33761.760312,34392.7923,35142.764544,35844.49897,36384.16498,36725.765242,36908.03844,37005.980088,37135.531344,37378.52289,37759.78228,38244.23768,38787.9009,39323.4398,39801.61869,40105.136844,40352.557644,40559.71104,40753.05318,40952.12836,41164.300128,41375.526996,41580.213744,41765.718392,41925.08448,42123.46504
Israel,1623567,1697010.84,1799656.464,1886623.128,1983009.6,2074492.2,2145027.39,2257542.9,2323490.79,2403560.88,2503959.3,2598970.374,2681283.816,2808059.364,2909400.318,2993515.65,3074805.23,3158448.47,3240078.3,3339062.7,3435248.74,3514193.92,3590855.11,3666996.5,3725590.61,3802419.24,3866271.258,3933865.076,4004311.972,4077621.504,4210729.4,4476885.196,4639481.014,4769790.952,4900380.754,5038519.7,5175929.128,5310806.688,5437682.222,5582055.5,5735756.67,5876617.74,6000315.3,6113850.624,6227170.95,6342288.918,6459707.923,6579843.64,6702242.688,6868936.272,7000218.228,7135404.7252
Italy,29818622,30249745.1649,30707681.4941,31186944.504,31701070.2631,32227840.6105,32734462.472,33229237.473,33698442.693,34149823.8629,34592379.432,34902383.00238,35250205.35438,35640208.730076,36025313.081184,36393136.28643,36686239.62224,36953960.621798,37197840.584916,37417850.342094,37607539.6312,37673734.8431,37722688.786912,37757424.420184,37786911.031584,37818885.62646,37809627.3093,37802165.63766,37809110.42608,37826146.94626,37846480.0824,37894940.062692,37942953.187828,37988435.101956,38018457.5352,38041344.45366,38086153.41942,38140443.19624,38185563.35888,38226136.82354,38277623.83976,38342932.134584,38506029.903704,38849503.029728,39276944.19588,39611328.22284,39911882.398856,40280671.059912,40666256.765288,40987375.005328,41261765.247,41566680
Jamaica,550603,570158.53128,591844.319392,614646.403344,637577.518896,659982.4,682294.873472,704040.696448,725725.406464,748287.59224,772345.56,793544.40397728,816261.1569504,839889.82522016,863353.33738496,885981.69,907969.49941888,928858.98660736,949631.03946144,971982.51896032,996942.87,1017924.348,1043133.413,1069982,1096335.513,1119127.064,1135852.824,1147844.992,1155484.304,1169400.76,1181711.6,1195278.35071306,1209399.21804172,1224090.36350077,1239368.71515223,1255252,1276416.53800136,1294772.25325524,1312507.6985817,1327669.1452078,1341665.78401025,1350754.81503301,1358459.08152591,1363835.8426,1371400.4564,1378923.608,1385344.62,1391763.854,1397505.232,1401685.044,1404979.816,1410840.882
Japan,40555376,60944671.244,62395831.872,63923414.608,65491767.872,67107936.78,68523996.78,69974060.4,71018192.286,73329292.656,75000055.65,76783374.256,78689497.688,80173434.516,82564436.084,84756490.4,85489214.138,86421561.548,87312598.772,88157603.84,88958688.5,89744717.952,90482954.202,91229795.748,91939308.828,92632808.48,93351294.008,93964652.148,94520154.666,95062295.776,95542280.43,96007051.224,96413878.442,96820762.272,97320376.566,97862490.24,98272915.186,98690416.972,99100130.78,99448619.6,99781986.3,101865167.052,103970395.67,106065201.152,107973631.842,109856669.94,111007954.936,112186807.164,113293660.71832,114328156.828072,115394920.08319,116486531.028504
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,429596,459593.0148672,492596.4460512,528766.314496,568540.2366336,612075.36,655403.7326048,702433.341696,751310.6514816,799122.8037056,844042.68,886182.5447552,925289.9502784,962897.5821696,1001686.2340768,1043465,1090261.3109408,1140055.7735424,1192926.1870848,1248695.969344,1307269.59,1387622.814192,1474068.280784,1565167.07976,1658217.95496,1751887.96,1850910.32,1953693.62,2058912.68,2170829.6,2289659.3,2604022.29,2787931.322,2965015.38906505,3132442.45312802,3287411.75,3401803.59412,3520128.52988369,3642556.7992,3721905.517,3828788.8,3938022.515,4048315.128,4163702.216,4279779.28,4392893.355,4509122.394,4625593.548,4742712.702,4862946.27,4987142.31,5112416.358
Kazakhstan,4418232,4660793.56512,4905302.992128,5147109.225412,5380915.026564,5602827.70047,5817970.471568,6018756.690716,6209379.229008,6396692.25355,6585935.58112,6756161.599472,6928192.893272,7100036.138232,7268241.011208,7430450.19384,7552124.58613637,7675517.99516988,7800652.93271361,7927552.192,8066255.04528192,8215846.77825294,8367819.73502786,8522208.98579374,8679050.09342726,8838379.1202,8911538.35573752,8985295.668552,9059655.89892838,9134623.926,9198365.68,9244687.485,9226935.33772918,9154669.58951751,9011701.8849723,8844256.42916636,8705332.3360215,8562983.79308362,8410659.60519752,8325194.95973394,8294495.93354,8250387.67545,8220712.981,8218298.54337,8245280.94264,8288302.79851,8346212.87136,8411663.430464,8483834.090732,8679117.742414,8770828.57084,8881427.536912
Kenya,599714,636354.839368,678166.359808,722274.282264,768797.741348,817873.84175,878418.93117,942428.19342,1010199.21137,1082084.54232,1158426.1381,1261182.244348,1370525.110314,1486815.065008,1610388.243148,1741597.02024,1882151.667396,2031161.700056,2189201.451142,2356944.453756,2534973.56314,2650285.213476,2770813.939324,2896276.83098,3026249.570262,3160358.32168,3305417.187728,3454756.484264,3608223.060904,3765682.695474,3926933.20396,4133180.81508,4345845.9482,4563705.20452,4785062.5052,5008759.2436,5240479.583136,5474789.35788,5713708.06964,5960285.975948,6216986.20292,6494978.598396,6784852.232928,7086199.585018,7397948.688384,7719459.348,8058813.753816,8409215.176164,8772680.686668,9151991.716584,9549244.27422,9979760.382976
Kiribati,6634,7037.9418048,7458.7305856,7891.7324304,8336.3330912,8792,9361.24527744,9944.57543968,10541.87339712,11153.23902336,11779.032,12531.9141024,13295.6945664,14076.6266784,14882.1291264,15720.786,16232.52960384,16800.83487344,17417.26677504,18072.63700704,18757.004,19310.22840976,19902.34825376,20522.49727736,21159.45565696,21801.65,22479.7714876503,23169.6359654204,23871.0681921958,24583.8752708351,25136.41015,25805.614382,26404.803754,26961.507254,27522.610248,28125.22432,29583.232028,31110.867918,32708.39164,34369.760568,36089.0158,36852.0313,37643.320944,38452.259088,39262.020952,40061.69388,40782.881748,41489.500962,42188.924472,42892.498066,43608.11622,44416.827038
North Korea,4400485,4619694.183992,4838386.642564,5061476.89894,5298492.827062,5556719.49395,5944768.436112,6359133.793654,6797010.202804,7252939.251936,7721750.424,8009573.857,8299055.592,8584095.214,8857068.858,9112874.463,9272089.3662,9410029.0264,9536707.4376,9666343.2872,9809184.46,9988352.06628,10182472.901448,10386288.074824,10591302.90764,10791468.67872,10984212.20736,11172206.3368,11360070.91816,11554667.07252,11760412.89408,11974925.64744,12199112.311624,12425762.937488,12644769.239184,12848748.58164,13024280.518424,13183568.007588,13329700.94896,13467849.641768,13601839.7214,13732464.463614,13858521.806592,13979386.4709,14093867.360112,14201260.01505,14302252.9899,14397240.76002,14487378.03792,14574174.65091,14658864.4809,14754394.3947
South Korea,6925856,7367307.540192,7816471.533312,8276244.198272,8747134.670112,9229740.3,9940341.270976,10671442.410816,11423583.440256,12197462.853856,12993937.92,13745590.415568,14515665.098688,15305102.360208,16114981.900608,16946522.73,17842190.696,18755020.136,19684217.988,20637169.084,21623932.8,22595335.176,23588678.624,24589987.76,25554693.888,26473300.56,27457208.064,28463575.4,29490291.8,30534959.52,31656184.36,32331147.64,33010101.26,33694469.36,34388840.8,35280312.27,35744135.85,36207983.772,36598297.734,36988072.182,37428239.68,37869403.906,38245513.932,38600867.886,38911686.078,39157856.1,39501832.872,39840737.596,40283950.122,40631906.028,40977195.3,41416526.232
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,208207,224611.13898,258286.75195,297313.19046,339684.79336,383843.82965,431507.953188,481289.742222,533284.932252,587823.20274,645148.96862,700910.994472,758595.429892,818075.577312,879200.91269,941886.58152,1009646.628622,1079225.53204,1151175.389584,1226289.705488,1305099.30103,1379274.913746,1453903.655874,1531302.15602,1614786.821346,1705551.51949,1797582.561868,1897240.681224,1986499.357696,2041041.4129,2045390.46138,1990136.137512,,,,1596052.78173,1596475.85968,1646407.570776,1729886.532576,1821866.731622,1904105.1446,1971876.071592,2031251.188288,2087444.712572,2149277.29746,2222741.02478,2308879.9179,2403830.71054,2502888.41816,2599420.27494,2688620.25144,2768861.531016
Kyrgyz Republic,742995,778623.885,813166.566,849212.071,886255.701,922553.783,960528.222,998740.405,1037698.06,1075215.564,1108956.134,1136687.03,1165919.028,1195227.124,1226436.038,1257235.864,1285515.5554,1313490.2136,1340810.8726,1368898.176,1397293.098,1421871.066,1448345.511,1476862.691,1504955.028,1531357.431,1555720.905,1580626.102,1603709.128,1632413.275,1658863.624,1673466.1304,1679990.6932,1667574.6734,1654088.8246,1657659.796,1672648.2192,1687350.7704,1703410.496,1718738.9128,1729037.232,1745442.2764,1761457.5836,1779941.9556,1801530.3052,1821881.54,1841719.4752,1859513.3904,1877416.0008,1900369.4996,1923326.616,1948905.272
Lao,167800,174838.204458,180598.557224,186538.964088,192671.441316,199007.9238,210036.313004,221438.13944,233314.972156,245814.382072,259028.67375,273982.325274,289805.336506,306034.085014,321962.884488,337067.06607,350017.314236,361978.184022,373653.338916,386145.693622,400340.87235,417476.542272,436611.857454,457585.52952,480000.739434,503535.96216,529689.07365,557122.6592,585839.712332,615864.696768,647182.94918,682437.695696,718994.57238,756570.771456,794779.615938,833294.56336,898048.70488,964065.509376,1031205.04103,1099379.56624,1168530.2762,1247230.200256,1326936.3602,1407921.430272,1490673.48131,1575609.96626,1666775.73876,1760435.068,1856402.24827,1954296.60282,2053798.10174,2151917.174288
Latvia,1126241,1155128.6246,1187939.02458,1221444.31074,1255622.72297,1287767.08608,1315320.215794,1343553.48968,1374666.942114,1404422.914664,1432319.23932,1459145.621002,1487488.360644,1516636.673286,1546838.084852,1575779.3241,1599831.944094,1623552.862506,1646624.527358,1666644.185522,1685225.78595,1697787.42348,1713060.2548,1730625.51714,1749032.62549,1768075.3288,1786073.80616,1808034.67388,1830179.56716,1843185.9396,1844232.0675,1832876.7615,1805200.389,1767388.455,1735530.867,1708476,1685983.559748,1665938.513568,1647011.804638,1630394.781352,1615219.69995,1602669.765896,1591204.446848,1581855.751656,1573026.837746,1564348.16,1554505.085536,1545162.3504,1537082.495824,1528164.137152,1516166.65728,1503250.8
Lebanon,798829,866878.964476,928434.029314,991948.608944,1056814.763318,1122557.4837,1188108.81631,1253621.03328,1320402.4742,1390579.35507,1465634.0985,1541721.094788,1622874.274056,1705274.733744,1783165.67742,1852135.26642,1905110.294688,1947665.307616,1983584.245944,2019042.398256,2058865.70736,2100509.43124,2148311.14524,2199217.89298,2248131.51488,2291706.71982,2315431.74328,2333820.019336,2355206.45472,2391414.864972,2450686.8064,2525550.5106,2623597.83,2734380.8786,2842659.9168,2937294.5468,3010248.36672,3068251.762,3116786.57288,3164719.90212,3218402.94,3274831.88942,3335733.62912,3397921.19982,3456547.19152,3508179.994,3551806.846224,3588920.040608,3621449.15884,3652338.21372,3683758.92192,3716237.15559
Lesotho,28950,34662.225876,40454.230854,46470.316544,52720.09412,59212.97088,64706.27272,70423.714784,76367.217216,82533.670676,88924.42752,95425.571164,102160.6296,109186.032036,116585.505712,124431.03134,129023.049276,133907.10028,139058.2993,144433.775724,149992.8245,154860.691392,159854.883196,164897.84864,169890.405768,174761.52408,185287.04955,195907.19872,206666.719,217653.36264,228943.85159,243110.84674,257648.838648,272628.149808,288145.088292,304262.73105,321182.115648,338757.162724,356719.321224,374653.996182,392225.71416,410382.884424,428056.936296,445449.506944,462934.500912,480824.43552,500330.255022,520306.285632,540758.346632,561646.398928,582933.74346,604925.881134
Liberia,196890,220854.426936,234403.838592,248566.65716,263385.576864,278904.5794,296298.956352,314521.138488,333621.098772,353654.252032,374675.93925,398021.265084,422505.12607,448216.081248,475260.540244,503724.74922,534812.25721,567058.0124,600936.24492,637160.2237,676098.23512,715756.59897,758033.90781,800121.22285,837941.21537,868393.23903,879667.9281,883620.04998,881796.767418,876691.413696,870727.5663,863160.76644,854756.206974,851800.435044,862605.496764,892798.46784,946875.352086,1022261.777748,1109028.74247,1192541.779848,1262232.1299,1313130.488,1348806.15558,1377861.20556,1413589.98747,1465591.03489,1537598.28918,1625624.36947,1723171.2446,1820186.66979,1909230.25722,1989236.818184
Libya,368278,400154.309632,433330.027992,468429.606568,505964.450656,546397.83336,622635.7029,704849.00976,793385.14359,888491.5296,990439.74,1087657.177386,1191670.99919,1302851.975532,1421572.6238,1548278.1,1652620.4364,1762230.401282,1879280.01712,2006864.551692,2146979.22,2288978.84236,2442594.40596,2601848.00072,2758071.521896,2904674.8545,2998201.590756,3078297.675432,3148669.784286,3215163.936312,3282182.38857,3350780.64022,3419973.39058,3489697.208424,3559378.922188,3628720.33946,3698679.15362,3769333.376016,3841439.710932,3915907.840208,3993385.05882,4075424.730352,4159864.342812,4247423.501232,4339019.143636,4434829.12576,4538402.222044,4646399.914108,4752635.42308,4848757.196744,4929215.52056,4992741.8142
Liechtenstein,3378,3432.538728,3481.185172,3531.63859,3585.76687,3644.38707,3706.277064,3771.200916,3835.22167,3893.072722,3941.19174,4016.945328,4084.374744,4146.086628,4206.141156,4267.29312,4334.0081,4401.74592,4470.32184,4539.003,4607.42362,4644.608,4681.3188,4716.47137,4750.0775,4781.7966,4809.142888,4834.770028,4859.038692,4882.810482,4906.75008,4945.55556,4984.68096,5023.777016,5062.335888,5099.69562,5078.770048,5054.95452,5028.75972,5000.50988,4970.6589,5002.535978,5033.946704,5063.697436,5089.73142,5111.06776,5135.30628,5155.113348,5172.283852,5188.585512,5205.90336,5232.931168
Lithuania,1097529,1142351.859,1187030.376,1230720.233,1275403.104,1320809.525,1367790.4155,1415402.448,1462854.0005,1508107.17414,1555872.88395,1614348.81021,1671308.39354,1727111.68054,1782929.93346,1838524.9162,1890002.104544,1941700.244712,1992858.851632,2040859.431828,2087446.07916,2126161.39498,2167996.9509,2212608.99312,2258298.4171,2305299.87634,2345870.75958,2388827.38552,2432983.36685,2471177.1987,2499109.85554,2501157.217356,2496237.508732,2482235.831746,2462888.998224,2441841.2807,2421191.542476,2401255.066598,2381799.863536,2362853.561004,2344199.18496,2329534.392136,2318920.65592,2306559.20557,2291717.847732,2275121.4704,2264131.008724,2254284.959052,2245054.35079,2235024.432768,2202202.2682,2149699.856
Luxembourg,219170,221906.83158,226182.636,230101.9252,234267.834,238540.77,241877.54474,244293.09378,246539.4246,249381.45,252255.03954,256673.987706,261832.7312,266789.8751,272367.3762,277457.5815,280814.65426,283286.6041,285782.80608,288445.12008,291472.943,292791.38665,293490.2572,294026.631204,294787.965128,295818.06314,297353.10033,299492.5915,301881.2951,305041.4694,309096.1195,314771.094,320506.58745,326385.00635,332428.43615,338721.52125,344075.1678,349135.9187,354235.4748,359791.86595,365409.976,369941.4348,373994.5932,378726.07888,384308.72216,390397.80624,397863.936052,405263.849816,413802.5022,422789.004352,431852.98258,441587.278
"Macao, China",164495,167189.701914,173135.13084,180813.820164,189617.054886,198995.98362,208948.94412,219345.21864,229278.0963,237607.78188,243545.4684,246780.035402,247606.67568,246641.772582,244833.501216,242976.23001,241035.561558,239197.07695,238255.19449,239161.885578,242583.3337,248948.025406,257944.331886,269040.17277,281408.021748,294364.6117,307524.320904,321125.123018,334616.166066,347348.192094,358856.48967,368725.932532,377212.607148,384619.832816,391438.064236,398067.4166,404516.53824,410828.033,417284.7234,424215.62744,431867,440265,449472,459456,470127,481390,493267,505709,518463,531195,543656,555731
"Macedonia, FYR",473280,495952.78621,520053.02692,545513.08455,571626.8208,597817.75935,625077.91701,652471.768584,680210.292674,708675.668126,738183.65472,758452.23068,779380.56525,801090.61971,823729.77991,847333.15262,870162.64419,893962.47285,917703.34201,939945.95245,959677.6527,973816.988832,985177.332546,995108.429388,1005625.563202,1018205.31008,1032939.038982,1049840.745288,1068066.653466,1086256.316936,1103396.00517,1118596.847788,1132771.34901,1146201.864558,1159385.846372,1172690.819,1177106.721726,1181455.927236,1185611.878664,1189376.130164,1192616.50851,1195528.44285,1197955.55043,1200010.560906,1201855.401318,1203605.26995,1207094.938438,1210498.023292,1213768.277496,1216829.789318,1219626.63407,1224210.516308
Madagascar,540898,574407.366268,607035.644712,641068.23825,676556.238876,713559.97362,751940.611072,791961.53766,833764.167724,877524.987422,923398.002,978369.181688,1035964.199936,1096280.134704,1159401.941992,1225392.52398,1293789.22876,1365291.3288,1439585.3032,1516171.80664,1594724.49136,1678948.61475,1765490.619684,1855133.696108,1949039.648864,2048201.73547,2157664.709628,2273315.696018,2395317.794912,2523658.233222,2658392.0875,2790366.80616,2928777.99592,3074024.24384,3226577.6595,3386815.39692,3530554.29531,3680813.39116,3837277.80749,3999441.71232,4166944.20912,4351361.349552,4541939.002576,4738935.475376,4942735.158402,5153662.53138,5424354.57564,5705581.456164,5997502.983752,6300227.3922,6613922.4067,6941998.42734
