Urban population,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Armenia,957974,1008597.321116,1061426.39946,1115612.321264,1170683.408958,1226270.423,1281581.6104,1337032.085312,1392892.12972,1449641.49372,1507619.76512,1564367.603796,1622103.527392,1680497.745248,1739063.02092,1797424.2215,1847860.077028,1897671.209746,1946996.113776,1996083.138808,2045104.829,2084400.4833,2122177.62682,2159712.20888,2198804.60616,2240233.7223,2280967.720182,2323914.668096,2362125.256954,2386191.97056,2389868.81595,2358279.029582,2307161.17476,2244756.047698,2182608.60092,2129131.38861,2086625.22678,2053336.389016,2027830.290624,2007181.031808,1989189.53268,1979581.25376,1973567.849044,1970286.727472,1968659.244048,1967851.91536,1969624.189776,1971681.319608,1974101.206484,1977150.701184,1980966.84752,1987710.110928
Aruba,24996,28139.757088,28532.728512,28763.122192,28923.385712,29082.534,29252.225472,29414.716192,29576.091072,29737.8702,29901.57184,30081.364632,30279.763664,30467.416592,30602.871168,30659.38392,30617.318192,30495.454416,30355.982592,30282.22256,30333.16728,30561.56262,30944.162964,31368.881664,31674.366632,31763.9685,31560.42571,31140.43218,30747.875086,30716.948892,31271.74893,32325.783508,33935.273988,35839.595466,37669.109212,39166.29803,40163.363086,40824.309858,41265.573674,41669.094532,42159.26513,43117.265112,44140.196328,45183.6625,46175.839476,47064.136,47899.685694,48642.6413,49287.184612,49832.154592,50279.66176,50687.200674
Australia,8375329,8587694.566,8841890.588,9055934.7,9279084.646,9507271.8,9768314.91,9934404.03,10153969.77,10412390.67,10664093.55,11047706.394,11269945.498,11461120.68,11772934.254,11937004.53,12052775.304,12184768.672,12322667.352,12451879.908,12599859.2,12792439,12998439.2,13152790.2,13293228.8,13466786.8,13687402.432,13895225.604,14122466.528,14361515.328,14573595.4,14784941.008,14990135.88,15162455.412,15349015.04,15561076.32,15805652.358,16022686.032,16230183.354,16456762.632,16694712.45,16960827.492,17209084.7052,17463227.1408,17707804.7364,17984542.536,18287588.1492,18654978.51,19069255.494,19509178.2444,19857079.908,20175675.0696
Austria,4560057,4590376.938818,4622747.142496,4656713.845206,4692061.015928,4726877.64779,4763765.427864,4803148.643804,4831817.271576,4852207.79073,4872870.98188,4895909.623572,4925699.363312,4954324.81197,4964025.979272,4952131.00923,4944146.24275,4946801.5323,4943554.40155,4935889.55925,4936649.73303,4951904.2046,4958107.7854,4952748.5736,4955083.31454,4960058.0651,4966223.912052,4972382.427216,4982445.812718,5007975.649884,5049338.0525,5100546.90852,5157539.97311,5200799.72538,5221410.11574,5229966.924,5237033.186,5242970.978,5248727.162,5258949.192,5271610.428,5303634.880124,5341656.331752,5379663.080892,5425139.412352,5474303.74686,5516671.90238,5553393.18776,5592910.17636,5627320.4925,5659236.13034,5696918.406
Azerbaijan,1857673,2108328.32136,2167604.471796,2227265.028268,2285368.40574,2340495.64508,2395326.800448,2446990.026128,2495724.941312,2542062.323856,2586413.25992,2660993.008488,2734824.987864,2807955.388808,2880446.715072,2952419.29206,3013402.0224,3073516.0756,3133316.43,3195510.75,3254229.82,3315513.18,3376020.748,3437872.256,3501609.894,3567781.62,3630032.478,3694537.712,3757547.944,3804559.98,3847890.91,3885651.484,3922189.476,3959098.84,3989534.162,4012031.1,4040020.46,4066327.335,4092128.82,4115107.625,4135853.596,4184292.2992,4232024.0904,4280727.4398,4335029.446,4396406.2965,4462143.6287,4530394.3594,4644268.9908,4759808.014598,4835103.83132,4918155.264
Bahamas,65457,69503.934928,73991.80232,78734.57668,83642.467204,88633.26703,93638.353542,98683.895078,103669.729256,108473.043206,113010.13075,117156.62725,120998.855754,124664.39206,128349.873222,132207.1113,136214.61546,140407.31018,144780.828192,149304.43586,153952.812,158948.85412,164107.877904,169364.153516,174630.360804,179841.16722,184754.748252,189577.165456,194395.189116,199336.518892,204487.47264,208839.28897,213372.065592,217946.247718,222369.037064,226507.82814,230277.074166,233767.639602,237121.626834,240541.569576,244177.99785,248045.600096,252127.420082,256396.016148,260797.141746,265284.30344,269840.684352,274488.437704,279159.477616,283763.259984,288236.12128,292515.916208
Bahrain,128480,137681.93724,141956.47248,146037.6876,149946.76512,153739.575,157841.9217,161961.6411,166378.4577,171459.0432,177500.7945,184439.8098,192316.25025,201493.5366,212416.24005,225319.71,240473.30449,257607.981986,275581.662006,292819.30284,308204.55657,321143.766732,332060.76041,341871.838776,351975.335418,363374.46995,376351.7244,390592.85958,405547.97264,420363.14285,434434.1274,446843.47476,458575.592832,470016.021456,481734.913336,494149.90772,508136.589072,524090.514576,540201.480808,553904.82228,563983.91796,567859.33314,567530.80956,572094.270328,593900.32896,640867.10133,717763.54908,819260.744738,931741.820856,1035991.139996,1118212.9403,1173806.13252
Bangladesh,2761049,2757034.995876,2948396.094116,3148940.981158,3361909.81464,3589447.33158,3871757.260564,4173452.97183,4484841.627454,4790505.364684,5078286.32694,5456170.273792,5812547.903798,6161814.915516,6530579.495,6942462.04448,7809924.71397,8753099.91766,9770721.6299,10848902.08128,11973533.05973,12747500.1408,13547531.03964,14376642.25276,15241190.39678,16145938.30608,17029711.36541,17948423.8038,18896769.5097,19866841.19196,20852271.31086,21755708.435626,22666562.67909,23588184.61492,24526669.99149,25486444.49736,26471138.405768,27474358.140754,28494102.673512,29527327.885146,30570817.6725,31665644.603328,32772286.811952,33879689.063168,34972770.803468,36041119.68392,37136611.926876,38204984.39256,39265756.9964,40348600.51148,41476183.02114,42725450.493516
Barbados,84884,85334.555852,85841.35274,86382.779184,86908.24831,87382.00211,87807.861872,88193.711886,88580.407252,89024.886258,89565.42627,90552.449232,91642.07533,92776.392324,93871.560454,94868.4852,95681.492852,96391.782144,97047.955508,97725.991496,98478.43272,97041.135896,95656.546128,94299.217026,92931.431216,91527.23525,90263.612616,88970.585052,87646.270894,86291.332776,84906.13219,86622.943316,88327.162912,90027.68268,91737.528278,93465.26512,95270.65035,97096.43264,98932.71141,100765.16692,102582.44317,104364.23488,106130.06053,107884.90672,109638.97405,111398.54546,113096.282508,114798.804464,116509.91516,118230.579,119962.24259,121621.6043
Belarus,2656152,2774678.661792,2897400.750192,3023617.082912,3152411.471232,3282734.7,3418036.001856,3556447.881696,3696854.377536,3838002.853536,3978504,4132163.525408,4286800.595488,4440935.552928,4592935.316288,4741013.38,4874032.188,5012323.988,5157254.1,5301983.808,5448102.14,5589561.5,5731864.32,5876172.57,6021910.6,6167841.75,6293204.918,6419696.342,6522230.52,6625897.38,6722804.09,6765757.8,6820099.44,6875283.72,6907008.99,6924376.44,6942876.64,6954911.416,6963136.398,6980707.26,7000798.65,7023968.40792,7039345.95,7050171.135488,7061612.178882,7073031.11214,7085863.415,7107529.968,7077691.812,7050657.396,7080963.5,7106796.168
