Total 10-14 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,11.6701435758989,11.9050323753266,12.3257749115873,11.769694685262,11.9097896781823,12.0807383507166,12.2607012260701,12.3566257219556,12.3936719930042,12.5304136253041,12.6698154550324,12.9157314833707,13.0821541420525,12.8923930500803,12.4343168957154,12.4041006026374,12.3694446089755,12.1886845927658,11.7826470824304,11.2123747046479,10.6212045389994
Albania,12.0263591433278,11.0869565217391,10.4283054003724,11.3964686998395,12.7689429373246,12.7863390254061,11.1485222596334,10.7167004732928,10.2431610942249,10.0542610916055,10.593220338983,10.1318752010293,8.99337330388135,6.68916845658177,6.58879904162923,6.91786870768325,7.02370500438982,6.63145539906103,5.88409225310467,5.40298507462687,5.38904026642446
Algeria,11.4347726753484,11.313568046119,11.6307065469025,12.0271743688669,12.9400640093104,13.1352228742664,12.9558745348219,12.6714033579219,12.8866387152915,13.3092761621736,12.3688696564385,10.9186655302569,8.42768005872554,8.21497020137048,8.39506780537028,8.36501014435298,7.95045498244908,7.19705977732137,6.45364725667437,6.03460662164659,5.94247011630954
Angola,11.2638687891944,11.1454425071728,10.9403074465961,11.8053033054849,12.1157323688969,12.4045801526718,12.375859434683,12.2267466780969,12.5011722779706,12.6346015793252,12.9149740860064,13.0220243109881,12.6263689974726,12.83540802213,12.1526219138951,12.146944130617,11.9053098799934,11.468782751909,10.8878504672897,10.3143343582446,9.83296266502626
Argentina,9.2064602647076,9.09569983136594,9.37439566814929,9.49078217290138,9.36093984335944,8.99584807012148,8.69148256020459,9.08760089982797,10.1243229935992,9.26607615322674,9.03922683342808,8.8456275335003,8.37062902670536,7.79138364632054,7.662964969303,7.43194647254975,7.10219456965695,6.73732490392959,6.38013719419656,6.05481958865418,5.96953397982019
Armenia,14.1272189349112,7.2296865003199,8.5117773019272,11.2925170068027,13.383637807784,12.8758401131942,9.90961910910265,9.1372079089275,8.97291196388262,9.83860955927995,10.5947351316217,8.82064684743548,6.21158201229376,6.52866242038216,7.05289672544081,7.22588752748979,6.7192429022082,5.97014925373134,5.57871112536069,5.5537512179279,5.70102751077229
Aruba,10.8108108108108,11.6279069767442,12,13.4615384615385,12.0689655172414,11.864406779661,10,6.15384615384615,7.93650793650794,7.5,6.74157303370786,8.08080808080808,7.40740740740741,6.36363636363636,5.35714285714286,5.30973451327434,5.30973451327434,6.25,5.45454545454545,5.45454545454545,5.66037735849057
Australia,7.14198807640832,8.04347826086956,9.53585676753916,9.38991582053285,9.49163196354208,9.27774515560775,8.65482751581956,8.53110562622619,7.25485607301662,7.14798255781862,6.96922274387063,6.87000441327907,6.38742968713681,6.05591435901973,6.08236536430834,5.98712706958669,5.89771575582755,5.82289938150551,5.70591466764329,5.60034244132125,5.56638585253777
Austria,7.23760092272203,7.98040910400461,7.15807413719642,6.68408747077431,7.68612747723621,8.56426497756664,8.16326530612245,6.62698412698413,5.74742603935879,6.07435412728418,5.8955783162628,5.9402332361516,5.22299069878369,4.93739664540515,4.69610024593044,4.62790697674419,4.71283001389532,4.75749508044913,4.72541507024266,4.65523276163808,4.66236054022314
Azerbaijan,13.9896373056995,7.18796992481203,7.64887063655031,10.2973327503279,13.6697602474865,14.4137809808402,12.0902304446608,10.181436497226,9.84606850644848,10.4586920210716,11.56546372706,10.4827259820161,7.70264218540081,7.01251856566942,7.92069140823589,8.05607661170896,7.4196048043394,6.45839304480749,5.84618295336297,5.76651276736078,5.93741136428099
