Debt servicing costs (% of exports and net income from abroad),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Gambia,,,,,,,,,4.73565931157643,6.46458801109796,6.23749504550776,10.48066482817,20.1629948795541,16.9902231993718,10.8590718641279,10.2764294350769,33.243065320288,20.4359053633244,15.6319077868783,14.1607848507424,22.2339306627532,13.4248573133777,12.7473706625892,11.541389723744,14.125725771478,15.4930891107187,12.3782578120352,11.4544181592879,,,,,,12.2730710845873,20.2279769656725,15.4596682312047,15.3692013976918,14.0888671877491,7.58976725611854,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09788464065169,23.392692053709,14.3194774346793,13.9482227488152,8.52682013437603,10.991521006459,12.328123647311,12.3106144128105,7.64091538347522,9.25595802815427,4.93414656962014,4.55140003983744,7.26120888898918
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,6.37673000526879,5.80880474068429,3.71508864836032,7.41413640785417,8.89464141779551,13.1108729700767,14.250830358128,15.5568062426075,30.4112227805695,21.7196338074219,23.5585798816568,28.3173238228971,45.7889857631608,56.6407635339522,50.5300894854586,38.372997470489,27.3995706552175,27.3162712165645,24.5437983528825,24.6279843727391,24.2162958320276,25.3994172427584,30.0038062160265,18.6969590368981,17.0727002371097,15.8141362322381,11.5772845844893,6.88772825750542,14.1142263306751,7.0266104170047,7.11740503446391,4.51037859990198,2.87289750328515,3.2016712780526,2.9429797282606
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,2.03022989965705,3.23511904761905,4.72772055530677,5.95652173913044,3.67692307692308,7.11227154046997,11.6287878787879,12.1820388349515,11.3787951149621,8.23603291468168,7.13800154496297,7.94276430892277,3.81709993247806,3.44037656903766,3.65801312781179,5.99179944610294,7.6502504993615,7.0769252620515,6.13548052845176,6.08820652173914,5.08756188118813,6.68288268643698,5.31283939101176,6.00143930634311,8.5663893385187,16.0667938131367,16.9417734718871,14.453981982541,6.48014930044409,8.78492274767351,8.74655306354213,11.0765323466983,10.9208674710161
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,3.86828271028037,5.86783781780446,7.27925257731959,7.90005452562704,8.93276099351203,11.3137479042829,15.6829875518672,21.674278464954,28.1171829094267,32.3303690159574,30.591621691082,28.5061120934881,21.0418614242508,14.9226265424326,18.040109545273,26.8248423835672,15.6529956348635,13.742125302873,12.4950174216028,13.4442015443743,11.1524463098557,10.0619585266335,10.6408626943734,9.5656568134429,9.95802048137904,10.1840773645267,10.7148034951986,18.5681202726678,17.750244026652,18.2295908208472,19.1226807904729,17.1085465422163,18.3688200503219
Guinea,,,,,,,,,,,,,,,,,12.6492787359362,27.2051090652733,22.0684743525161,16.0792845739796,20.0033283012588,16.0193556001416,12.6025496867653,10.9786958646468,14.3580475520332,24.8548242114371,14.9253499785384,21.0923670312611,19.7958756797992,17.3362139779663,20.6742453723326,12.6467467688208,13.1733998370526,15.0602661780808,21.8572177070514,,,11.939857412711,9.63593497272254,
Guinea-Bissau,,,,,,,,,,,,,32.6091954022988,33.281045751634,28.3779527559055,51.9668508287293,77.1958762886598,69.7792207792208,61.0251572327044,54.2296511627907,32.2988505747126,68.6388059701492,36.8607875762618,14.7433903576983,19.7861926841834,52.4129773572153,38.8904445222261,15.3359127682026,,,,7.04974967229976,5.88718659901388,10.7411772856053,11.5948270340505,,,7.25271231236978,5.54011043758541,
Guyana,,,,,,,,12.6519928776007,16.9585676723897,31.5131863903314,22.7658387377287,25.9810560766811,20.883873401184,24.2375665993808,24.1746195383315,27.6601467398761,,,,,,,20.6734322587981,17.2163284348029,16.3906248682202,17.0013487070343,14.382182320442,17.301517571885,19.2162278191185,12.7930933137399,10.1029390261734,6.78337078651685,9.59355416293644,8.62270351008215,6.37546118439765,4.91807043201575,4.28838928224579,3.07710126153843,2.57580394138766,
Haiti,,12.4399375950159,8.94838978186579,9.02963546370438,7.60808799431406,8.18019205259104,11.4975299906433,17.6157354582784,12.3712838763591,10.0394358335679,9.49381436431666,14.0608971721451,10.174877906612,8.70985264985034,10.6268158487775,13.9581629075611,16.8852403748904,19.8114250614251,22.1661330487371,23.0723340790455,11.1231148045552,13.2186753912813,7.18600531443756,6.50885068179893,5.8187789222272,50.9773341651071,15.44624217119,9.89791611711949,8.7420056145387,9.50080939652901,8.79630732578916,5.912835982171,6.80004749465685,11.4447471479653,19.2232766269336,9.44799775232618,8.40913265234038,10.2891457963994,6.71835075493612,4.63978697832286
Honduras,,,,,9.99346793556269,13.2141941000428,28.5682529405417,17.9031742022396,18.6168435951875,20.8379888268156,21.4400744224508,26.0690876882197,31.1089980855137,24.9324498435487,22.8844349186121,24.6999188531242,29.1504683840749,35.3794675230498,35.2101546096583,13.1108551419093,36.9252753513103,29.1119954519613,34.1741180738188,30.1486976856705,34.5637107975729,34.659348569372,31.055524736497,24.8936057309631,22.2647212718857,21.0023800250984,9.79831222011782,8.5416690071075,9.01714552249036,9.38967278336963,6.09210458455356,6.53043388468408,5.36316240324648,5.19075939560039,5.15640710944349,6.77945155193758
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,15.2851827621996,18.1158445855169,15.6682437656649,15.4935519070132,12.494055211373,11.6080809793336,13.1331352007227,16.1469961001293,19.4188196866244,21.7016491136869,26.7849133796439,37.5620324792729,36.1914922749998,34.1541118623245,33.5808248922292,34.8702407528193,33.7937053145235,30.3836376525437,30.2961996751881,33.5382772019214,34.4489318435059,28.4326343509889,26.9241308449939,25.3066780925824,18.9430027599902,17.4856241930952,17.8979522850168,20.8994031917242,29.1635583233962,14.4619291932384,14.9006488585043,8.60637222235821,15.8135818189466,10.0947966491556,5.88552681447792
