Row Labels,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,,,,,,,,21.6999999999999,,,,20.3,,,17.6999999999999,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1999999999999,,,,,,22.5,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8999999999999,,,,,,17.3999999999999,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,,10.8,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,13.9,,,,,,18.8999999999999,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1999999999999,,,,,12.5,,,,,8.59999999999999,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29999999999999,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3999999999999,,,,,,,43.5,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,29.8,,,27.3999999999999,,,25.8,22.8,24.8,23.3999999999999,23,23.1,19.6999999999999,24.3999999999999,,19.6,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,7.09999999999999,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4,5.59999999999999,3.5,3.39999999999999,2.29999999999999,3.79999999999999,4.09999999999999,2.6,,3.1,,5.29999999999999,2.2,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79999999999999,,,,,,,3.79999999999999,,,,,3.6,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,3.79999999999999,,,,,,,4.9,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,,,,,17.6,,17.5,,,16.5,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19999999999999,,,,,,,,,2.7,,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3999999999999,,,,,,31.6,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,16.6,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,,,,,,,20.3999999999999,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29999999999999,,,,,,,,,,,,5.59999999999999,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89999999999999,,,,,1.2,1.8,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,,,35.5,,,,,,,36.7999999999999,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3999999999999,,,,,,,,21.5,,,,,18.3999999999999,15.5,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,,,,41.5,,,25.6999999999999,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,38.2,,,,,30.1,,,,,27.8999999999999,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3999999999999,,,,,,23.1999999999999,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,,,,,,6,,,,,,,3.39999999999999,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,
