Total 5-9 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,13.3881457847589,13.983869135522,13.4699396713127,13.729739917075,14.0214545147394,14.3243040444211,14.5192514519251,14.6343447490442,14.8580968280467,15.018801150188,15.2213078833325,15.3070801877168,15.0604478637175,14.4721857205431,14.3391269199677,14.1519713580467,13.7771723035006,13.1647004640947,12.3974636808733,11.6350401385403,10.9566252349974
Albania,12.6853377265239,12.1739130434783,13.2836747361887,14.6602461209203,14.5463049579046,13.1195335276968,11.821922933034,11.5956727518594,10.6990881458967,11.171401212895,10.3650586701434,9.19909938887102,6.91069738087725,6.78122123350721,7.06798442647499,7.09449514277304,6.64325431665203,5.89788732394366,5.38143110585452,5.34328358208955,5.4798667877687
Algeria,12.8169979437971,13.2695079267037,13.9827761829799,15.0046129329867,15.9659586848996,15.7135722312399,15.0239234449761,14.8617459383627,14.9711257020805,13.4260241986839,11.8115656963021,9.12273225374406,8.8624749428273,8.97897030638767,8.84792399891708,8.30904130034281,7.45634627853422,6.64792995351854,6.1887744376708,6.05923766908188,6.11179423088552
Angola,12.9763627592861,12.8448466122269,13.9548812138151,14.3661460225209,14.7131349662995,14.8120963006459,14.6804176215941,15.0557222460351,15.2114789458876,15.3705033102018,15.4783583134893,14.7731375616801,14.9641954507161,14.0387275242047,13.8706386451745,13.4225008200007,12.7798783494986,12.0137745171433,11.280923584387,10.6599242751506,10.1192447830407
Argentina,9.97026412454084,10.2076306913997,10.254302842777,10.0590656882048,9.71088151974671,9.43410733507612,9.77125808055694,10.8607913193066,9.90891186607582,9.59967790176004,9.33430791304583,8.79398931088792,8.15669109329661,7.98411168825064,7.69907908992416,7.31643528104091,6.90114913338836,6.51419362836246,6.15957425281774,6.04885228945379,5.9263476110086
Armenia,8.06213017751479,9.85284708893154,12.9550321199143,14.6938775510204,14.2176330420969,10.8241952599929,9.81278244028406,9.70641102456561,10.4119638826185,10.6765983860956,8.83977900552486,6.30512904279647,6.66450986735684,7.1656050955414,7.27329974811083,6.72321709079485,5.9621451104101,5.55731978405843,5.51458800897724,5.61870737252355,5.60159098442161
Aruba,13.5135135135135,13.953488372093,16,15.3846153846154,13.7931034482759,10.1694915254237,8.33333333333333,7.69230769230769,7.93650793650794,7.5,7.86516853932584,7.07070707070707,6.48148148148148,5.45454545454545,5.35714285714286,5.30973451327434,6.19469026548672,5.35714285714286,5.45454545454545,5.45454545454545,5.66037735849057
Australia,8.60201971042706,10.2282608695652,9.93480587720152,9.98871821574243,9.86092559126267,9.1015854374633,8.89297135469824,7.47421049300677,7.37772057102738,7.13694320251697,7.06311945748566,6.55617123522777,6.19682952907815,6.20631690701584,6.09081309398099,5.97903088693681,5.87432759023934,5.73615930004526,5.61801867789782,5.57180566455019,5.56986701942491
Austria,8.08823529411765,7.3177758571017,6.83141599204658,7.81185531563746,8.56989823245849,8.10240168910003,6.61277498012192,5.71428571428572,6.02111299361397,5.8349086326402,5.90806894828878,5.19922254616132,4.90102551872168,4.6657217103709,4.59070148729359,4.66279069767442,4.68967114404817,4.64174094223868,4.55125972367352,4.55022751137557,4.65061655901351
Azerbaijan,8.01381692573402,8.99248120300752,12.1149897330595,15.5006558810669,15.8932714617169,13.3415362981192,10.9866926322623,10.4963262858,11.3576480377202,11.9876654246435,10.9619411257544,8.16374822527212,7.42274966412898,8.2855930405262,8.30706659888155,7.57231710929016,6.56722200697404,5.9138244004968,5.80834358149655,5.92669367756525,5.87123002741798
Bahamas,12.6582278481013,12.5,13.8888888888889,14.7887323943662,15.2046783625731,14.2857142857143,13.3333333333333,11.1587982832618,11.4624505928854,9.9644128113879,10.1973684210526,9.25925925925926,8.11594202898551,7.62942779291553,7.29166666666667,6.96517412935323,6.49038461538462,6.26450116009281,6.13636363636364,5.79064587973274,5.70175438596491
Bahrain,13.9130434782609,14.0740740740741,14.0127388535032,17.2774869109948,15.668202764977,14.5454545454545,11.5273775216138,10.6537530266344,10.5691056910569,9.68858131487889,9.8159509202454,8.92857142857143,8.77626699629172,7.83200908059024,7.25552050473186,6.66013712047013,6.17511520737327,6.03146853146853,5.84307178631052,5.6406124093473,5.40752351097179
Bangladesh,12.5335474251634,12.5634779736592,14.0326572832391,14.1830236985492,14.4019775073,14.5316769557737,14.7851097958958,14.9566466972842,14.5755500207555,13.398029448964,12.196040265119,11.3541965988349,10.4821101670691,9.19996803981326,8.65377878619664,8.2000082046233,7.68791673842974,7.13139079030729,6.60728714857573,6.26670734872876,6.09586732286119
Barbados,10.4265402843602,11.9469026548673,12.5,13.135593220339,13.4453781512605,10.1626016260163,10.4838709677419,8.23529411764706,8.10810810810811,7.72200772200772,7.11462450592885,5.95238095238095,5.46875,5.42635658914729,5.3639846743295,5.34351145038168,5,4.7244094488189,4.76190476190476,4.89795918367347,5.04201680672269
Belarus,7.36053719008264,8.00973984364988,9.61280078172713,11.0723829441153,10.1426833314899,7.96497971385864,7.57842426752252,7.44,7.94346978557505,7.83091458069543,6.06663351566385,4.81719115999593,4.75396163469558,5.09833262077811,5.05926251097454,4.80225988700565,4.47273151932734,4.18936917302337,4.14305503085254,4.33469066071194,4.49422759758109
Belgium,6.28187297171998,7.82942238267148,7.6906270482849,8.01946677951756,8.14122533748702,7.43429798547909,6.7053317053317,6.20478858889455,6.01026880096648,5.91968269707486,5.95506720298244,5.63556067588326,5.46728971962617,5.64441993013422,5.55756698044895,5.55853440571939,5.4680587506636,5.35981020999912,5.28892385698051,5.30765208297019,5.36025060911939
Belize,11.5942028985507,12.8205128205128,14.8936170212766,17.1428571428571,15.5737704918033,15.6716417910448,15.9722222222222,14.1104294478528,14.6596858638743,14.1552511415525,13.8888888888889,12.7659574468085,11.4649681528662,10.4956268221574,9.89304812834224,9.18114143920596,8.37209302325582,7.72626931567329,6.99152542372881,6.5173116089613,6.32411067193676
Benin,11.7130307467057,11.5348399246704,11.8995152049361,12.6817447495961,13.5242929659173,14.1248391248391,14.3258426966292,14.680902693521,14.8248540450375,14.5877009084556,14.7319417329929,14.3873919674631,14.0779333550418,14.030803906837,13.6427104722793,12.8950236106066,12.0974025974026,11.3507178435394,10.7055181983136,10.1054697081187,9.50777909198435
Bhutan,13.6904761904762,13.7755102040816,12.8888888888889,13.28125,13.5135135135135,13.091922005571,13.4751773049645,14.1372141372141,14.0767824497258,15.1873767258383,13.903743315508,10.939907550077,10.1694915254237,8.96103896103896,8.76979293544458,8.4393063583815,7.76914539400666,6.85224839400428,6.42487046632124,6.24370594159114,6.21915103652517
Bolivia,12.9377073350534,13.6015962753575,13.7611940298507,13.9162889896028,13.8684398005224,13.9104853960916,14.2963792459873,13.6775058665773,13.4782608695652,13.4055065490511,13.5128636691512,12.6252723311547,12.0562425209414,11.2042753155809,10.4064621466014,9.63621665319321,8.9284344557797,8.27155963302752,7.65421618562535,7.10656413073332,6.6469917499497
Bosnia and Herzegovina,10.4393541119039,12.4915139171758,13.2389937106918,12.599352369738,11.8686868686869,10.0346944222044,8.94454382826476,8.02618816682832,8.12819321876452,7.92079207920792,6.00811907983762,5.82010582010582,4.81511040170258,4.56130936409981,4.48857453754081,4.40809537011367,4.20574026712134,3.98826979472141,3.83328262853666,3.84005077753094,3.92156862745098
Botswana,13.3495145631068,12.3667377398721,15.7088122605364,15.9395973154362,15.606936416185,15.422276621787,15.2594099694812,15.6034482758621,15.3960029607698,14.0735958683021,12.6596980255517,11.7391304347826,10.6673407482305,10.6888361045131,10.4625056129322,10.0085543199316,9.40838126540674,8.85623510722796,8.46153846153846,8.20283370618941,7.9042784626541
Brazil,12.992570909832,13.6959944026587,14.3283294842186,14.3367050480855,14.5492806617287,13.2351173135792,12.3870447874099,12.3607224437932,12.2430150229657,10.8435895850083,9.55188746949907,9.32332281763413,8.81570329130506,7.47397271078161,6.58065935748044,6.09202821275561,5.64551039392851,5.299061116355,5.1180369123706,4.93507792467584,4.93382514461448
Brunei,12.2448979591837,10.9375,15.8536585365854,15.5339805825243,14.6153846153846,13.0434782608696,12.3711340206186,12.8888888888889,11.284046692607,10.8474576271186,10.7784431137725,9.75609756097561,8.57843137254902,8.16326530612245,7.5,7.04500978473581,6.97247706422018,6.74740484429066,6.44628099173554,6.16113744075829,6.09756097560976
