"Services, etc., value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,83.8677171485832,83.9512260111023,83.914032257642,83.4272283441279,,79.7597244647812,81.0405080675351,78.2939485520766,78.6508609295669,82.0686255205909,79.6297825488577,80.410511907757,80.2826111586645,78.5657862998497,79.1054464265009,80.6909180246373,79.6022310844708,83.7658059359329,81.786033687881,81.7077762840626,82.757014155373,82.4067285194387,80.5362566386002,84.2555686411002,83.7047171400542,83.5827674975804,,
Bahrain,,,,,,,,,,,,,,,,,,,,,39.9274685067602,41.1841536023522,46.0607084913919,50.6550840216463,49.8740221967782,50.3532141786448,55.1076707880504,54.6316602606447,56.8011667391979,56.3761744310335,53.3160724346076,59.2534813021325,61.8786063591581,61.2036399317324,61.7146838875801,59.1894155624819,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,47.812396117583,47.4078324487161,47.7430944157489,47.4104934710524,46.55538631669,45.7862911673988,46.5393115646214,46.8033741692599,47.7636879927011,48.5777995448129,48.2820349187776,47.8965673495043,48.1373822096245,49.9330671548087,50.045048567095,49.0558337122478,49.4521265932588,49.0739556847567,48.7345043937344,48.6659179599945,49.2009321547489,49.9622855911366,50.8582287924537,51.9844731949761,52.3594743806092,52.6341720902254,52.4802505159775,52.3789644938873,52.4752868670284,52.6140789322814,52.9558151996333,
Barbados,58.8059701492537,58.1137309292649,58.4728734092431,56.892523364486,58.8095238095238,58.793686583991,59.7580220936349,61.3879832324173,65.6161616161616,67.8741309915843,69.4904657705533,70.9740990990991,70.7668944570995,71.1565443976749,69.6595877576515,68.0987724807308,70.9771532994924,69.2955872570035,69.341731003657,69.7408,67.5434626203589,70.1852061353574,71.3877375679942,69.6698441211969,69.5170143878767,73.1174884529399,74.0434405473339,74.4447579263805,74.3214886464052,76.3128996425625,72.9406192743061,73.0038255781279,73.1382322305413,74.1256561506459,74.2094685554926,73.6137458087626,73.042673261897,72.557617192728,72.5764769405073,72.1995189168975,79.3795409213574,80.2011507297481,80.1008939926022,79.4239888979968,80.0577785443256,77.8523353049154,73.7996992691541,74.0153948289164,73.4798881592422,73.7625239748852,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3578199052133,29.066985645933,28.6478809226224,43.3032188260752,49.0235247406819,45.571173288113,44.3881338686953,43.4481539083506,45.5236827631075,46.1559887274079,46.6765726875632,50.8795136453218,51.2362838982862,51.1084324890288,48.8021701474001,48.4668015528594,47.8649868919312,48.4819377089599,45.9639091211445,48.2902987702476,46.8635122749268,
Belgium,,,,,,,,,,,53.4395791227038,55.1941322164861,55.1495072943345,54.7824943508023,55.07817765359,58.2899958730238,58.0989803138373,59.272296714206,60.189333239308,60.7411580631245,62.3158669349683,64.4422033324663,64.3923833775753,64.5431475639039,65.308887079591,64.7868582350854,65.8058079525544,67.0891545549592,66.3899637266757,65.7756147909925,66.5671407843396,68.5881363670738,69.2351861708426,70.3875144837705,70.5151813336357,70.1254197175106,70.3897081721706,70.0546260252166,70.7751702225698,71.6571880163596,71.6272934938066,72.6125706206794,73.3580094009488,74.1676777047988,74.3663419192273,75.1408814080928,75.097303408711,75.4008341002278,76.2039835877504,77.6918642559055,77.5111945331542,
Belize,,,,,,,,,,,,,,,,,,,43.9857086145296,47.3094980137234,41.6862514688602,46.413874191652,53.1955484896661,54.2754275427543,52.1668909825034,54.6601835664336,54.5061099796334,49.6452420701169,49.2565405608884,53.1366459627329,57.8251183514342,59.8692643177419,60.6825461879265,61.4102427311975,62.569588586438,61.5802154989677,61.1704742803968,62.28126588015,63.0081254026086,63.5264846676829,62.0590889012652,64.2798720389612,65.4614037544252,65.8413025210766,65.8394406424323,67.284200778298,64.8533865899602,66.2451215704961,65.0689567645317,,,
Benin,43.6151323075101,43.9927672308161,45.4992979932797,44.8120024543173,43.6782144354451,47.398726391092,43.5455672319112,46.5059242588763,50.2631170130715,50.4402718080556,51.9683960057938,52.1614597275854,51.880853432185,52.0799538531303,51.3820792502346,53.2970057653807,53.8934592805786,55.5879264555124,51.4524924985769,51.6637676932446,52.2856404345846,54.4249432015859,52.3763800452475,51.4853819312976,49.6189872897547,51.7520242329739,54.2210946876892,54.3544841047335,52.2252367848525,49.3750999119476,50.6925734670865,50.997290533792,50.7433616831626,52.8329739218342,51.8281697909051,51.4003484256805,48.6134085427518,48.0550234347196,48.2908311454373,48.4590802827817,49.582658065696,50.034912867376,52.5885419328461,54.1999129551719,54.5739406977832,54.3842582356843,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.3937960056475,90.6270285148158,92.4235348053987,90.0818155071261,87.6035198885595,88.4182026479855,89.0993487040632,89.0968637666934,89.0078809810452,88.7108458341484,89.6859232574325,90.4883250728745,89.6950844496333,90.4306450630662,91.4362175344356,
Bhutan,,,,,,,,,,,,,,,,,,,,,,41.9586288285147,38.9451971449329,36.4998214365416,35.1888847772981,35.4863065229934,36.5924894672112,36.7774740204339,37.6737626855554,39.3254774586552,39.6221934930125,39.6144467134126,38.5560307041599,37.589937919213,36.0673755526596,34.1147562600454,34.1510462841367,34.4555154461722,35.7314648954303,36.6660836354641,36.2994052241407,35.8065295787307,35.1273503121003,34.9648429898248,36.0879612188804,39.5388598505202,38.9228310931478,35.4399109251917,36.5428871671833,38.0800287641174,,
