"Services, etc., value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cuba,,,,,,,,,,,68.0488682006835,68.0468568048111,68.0465982452107,68.0475670337822,68.048878166198,68.054441083369,68.0367961026214,68.0453053763982,68.0524084640649,68.0554245226428,68.0823164987474,67.9484356624534,68.087792969126,68.0878029080692,68.0704138172384,68.2195535046625,67.280184025767,68.7736084694546,68.0878519474385,67.985111924412,67.3773760246787,68.9636541830098,69.0972413807582,72.2585266838188,69.8919642753036,68.3581235630981,66.0528987282902,65.7607633050483,66.3927229470743,66.4704149464399,63.7023692118934,65.4435332263696,67.4957665638759,70.1196164946636,72.1673428871563,75.0065892005867,75.2945764698824,74.5354922991155,74.3345789133734,74.6008511823158,74.4901459623391,
Cyprus,,,,,,,,,,,,,,,,59.1050583657588,55.2560646900269,55.8024107775939,55.9526159921026,56.5417592886628,56.7670656319873,58.3333333333334,59.8692555371256,62.0128431287156,62.0308060415733,64.0196996684864,65.0821419934856,65.0713402988427,65.3239151356628,66.4938637388436,67.2144617912902,67.069204022881,68.7163621128621,69.7071487464502,71.7067959569397,72.4591561375617,73.2072496063524,74.6718934010512,75.2355725389727,76.385704598295,77.3238818376249,77.5078106980353,77.031911615229,77.2277005107121,77.2987796024614,77.7433116893197,78.6285065093764,78.8166631632312,78.3252012672104,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0078410872974,44.9004043732215,44.0811423995729,52.0162198693399,51.1162324095625,56.693655530807,53.4749548296697,55.2238305897948,56.565007990265,57.3583966113183,58.0377282769483,58.3096351098872,59.9527606578688,61.0092806186795,58.1201639101894,59.1027040362432,59.1971551006651,59.0916456865631,59.8455518245015,60.0299206372592,59.9512275926345,
Denmark,,,,,,,59.1678209262227,60.2054129132536,60.9654694357733,61.2976366506069,62.8636418053394,63.2978635241079,63.4392378953199,64.1622614629026,64.9199538792434,66.1485557761564,67.4938029332782,67.3849056750888,67.8068680281327,69.3107406956087,67.9018437536934,69.0942988381518,68.696669823492,69.1570204023044,68.1103012473112,68.339994133937,68.4658517685798,69.2795480168248,69.8652338399121,69.6422006397545,70.3850580654054,71.0442870872013,71.2286346372066,72.2932198935433,72.1886459122896,71.4518845355958,71.2034639764307,71.1823350001037,71.7040473931924,71.6367641332334,70.5799272300427,71.3663519722122,72.2254781458531,73.0625128011283,73.4020281191011,73.0606728318471,72.5405578604211,73.1875881130299,73.5056741147207,76.749617594688,76.9214318866027,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.1401984413399,74.8896668909441,75.159253375143,79.5735902811374,81.2895946646826,82.259639821648,81.323077717265,80.6982723022206,81.1357012045707,81.8198640529971,81.6210895296632,81.1033696753764,80.810932987131,80.4290147687905,80.226454818692,79.7589121931808,79.8604151849575,80.1108685661765,79.2590640412635,,,,
Dominica,,,,,,,,,,,,,,,,,,47.7594339622642,46.7856131407533,52.4574669187146,48.3790176707945,48.0086325289386,49.0831295843521,52.4997228688615,53.7224332724851,55.4371193120745,55.2256485173925,55.4489973303813,54.7459432366393,57.5216257850456,56.375730045425,57.4749607227023,57.2854270388721,57.883201651953,57.9929563210946,59.1575489334505,58.4438767885952,58.747069983944,58.7703432243949,58.8665643268515,67.6901458368031,69.2791574238609,69.8752164646681,71.6967379748982,71.3891967518386,70.864556747573,71.6131702585744,70.8600343385707,69.6554022188745,70.5069880527761,71.4564553917099,
Dominican Rep.,,,,,,54.8361654709574,53.0338464304471,52.3965983764979,53.9153011534708,52.1170243541201,50.6193639156865,50.7801248199712,51.7888568697446,49.7163795678647,49.3847415914684,46.8980102513797,49.6102630903115,50.4283762576486,52.4652305630027,51.3039225709424,51.5608510179619,53.7911092786422,53.6790548290008,53.7462312596245,53.1189481141534,68.844337821526,58.9667428474282,67.4338069821555,58.8156045117406,54.2778638981636,55.1657756582937,50.2987514371,51.6282104424,53.0606295629,53.7187714636,54.1780932283,53.529353722,54.5469676728,53.8643841092,54.6729369149,56.8458622763,58.3699835627,57.8326903914,59.7762622425,60.0485524994,60.4874639532,60.7797240748,61.8712427754,61.503179433,61.3321081815,61.7432337411043,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.9651559541734,60.3787768444415,58.3996071749918,57.1182759495282,54.7965297149706,54.2831945635896,51.8261278666156,56.5800415938621,54.9134626136463,
Egypt,,,,,,44.5036996020771,45.1036938866831,44.7641122011195,43.4617398996719,42.4062786300646,42.3954005571048,42.6458470204967,42.1533045907906,44.7308408807582,44.4365014162345,44.0664556962025,45.5150047138879,45.7260403168392,46.0259411072277,43.2526220060736,44.9574311366517,42.1761745284075,47.9872644295499,50.3721841763566,50.6660316105474,51.4553094106859,52.39988111414,52.4252537095637,52.2002394165418,52.3452216413445,51.9628729529281,49.1815345362028,50.1186506634518,50.214148877942,50.370320371609,50.9188000628239,51.124495179401,51.8305617177,52.0245736388194,51.7668945567892,50.1271593166216,50.1121054657429,49.1471774614329,48.4136476580528,48.3464322592974,49.2130476929425,47.5011451982391,49.5852616817549,49.2497967968258,48.9984667926599,48.4846599171438,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3409633474523,55.1889628258519,55.1600736272947,54.950112130443,54.988329842131,55.8591485819903,56.3923661234759,56.3887030722238,56.9006890115553,57.4663590172538,57.9225983610042,57.7470089784748,58.4710852323461,58.9945344216672,59.8656556779551,59.5357725943832,59.963875417104,59.7273497220292,59.5099889605071,60.4342215930165,60.3433437052805,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,22.4579097802695,23.8327650674877,23.8060163586496,28.2385079458067,27.7667228110958,27.8066031238264,29.256359129734,29.3676602864277,27.7707907390865,22.1458856351871,21.1796184143223,15.0082932381826,8.24195266242978,11.8385002980385,7.16825753322104,4.24854457946501,4.25735494457043,4.9200874658054,5.31290483606453,3.81224473525715,2.96392365893683,2.8536136714742,2.7464661546609,2.29493959484297,4.2180241078468,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.4187614960147,61.9027424370936,61.3995178759379,62.2705662875368,61.0398430425596,59.7377685502798,53.4068515237773,52.2596997465393,61.932389299381,60.2223141462836,60.4816749926564,65.6890136256558,67.091201743504,53.8701230228669,54.6262319025254,54.5379231738213,55.765625,63.0271692130297,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4561437780817,36.9497182125788,38.4019769357496,33.7460035674549,42.0310180505415,52.2144497761494,58.685005883588,60.1988026821662,61.2379125570934,63.4141210039469,63.9026555628724,64.948247680098,68.6644196054937,67.6477922902972,67.232464623362,67.4858428826788,67.5355803791852,68.2361060727754,67.8773835360668,67.4718970891612,66.5773784345474,68.0024505252116,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,28.7609657038962,30.5217641096345,29.7350661536565,34.2184581127627,31.168909035223,31.9871074136647,32.4838293872802,33.7237884653009,34.0912258488068,34.5225869206038,27.2509675585103,23.9402251144318,26.050000316839,32.0501141994692,32.556311099235,32.7773053444574,31.6894019061951,35.4167535291043,37.6259027384656,37.7668455618505,39.308661569636,42.5965172405979,44.0409930766727,41.761678348172,40.3455346520308,39.4162319330191,40.490032861001,43.1308186781491,38.4555873149435,38.0326465991872,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,33.5463322683706,36.7469879518072,40.8787010506208,43.2904411764706,44.6717817561807,44.7530864197531,48.3985765124555,47.8981645944346,53.6545749864645,52.2776572668113,52.6613590968381,52.2533495736906,52.0760663575817,51.8050960000538,55.9682802028474,58.4447900466563,56.9027457018219,55.84905932444,58.8654638262394,58.4098755366447,61.8740974073177,64.503548977696,62.1874262347141,59.0181537937161,55.7451972266692,58.7892720841153,53.7434119537395,55.6196435740885,55.0846467662771,54.6929455594278,54.3335675802296,53.5161038671571,55.6348180584217,55.8834936394663,57.6878343800884,58.7794394515293,58.8281892690655,60.6416607555181,61.6071228112119,61.7822709181071,63.2286342923577,62.2250869722914,66.7768098528086,66.5638116922148,67.9771167121334,67.8851153704576,69.4336399687209,68.2419924300756,
Finland,,,,,,48.3508565928188,49.9620258312829,50.9377943515244,50.6920201750327,49.4115335108346,49.1034616508821,50.1506510877598,50.2516521716377,49.8056424758928,48.3335608641737,49.9541648841899,51.9479818691992,52.7285401314479,52.7814239804463,52.304523550443,52.0010780218299,53.3674262814762,54.1502502395911,54.5701875805451,55.2098127824403,56.8164675056572,57.9553449105788,58.8613153770644,58.7059589104769,58.4610706436855,60.1046646853599,64.0744649186893,65.1914174035983,64.4321087244835,63.1503152650562,62.2251371333174,63.3728345817583,62.9755061099906,62.0950644924808,62.4795699534242,61.8700662608227,62.6447947664838,63.6883932628156,64.04653667654,64.6266709894369,64.7841090201927,64.034386106455,63.2425963178936,65.093985540686,69.3467470601952,68.0627503081945,
France,,,,,,,,,,,57.0089276764733,57.6802540214056,57.1015848117079,57.7620146362578,59.9591973530849,60.392843681345,60.9562123253697,61.5563167920964,62.1349602328772,62.5110494203116,63.2721223072882,64.3220557978252,64.4617573240032,65.4156992088833,66.2645585912182,66.4581330308908,66.8520475898192,67.4699052477453,68.0456491432691,68.5459312540082,68.6991126402497,69.554774378183,70.2465907771135,71.8580802132911,72.3938176630865,72.1426433928263,72.9134350914201,73.23744256635,73.3539558387787,73.8805183555904,74.2289378511263,74.6861558337207,75.3927973992134,76.1737047037683,76.5679297225676,76.9162027847139,77.3428099659586,77.165701087706,77.4745715300144,79.2123182071514,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,33.8958772306447,33.2227905176575,33.5128043888272,17.7830592652039,39.0651821967782,39.8198198198198,39.9006357451384,38.0239371257485,36.0768350955185,35.7919261793367,33.8547522112286,40.6279828734538,35.6681935483871,40.5338981998758,28.436911487759,31.3148767301038,32.6380197469059,36.2793393219357,35.6639465875371,30.7942910331989,32.8135357221854,35.4740352548833,33.24080999243,36.6633150197323,34.1986891145097,26.7210929690103,43.2544328497497,40.159180807704,53.9742579974722,49.5844253088731,49.6791311859805,47.7641072273276,48.4287895369732,46.2674087429124,38.2949505746306,39.6048804137039,37.5411974732216,39.1302949406581,49.8374291115312,43.8906304423546,37.5311789812095,42.2873187252149,42.2145932735948,41.9198090420846,39.0654254898341,33.7570281563806,33.8856055294,34.9012205128879,31.6597317959349,41.1483971656371,36.1989736452791,
Gambia,,,,,,,55.7705597788528,55.1546391752577,55.0967741935484,55.0647820965842,56.580310880829,56.7156862745098,55.2447552447552,55.2483801295896,55.7775557775558,55.5960437272254,52.9752618676176,53.6210975544069,55.6304138594803,55.5308422301305,54.2927903137039,51.5675375433348,44.426402136455,50.3266004880538,50.2933720909117,52.6131424666502,51.9153739758673,52.5657035940354,58.0672857379394,56.877191341757,57.875295157558,58.519061386599,59.564667212081,60.4751081352274,58.936944078153,56.6595692158515,56.2908548927613,56.9682401885185,57.7513876832794,52.6975088731006,51.1329632681763,50.8298556744673,57.8883184535012,54.914541672628,53.1431399831396,54.5819603915179,55.4908038732611,56.4982197946765,56.4096902279749,57.0765097870967,57.336961740188,
Georgia,,,,,,,,,,,,,,,,,,,,,40.1140684410646,38.8840453356582,38.8109000825764,39.8208469055375,38.2913806254767,34.855403348554,36.171875,37.8030303030303,38.1964809384164,37.9699248120301,35.0035285815102,34.0832395950506,23.1639566395664,19.4312361487318,23.8454426969214,32.0668786507373,42.1355168775586,47.1436535228178,49.5430557291122,51.2349450276892,55.7114924042411,55.6019453344028,55.0345906903539,53.7966071035028,55.6614855538214,56.4649848020045,62.3245460511392,64.9956887214951,68.7307226021326,68.7780748511007,68.3660874086613,
Germany,,,,,,,,,,,48.2439659039066,49.8299334703166,50.903463528135,51.6390749617405,52.7306570405526,54.7928228877477,54.5114730007922,54.9721504568861,55.0811901067211,55.6829745493261,56.5414835548757,57.5655250297886,57.9634989474459,58.5662912114271,59.023805995569,59.0267031442194,58.9451092883718,59.886586972148,60.124222636704,60.4406376765669,61.1671707287268,62.0209559351227,63.2779999732474,65.6332397997383,65.9310550961443,66.5839289452436,67.4219477412283,67.6296706849568,67.7323449435286,68.3057952321651,68.2315311597194,68.7791480708797,69.5360655822978,69.913728897716,69.4127670730109,69.7257720448972,69.1172805184347,68.5561256597412,69.3518267929635,72.4245587353168,70.956013370564,
Ghana,,,,,,28.7837291521935,31.755866729164,32.0527154897722,29.8844438256106,25.9554140127389,24.9923109427198,29.0228725566336,27.8708762122883,26.5225596279902,23.8920320269166,23.4947966981241,22.2068451196678,21.8859528075439,22.0685013187304,23.6278068889549,27.6377881311526,35.1955474800996,34.1754246280076,,36.9424704836705,33.5769520420438,34.7295335909139,32.9438940326741,33.682301882952,33.7028341247516,38.0773962580726,37.4579122304199,37.5894975291127,30.833984205502,30.3640787058773,30.5541744207521,29.5634033676054,31.2162430106674,31.5405333832828,31.7105565151219,32.1989884315751,32.5373633040914,32.591155049202,32.0040675167843,31.3947307586002,31.6030786553976,48.7958657159925,50.2028979029966,48.6134826892748,49.195139047976,51.430808341073,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,54.5124319463845,54.7855386324263,55.4638211645405,55.2424138048525,54.3849740344847,53.9612965605373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,58.6983522397946,62.2752511898466,59.5710609093509,62.1551003344482,59.9404170804369,60.591638671146,62.8140703517588,63.3437767017944,65.4479476728213,65.465157920786,62.4152820288588,62.668234352329,66.5529677587555,68.5970834518233,66.8103774298464,68.9336939205686,70.4581796223375,70.2741338715103,69.8556243058861,71.3476032559542,69.989267704612,70.1978758212366,69.2460638634142,73.1095362275528,74.7217942866971,73.5234198795149,73.2704668214852,74.8190961402708,70.1296810016211,72.8997014254061,74.0312043477848,75.5208228764489,79.6822803331332,80.429706714392,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8064240723867,55.7152625097022,56.2794825847311,56.2464185178238,57.2968928883006,57.7279684326058,57.8684866943379,68.2031019505222,67.6873927438506,67.5571102489266,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4925655054893,43.0057912560085,42.8492540514234,42.0352023648824,42.8906002100774,49.5968444988503,55.2089910825737,52.6066180172358,53.1225588001116,51.5451650799564,51.4594423119834,48.9545740092217,45.8063737423191,47.3570772647545,47.2388113559349,43.4865968819072,43.8410433534864,46.2593159039083,41.2673533363188,36.9274825592055,32.8035472632518,31.2628191471749,28.3861854034392,30.9555871272221,39.5905111754369,
Guinea-Bissau,,,,,,,,,,,31.2989359430606,33.0714103823347,31.7565839197289,32.7235555733463,33.1283874818942,26.8662338525626,36.383825685454,31.2065366942312,28.3997340561551,28.5486676434342,36.0575520079322,29.5090009541412,38.8362449627792,46.1125039999999,44.3113833772455,37.8720075708019,34.9567915720164,29.2048439348424,27.3651580353366,32.9628915983019,20.5958227058934,36.1287479183931,39.9134368277971,34.6662138968427,32.8470452129767,32.7459386946112,30.8194694920477,30.0989661800613,24.94224979777,28.4198956345918,30.5656491979732,35.7672193809913,29.5750264705918,,,,,,,,,
Guyana,42.797256097561,42.4800277874262,39.4823066841415,40.3149029659465,40.4063957361759,40.9412488465088,42.2975738088278,41.7444651907175,41.2142152023692,39.8721169216716,40.5531914893617,41.3523274478331,43.3766723195779,48.2824427480916,36.5486318693953,34.551254755681,42.1265548029955,43.6138905238376,42.9778974863896,43.6858636265392,40.8682634730539,47.2592592592593,47.68,53,50.9259259259259,48.5330073349633,46.216655720123,39.9400352805878,44.3888888888889,30.6369852238852,37.0394510915291,29.6115634337886,30.2295062084452,28.1050653146305,26.3488793650341,26.1244206193683,27.3043348145551,30.815430980957,34.6066710775788,35.3841759348113,39.8765788505946,40.7751009856126,40.5928901102479,41.3715600077068,41.7257172249397,45.428785247724,46.0921332927572,45.6316426305635,43.010924990128,45.1302746782071,46.3513400366883,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,43.7046802900461,42.8637627432808,41.6972606608303,42.7410761854022,42.5894787412923,40.8207343412527,41.6616915422886,40.7140248356465,40.5709928837682,42.1316048572366,45.3710814814467,46.019714522167,46.4604834546592,45.1359537832622,45.24064171123,47.7553050536066,48.2157648844888,46.2141882673943,48.5289814773404,50.0374336916386,52.0139308483942,54.6806841135336,53.928503717946,53.4946705117679,53.3355795148248,54.1783161642087,55.9065534560653,56.1200911277932,54.7578468632892,54.2134796636009,51.2011470846964,49.9606444651163,50.0340946500527,49.2946909463965,46.8591663135531,47.7655857291731,46.9241982507289,47.1181908904329,50.1947792501831,51.7121520293859,51.6604880975315,54.7231994834955,56.4467919593724,57.1702779705888,57.5032992341976,57.6215855098242,57.0467486465102,58.4284938253622,58.888423800184,61.348965544854,60.9386027007852,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.347634721914,88.6257693367719,88.7880681749453,89.0707076036312,89.9271227881344,90.850876773503,91.735562220067,92.4443786278247,92.3759665565319,92.5682093250738,,
Hungary,20.6160371760752,20.649341936061,18.7533416267436,19.428955054885,17.6507504837613,22.6823180686149,22.5854629466674,22.4215457856804,30.7433273085734,30.5312601464401,32.8954537768286,32.7060457544243,33.0716990712336,32.1725709315408,32.5796818949768,32.4681200328309,32.5841104009253,32.6071949723362,33.1949191612483,33.1620358839398,33.8089085935055,33.3981565195635,33.1510783019826,33.7090529223604,33.976900593482,35.1517936418127,36.3131869729718,37.1772044393649,40.1242955030967,40.6852702272157,46.4014810996697,57.6590448855515,60.6170417854769,62.8633035945254,63.2911004991069,62.5253918702615,62.5621182115448,61.0224989414476,61.0347678049888,62.2774555268166,62.0459612485704,63.7143418479052,65.4072284462394,65.9829696429624,64.5966264064089,65.8053626215982,65.8206459353783,65.7844605465029,66.1720504681797,66.6535055662866,65.4403225627437,
Iceland,,,,,,,,,,,,,,47.7170534101919,51.667979055396,53.1964949675431,51.2180290867166,50.4619314471494,51.9530371382834,51.2072784525431,51.1659110800714,52.1553062048798,53.0598334591596,54.6776673104684,52.5666614559806,53.2382288411914,52.0126905137263,52.2634704328864,54.0667904512176,56.1218026232409,57.4113833818976,57.157329484628,57.9895956868512,58.6273382560057,59.8749553638247,59.5941977151744,60.1738531949081,60.2520341416855,61.4184239730275,64.0437723068133,64.803491876527,63.5483469212775,66.0744297583624,68.6830332231439,68.9502384625678,69.3061364442404,67.0727476431788,68.4952220563471,66.5190428177251,67.6687216861667,,
India,37.6229004081366,37.7983277495214,39.2647231634935,37.7397930376599,36.6147617464392,37.9467884977157,37.4405504772827,36.0275545350172,36.4633515690918,35.9262467516396,36.8860659361113,37.8058647307078,37.7425254452926,35.8010673328035,37.4541796433592,39.4778840290122,40.1050153901865,39.0197986293257,39.5575630541533,40.6098099867433,39.6106248113492,40.0727000863636,41.21220512643,40.5030826140567,41.5065833970153,42.7293486933384,43.7142424060829,44.2505807101611,43.3502696787306,43.836257786101,43.8366936423368,44.5921018971065,44.8792913456304,45.2030549769614,44.6762404092348,45.6804232296276,45.6140587446756,47.1078524381319,47.9151429197281,49.6925595779516,50.4574507432666,51.4641569013303,52.6608782554286,52.7906326211404,53.0464107927944,53.0435998596893,52.8576066085039,52.7047715752882,54.1963724180182,55.2736975459913,54.7333077522375,
Indonesia,33.4951446601942,37.9032258064516,31.8665751316815,32.1618463919916,29.6758767268863,31.418865609783,37.2518415872205,35.8564208095893,35.4808994499943,35.1087735086394,36.370936368737,36.4842433729123,36.4019941100458,35.2150741716925,34.691889533048,36.3493354782282,36.278872867452,36.1699623014955,36.1633176271554,35.018503314958,34.3122037263888,35.4256066201295,38.1523321301793,37.2871126109448,38.1641675171573,40.9442413429631,42.0369187714244,40.415760386604,40.2506697953617,39.9967006942277,41.4714452137949,41.3414347785196,41.6777722176172,42.4397118448145,42.0716959378582,41.0608017656466,39.8719964584275,39.5789234738688,36.6889218934678,37.0272554188071,38.4726349304298,38.2548918133877,40.0806242766216,41.0650845189205,41.0366056295077,40.3323237730874,40.0826385396721,39.4841753758365,37.4575149702063,37.0221835417391,37.6159752207275,
Iran,,,,,,42.524025856474,42.5881679804644,42.3712854000406,42.179044311994,41.7158919792458,41.7012419873124,39.6576093261329,40.4751727063916,33.4005688521206,29.2948933915609,35.251332575742,35.2591877698598,40.1195708636314,46.046355351782,45.8965744971954,52.772449501285,50.2544847872024,45.18290687006,49.0419248608953,50.9171251080592,53.8847640007151,56.5039863369322,54.939453017369,56.4091093417097,54.4883181733535,52.1944979924707,52.736092878614,52.1836021010512,46.4790317760483,45.8930119624738,47.3868863066776,47.4984578701721,51.2032593852691,55.1525323495436,51.6702883412205,49.5343357604177,51.7841776887418,46.576034469624,47.077251991125,46.0374243854251,45.1035455194457,45.9940287436618,45.3083718712081,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4803478101904,18.9590493808412,13.5194177087364,10.2609438958366,13.2957035431814,17.636182064497,21.2793391143282,,,,,,,,
Ireland,,,,,,,,,,,49.1344417021128,49.6581690406323,48.0388838310555,47.7810520277107,49.490812822235,48.9529080808057,49.8306013236425,48.3768569859074,48.7783482279837,50.9003647514812,52.863187612862,54.390845115934,53.4789385769269,53.0870718668772,52.819946160923,53.2825855527644,55.0200520605534,54.925903351119,54.9624606690474,55.3965498650774,56.5791232309314,57.3956626513581,56.0608762524138,57.5704508794798,56.3627621460822,55.2089991550467,57.0941875369366,56.5762141820337,54.2234637039637,53.9555191377944,55.3552649947069,56.7305081600794,56.7867485157927,60.2874298455048,62.3741012333958,63.912185235253,64.3040141402391,65.0309478489007,67.2832030783838,67.1497053902894,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,51.9561023491834,53.3538216236143,54.9819013231841,53.2755210082572,52.5278040546442,53.9316071959792,53.3181278092601,54.2357145472574,55.3842199133356,55.8305551696387,55.908625617754,57.275838023164,58.4154083584236,59.4978753008761,60.2070898475316,61.0533027777602,62.2298131231471,62.6365943516232,63.4086963659649,63.2158493009028,64.4211338052833,65.302622621758,66.0725966734984,66.7056478942884,66.7469434012257,66.5838262855706,67.1419355730089,67.4868343991242,67.7273644395846,68.4877379281376,68.9769687824776,69.3995209874682,69.8103495111195,70.5322637279179,70.6131822194647,71.0920275788671,70.8772268552807,70.606671728172,71.1541097567989,73.0427454454275,72.938505168615,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8646485011578,54.6016019346998,54.2132718897039,57.4695507224674,58.991018454879,66.0578780117575,66.4838433339162,67.428268466896,67.678389672799,69.5375135723866,69.3747485557293,68.6004499007398,68.6736785355615,69.5780846920986,69.344482692545,71.2524637723334,71.7420861362374,71.2763247726158,
Japan,,,,,,,,,,,48.642922492335,49.9518150160529,50.374194442653,49.1378057942114,51.1921394797418,53.5089525828096,53.5892494722084,54.8850021634206,55.0735063137848,55.4331843096686,55.6829445418344,55.9284006110829,56.630668928837,57.4967450026632,57.1381021464168,57.4848780445655,58.2450476932434,58.4320125460299,58.41524913056,58.5431374613246,58.3937732577554,58.7563175178388,59.9437278585229,61.5504245730668,62.8580090565307,63.7675446566426,63.8062039023773,64.1791612704202,64.8179150433418,65.3356342194764,65.8240050073143,67.2822453786816,67.8571494136862,67.9504051097121,67.8960004199435,68.0223575406705,68.5171534521276,69.1352566988803,70.2237204378954,71.905408637092,,
Jordan,,,,,,65.2572592969944,68.7675070028011,66.6666666666667,65.8855585831063,65.9398168338421,69.380028395646,69.0391459074733,66.7816091954023,66.9943820224719,65.4964028776978,68.4196755625327,67.667292057536,66.4827586206896,64.7162599235519,65.3605905735378,64.076469469279,64.1051103811779,63.6625433601676,64.778662024372,64.5561727695273,68.6844319775596,69.3431458699473,68.7539936102236,70.3380252748382,66.6666666666667,63.8029683802968,65.2857598978289,64.6376274428013,66.5811298226155,65.6393535270569,66.7536540488136,70.0383638984082,70.836300674478,70.490283066845,71.6969568330286,72.1090474759135,71.9660059357097,70.3640939938752,70.1237381871538,68.5906590149511,68.0548386485271,69.435624181366,66.9602916136159,64.7812802868019,65.4592257213242,66.4983000774344,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7001897533207,43.0967702074305,44.5413936765404,55.738086586839,60.2849596816034,61.2029506962325,59.7097090401613,54.5903910304976,50.8488232130003,51.8027527598783,52.795837438061,53.9360913167547,54.8049081253644,53.1125267516298,52.0198803987936,53.264201825802,50.999157684674,53.2723521036751,52.7636548782901,
Kenya,43.5595598775898,44.6672272320296,42.732198404119,43.3515752101495,43.4807767667631,46.5799580371192,44.3572663591527,44.5430182281139,46.1277888769712,46.4845695211303,46.874388175897,48.2475616601761,44.3946791521487,43.7960734642179,43.9348157221986,45.5987419598941,43.4934668648776,40.0621685865789,43.003797688803,45.5538068070037,46.558474448345,47.2249379559299,46.6977110251197,46.4088000161215,47.1167638408751,48.3319054863232,48.3790684580134,49.9577743824172,50.5032280753927,50.7831278036467,51.4440638412165,52.1848431460688,52.884143096136,51.582451971348,49.4326623309235,52.8493035464682,50.9329922708392,51.3214413511254,51.2732410988229,50.8121799665588,50.7160171285268,51.446784720683,53.457291386671,53.3954700559906,53.7287781005622,53.7092319789969,54.755845125386,56.4499521043161,54.4014705819063,53.6233361201883,55.0029650518033,
Kiribati,,,,,,,,,,,,,,,,,,,23.3870967741935,33.9229940020454,70.2377395535448,63.7016858146788,65.457337883959,65.1180406514329,49.9624445203141,57.2436447795737,64.444695940848,63.6793272405046,60.4621309370988,65.0249687890137,73.8099138354683,59.8454394219765,60.1227482206288,59.7929436501405,60.8238803678582,61.4655954843881,63.9956574833496,66.2671044005222,63.6359019037141,62.5534922527965,65.6826100546369,65.8423330920063,65.1931538681572,64.0953647263178,63.7620722993665,67.478244315921,66.4417814451162,64.7369313429919,63.7207489273869,61.8431317877308,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,39.3271951625499,41.398244598661,44.6626932641052,44.8375691600153,44.5833169465521,44.7236779418771,45.3616477726329,45.0569417786308,44.0431138673694,44.9649435865732,43.5966204827579,43.1951833129522,43.2480897701646,42.981897077768,43.0316289360023,47.2785999257747,46.6514908609725,47.0408322412463,46.9162427542566,46.5613311960919,47.3829567763618,47.610270678883,47.7573304921961,47.4633882519689,49.0698200002289,49.4914237570902,49.4336569974993,50.9974340832615,51.4224283029721,51.6989775830276,51.7975717937173,52.7731369881541,53.4174561732909,54.2197751541532,54.5074672834369,57.3091668574576,59.0036820109684,59.7819032623967,59.6311243518789,58.131113243969,58.9648169108551,59.674866224566,59.9951599364367,60.8408286288394,60.4469898919106,58.1696911992846,
