Male 5-9 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,13.3822832780673,13.9820293666448,13.4750350912372,13.732970027248,13.9973958333333,14.2815842729112,14.4811385933398,14.6016311166876,14.8176524670549,14.9850682593857,15.1771450051687,15.2670553017173,15.0285183711368,14.4452591798748,14.3198789594417,14.1414575455483,13.7711298508032,13.1596068897031,12.3902045376952,11.6296233216952,10.9552473174562
Albania,12.807881773399,12.2302158273381,13.3498145859085,14.7835269271383,14.7222222222222,13.2510288065844,11.9013062409289,11.6568434839555,10.9069353882632,11.4140773620799,10.7470511140236,9.60415314730694,7.22506393861893,7.1072319201995,7.4390243902439,7.50300120048019,7.01018573996405,6.25,5.70388349514563,5.6985294117647,5.83850931677019
Algeria,12.5,13.1114268317435,14.130634774609,15.3948906328268,16.6319547753645,16.2131375775218,15.2452590316771,15.0710815188051,15.1810256813006,13.6063964090335,11.9672557172557,9.23781958514231,8.97600805324087,9.09185477998544,8.9547871043262,8.41423948220065,7.56433007985803,6.76233029730194,6.31120783460283,6.19037871033777,6.25503463831158
Angola,13.1397637795276,13.0004498425551,14.041514041514,14.4868469803631,14.8793565683646,14.9731022115959,14.8512289780078,15.2405834966253,15.3846153846154,15.5228229200388,15.6294401818698,14.90478515625,15.088093966898,14.1507669285447,13.9983443708609,13.5610766045549,12.9228100607112,12.166514737162,11.4354280611675,10.822108685555,10.2806882630011
Argentina,9.82102401449932,10.2057698273188,10.2809096120772,10.1620947630923,9.86150508927082,9.62848297213622,10.035249262643,11.2014514178202,10.2341011517276,9.93381362385052,9.66460723742277,9.11292445380363,8.45783615762559,8.27863747424903,7.98528058877645,7.59319322877327,7.1656738323405,6.7710091123861,6.4123779579679,6.30267497251741,6.18535957181376
Armenia,7.94392523364486,10.0536193029491,13.7931034482759,15.607476635514,14.9593495934959,11.3125453226976,10.2717031146455,10.1778050275904,10.8720930232558,11.3874345549738,9.75103734439834,7.27272727272727,7.7029840388619,8.26502732240437,8.35016835016835,7.63563295378433,6.71591672263264,6.20782726045884,6.10583446404342,6.1770761839396,6.13668061366806
Aruba,18.75,15.7894736842105,17.3913043478261,14.8148148148148,14.8148148148148,10,6.45161290322581,6.66666666666667,9.375,7.5,9.09090909090909,8.16326530612245,6,5.76923076923077,5.66037735849057,5.88235294117647,5.66037735849057,5.88235294117647,5.66037735849057,5.66037735849057,6
Australia,8.68725868725869,10.3477887505367,10.0442563017125,10.1619014812263,10.0280723643169,9.28498318467612,9.08967020986645,7.67279644895371,7.59478812067144,7.35685752330226,7.29758149316509,6.78049743387288,6.39551192145863,6.4039847015921,6.28236692418711,6.16761594792514,6.06630613684458,5.92609454435086,5.80084027419474,5.75611856742984,5.74809213750613
Austria,8.85368126747437,8.0545229244114,7.47406955460647,8.52690385180829,9.32613022462326,8.74057525830774,7.14686098654708,6.16113744075829,6.45424836601307,6.19284034491769,6.24838626387813,5.49862534366408,5.15766316304082,4.89864864864865,4.79713603818616,4.86882533679981,4.89296636085627,4.8447789275635,4.74280320906088,4.74495848161329,4.86757337151038
Azerbaijan,8.14380044020543,9.39086294416244,13.0971551261406,16.4705882352941,16.7130919220056,13.8738738738739,11.4743162108072,11.0119963088281,11.929725134599,12.6182965299685,11.4986100581248,8.74423123633714,8.16559926806953,9.0477218743252,9.02333264505472,8.17471448607494,7.03339882121808,6.31538163502518,6.15650172612198,6.26312774489211,6.16150019135094
Bahamas,13.8888888888889,14.6341463414634,15.3846153846154,15.9420289855072,15.4761904761905,15.2173913043478,13.4615384615385,11.2068965517241,12.0967741935484,10.0719424460432,10.5960264900662,10,8.38323353293413,7.90960451977401,7.56756756756757,7.17948717948718,6.93069306930693,6.73076923076923,6.54205607476636,6.01851851851852,5.96330275229358
Bahrain,12.9032258064516,12.6760563380282,13.2530120481928,17.8947368421053,14.2857142857143,13.6054421768707,9.9502487562189,9.46502057613169,9.40766550522648,8.65671641791045,8.8,7.89473684210526,7.75862068965517,6.97211155378486,6.49350649350649,6.05536332179931,5.58292282430214,5.49450549450549,5.41353383458647,5.29411764705882,5.18731988472622
Bangladesh,11.6561271577508,12.03890266584,13.7061862868314,13.9123102866779,14.1788771016259,14.3258289788543,14.6053168855172,14.8568935758587,14.5362940847173,13.4103797507262,12.2466441305598,11.4142639580806,10.5481577712822,9.26189507930053,8.71185427210797,8.25823382224302,7.7505816113077,7.20060660632198,6.68759433656508,6.36411628711339,6.2109955423477
Barbados,11.340206185567,12.7450980392157,13.4615384615385,13.8888888888889,14.4144144144144,10.3448275862069,11.0169491525424,9.09090909090909,8.73015873015873,8.13008130081301,7.31707317073171,6.61157024793388,5.55555555555556,5.46875,5.51181102362205,5.46875,5.51181102362205,4.8780487804878,4.8780487804878,4.95867768595041,5.12820512820513
Belarus,8.26277372262774,9.07263853000287,10.9307359307359,12.3853211009174,11.3012048192771,8.75895539634851,8.31846565566458,8.12955812955813,8.63144758735441,8.54417254251348,6.64967070320799,5.30915446799213,5.27615626403233,5.66950910348006,5.61345333964946,5.34016093635699,4.97349154253976,4.66457023060797,4.60615971654402,4.82406356413167,5.00296033155713
Belgium,6.46754468485419,8.10376492194674,7.97327394209354,8.36387152403535,8.50477200424178,7.78079899602594,7.02083333333333,6.52992884051904,6.30927835051546,6.2043795620438,6.21616202125526,5.86734693877551,5.70610687022901,5.89560645888096,5.80192165558019,5.79868708971554,5.70912375790425,5.60344827586207,5.54561717352415,5.57441486510631,5.62198822059611
Belize,12.1212121212121,12.8205128205128,15.2173913043478,16.3636363636364,15,16.6666666666667,15.2777777777778,14.8148148148148,15.0537634408602,14.5454545454545,14.2857142857143,12.6760563380282,11.3924050632911,10.3448275862069,10.1604278074866,9.31372549019608,8.33333333333333,7.89473684210526,7.14285714285714,6.53061224489796,6.37450199203187
Benin,11.7277486910995,11.4457831325301,12.6984126984127,13.401187446989,14.2748671222475,14.8024112525117,14.924506387921,15.1741293532338,15.2996175095623,14.8824148824149,15.0210716435882,14.5601617795753,14.1904966673834,14.1370982723388,13.7270809670615,12.9735935706085,12.1663244353183,11.4199675700718,10.7685810810811,10.1796988829529,9.5843476692814
Bhutan,13.7931034482759,13.8613861386139,13.2743362831858,13.1782945736434,13.2450331125828,13.1147540983607,13.1818181818182,13.8775510204082,13.9285714285714,15.1750972762646,14.0350877192982,10.5571847507331,9.62566844919786,8.55745721271394,8.6046511627907,8.24053452115813,7.51072961373391,6.83229813664596,6.47773279352227,6.32411067193676,6.22568093385214
Bolivia,13.0820399113082,13.7307434695244,13.855421686747,14.0540540540541,13.997113997114,14.0784982935154,14.5020825444907,13.9511201629328,13.7753557372086,13.7207425343019,13.8472692121798,12.9152097902098,12.3101518784972,11.4475627769572,10.6350025813113,9.84296584102315,9.12162162162162,8.46063454759107,7.83508075942193,7.28048444811451,6.82368775235532
Bosnia and Herzegovina,10.7392996108949,13.1468531468531,13.8620245003224,13.0538922155689,12.3640526617058,10.4291146116241,9.35550935550936,8.4029484029484,8.39981229469732,8.29207920792079,6.46430578976953,6.2671797691039,5.14096185737977,4.90523968784838,4.81041312959819,4.73167916907098,4.48907265209687,4.26829268292683,4.10612760581175,4.08970976253298,4.19243986254296
Botswana,13.6363636363636,12.8888888888889,16.2698412698413,16.6077738515901,16.2650602409639,15.9493670886076,15.5925155925156,16.0211267605634,15.6626506024096,14.3790849673203,12.8805620608899,11.8995633187773,10.7287449392713,10.7445805843544,10.4,9.93265993265993,9.33977455716586,8.76648564778898,8.33333333333333,8.08448652585579,7.7958894401134
