"Energy production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,0.002071289313899,0.002148355782243,0.002140040134197,0.002161311496218,0.002280089749066,0.002490368945197,0.002545770892045,0.002625568788453,0.00289689543458,0.00310711856559,0.003747192529565,0.004146305696394,0.004716198322945,0.005046406834828,0.004930628398167,0.005396840722792,0.005349099310108,0.005780579923748,0.005676446471086,0.005952001876061,0.005806385324514,0.006522514949727,0.006526476209688,0.007007724947645,0.007602823484463,0.008098946261873,0.008494063422416,0.009117571317586,0.008238706259593,0.008585536757826,0.009213930174818,0.009642234495702,0.009819633270124,0.009867789112828,0.009678915833204,0.010315334408924,0.010357978272168,0.010850903957446,0.011555027419981,0.011269877750002,0.012186846661283,0.013093763201554,0.013440750332674,0.013285845851739,0.013394927989315,0.013728686765813,0.013569026038243,0.014138610306029,0.013992916970522,0.014185617629199,0.014550642875567,
Austria,0.001044829817935,0.001005851541015,0.001022554219059,0.001080427719386,0.001066108216084,0.001100083998176,0.001114940361217,0.001059553729083,0.001022047031341,0.000990588131128,0.001065254621407,0.000982390539218,0.000974307872656,0.001048783162429,0.001032694721846,0.001029846943286,0.000954524491845,0.001012192718557,0.001034502045213,0.001059638716129,0.001010972077939,0.00098266824259,0.000993084361876,0.000967747014368,0.000973650767585,0.001000338773597,0.001012160235512,0.001062257023247,0.00120837675269,0.001129219974783,0.001056851217122,0.001081524803755,0.00109989361367,0.001118094551716,0.001063692983824,0.00110106476819,0.001084666421455,0.001092194331519,0.001113414334318,0.001217484477176,0.001221804107381,0.001215985858023,0.001214702626815,0.001180367545319,0.001209164121227,0.001221753587986,0.001225634844428,0.001309347067186,0.001345537165453,0.001362004860664,0.001331167845575,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002862119042244,0.002589200649056,0.002437548726317,0.002167656099682,0.00194748905927,0.001896392926126,0.001833784898239,0.001781231566758,0.00204808825565,0.002367760325759,0.00233786050886,0.002390382598275,0.002385422327726,0.002366769359845,0.00236481888206,0.003170569598954,0.004381507033266,0.005908484536695,0.006555938660047,0.007120474104747,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,0.048595976896307,0.044153622045519,0.045431739269,0.045718337501945,0.0375633843717,0.036608471363532,0.039755513846378,0.036385823198685,0.035471115607954,0.033490835491414,0.034797709595403,0.027655103769037,0.025149742239271,0.027502987681218,0.026595888028897,0.029269839501445,0.028892233862761,0.028473817786855,0.027951507860961,0.027260757449416,0.025610845002319,0.025936370493519,0.026026641646098,0.024914539663212,0.024407701017227,0.02421961893431,0.024095948302321,0.024093953736439,0.023181243368727,0.023284898142098,0.023141228930289,0.023781804164655,0.024156020730448,0.023558159163987,0.022254939590815,0.020330392773074,0.018382465570526,0.016622412123619,0.015003702190021,,
Bangladesh,,,,,,,,,,,,0.000071458115891,0.000073543310231,0.000077502695828,0.000078707356165,0.00007728527126,0.00008026602521,0.000081483353684,0.000081175600636,0.000081734903923,0.000083660071589,0.000082980308195,0.000086076822697,0.000088951790675,0.000088753779232,0.000091204668895,0.000094386700775,0.00009011269609,0.000098174245847,0.000099601869378,0.000102203402587,0.000100660080967,0.000103114391214,0.000106138267801,0.000108237012111,0.000108749752909,0.000108057820564,0.000107026712987,0.000109756884653,0.000113473741637,0.000116951469522,0.00012261352084,0.000124667671951,0.000128553058816,0.000132909038277,0.00013759551834,0.000149134020947,0.000153742103404,0.000160813647121,0.000168930731858,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000325554158504,0.000337876665537,0.00033992291483,0.000312735260747,0.000334645244346,0.000323026608999,0.000324710665016,0.000325048003887,0.000314493292532,0.000346907321857,0.000349753375735,0.000359557773824,0.000369282501737,0.000360772467876,0.000367381238661,0.000388126352276,0.000400631063895,0.000412218751452,0.000416531156354,0.000419815720522,,
Belgium,0.001529308408809,0.001457220427446,0.001426900267536,0.001431591773047,0.001415580111922,0.001309326711636,0.001152457549971,0.001080395398918,0.000969716920335,0.000861383521409,0.000739831383323,0.000708497055282,0.000677335078011,0.000668858053117,0.000630811606018,0.000813750494627,0.00088492336622,0.000922013275744,0.00084128114031,0.0007739222816,0.00082181364084,0.000830239622519,0.000921308602085,0.001113424367151,0.001231669991263,0.00141823278022,0.00149108164354,0.001467218778488,0.00135782041288,0.001306382341422,0.001317214792735,0.001300479485181,0.001272021733487,0.00120630668563,0.00115551006614,0.001184022953464,0.001223658254864,0.001325228667098,0.001294143357463,0.001370281594948,0.001349684109687,0.001304888209726,0.001316272000507,0.001329417977566,0.001327404392375,0.00133538370509,0.001314658253232,0.001363439600758,0.001371882087879,0.001436870189096,0.001433352445737,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,0.000344566136295,0.000343937688351,0.000343203565515,0.000342244767756,0.000341180278618,0.000339778485226,0.000338374404256,0.000337275338943,0.00033624279447,0.000335562893254,0.000393410315005,0.000394582620327,0.000338649561083,0.00033337363774,0.000411521152724,0.000418531623529,0.000403592155499,0.000384333331405,0.000371439580878,0.000371573453685,0.000365521251492,0.000348499853671,0.000347345329286,0.00033811084048,0.000327685329387,0.000330248016785,0.000315232746051,0.000300526686238,0.000282124934197,0.000221730765395,0.000221713626322,0.000222751562593,0.000219983988781,0.000219431777707,0.000219039196558,0.000232113568251,0.000232304350297,0.0002321532603,0.000231993620849,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,0.000531331865901,0.000855753441247,0.001006857678316,0.000959016379333,0.000895660763011,0.000895703440958,0.000834599289074,0.000789069572729,0.00075682758257,0.000815505929868,0.000824917634264,0.000844274495035,0.000842441340542,0.000814054327902,0.00079308732778,0.000764286569563,0.000711293908611,0.000727923287137,0.000730291559376,0.000739391168711,0.000741389649352,0.000725224714977,0.000721219931512,0.00076270421386,0.000772781415956,0.000778191169974,0.000742629126666,0.000751316389163,0.000637663135189,0.000667208683309,0.000734368373386,0.000815496135559,0.000912939683715,0.001198155565725,0.001522360578813,0.001574207825364,0.001639177039946,0.001680905978147,0.001452367697314,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001068729679724,0.001039632854959,0.000926512169288,0.000850640360974,0.000218984977609,0.000245149752498,0.00033557685094,0.000637592345651,0.000740207770341,0.000725892546255,0.000832765699849,0.000825838164322,0.000876962554189,0.000921228312877,0.000949182542356,0.00096439540746,0.001048345033885,0.001044483590251,0.001152223909719,0.001187415183284,,
Botswana,,,,,,,,,,,,,,,,,,,,,,0.000584688190115,0.000596003391583,0.00057671742552,0.000568419369439,0.000584940180233,0.000604889547304,0.000575474832208,0.000667302516397,0.000681680009541,0.000658633608489,0.000657285556734,0.000709513258026,0.000697821501065,0.000690025439501,0.000668113193625,0.000599332144282,0.000597215480766,0.000657549273496,0.000651210320227,0.000640892529545,0.000625495601163,0.00061902336316,0.000561956082829,0.000549850100662,0.000566636082089,0.000555050883658,0.000508010728701,0.000530446761905,0.000473424688228,,
Brazil,,,,,,,,,,,,0.000498994094487,0.000499704741708,0.000496328480175,0.000506893074754,0.00049817067514,0.000488879201785,0.000492337351353,0.000492308662105,0.000509416512558,0.00052871358539,0.000534084199727,0.000557347647357,0.000613919330057,0.000705098405105,0.000751520439781,0.000733347023907,0.000743925807873,0.000724903195899,0.000731901076247,0.000696175520133,0.000688670777733,0.00067759758062,0.000673102674545,0.000694423829104,0.00069248221058,0.000721746606496,0.00075695876904,0.000788132791418,0.000822734570066,0.000850114845954,0.000860212158004,0.000933883986236,0.000981798623306,0.000993320370681,0.001047476408078,0.001098520250334,0.001139933045684,0.001191397585079,0.001191776321458,,
Brunei,,,,,,,,,,,,0.050764155407984,0.068144874290171,0.091657187839608,0.0906380674358,0.091113439126409,0.108229578206951,0.111130138639508,0.107179196319296,0.111098750724099,0.111655393555203,0.085580672896814,0.084349243173159,0.083070562277305,0.077021337827814,0.073332307692308,0.069414784631228,0.067042977988779,0.063558364281068,0.062341888606025,0.0620405314824,0.063086490821532,0.065669205454396,0.06259019357002,0.062470691489362,0.062983650652248,0.059457390607965,0.057584955008762,0.05433014003126,0.058133453671783,0.06019000354701,0.059375231794418,0.059326524876678,0.060775695226954,0.058293895370888,0.057997648179818,0.060264794756924,0.054956589574399,0.054917269525208,0.048334628940095,,
Bulgaria,,,,,,,,,,,,0.000668729663127,0.000651508193786,0.000633678558351,0.00059363845828,0.000703888079704,0.000726268091504,0.000747220883008,0.00076392004403,0.000828968875281,0.000873117594963,0.00095971063118,0.001049370827201,0.00107931937864,0.001110381834921,0.001063547377315,0.001102569733653,0.001122928087065,0.001177506567658,0.001142498834298,0.001090020257594,0.000972599671922,0.001020955039737,0.001085770005128,0.001115110454225,0.001232324441066,0.001290356920836,0.001246179559717,0.001249293136624,0.001135497142013,0.001238677403069,0.001309585429154,0.001349416027487,0.001303988065484,0.00131858796433,0.001375983300416,0.00143530259366,0.001305201783756,0.001349447171389,0.001302729907192,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000259700554192,0.000258198504598,0.00025724685831,0.000256811874527,0.000256841923057,0.00025729574372,0.000257347662546,0.00025804349664,0.000258719192185,0.000259382834313,0.000260422364121,0.000261602126801,0.000262902969651,0.000261025965799,0.000262410606226,,
Cameroon,,,,,,,,,,,,0.000349243049539,0.000346857094989,0.000344476518935,0.00034384744395,0.000343182239791,0.000341638094662,0.000345091931085,0.000399669403183,0.000569328872229,0.000736268386528,0.000860240029197,0.000937339818508,0.000943758760849,0.001213010236038,0.001186787440268,0.001146876848244,0.001127277525854,0.001045791067683,0.000978612873441,0.000901049018133,0.000856143430947,0.000841260543562,0.000789451997885,0.000768829611311,0.000702739897895,0.000718861310344,0.000745571390963,0.000751311080247,0.000717274759788,0.000710835105585,0.000666802890845,0.00067205490464,0.000649268984541,0.000629635996923,0.000598597927751,0.00057163406533,0.000503858687472,0.000495881874608,0.000461465297469,,
Canada,0.003187751203877,0.003514031523393,0.003979850954516,0.004157670421591,0.004416515673268,0.004559372659983,0.004823134519217,0.005075940839924,0.005410369412618,0.00588100896798,0.006665886381799,0.007068051146134,0.007913390530227,0.008765113517228,0.00838711840633,0.008104230129177,0.007778001280316,0.00801475822232,0.007968767714596,0.008665054090735,0.008460447399905,0.008102265661773,0.008102661543608,0.008199887837669,0.008955667598319,0.009334840883583,0.009154592545285,0.009515984197053,0.010124051650798,0.010025826904632,0.009881187634143,0.010166932942626,0.01036560511421,0.011005630367818,0.011667076033423,0.011905400645114,0.012113609484778,0.012230118502892,0.0121339862772,0.011994743123668,0.012153191185483,0.012173424066649,0.012277782361568,0.012217657101895,0.012455040062009,0.012423362641366,0.012589180641228,0.012625424359653,0.012184057353176,0.011575485588195,0.011634757837153,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,0.000547920839123,0.000544700003526,0.000503285280499,0.000496764287267,0.000478410347369,0.000490258283588,0.000491838520831,0.000488920372145,0.000455141116499,0.000518899450631,0.000547512865643,0.000551230759328,0.000553727441734,0.000566924072166,0.000562254026005,0.00056971158181,0.000565101250666,0.000569279837002,0.000574497950307,0.000566461282724,0.000587577624026,0.000597845518615,0.000558268093578,0.000554316964717,0.00054450798006,0.000538189551076,0.000532952611038,0.000508668368623,0.000492222036132,0.000526342460548,0.000551634495841,0.00054508362302,0.000507254699356,0.000501044525272,0.000544298990181,0.000556028878337,0.00051093670547,0.000539191798706,0.000548418744641,0.000558371053627,
China,,,,,,,,,,,,0.000471227268036,0.000483447488097,0.000491131123365,0.000497007128811,0.000543295643574,0.000549902792409,0.000588680360942,0.000630950039631,0.000637557357805,0.00062600719266,0.000614366537395,0.000631142502162,0.000652917607102,0.000689310060141,0.000703670943579,0.000710551607637,0.000719436876598,0.000735906516301,0.000760941860015,0.000773921810497,0.000770992443748,0.000776072156825,0.000791202230727,0.000825957594787,0.000878245031879,0.00089390594819,0.000884937245229,0.000868834402121,0.000842937873943,0.000838368165812,0.000855947809279,0.00091078826532,0.001018475903681,0.00114821072909,0.001241143192171,0.001314682243618,0.00138064256323,0.001497995339858,0.001561859266163,,
Colombia,,,,,,,,,,,,0.000886035612344,0.000811392980404,0.000750531134936,0.000720497288747,0.000712478253366,0.000681012559822,0.000665465859418,0.000681342979208,0.000670640176365,0.000658862769604,0.00067122939445,0.000697787032525,0.000716919067517,0.000774611655123,0.000831248323181,0.001072961997605,0.001264849288831,0.001258722098188,0.001353236415021,0.001451034792574,0.001375041325737,0.001404265879328,0.001404263900926,0.001432032910251,0.001648742363422,0.00177032969458,0.001789264338312,0.001914300462662,0.00195640439026,0.001843205488077,0.001805075240465,0.001681295373286,0.001779795098782,0.001797405054798,0.001846533216414,0.001935809608724,0.001975149849522,0.002079636278734,0.002171766273323,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,0.000284560844919,0.00028436801286,0.0002851374021,0.000282739082052,0.000284644369359,0.000335480529822,0.000329626870459,0.000317983192658,0.000321771612156,0.000317617767553,0.000321834796549,0.000324471610867,0.000329153636961,0.000340874740367,0.000343321011206,0.000341360933502,0.000338442999269,0.000334475689172,0.000332907139088,0.000330129961837,0.000322970692366,0.000315858233707,0.000308698694462,0.000307449145605,0.000310852118265,0.000312497578377,0.000309848480682,0.000309284941251,0.00031077491048,0.000352818611943,0.00035668382918,0.000356182751631,0.00035891445277,0.000362704702915,0.000361544745274,0.000362280947966,0.00036315896214,0.000362710778845,0.000363627351213,,
"Congo, Rep.",,,,,,,,,,,,0.00024308732568,0.000473539391018,0.00166701976653,0.001895029744643,0.001426211720789,0.001567162063432,0.001363259862034,0.001694399624732,0.001849304622036,0.002123457071599,0.002482377183514,0.002692631584466,0.002988074620042,0.003233825320433,0.003082185251245,0.00306068378983,0.00315234994187,0.003398814314677,0.003726765403532,0.003661171534035,0.003579166221803,0.00372543564072,0.003986232116433,0.003688327865005,0.003677866554251,0.0039859326192,0.004311315980367,0.004593594923401,0.004777697265563,0.004650734603557,0.004230940177324,0.003992140284221,0.003586069474627,0.003640154218294,0.003861022247116,0.004232001611658,0.00335409900574,0.003452943548524,0.003875670247579,,
Costa Rica,,,,,,,,,,,,0.000355544307653,0.000356793630721,0.000350783131543,0.000346077805213,0.000341480819128,0.000341860781573,0.000321428422486,0.000323565688083,0.000323067156511,0.000327309039002,0.00032543615902,0.000318799345644,0.000326460861493,0.000379331041924,0.000372692696054,0.000356987869428,0.000356048946372,0.000345870794626,0.000332160650234,0.000336080566992,0.000335482268032,0.000395998386281,0.000294840909944,0.000287985987878,0.000277168558035,0.00027953119048,0.000282029283525,0.000254649682482,0.000289151466369,0.000326445072694,0.000316495401137,0.000346347727038,0.000346994234742,0.000493086111665,0.00053618787524,0.000574087707847,0.000618989814509,0.00059047319357,0.000589852726873,,
Cote d'Ivoire,,,,,,,,,,,,0.000289841042164,0.000288284233368,0.00028448895073,0.000282717960186,0.000280609954061,0.000277035958476,0.000272565144106,0.000269023390814,0.00027221558675,0.000284542673584,0.000320401517552,0.000355548988196,0.000371653794866,0.000358613538823,0.000362185293764,0.000350417927458,0.000331899722624,0.000307019101071,0.00027312922407,0.000270215925731,0.000267037389502,0.000282945065906,0.000284305636325,0.000284150318452,0.000289401180062,0.000341851231472,0.000351200645334,0.000340919183137,0.000370914065841,0.000362594790761,0.000353595873382,0.000379989312394,0.000388482232621,0.000538384003014,0.000589777806337,0.000651644858919,0.000616749435317,0.000601209079451,0.000614505375858,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001136609625432,0.001055983013476,0.000944947585891,0.000982021694684,0.000875003997971,0.000895531613722,0.000911401750508,0.000890311303479,0.000876792322151,0.000792597293153,0.000795501220388,0.000837207973902,0.000830710076303,0.000840877559442,0.000871119189882,0.000856499097476,0.000936457086047,0.000917525663721,0.000895155630324,0.000921745716939,,
Cuba,,,,,,,,,,,,0.000603714164505,0.000558087675985,0.000578186943728,0.000590827512301,0.000591094965326,0.000587876507495,0.000629800039754,0.000680544690218,0.000700963765576,0.000664715630699,0.00066527628542,0.000720788299359,0.000732455051469,0.00074730175483,0.000737286436333,0.000764787701484,0.000769552937818,0.000780104471133,0.000827390814384,0.00089261525281,0.000783824306107,0.000780776665578,0.000606870684589,0.000618518042575,0.000567473748474,0.000609463919119,0.000594113055605,0.000549795225986,0.000624014964428,0.000712494685624,0.000732754120046,0.00073485539801,0.000715689886241,0.000665858742836,0.000558585198363,0.000530653191212,0.000515515694064,0.000505826222907,0.00049411673723,,
Cyprus,,,,,,,,,,,,0.00001468951846,0.000014522240265,0.000014359452257,0.000006392257695,0.000009627368376,0.000012054402944,0.000011909697811,0.000012128259275,0.000012359401879,0.000009127510904,0.000008731039586,0.000008699146564,0.000008325337897,0.000009480038178,0.000009568711705,0.000009452607819,0.000008978013198,0.000008170735516,0.000008012248702,0.000008004820893,0.000007073643782,0.000006858938413,0.000006678813665,0.000013976266267,0.000049606978528,0.000049412729294,0.0000467276185,0.000047309701242,0.000047166732937,0.000046910083177,0.000046245275523,0.000045645664647,0.000048183911178,0.000049296814549,0.000049413981921,0.000049174260116,0.000068789409864,0.000076948860772,0.000077598436642,,
Czech Rep.,,,,,,,,,,,,0.004068228933346,0.004024694495955,0.003890893632604,0.00393114740479,0.004051685014799,0.004134043553562,0.004280557308492,0.004128241931682,0.004229888764874,0.004015684776827,0.004018373867387,0.004064510184485,0.004122578311913,0.004185561297164,0.004142038749446,0.004232825476495,0.004339264129375,0.004279023557069,0.004118994635449,0.003970603582472,0.003743191654709,0.003515084554836,0.00346419164174,0.003224169757873,0.003140981440959,0.00320899191621,0.003249537780944,0.003063386571871,0.002803424449592,0.002992557569202,0.003066669561334,0.003080379744356,0.003284728394334,0.003385521285006,0.00322072956698,0.003271494627635,0.00327256432694,0.00316256053202,0.002988454208847,0.002996055545814,
Denmark,0.000217261347186,0.000202115032793,0.000197709328665,0.000192920134495,0.000170545040502,0.000164892694935,0.000154262202532,0.000111461517678,0.000067558213094,0.00003814416653,0.000076636170482,0.000066387273615,0.000087041677242,0.000084985491085,0.000088797384749,0.000104026953732,0.000117385359169,0.00017909836701,0.000171692659468,0.000189945156965,0.000185896577531,0.000304935364993,0.000503054055911,0.00060539210994,0.000690893476971,0.000973592707122,0.001272509020033,0.001593955191999,0.00162192582024,0.001858032754355,0.001960950851521,0.002311867148215,0.002497802027827,0.002675818329266,0.002896157784497,0.002978635730287,0.003361655559917,0.003835880969506,0.003847028737186,0.004470215326113,0.005194295496901,0.005066696103755,0.005322724465307,0.00528766733024,0.005760150214433,0.00577630029944,0.005428996090871,0.004951883389131,0.004842909407361,0.004328239340843,0.004181270317048,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,0.000261415374716,0.000261501381415,0.000246868445262,0.000248020223941,0.000244104911418,0.000252779220228,0.000242143209217,0.000245142210254,0.000246972399545,0.000229002598172,0.000262395315859,0.000285493877543,0.000283321709359,0.000302977002342,0.000208504675608,0.000208507836368,0.000208669352156,0.000170254363183,0.000143358466374,0.00014330283018,0.000142170263982,0.000179388237633,0.000189682817993,0.000187028902632,0.000181766275167,0.000180490983725,0.000178718827146,0.000165757362445,0.000176230562567,0.000165382502051,0.000171592490525,0.000170729373101,0.000171252455978,0.000176613711005,0.000202575551849,0.000200853027973,0.000199515860022,0.000194718171272,0.000193086411839,,
Ecuador,,,,,,,,,,,,0.000225057676456,0.000836922626053,0.00182555961908,0.001527005413569,0.001370851971846,0.001524529129418,0.0014652265789,0.00154144734709,0.001539721991025,0.001476842689529,0.001473402814152,0.001420689241529,0.00158222071994,0.001686912082175,0.001757634046276,0.00176219126542,0.001104499761142,0.00174730742154,0.001598873214603,0.001605546836648,0.001647186857995,0.001711393668847,0.001797629948996,0.001923200634493,0.001943632688146,0.001889842122901,0.001866237529201,0.001792691068069,0.00176514283447,0.001834884714269,0.001831473396029,0.001738895931557,0.001825459547557,0.002218762030269,0.00219119187702,0.002191271250088,0.002087758590949,0.002030823789869,0.001915921645631,,
Egypt,,,,,,,,,,,,0.000445050036785,0.000321142011251,0.000256088312387,0.000224940130805,0.000330230329574,0.000447656090374,0.000550853800574,0.0006453107618,0.000660606906682,0.000744754623976,0.000785579954332,0.000797319222057,0.000845325619498,0.000949618783908,0.001010816898072,0.000922399593308,0.001002097843883,0.000949623266608,0.000962711758085,0.000965269066569,0.000958234886136,0.000958566561813,0.000996010291364,0.000969988029738,0.00096364585094,0.000929418760289,0.000898566529742,0.000875834509138,0.000892593972151,0.000834399707109,0.000827497351064,0.000867607585032,0.00090114934407,0.000887661813101,0.00103647083216,0.001055158360857,0.00106936453027,0.00111700021876,0.001106251059148,,
El Salvador,,,,,,,,,,,,0.000327060187381,0.000328669087503,0.000329741315796,0.000336647298334,0.000368768371762,0.000439572205377,0.000445220870955,0.00046555146319,0.000448700152569,0.000410726584817,0.000454106139233,0.000468759832946,0.000439851439007,0.000442695471185,0.000401954767601,0.00032618890514,0.000351090112875,0.000316318805141,0.000314637928261,0.000317367549986,0.000317282034202,0.000317940983423,0.000310513503916,0.00030950436278,0.00031240323152,0.000314675045062,0.000316930186023,0.000314650642887,0.000338785172423,0.000356796999481,0.000382926694767,0.00038764373397,0.000398558514297,0.000396695888662,0.000411445773276,0.000433075583173,0.000475401696939,0.000507348406787,0.000513671544957,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000222208787071,0.000222451777858,0.000222066230329,0.00022735978768,0.000231517099518,0.000233645072781,0.000140500848243,0.000140144948212,0.000138456299201,0.000139351281963,0.000137762133764,0.000135973465203,0.000111546952153,0.000111403863665,0.00011077508746,0.000110429355801,0.000110275630968,0.000110145002018,,
