Total reserves (% of total external debt),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Benin,,,,,,,,,,,35.8969611317379,48.1830315850338,60.0594433020182,36.5604726709915,31.8021501545312,12.6124297261656,13.6182299773974,10.0216557283915,6.133765306464,4.39043103512261,3.09331295513098,11.4232075808733,1.32075860395495,0.990597586049841,0.770317512801335,0.856403398583741,0.793174588611798,0.720654011708786,0.750258449056852,0.733605393899176,6.17867043474902,16.8767153882874,20.7606619110263,19.5418803025358,18.9923436177395,14.1742770407596,19.0057429497656,17.9316493764092,18.2357749715446,27.1125520114982,33.0573321389152,39.7701604268758,37.0092086800132,48.7689190821229,39.7357545084615,42.5667276850927,142.380123273366,158.240869477217,137.805220654904,114.675632959162,98.2642506703863,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,2011.34469722018,1575.09579829619,603.746845290109,291.150101183658,216.065625473882,142.628066763659,121.896193755363,106.332247519477,117.326847347695,95.4270787789101,101.385973670048,116.161132905942,123.340934482385,168.143755931842,157.76356635696,150.141268398133,159.012489737851,155.877138168663,121.937420361842,93.9250823896175,75.4450158717873,67.1920194938896,72.0022222560062,76.4504331271488,88.1484051831186,111.563608520784,118.484994446479,111.572550125059,
Bolivia,,,,,,,,,,,7.88011262228756,8.71063404437787,9.25587927030444,12.6192328021014,28.5010954295371,19.4475399037682,16.0396751777589,17.9020454690967,14.5885364613464,20.6479911812729,20.47669688323,13.3367861869232,16.9016485307413,12.5035366935114,12.3488783331713,10.2504831695514,9.20758078799699,9.08662721311532,9.63467009174312,13.6327994972282,11.9516958629866,10.3997374971407,11.3247236603943,13.2910918834051,16.2693414289243,19.0716046143867,25.0671111593786,25.9609437483026,21.7112681924377,22.5045321039253,20.4679843830999,24.423470830914,17.8343954774362,18.9082799795002,20.4355555891362,25.9847823169337,55.0906361994947,106.436809168512,139.652771973253,149.304279561453,184.762531396062,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0361299141144,17.9084730821225,46.3832638063822,42.5520973706923,40.675157470428,43.4299286121561,40.9455258226869,50.6887682618767,57.1457239494445,53.9532967946019,47.5344940307727,52.1580938777799,
Botswana,,,,,,,,,,,,,,,,,43.4760172152978,52.1075284132245,117.0440696022,200.826876169297,246.283900090268,148.359843293419,134.787582033964,164.924278673629,170.027418082229,219.388552055571,285.353113523686,370.43356476293,416.288422766182,507.599245748332,602.518281819135,607.070118388596,625.615362414447,617.084587153587,628.430691061459,654.73638710356,802.461734518319,987.424192376524,1116.30879759322,1235.32197295057,1395.503993039,1474.78078504874,1120.73318291625,1039.57680366495,1110.02359991108,1410.45966509632,2091.2965884303,2369.85799027854,2102.11569532697,538.168812058774,461.488548059716,
Brazil,,,,,,,,,,,20.7500518761302,23.5684050537768,36.627765893376,44.3679682537768,24.7878798826244,15.2443333131259,19.995499571894,17.7019964253571,22.3390847467331,16.0414710001812,9.61208604944981,9.18256760244711,4.25557025641591,4.62977283145037,11.5161195997009,11.2131618151775,6.19412507996613,6.23903140006073,6.8905416994404,7.632961820054,7.68359726969903,7.2422276786388,18.0315469774687,22.0359144362069,25.2579066515598,32.0792408110533,32.9229211094112,26.0538019965436,18.1811053202513,14.887825760086,13.6681261862282,15.6596904216559,16.3764624921487,20.9770876091138,24.084735275228,28.6890466519361,44.372765882399,75.8963368774232,73.9204279367709,86.1433843621534,83.1679524166769,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.70793953964157,10.4836172178755,8.64248281156963,14.2129753579867,15.7550413076501,8.33535540047686,22.3912997299245,26.8039816759472,29.625464049723,31.2800595566684,34.7359128166041,42.220436188562,51.1213576575524,59.599273395943,55.3964874270195,56.0087626526539,53.2189218120619,36.8917568094351,34.6215227727594,35.824065441484,
Burkina Faso,,,,,,,,,,,174.917015427623,181.971817424784,237.144016873556,201.632442871471,176.57874986942,122.413704819404,83.7275007627501,34.7830667558714,14.5463660800999,22.8158398219048,22.6358640219066,22.9436186344364,19.0073010806277,22.4416265220725,26.7658202479776,27.9217900414784,37.1820881508702,39.634474408229,38.5035463906756,37.6392367582101,36.6278036515466,36.2855378676865,33.2927946079387,34.6853715361582,21.3467255032187,27.3390470263519,26.0803327865314,26.49906960609,25.5948638833085,18.6345937914258,17.0608144988014,17.462067443735,19.6738071371849,43.4938177358054,33.1603110220129,21.9814097715392,49.4192067510197,70.9968074823018,55.5490331881188,71.1360640397994,52.0255431095046,
