"Internet users, total number",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cambodia,0,,,,,,,685.677397171113,1956.73372617236,3908.09353818906,5852.88402782768,9737.77608850685,29156.5007810115,33937.1081070759,39639.4936865804,42386.4917271688,63302.5509900316,66982.2993,70495.4844,74082.8859,178142.013,
Cameroon,0,,,,,,,990.396437907703,1979.30558967941,19778.3819287834,39528.0639900927,44438.3033795705,59212.1162874999,98622.8535247808,167545.951190373,246216.157880964,364127.128715303,537655.6446,637798.452,736321.0752,783955.56,
Canada,100000,160003.091491721,260011.86195447,340021.535255515,690036.060998812,1220000,1999829.10114164,4499135.14813448,7497596.15600074,10994823.8916167,15732358.245,18642276.072,19267447.7273698,20292696.804,21068712.4431716,23134293.7558,23622656.072,24139408.488,25562540.718,27041384.744,27757539.888,
Cape Verde,0,,,,,,,994.939673681243,1991.17403739334,4979.54950921142,7968.41704805101,11952.308491022,15930.8212339402,19895.813510942,24827.4570876629,28723.3253322945,32564.7744083985,40009.85686889,97474.2,122905.25,148799.7,
Cayman Islands,0,,,0,0,1294.94532199271,,,,,,,,,,19879.8113494599,23901.84,28433.08,33729.95,35967.135,37111.8,
Central African Rep.,0,,,,,,199.260447358277,497.201337581109,992.353566960094,1485.39787687766,1976.44249033632,2958.78433624127,4921.99210936349,5895.92751837011,8829.45090667456,10775.7777428853,12718.7370001288,15637.4766494974,42379.61,77726.304,101224.173,
Chad,0,,,,,,,49.024225990777,328.240993901518,979.205482675959,2935.95257433737,3912.64384130629,14665.9425660243,29320.7024281204,34196.4294276931,39070.9672576745,58593.1603747319,87872.7632566633,126779.7678,164056.335,190862.536,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
Chile,0,,4999.30008783441,9998.95411958799,19998.573635637,49997.9042360802,99997.7376957303,156872.928098708,249999.301824751,625014.649206891,2559690.12,2980402.2,3488262.011,4065562.37955869,4545719.35291385,5082119.6524398,5681323.21304418,5971338.186,6264756.189,6578825.956,7701159.6,
China,0,,,2005.08134135027,14035.1597217022,60149.5099447948,160399.126210359,400999.74104277,2105102.27772436,8919464.1918987,22538411.7417642,33732185.8357928,59097714.8319786,80190592.548,94940305.782,111449553.617982,138335407.238512,211437109.6,300190268.424,385788648.98,460077957.136,
Colombia,0,,,,38366.0914333045,68549.3302251122,122478.245228421,207959.613777741,432910.836747382,663857.781091421,877807.083691775,1153741.75198659,1889594.256,3083539.28840214,3865021.80998735,4737587.79898584,6703780.95054132,9668807.286,11521480.192,13696213.2,16897616.965,
Comoros,0,,,,,,,0,202.137816246267,811.731543524723,1528.45667639498,2559.02556858964,3291.32045110905,5167.77185741597,8307.42224766266,20860.1002817687,21991.78938724,23230.9027568014,24264.0354036947,25728.451823429,37472.25,
"Congo, Dem. Rep.",0,,,,,,49.0122813774959,97.9381702416231,195.683799439512,488.694341252395,2928.99473940673,5851.43510103919,48707.0729100532,72986.5592982011,109395.753940884,136682.54656671,174933.385881753,224857.0475,274889.5644,359544.1024,474953.724,
"Congo, Rep.",0,,,,,,99.1089387218588,100.286270432587,101.543439766268,513.039928779086,826.424572097982,1035.45113385239,5171.81554002629,15480.2640113421,37128.2877369164,51705.2209559411,72861.1449043092,102953.862530114,164483.414528628,177365.43,202144.95,
Costa Rica,0,,35.9030627581523,2692.60298983815,9473.63224450326,14459.4633597066,29917.1979343639,59839.5863580609,99737.9749653704,149594.30177035,227322.356439286,382660.907742533,812345.964683649,845967.437510017,880679.982435787,951087.4491,1099836.82,1264540.672,1460193.8396,1576018.207,1700493.755,
Cote d'Ivoire,0,,,,,29.3919158413799,1269.02837867272,2916.91364246574,9681.85976915687,19278.0217004143,38380.1710490173,66853.1211236159,85547.4957389695,132429.584755726,150593.398931199,187280.55575965,279452.998770778,335641.572,379740.14,445050.598,513182.8,
Croatia,0,,,4499.97666878664,12499.9436530107,24000,40000.2834641814,80001.1761343318,150003.240488076,200005.15427017,299387.375819624,518011.327401718,793163.9088,1013873.5425,1375347.2502,1472074.1604,1683953.8218,1834132.328,2235703.822,2481993.1728,2656088.656,
Cuba,0,,,,,9.99145197381404,3498.1619739517,7498.96373495301,25008.1611711607,34831.1512166723,60094.6041213577,120286.155801335,421379.242300937,587442.955505926,944634.565279012,1095945.08697787,1257142.92601354,1317309.5103,1457937.507,1613934.5924,1790018.661,
Cyprus,0,,400.837367965616,461.569637092058,929.58739534987,3508.27076714441,5880.15427647216,38999.8089481268,80731.3409809402,104974.35328994,143903.21977811,180938.980801102,277500.3168,300338.5206,343647.1698,338783.5922,375595.8576,433396.1079,455679.1231,543164.6013,584862.935469259,
Czech Rep.,0,,,59991.7278230959,129983.529430681,149999.389498147,200053.30218897,300199.871145556,400448.769419631,701068.376923519,1001808.71302239,1502888.87615134,2443133.35,3498369.161,3621591.075,3604819.0226,4917040.9228,5355813.5325,6534622.9623,6726321.2605,7220731.64118336,
Denmark,5001.0574038993,10003.6870737791,20011.3443170466,30023.2488650274,70066.2743720594,200210.525872819,300334.783987747,600693.505560773,1201363.97845562,1627645.85178702,2091612.33725401,2300828.65065185,3450550.7475,4106209.7862,4370446.604,4484047.9656,4716051.026,4650401.239,4673814.6624,4797800.5816,4924085.9824,
Djibouti,0,,,,,100.439084447209,200.845851773359,552.187167291493,652.398649780669,752.573187240883,1423.6077175178,2575.08660823018,3726.71166949368,4880.08040449328,6201.61131904649,7708.68026436753,10461.1004208659,13599.1386,19337.3736,34883.6,57766.54,
Dominica,0,,,,,391.61903930131,829.662436807063,,2059.99882986192,2052.6030289258,6141.47824937194,9198.41351601937,12768.6349365447,16345.3305382503,20946.9110969784,26566.2061195446,27066.5457464839,27561.4260143198,28054.2444,28540.8244,32150.6965,
Dominican Rep.,0,,,,,1364.26509463401,6040.0331200879,11686.9962757356,19472.6077128058,93441.048622885,318305.944668464,386519.971431298,604633.960222528,710491.88030178,809421.928018601,1063834.10237855,1395168.67583167,1683343.0764,2012242.1736,2715687.3744,3924269.596,
Ecuador,0,,548.923677157678,1796.40413528542,3892.18194993235,4990.24350815008,9980.98592969136,12977.068051366,14982.1047846599,100024.734083897,180507.511018809,335195.051290963,543993.624470481,579294.100594872,638575.194880102,804812.794818024,982058.976,1495769.868,2642667.12,3508345.236,4194774.31,
Egypt,0,,,585.674104484552,3895.84227489771,19438.1607680252,38798.2127146862,58087.9443247307,96649.3734044278,193021.613616086,433805.659471763,577933.121297287,1908749.79015964,2887024.57789329,3752002.71374076,8680587.57398362,9485956.74533332,12349122.306,14106025.9698,19355094.0884,21691775.9898,
El Salvador,0,,,,,,5003.16876982101,15004.1987375008,24996.8233550678,49974.0876090751,69940.9888488705,89490.405,113776.427,150213.075,192921.344,254121.546,334096.785,372763.0348,617866.5024,746027.2253,984685.887,
Equatorial Guinea,0,,,,,,,195.903525538699,460.824841890404,490.977335206317,688.747206371175,887.770728706654,1780.81484363011,2977.39363086501,4977.4501827953,6987.7202463178,8004.89931147405,10026.8759440059,12054.3514,14507.7495,42024.06,
Eritrea,0,,,0,0,0,0,300.755053529174,300.803983269286,902.494688535736,5014.01434108262,6016.6652945504,9024.50075494854,30080.7110720672,50137.0706904411,80233.0899984396,100321.424190965,120436.512493074,200869.3526,,283698.504,
Estonia,0,,1000.38505060665,4502.74248689567,17013.7314508075,40036.8769118435,50046.95448024,80069.7877621767,150109.579753548,200106.871612681,391718.308588776,429663.881872442,563278.5888,612706.006,717374.868,827029.1265,853598.5338,888847.6387,947285.941,972681.025,993784.74,
Ethiopia,0,,,,,10.0104050502444,1001.19113621585,3003.95892323486,6008.2118638585,8010.16948089695,10009.6575381503,25011.6689876556,49987.0059660622,74897.7372642336,112658.877625609,163127.862654644,236029.929413121,287558.2132,357508.8855,438413.8554,622121.5575,
Faeroe Islands,0,,,,,0,1006.72448175115,2012.88363318456,5029.25170068027,10049.5005351409,15056.9453587887,20048.4366215456,25020.7866965142,27967.0089210571,31879.5741849634,32768.4520257618,33621.9910240718,36905.0056,36724.7529,36556.275,36628.416,
Fiji,0,,,50.4210093271197,60.5489316444886,70.7032487082257,505.646626715639,1772.36559510493,5069.68012359437,7604.98084917088,12150.2393096506,15138.4379850098,50226.2944559704,54969.6010349833,60719.5683479466,69535.6417397101,79492.7339709359,91025.9864385197,102925.422,114637.4435,127544.3286,
Finland,20000,69999.9720512134,94999.9811312023,129999.948630773,250000,710000,860008.557838383,1000031.71765296,1311065.66751431,1667071.04920304,1927000.74496923,2235090.67946697,3244677.5115,3606773.859,3783149.9013,3905985.9216,4194844.6176,4273610.1618,4448176.6578,4406241.2954,4661254.0194,
France,29929.4069712342,79803.3501477597,159587.316539148,339087.811987089,518583.734654016,947462.410231439,1500227.33623088,2479408.58451226,3696826.48237073,5361267.70955286,8448513.59865851,15635143.6661386,18039953.4558,21750455.6776,23723604.5265,26149202.1222,28767899.0655,40807003.4964,43891158.3084,44697966.366,50292729.027,
French Polynesia,0,,,,,,200.294749099378,481.652910279773,3016.26779564349,8054.28568965071,15106.7986675595,15094.336477188,20090.5303900023,35078.6723163842,45001.4307629941,54904.5681183488,64808.426232801,74718.5355,89600.0367,119387.51,132674.36,
Gabon,0,,,,,,0,551.228294630133,2003.96220845912,3005.20180980151,15022.6688611248,17022.6669721273,25030.2566696561,35039.6278402485,40043.7923260652,67073.3989712459,76694.6744806762,82101.2109303022,90064.251,98993.438,108844.9749,
Gambia,0,,,,,103.806383700437,411.284594155311,611.197675253906,2524.74782281812,9021.44617736444,11956.4544080233,17855.1720450231,24724.3200625567,34549.1223758477,48313.159237836,57124.7443442205,81040.6478407367,98744.2973123038,112564.1616,128316.3042,159012.248,
Georgia,0,,,,,600.043559738097,2000.20032709408,3000.55629394093,5001.38307636906,20005.891261469,23004.9201749302,46494.6214931561,73455.6665124159,116934.842587523,175641.932328404,272177.682804265,334405.966183465,364757.9656,439841.2018,877787.541,1170753.636,
Germany,99578.3491762821,199348.125928994,349460.024244644,375201.885266411,751826.612814543,1505648.26860846,2511060.07509102,5524971.15117028,8134457.60407446,17164904.1754064,24882867.4240735,26075390.9551427,40243315.0932,46108618.049,53418007.2239,56713741.7669,59558077.1808,62019248.8252,64330711.38,65100238.35,67488021.3,
Ghana,0,,,,,59.1352056401614,984.53470376842,4916.89693100155,5893.91185441333,19631.8955853747,29441.1245049427,39266.1124243307,167006.327887663,245899.937183115,362586.147112675,396267.578047314,603743.25410352,874427.5155,993380.3152,1296047.4688,2329419.0965,
Gibraltar,0,,,,,,,725.136278195489,1137.49000209016,1615.68927378965,5232.12039439543,5846.40187075995,6625.06340242789,8047.35403892295,9468.88976585109,11359.6405547959,13243.9655730279,15119.6656,16986.46,19037.5299,19008.6,
Greece,0,4999.45307751477,4998.77435912939,19993.3166427727,39988.6585523695,79997.638708096,150066.042425665,200220.99435251,350682.542945273,752211.530834798,1004073.36256482,1206395.24049357,1624458.0978,1977770.816,2387743.3062,2683947.36,3618224.25,4038551.2596,4313470.274,4802476.704,5043549.624,
Greenland,0,,,,36,30,1000,4434,8187,12102.2160261331,17841,20000,24999.5584521097,30999.4546574017,31999.4390098524,33000.577034045,34002.3744674907,35002.8812,36006.5394,36004.1032,36096.48,
Grenada,0,0,0,0,0,0,300.140075501689,1001.17915180341,1502.95486042368,2506.65281693624,4125.76067109319,5216.87146210134,15047.2282897456,19054.4439319745,20051.0793197252,21047.9414634146,22045.7874211023,23040.7272,24042.9914,25035.3285,34961.3502,
Guam,0,,,,500.0034845391,960.006595309087,2000,3499.95310856706,6799.8649614743,12999.5751411839,24999.0332123775,39998.2233840726,49998.7523082298,54998.9884995464,59998.9151463648,64998.4576048977,74996.4918845596,79994.4619431657,84993.2213816989,89994.429376878,,
Guatemala,0,,,,,300.270480049623,2001.62666869308,10007.3335132102,50033.2119078361,65039.5951432729,80045.5679359014,200112.861441678,400237.96491832,550346.668232576,632642.964,724877.778,847268.76,975195.466,1136340.218,1305126.939,1510837.545,
Guinea,0,,,,10.0274769620231,50.5803623781512,152.129238493837,303.570015988268,503.257574902263,5002.22560644127,7962.71939084546,14872.5021854963,34593.8002348962,39431.7673847196,45230.5837584648,49027.6298026368,58661.6490369991,73116.5977627003,87943.812,91755.4398,99815.9,
Guinea-Bissau,0,,,,,,,191.853488330168,287.181570359487,1432.32344632768,2854.78649110306,3789.11530491271,13191.7637353283,17804.9207259924,24243.8238034967,26004.8783601539,28708.0154356114,31421.957898562,34234.359476618,34183.4479179213,37122.988,
Guyana,0,,,,,,480.069910728162,962.005842618421,1929.05272915255,29013.7262316192,48468.9107832105,97114.5375903853,,,,,,,136787.196,179970.107,225593.407,
Haiti,0,,,,,,601.127951789435,,2002.09227438842,6002.69067484735,19994.2112940128,29965.7429428963,79830.4889591226,149504.342820983,497598.490930633,596000.27247635,644202.128110046,691808.616,739961.232,799003.521,836434.7739,
Honduras,0,,,,,2050.25672794742,2494.42812752214,9978.68187030465,17963.3954510667,34931.6871607916,74857.5838353279,89831.7937424725,168247.402597403,317248.176,377615.168,447150.795,547385.982,672928.986,701063.232,730092.454,842898.1116,
"Hong Kong, China",0,7084.442624353,50242.047484531,79723.8111459452,168388.979357135,197763.144787267,297670.647143241,674684.542476144,954777.735281604,1420892.26490432,1887645.2210111,2640819.46710381,2945441.71484062,3561208.58342029,3839563.98548837,3874809.771,4154457.312,4453561.44,4619887.456,4849655.344,5078296.08,
Hungary,0,350.468595758104,5005.88219365932,20015.0708496269,50014.0093408501,69993.814552323,99967.2978580679,199904.159523307,399784.431494539,599691.877576596,714705.103635348,1479684.294515,1693550.8091,2192095.1619,2804623.0182,3930878.9592,4736247.3444,5352690.876,5612256.16,6182388.8707,6516325.0915,
Iceland,0,1299.99494870998,3999.9846083992,7000,18000.0679481178,30000,39995.1138618259,74972.2463425626,99947.0542585058,114965.312563962,125055.58816728,140272.155404476,226902.7096,240876.5336,245771.7552,258166.41,269434.051,276983.226,282706.06,293454.99,304129.2,
India,0,,1012.97219656969,2025.16346839851,10122.0530261993,252973.904769914,455255.995659062,708073.47359068,1415953.22192751,2831310.29173028,5559654.50363296,7072638.38801278,16742760.4162869,18650651.2316866,22191838.7459975,27225078.6001055,32460714.6536063,46371879.3455,52159829.1402,61836308.8896,91846074.525,
Indonesia,0,,,,2082.27526864573,52062.3860370276,114526.00298393,399689.746065427,530627.513249889,935987.851445974,1975110.81264653,4364313.79550462,4674319.92006419,5295346.41835171,5840411.90291706,8187516.64966796,10955189.1241913,13450875.2641852,18602209.1826029,20647905.6355091,23747222.763,
Iran,0,,,,240.134528554711,2497.69939034453,9624.73926532804,28968.0794430925,63016.3751169009,243337.804789574,610421.422908315,984239.899390174,3109384.14072988,4719208.68782649,5160109.8927,5648292.567,6182990.7336,6764941.6606,7402423.3984,8096282.2836,9616571.9,
Iraq,0,,,,,,,,,,,24552,126165.335,155489.892,239566.707,246235.149,267999.184135344,269333.4033,298211.36,325680.9084,791789.775,
Ireland,0,2009.2316290355,6022.6819780341,10025.3532958441,20027.2320571064,40023.3647837954,80020.651444199,150033.237513719,300093.751796302,410121.146599172,678992.502803759,894504.829419125,1017399.3885,1376004.6086,1511291.5524,1730161.2762,2316927.8296,2598356.719,2844162.6444,2972927.5578,3122225.15,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,
Israel,4984.76748565478,9963.54609664223,14931.4147959101,19886.4760801703,29796.5385474177,49610.8878095982,118973.42972691,247721.0639663,594214.435498099,791705.478864224,1255548.65770847,1065537.82418871,1108793.97159735,1244593.13415121,1473531.8566947,1663958.67145059,1883406.44955645,3330549.49695643,4212131.2236,4583111.0088,4985164.8,
Italy,9970.98357465791,19935.5852931312,39857.0083345371,69726.8557392121,109546.705320128,298747.68128701,582644.304779464,1295197.44921298,2591587.75357927,8177530.57082341,13170038.8315212,15570838.3071864,16122682.3068,16803802.0128,19366881.1368,20534922.1,22445289.79,24268109.6197,26669675.5987,29419417.7482,32503695.2064,
Jamaica,0,,,,898.093242179638,2695.06428161283,14688.0352081638,20015.6767197122,50132.0206199112,60258.5839327906,80438.4211262213,100605.451185329,160184.048,206408.982,266489.7,343251.584,442198.776,571607.862,641986.552,663578.082,715414.572,
Japan,24809.2675892148,49618.6963665207,119085.625036244,496193.324886388,992389.404602178,1984770.77075724,5458136.83140087,11462237.1467196,16811229.5000257,26852833.0541886,37704451.750522,48509407.4348202,58731229.1599823,61117628.07914,78803167.4977052,84583505.6053984,86862682.1860122,94001006.098,95414658.56,98710329.9,98951089.44,
Jordan,0,,,,,1018.11153768588,2026.76539965424,27609.9486193288,61141.9235929964,120068.783996897,126628.022943281,231053.466627198,301178.524927936,431494.497067187,607463.446165893,690873.214941044,762013.852429406,1133488.6,1345258.96,1566653.92,2351146.26,
Kazakhstan,0,,,,83.9985253467656,1799.99638324652,5000.44045124612,10002.604541126,20008.0227704602,70024.0170604633,99999.6189011905,149889.024499527,249568.830207295,299243.48314884,398976.947662392,449344.485280906,500463.552782526,622138.9386,1722087.95,2883079.472,5448964.78,
Kenya,0,,,,,199.517221012318,2491.88763717201,9958.75574645562,14925.8277623332,34804.847276089,99405.4318937622,198802.512485746,397694.142254386,994519.117293814,1049230.02257758,1104727.71469376,2752918.18394282,2980077.057,3334084.7406,3962003.6752,10492784.638,
Kiribati,0,,,,,,,,499.926014525815,999.842494881084,1499.76792068838,1999.69613033671,2178.675,2663.28,3163.93,3679.52,4209.03,5702.58,6757.24,7842.16,8959.14,
"Korea, Dem. Rep.",0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Korea, Rep.",9999.42162980301,20005.3416707862,43031.511036813,110119.561919184,138137.135118412,366089.632737372,730088.559299833,1628562.46556623,3085402.00267907,10774894.380878,20556467.928,26155173.564,27573994.998,30539268.235,34045918.173,34577432.61,36916099.473,37429495.68,38664500.31,39138561.168,40329659.808,
Kosovo,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,,,1635.8152530613,2483.44713915705,3303.00591130092,13931.2093132568,36506.3689437138,53834.9202408545,88333.3674195925,130641.986677221,171855.794544897,212134.778027853,476462.557064275,501985.678961585,586970.723127311,677008.03310412,772692.858758766,872989.027477553,975165.742839474,1046799.99,
Kyrgyzstan,0,,,,,,,,3512.17937810034,10028.5326679396,51599.8646178512,149785.031753213,150043.969227539,195764.617222337,255454.165531975,531154.397373674,625649.18461061,721031.5839,817044.328,,1066844.6,
Laos,0,,,,,,,,494.56168494086,1972.50055584867,5904.27782328527,9826.07081208011,14725.617597051,18639.087371536,20482.691351893,48923.9661353633,68340.1669036815,97274.714,213781.0355,366728.58,434062.58,
Latvia,0,,,,,,20014.1087683638,50083.6372104064,80223.4822082005,105405.396596708,150707.861334502,170903.717708291,515664.596,629773.905,894758.5482,1060542.88,1229778.804,1350077.7481,1508075.472,1549045.3,1601214.66,
Lebanon,0,,,,,2480.11240013945,4960.69999369249,44645.9820043438,99207.1693689642,198406.04482431,297617.835141213,257959.268330608,270795.28,314833.68,359823.78,410915.388,614618.55,774875.0128,938805.9495,993847.232,1310555.07,
Lesotho,0,,,,,,52.058553499965,104.161854746657,208.279523062132,1040.75956831606,4159.61281850338,5194.23035942606,21790.0861528329,31093.9880158767,44533.1137571558,53301.4726946574,62143.6318669858,72565.1924814784,76161.3496,79950.2772,83812.8748,
Liberia,0,,,,,,,105.973787042391,104.158664321271,307.117728936678,504.047369608066,993.841440941873,980.117506199172,967.990842142969,959.089424782836,,,19172.449917776,19389.838,19563.2379,279588.54,
Libya,0,,,,,,,,,6860.34454554183,9784.55308503425,19541.0234925773,121968.262310365,155954.18668346,199704.169610698,226044.965515821,253492.723695636,284408.525227034,553465.8,676368.036,889715.68,
Liechtenstein,0,,,,,,,,,,11996.3484770106,14996.3906517881,19997.621171573,19998.8238061633,21996.1595531116,21987.3257287706,22471.7457690003,22951.1898361676,24864.7,26829,28825.6,
