"Hydro production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,0.02184562035371,0.020968566077942,0.025582511336875,0.020601147042927,0.024186119150652,0.029012230829444,0.034543867911493,0.028390520773946,0.032221275730709,0.036027674333664,0.034999582428766,0.029417422836538,0.032236735707935,0.031304685769063,0.021456746148005,0.02232968507217,0.024401514084721,0.025031033832023,0.026066697498594,0.018310521622208,0.024006336944404,0.020504016572258,0.019528921220376,0.014937954159807,0.023809637208348,0.030338267652737,0.028885233553366,0.032753353642742,0.029343521525375,0.028707481092268,0.018792099571075,0.023901941751021,0.03321980010228,0.034971456326048,0.04818572605814,0.047389486933728,0.032344288619502,0.031986562070135,0.039557097929338,0.058020345472858,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000194122854458,0.000270678681524,0.000175957933726,0.000283233991635,0.000305363459299,0.000295633858565,0.000267483882229,0.000227604050699,0.000158124011233,
Cameroon,,,,,,,,,,,,0.012808063604979,0.012795826974249,0.012396665108211,0.013434097411878,0.014206558853418,0.01337770089445,0.01265901465606,0.012619392742543,0.012719208378758,0.012883906795753,0.016593472390872,0.018156298327736,0.018089096189023,0.018327852552559,0.019520284328734,0.019295664898124,0.018886604533565,0.019241049073136,0.019354128507092,0.018748730485146,0.01832932322236,0.018034548601607,0.018201737930663,0.017007469940909,0.016980607515412,0.017260125484031,0.018170162391262,0.017890237376695,0.018707350880533,0.018877002775566,0.018623137783258,0.016674874094371,0.01807464583616,0.019636125049539,0.018476769619501,0.018645219401663,0.018026270440294,0.01939819856229,0.018008518345223,0.018689532200929,
Canada,0.512728490859083,0.492915298598026,0.484456130802009,0.475062706617914,0.509165034998097,0.515994397132293,0.561006910500042,0.561675247897118,0.559490297089806,0.606886534134653,0.626118951376418,0.633565787802313,0.698982726463675,0.740104944182318,0.79181593104871,0.752272133369661,0.780999823916379,0.798863750273254,0.84369817728211,0.865570014706681,0.880836879459021,0.923428028523344,0.886086440898949,0.905046149375188,0.963322153497446,1.01030014568681,1.02011588065976,1.02388601015261,0.981117963023181,0.916623401386684,0.921083131152538,0.944894937194499,0.958340593911821,0.969213532354064,0.977647895612794,0.985737770798329,1.03373362471678,1.01019617100489,0.947646602959318,0.978489986333214,1.00518010854372,0.925503172142101,0.96357270814006,0.917948981402181,0.917446068586557,0.96848874367845,0.929871009293007,0.958434687541894,0.965665727355206,0.941279900893259,0.888444062248908,0.942199652973686
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,0.042397388736206,0.049636691255064,0.047653322746466,0.053333729337112,0.052718634973848,0.053673240274307,0.055899274805241,0.057372324848364,0.058119426123761,0.060541663652586,0.061750666805635,0.066491525759994,0.070559845491646,0.072025697172706,0.078618235577509,0.082627284710444,0.088072985126012,0.084800043503301,0.069969795182908,0.058210512520037,0.084093695193686,0.105293279885247,0.110198343270873,0.103036644661178,0.109880858639902,0.098973973838103,0.109774838090148,0.091157820581916,0.076717676640698,0.103249546616219,0.115733772450509,0.121290325103964,0.116770220444687,0.117147864022297,0.139686320144196,0.152085268551351,0.119569027926697,0.123855320842751,0.128278970615792,0.109113002489082,0.104603273061011
China,,,,,,,,,,,,0.00308397719876,0.003408090502797,0.003720133111449,0.004119688426672,0.004228557763103,0.004212642012787,0.004332325616692,0.004004775881556,0.004440235912056,0.005090834579571,0.005655130864223,0.006330306798589,0.007243871246356,0.007172002619586,0.007517079897555,0.007569544808378,0.007875513359873,0.008452561683452,0.009022183521005,0.009514498833406,0.00926585843191,0.009692031909561,0.010981930847588,0.011979641030314,0.013498231581787,0.013181398819872,0.013613528775055,0.014319049019174,0.013913908729588,0.015068875189831,0.018667180873574,0.019255506823931,0.018859006116175,0.02337415881232,0.026106980266116,0.028504017360391,0.03157454704693,0.037881466599719,0.039654776907753,0.046293884501256,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,0.026206340933788,0.028036735566196,0.029811646083212,0.032486064690097,0.031941941253874,0.032254751962029,0.035823584472452,0.04042136228432,0.043399085269226,0.04570393317828,0.044707094914424,0.046253283060892,0.045677852448277,0.049936829654229,0.052585128465892,0.059567308513423,0.063608137868956,0.06567945013284,0.070406508927669,0.071207227224164,0.070428623964311,0.055535363550791,0.06815159215548,0.077003757503901,0.075857588916881,0.082227463756719,0.071641906062223,0.068856337667944,0.074194551027497,0.069355599809007,0.067638797565283,0.071101626178739,0.074532985169506,0.081301022374957,0.079516672633453,0.084106212366354,0.086164185144542,0.088653938083646,0.077313296941694,0.075037749996228,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,0.014177385451541,0.013789563900076,0.014704967512436,0.012879328031754,0.013666496665085,0.014352558968221,0.01412779261978,0.01349126966142,0.012997969591951,0.013502961475207,0.012903384815242,0.012416761987493,0.013125691817258,0.013381826930758,0.013923530013678,0.014147037784316,0.01368865441159,0.013285451847272,0.016931104578748,0.013285171076801,0.011945004041372,0.013197259143336,0.011570153761141,0.010672905683959,0.012017478870553,0.011562673084108,0.009316205256693,0.008546979821432,0.00940985171933,0.010388931625316,0.010074080050854,0.010008613693546,0.009790791926081,0.010915607704663,0.011066176364398,0.010942984531739,0.011064257091107,0.010293385593612,0.010440660483429,0.010230946498053,
"Congo, Rep.",,,,,,,,,,,,0.003374424489794,0.003999770587704,0.002938173220288,0.00313463718377,0.003207566744629,0.003382659615908,0.002503384297852,0.00055737962655,0.003790518822331,0.004781473614355,0.004782363223145,0.007844110334733,0.010155490300519,0.010671837180568,0.012022906606868,0.010764699419682,0.010859901828261,0.010983269790538,0.014681867389524,0.017636728574504,0.016818913492204,0.014466112025105,0.011926284228515,0.010412770891744,0.011075670789553,0.013952774364055,0.013414442294281,0.009890162438391,0.002673440710661,0.008089053072987,0.008937404689369,0.010352893948328,0.008738547548632,0.008234714938293,0.008639393268153,0.008815131529098,0.007721203688102,0.008404939199771,0.0071990926494,0.009145255619281,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,0.04739423112541,0.049457993119077,0.049789725530647,0.053669664907732,0.054348547845161,0.059279582329858,0.053270351357321,0.05731120137958,0.061224535848853,0.077789309003201,0.081545553975716,0.082841976441209,0.094032466612699,0.098622293377558,0.088035991377423,0.08988144783465,0.090807618073862,0.089800421593699,0.095604239777769,0.094715610526184,0.099877461255234,0.095560607539969,0.102346042090467,0.100173489050607,0.088118248544322,0.092146260040805,0.113317922955281,0.098545104308251,0.115281751905039,0.124703644005902,0.117239534424256,0.125738137433634,0.124457760509034,0.135261639204422,0.131009577548546,0.129531526833535,0.13071647778959,0.140457818011942,0.13532271725087,0.134046090620782,
Cote d'Ivoire,,,,,,,,,,,,0.002113328436694,0.003288155998194,0.002337442959642,0.003683441204452,0.004865624894564,0.004174090191528,0.002572765139209,0.001848746464772,0.007722496864396,0.013675012343456,0.016740389302634,0.016008163186431,0.008665505176328,0.003178622724092,0.01112614642845,0.009429971371774,0.008008622556253,0.009124670013018,0.011326523666668,0.009080842862321,0.00832887309117,0.006733906246807,0.006837585002514,0.00708195381538,0.010451338719241,0.010154096299864,0.010428840295119,0.007456641229393,0.009285100265505,0.009147260420558,0.00916198348691,0.008653179510088,0.009024298170747,0.008476331042337,0.006856452443914,0.007084840019008,0.008286385257523,0.00859527908994,0.009469393894187,0.007048554442115,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072427855574326,0.109085841238061,0.081352384361616,0.080709728713772,0.090993541926424,0.09696046594716,0.133462608697323,0.098283641372738,0.10240670877074,0.124808978674443,0.112100629791053,0.125610977878374,0.103292794881329,0.094076595633395,0.134459456441453,0.122589306405535,0.116358018841076,0.082293459102658,0.101506561297426,0.131193307784847,0.162641703048319,
Cuba,,,,,,,,,,,,0.001068011433443,0.00070615326086,0.000581957512154,0.00082296041927,0.000575005183781,0.00047843190836,0.000652884370441,0.000736554520339,0.000916759885287,0.000850011124924,0.000523111268167,0.000373257860677,0.000544476820744,0.000601795793431,0.000461126030377,0.000499559959942,0.000368863398146,0.000605495602505,0.000673184280174,0.000740241132869,0.000847406829012,0.000649267195874,0.000653408955505,0.000388394449007,0.000583705563324,0.000746038540572,0.001016893473714,0.000756066934776,0.000800153612962,0.000689157674855,0.000578881683736,0.000815570958166,0.000981976306146,0.000673489827312,0.000519532772571,0.000717483903584,0.000923277685953,0.001053160929683,0.00115280935681,0.000740852217812,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,0.010577592515386,0.011027777419404,0.009392215235451,0.015731082465965,0.015608196642161,0.012372163090116,0.016729102051219,0.015472526179677,0.019288318511479,0.020101811564717,0.017227084135044,0.013941870233618,0.013812367172719,0.010833828286683,0.013948384964886,0.015660148172424,0.020578141075324,0.017522968685976,0.013715008621574,0.009689484945082,0.009084696255296,0.011688409116552,0.01140636530853,0.012161459086307,0.016681402556906,0.016421266985952,0.014188804509918,0.011677966285946,0.014087257658068,0.01475763100625,0.017271403672202,0.020987651773589,0.011659258989627,0.017017099807211,0.020022543037963,0.021372930420299,0.017416127667286,0.016770420500887,0.02000591067177,0.02285445041722,0.017451091375212
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,0.000469371402854,0.00048465203859,0.000480964303149,0.000458820114121,0.000455196681347,0.000451685261515,0.00046624225821,0.000445059533731,0.000371233817738,0.000386293565153,0.000418695979077,0.000416131076423,0.000413734725621,0.000411532019596,0.000409551521262,0.000407813433441,0.000406304873457,0.000371267933789,0.000387155028699,0.000420050256755,0.000503517976207,0.000553705597655,0.000520335426182,0.000571102738216,0.000504261125177,0.000504436157604,0.00048757671052,0.000487321147094,0.000553970121605,0.000385496114244,0.000468303971148,0.000416992671955,0.00046549652323,0.000463763252861,0.000544407252306,0.000492902019347,0.000310873399981,0.000309556351468,0.000438063372729,0.000500991677147,0.000483104260787,0.000449503718316,0.000512336121925,0.000335347634511,0.000429900322802,0.000364916405461,0.000363360900341,0.000440210168346,0.000406671040762,0.000295700125095,0.000325338518997,0.000262308161578
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,0.009937777275586,0.010395417503462,0.009316528074522,0.008600162031918,0.007133715121057,0.012731586637862,0.007257309449836,0.011565065738203,0.012574595597274,0.008280764745934,0.019826642547009,0.01188101121446,0.013030692679016,0.015632440301822,0.015174944072134,0.017993787885429,0.019510882512488,0.020540169426344,0.005780693484772,0.00417095087559,0.005939398706788,0.006122372865208,0.01272121077359,0.005894553244309,0.006560462933254,0.009212511541516,0.006981120800699,0.007571060413381,0.011172281660855,0.007625751630896,0.006858064656708,0.008452155271841,0.011403557205982,0.015068539305182,0.017708737180772,0.016010677998733,0.015344143840687,0.012312800807173,0.014850261344536,0.015529896221248,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,0.006151048097985,0.006041815346719,0.005736880472853,0.00640596663663,0.007817069013823,0.007317451893191,0.00655889822644,0.009037714931012,0.007876467901912,0.00942200108413,0.008189554848645,0.009158138345433,0.017147421144992,0.031378715411151,0.031014839321241,0.036999071233397,0.041112192723223,0.042374736967711,0.042481569301914,0.041791450638572,0.041584936990357,0.039876532497103,0.045609584263831,0.050519619251389,0.038979831193205,0.047089289360008,0.047717227220734,0.046775474104627,0.050798598114747,0.052997571076045,0.048438082922889,0.05067850727527,0.047540440287116,0.048249193999054,0.04407967751415,0.044947417310067,0.056105255291148,0.069084951442791,0.055600434702021,0.051336034392257,
Egypt,,,,,,,,,,,,0.011794129920673,0.011804860032657,0.011542421404471,0.013408632517012,0.014547796276855,0.01677009464716,0.018517876024137,0.018670705981968,0.018619282235841,0.018747219043796,0.019083673649918,0.019107445925617,0.017484888887956,0.016748994066101,0.014703699857515,0.015376233878835,0.014002315561469,0.014216568426209,0.01540603583718,0.015023734651277,0.014688726976322,0.014135391035485,0.015020682566835,0.015456399061407,0.015811813012373,0.015740546926468,0.01605456525102,0.016091191155275,0.018966317168987,0.017409571812735,0.01888493243283,0.015756049543714,0.01565674176593,0.014924680293147,0.014651498673001,0.014706533121801,0.017332891878129,0.016118125714555,0.013874455568274,0.013828145849997,
El Salvador,,,,,,,,,,,,0.01169801351676,0.009651473940969,0.010476737542992,0.011683207915624,0.005811744956765,0.003898097037907,0.008009460703268,0.012732684053689,0.019360461478108,0.017469236285721,0.009926604719115,0.008098701477964,0.014190524437132,0.015153553382916,0.020154150009425,0.020917099999949,0.01902847033691,0.021572491849941,0.023300248498933,0.026571665455523,0.020140949007433,0.022143189568049,0.023374535634996,0.021982617560936,0.022060768646403,0.027956758734602,0.021042938112421,0.022907373369769,0.02570330496566,0.017007849642978,0.016775985848335,0.016354803070144,0.020979084278138,0.019796091427077,0.023718347275622,0.027772161452635,0.024509149374266,0.028588432681015,0.021006139804487,0.028934595192634,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000056285117622,0.000057423928174,0.00017583555214,0.000119364095183,0.000121128249003,0.0001838339327,0.000247363800381,0.000249237363887,0.000313640654802,0.000441650646857,0.000380281884352,0.000826801776847,0.001402840968616,0.001405542714634,0.000895646789006,0.001344635701592,0.001793820070116,0.002050868555427,0.001731051281163,0.001924255491327
Ethiopia,,,,,,,,,,,,0.000877806034455,0.000875476981606,0.000908886736407,0.000926692712638,0.000910483668488,0.000932094407457,0.000951054723561,0.001017953161267,0.001085512057496,0.001174735441568,0.001201518312422,0.00133633229451,0.001406989167821,0.001491882992947,0.001412927487328,0.001453418063595,0.001415327222202,0.001353239267916,0.001326160594655,0.001889290341875,0.001860748056367,0.001913157447076,0.00202979372719,0.002106020696568,0.002152545045526,0.00220906854015,0.002226320950903,0.002183697173525,0.002160759965849,0.002158204684508,0.002544898579092,0.002519481518869,0.002769618539733,0.002988792004139,0.003280117001356,0.003687472184385,0.003745026593565,0.003567246839689,0.003732206577535,0.005111416853497,
