Male agriculture workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Ecuador,,,,,,,,,,,,,9.60000038146973,10.3999996185303,,,9.5,9.80000019073486,,10.5,11.1000003814697,10.1999998092651,11,,12.3000001907349,11,11,
Egypt,44.9000015258789,42.7999992370606,41.5999984741211,40.9000015258789,39.2999992370606,,,,,34.5999984741211,34.9000015258789,29.3999996185303,34.5,32.5,32.2000007629394,32,,29.1000003814697,28.5,28,27.3999996185303,27.7999992370605,27.5,27.7000007629395,28.1000003814697,27.1000003814697,28.2999992370606,
El Salvador,51,,,,,45.7000007629394,2.20000004768372,,11.8000001907349,15.3999996185303,,14.8999996185303,47.7999992370606,,40.2999992370606,37,40.2999992370606,36.5,37.2999992370606,34.0999984741211,33.9000015258789,33.7999992370606,31.8999996185303,28.5,30,30.8999996185303,29.2999992370606,
Equatorial Guinea,,,,68.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,27.2000007629395,26.5,24,22.5,20.1000003814697,17.6000003814697,12.5,12.1000003814697,11.8000001907349,11.1999998092651,10.3000001907349,9.69999980926514,9.89999961853027,9.60000038146973,8.39999961853027,8.10000038146973,7.19999980926514,6.69999980926514,6.40000009536743
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,10.3999996185303,84.3000030517578,11.6999998092651,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,20,,
Finland,14.6000003814697,14.3999996185303,15.1000003814697,14.5,13.8999996185303,13.3999996185303,13.1000003814697,12.5,11.8000001907349,11.5,11,11,11.6000003814697,11.6999998092651,11.1999998092651,10.3999996185303,9.60000038146973,9.10000038146973,8.30000019073486,8.30000019073486,8.10000038146973,7.5,7,6.80000019073486,6.69999980926514,6.59999990463257,6.40000009536743,6.19999980926514
France,9,8.80000019073486,8.5,8.30000019073486,8.19999980926514,8,7.80000019073486,7.40000009536743,7.09999990463257,6.69999980926514,6.40000009536743,6.19999980926514,6.19999980926514,6,,,,,,,,,,5.40000009536743,4.80000019073486,4.69999980926514,5,4.59999990463257
Gabon,,,,,,,,,,,,,,25.6000003814697,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,53.7000007629394,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,46.2000007629394,50.4000015258789,47,52.7000007629394,52.4000015258789,53.0999984741211,51.7000007629394,51.7000007629394,53.4000015258789,50.5
Germany,,,,,,,,,,,,4.19999980926514,3.90000009536743,3.59999990463257,3.40000009536743,3.29999995231628,3.29999995231628,3.20000004768372,3.20000004768372,3.20000004768372,3.09999990463257,3.09999990463257,3,3,3,2.90000009536743,2.79999995231628,2.79999995231628
East Germany,,,,,,,,,,,,8,5.59999990463257,4.69999980926514,4.30000019073486,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,66.1999969482422,,,,,,,59.7999992370606,,,,,,,,
Greece,,25.7000007629395,24.7999992370605,25.2000007629395,24.5,24.2999992370605,24,22.6000003814697,22.6000003814697,21.6000003814697,20.3999996185303,19.8999996185303,19.5,19.1000003814697,18.6000003814697,18.5,18.2000007629395,17.8999996185303,16.5,16.1000003814697,16.1000003814697,15.1999998092651,14.3999996185303,14.3000001907349,11.6000003814697,11.5,11.3000001907349,10.8999996185303
Grenada,,,,,,,,,23.7000007629395,,,,,,23.3999996185303,,18.2000007629395,,16.5,,,,,,,,,
Guatemala,,60.7000007629394,60.7000007629394,,,,,63.5,,,17.7000007629395,19.3999996185303,,,60.4000015258789,,,,49.7000007629394,,48.0999984741211,,50.0999984741211,,,,43.7999992370606,
Guinea,,,,,,,,,,,,,,,72.9000015258789,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,33.5,,,,,27.2000007629395,,,,,
Haiti,81.3000030517578,81,76.0999984741211,76.0999984741211,,,,,76.0999984741211,,76.0999984741211,,,,,,,,,62.5,,,,,,,,
Honduras,,,,,,1.5,5.40000009536743,5.40000009536743,,,65.1999969482422,,52.7000007629394,12.8000001907349,51,50.4000015258789,53.5,52.5,48.5999984741211,49.7999992370606,,,,,,51.2999992370606,,
"Hong Kong, China",1.5,1.10000002384186,1.39999997615814,1.29999995231628,1.29999995231628,1.70000004768372,1.70000004768372,1.60000002384186,1.29999995231628,1.10000002384186,1,0.89999997615814,0.80000001192093,0.80000001192093,0.80000001192093,0.69999998807907,0.5,0.40000000596046,0.40000000596046,0.40000000596046,0.30000001192093,0.30000001192093,,0.30000001192093,0.30000001192093,0.30000001192093,0.30000001192093,0.20000000298023
Hungary,24.3999996185303,24.8999996185303,25.8999996185303,26,25.7000007629395,25,24.2000007629395,23.3999996185303,22.8999996185303,22.3999996185303,21.2000007629395,19.3999996185303,,,11.3999996185303,10.6999998092651,11.3000001907349,10.6000003814697,10.8000001907349,10.1000003814697,9.30000019073486,8.69999980926514,8.5,8,7.59999990463257,7,6.80000019073486,6.59999990463257
Iceland,,,,,,,,,,,,14.6999998092651,14.8999996185303,13.6999998092651,13.6999998092651,13.1999998092651,14.5,13.1999998092651,12.6999998092651,12.1999998092651,10.6999998092651,10.6000003814697,10.8000001907349,11,9.60000038146973,10.5,9.80000019073486,8.80000019073486
Indonesia,57.5,,55.2000007629394,,,55.2999992370606,54.7000007629394,54.5999984741211,55.4000015258789,55.7000007629394,55.5999984741211,53.5,53.7999992370606,50.2000007629394,45.4000015258789,44.0999984741211,43.4000015258789,40.7000007629394,44.2999992370606,43.2999992370606,,43.2999992370606,43.7000007629394,45.7000007629394,42.5999984741211,43.4000015258789,44.4000015258789,
Iran,,,,,,,,,,,,,,,,,23.8999996185303,,,,,,,,,22.7999992370605,,20.5
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,14,,,
Ireland,,,,21.6000003814697,21.2999992370605,20.1000003814697,20.6000003814697,20.7000007629395,20.8999996185303,20.6000003814697,20.7000007629395,19.1000003814697,19.1000003814697,17.8999996185303,17.3999996185303,17,15.3999996185303,15,13.3000001907349,12.8999996185303,11.8999996185303,10.6000003814697,10.8000001907349,9.80000019073486,10,9.30000019073486,9,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,2.20000004768372,,,,,2.90000009536743,
Israel,7.59999990463257,7.5,7.09999990463257,7.09999990463257,6.69999980926514,6.80000019073486,6.69999980926514,6.59999990463257,6,6.09999990463257,5.30000019073486,4.59999990463257,4.59999990463257,4.69999980926514,4.40000009536743,4.19999980926514,3.59999990463257,3.40000009536743,3.29999995231628,3.29999995231628,3.20000004768372,3.09999990463257,3,2.79999995231628,3.09999990463257,3.09999990463257,2.70000004768372,2.5
Italy,13.1000003814697,12.5,11.6000003814697,11.6000003814697,11.3000001907349,10.6000003814697,10.3000001907349,10.1999998092651,9.60000038146973,9.10000038146973,8.69999980926514,8.30000019073486,7.90000009536743,7.19999980926514,7.09999990463257,6.80000019073486,6.69999980926514,6.5,6.30000019073486,6,5.90000009536743,5.80000019073486,5.59999990463257,5.5,5.09999990463257,4.90000009536743,5,4.59999990463257
Jamaica,,,,,,,,,,,,,35.9000015258789,34,32.5999984741211,31.7999992370606,31,29.2000007629394,29,28.7000007629394,28.7999992370606,28.3999996185303,27.3999996185303,28.6000003814697,25.5,25.1000003814697,25.6000003814697,
Japan,8.69999980926514,8.39999961853027,8.19999980926514,8,7.59999990463257,7.59999990463257,7.30000019073486,7.19999980926514,6.90000009536743,6.69999980926514,6.30000019073486,6,5.80000019073486,5.40000009536743,5.30000019073486,5.19999980926514,5,4.90000009536743,4.80000019073486,4.80000019073486,4.69999980926514,4.59999990463257,4.5,4.5,4.40000009536743,4.40000009536743,4.19999980926514,4.19999980926514
Jordan,,,,7,,,5.80000019073486,6.90000009536743,,,,,,,,,,,,,5.09999990463257,4.19999980926514,4.09999990463257,3.79999995231628,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,33.2999992370606,,36.7999992370606,36.2000007629394,36.4000015258789,34.9000015258789,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,3.70000004768372,,,,,,,
"Korea, Rep.",31,31.2000007629394,29.6000003814697,27.7999992370605,25.2000007629395,23.1000003814697,21.8999996185303,20.2000007629395,19.1000003814697,18,16.2999992370605,14.8999996185303,12.1999998092651,11.6999998092651,10.8999996185303,10.1999998092651,9.69999980926514,9.39999961853027,10.5,10.1999998092651,9.5,9,8.39999961853027,7.90000009536743,7.30000019073486,7.19999980926514,7,6.69999980926514
Kuwait,,,,0.80000001192093,,,,,1.70000004768372,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,46.9000015258789,47.9000015258789,49,51.7000007629394,51.7000007629394,51.4000015258789,49.4000015258789,43.4000015258789,39.0999984741211,39.2999992370606,36.9000015258789,
Laos,,,,,,,,,,,,,,,,81.1999969482422,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,19.7999992370605,23.2000007629395,20.7000007629395,17.7999992370605,16.2000007629395,18,18.2999992370605,16.7000007629395,16,15.3000001907349,13.6000003814697,11.8000001907349
Lesotho,,,,,,,,,,,,,,,,,32.5,65.5999984741211,,78.1999969482422,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,23.2000007629395,22.3999996185303,23.1000003814697,22.3999996185303,21.8999996185303,21.3999996185303,21.2000007629395,18.2000007629395,16.6000003814697,14.6000003814697,12.8999996185303
Luxembourg,,,,4.59999990463257,4.30000019073486,4.09999990463257,3.79999995231628,3.70000004768372,3.70000004768372,3.59999990463257,3.40000009536743,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,0.89999997615814,0.20000000298023,,0.30000001192093,0.30000001192093,0,0.30000001192093,0.30000001192093,0.20000000298023,0.20000000298023,0.10000000149012,0.20000000298023,0.10000000149012,0.20000000298023,0.40000000596046,0.30000001192093,0.20000000298023,0.20000000298023,0.10000000149012
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,76.6999969482422,,81.5,,
Malaysia,33.9000015258789,32.9000015258789,28.1000003814697,28.3999996185303,28.2000007629394,28.6000003814697,29.7000007629394,30.8999996185303,30.7000007629394,28.8999996185303,26.3999996185303,26.7999992370605,22.7000007629395,22.2000007629395,,21.6000003814697,20.6000003814697,18.8999996185303,20.7000007629395,20.8999996185303,20.7000007629395,16.7999992370605,16.7999992370605,16.1000003814697,16.7999992370605,17.1000003814697,17.2000007629395,17.5
Maldives,,,,,,,,,,,28.1000003814697,,,,,27,,,,,17.8999996185303,,,21.7999992370605,,,14,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,49.7999992370606,,,
Malta,,,,,,,,,,,,,,,,,,,,,2.5,2.79999995231628,2.40000009536743,2.29999995231628,2.29999995231628,2.70000004768372,2,2.20000004768372
Marshall Islands,,,,,,,,,,,,,,,,,,,,27.1000003814697,,,,,,,,
Martinique,,,,,,,,,,,10.1000003814697,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,15,,14.5,15.3000001907349,13.8000001907349,13.5,12.8999996185303,12.3999996185303,,12.5,11.1000003814697,10.8999996185303,10.8999996185303,10.5,10.3999996185303,9.89999961853027
Mexico,,,,,,,,,,,28.6000003814697,32.7000007629394,,32.5,,29.7999992370606,27.7000007629395,29.2000007629394,25,26,22.8999996185303,23.2999992370605,23.2000007629395,21.7999992370605,21.3999996185303,20.3999996185303,19.7000007629395,18.8999996185303
Mongolia,,,,,,,,,,,,,,41.9000015258789,45.7999992370606,47.0999984741211,47.9000015258789,49.7000007629394,50.7000007629394,50.5999984741211,50.5999984741211,50.0999984741211,47.4000015258789,43.7999992370606,42.9000015258789,43,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,10.1999998092651,,8.5,,
Montserrat,,,,,,,,,,,,8.80000019073486,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,4.09999990463257,4.19999980926514,3.79999995231628,3.5,41.4000015258789,5.69999980926514,6.80000019073486,5.40000009536743,5,5.59999990463257,,5,40.0999984741211,39.2000007629394,40.4000015258789,39.5999984741211,36.7000007629394,
Namibia,,,,,,,,,,,,45.2000007629394,,,,,,37.5999984741211,,,32.7999992370606,,,,33.7000007629394,,,
Nepal,,,,,,,,,,,,74.9000015258789,,,,,,,,67.0999984741211,,60.2000007629394,,,,,,
Netherlands,6,,6,,5.90000009536743,,5.69999980926514,,5.5,5.40000009536743,5.19999980926514,5.30000019073486,4.80000019073486,4.69999980926514,4.90000009536743,4.5,4.80000019073486,4.59999990463257,4.09999990463257,3.90000009536743,4.09999990463257,3.5,3.79999995231628,3.5,3.90000009536743,3.79999995231628,,
Netherlands Antilles,,,,0.60000002384186,1.10000002384186,1.10000002384186,1,,,,,,0.80000001192093,1,1,1.10000002384186,1.20000004768372,1.60000002384186,1.79999995231628,,2,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,9.19999980926514,,,,,,,,,,,
New Zealand,,,,,,,12.8000001907349,12.3999996185303,12.5,12.3999996185303,12.8000001907349,13.1999998092651,13.3999996185303,13,12.6999998092651,12.1999998092651,11.8999996185303,11.1999998092651,10.8000001907349,11.8000001907349,11.1999998092651,11.6999998092651,11.3999996185303,10.3999996185303,9.5,8.89999961853027,8.69999980926514,9
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,43.0999984741211,42,41.2999992370606,41.7000007629394,
Nigeria,,,,39,,,51.2000007629394,,,,,,,,,,,,,,,,,,,,,
Niue,,,,,,,,,,,,,,,,,,,,,,11.3999996185303,,,,,,
Northern Mariana Islands,,,,,,,,,,,4.09999990463257,,,,,2.20000004768372,,,,,,,,,,,,
Norway,9.89999961853027,9.80000019073486,9.60000038146973,9.5,9.5,9.19999980926514,9,8.5,8.10000038146973,8.5,8.30000019073486,7.90000009536743,7.40000009536743,7.59999990463257,7.30000019073486,6.80000019073486,7.09999990463257,6.59999990463257,6.5,6.40000009536743,5.80000019073486,5.59999990463257,5.40000009536743,5.30000019073486,5.09999990463257,4.80000019073486,4.90000009536743,4.19999980926514
Oman,,,,,,,,,,,,,,9.60000038146973,,,7.5,,,,6.59999990463257,,,,,,,
Pakistan,,,,,,47.9000015258789,51.2000007629394,45.2000007629394,48.4000015258789,48.4000015258789,48.4000015258789,44.7999992370606,44.7999992370606,44,46.2000007629394,43.9000015258789,43.9000015258789,40.7000007629394,43.7000007629394,43.5999984741211,,44.4000015258789,,38.2000007629394,,38.0999984741211,,36.4000015258789
Panama,,,37.2000007629394,37.7000007629394,38.7000007629394,39.7999992370606,39.2000007629394,,,,,,34.7000007629394,32.2000007629394,28.2000007629394,29.1000003814697,28.5,26.8999996185303,25.7000007629395,25.2999992370605,24.7000007629395,25.5,24.8999996185303,24.8999996185303,23.1000003814697,22.2000007629395,22.2999992370605,21.2999992370605
Paraguay,,,1.5,6.19999980926514,5,4.40000009536743,4.69999980926514,4.5,4,3,,,,,,42.5,,35.7999992370606,36.7000007629394,38.2999992370606,37.7000007629394,39,41.2999992370606,38.7000007629394,,,,33.2999992370606
Peru,,,,,,,,0.89999997615814,,,1.70000004768372,,,,,1.60000002384186,7.59999990463257,9.80000019073486,7,7.90000009536743,8.89999961853027,10.8999996185303,14,15.5,14.8000001907349,14.6999998092651,14.5,12.3000001907349
Philippines,59.7999992370606,59.2000007629394,59.7000007629394,59.2999992370606,58.2999992370606,58.2999992370606,58.4000015258789,56.4000015258789,54.2999992370606,53.2000007629394,53.0999984741211,53.9000015258789,53.4000015258789,53.4000015258789,52.7999992370606,51.7000007629394,7.09999990463257,6.59999990463257,6.5,6.69999980926514,45.2999992370606,45.4000015258789,45.2999992370606,44.7000007629394,44.5999984741211,44.7000007629394,44.2000007629394,43.7999992370606
Poland,,,,,,,,,,,,,,,24,22.7000007629395,22.2000007629395,20.7000007629395,19.3999996185303,18.5,19.1000003814697,19.2000007629395,19.7999992370605,19.1000003814697,18.6000003814697,18,16.3999996185303,15.1999998092651
Portugal,22.2999992370605,20.6000003814697,20.6000003814697,20,20.5,20.7000007629395,18.7999992370605,18.7000007629395,17.7000007629395,16.3999996185303,15.6000003814697,15.1000003814697,10.5,10.6999998092651,10.8000001907349,10.8000001907349,11.3000001907349,12.1999998092651,12.3000001907349,11.5,11.5,11.6000003814697,11.3999996185303,12,11.6999998092651,11,11.3000001907349,11.1000003814697
Puerto Rico,8,7.59999990463257,7.59999990463257,8.30000019073486,7.80000019073486,8,7.19999980926514,5.59999990463257,6,6,,5.69999980926514,5.40000009536743,5.40000009536743,5.59999990463257,4.69999980926514,4.30000019073486,4.5,4,3.5,3.09999990463257,3.40000009536743,3.29999995231628,3.40000009536743,3.5,3.29999995231628,2.29999995231628,1.89999997615814
Qatar,,,,,,,,,,,,,,,,,,4.30000019073486,,,,2.70000004768372,,,3.20000004768372,,3.5,
Moldova,,,,,,,,,,,,,,,,,,,,,52,51.7999992370606,50.7000007629394,44.2999992370606,41,41.0999984741211,35.2999992370606,35.5
Romania,22.3999996185303,22.1000003814697,21.8999996185303,22.2999992370605,22.3999996185303,22.6000003814697,22.5,22.2999992370605,22.5,22.3999996185303,24.6000003814697,26.2999992370605,28.7999992370606,32.2000007629394,34.7999992370606,35.2999992370606,34.2999992370606,35.2999992370606,36.9000015258789,38.9000015258789,40.4000015258789,39.9000015258789,34.5999984741211,34.4000015258789,31,31.3999996185303,29.7000007629394,28.2000007629394
Russia,,,,,,,,,,,,,,,,,,16,15.5,17.5,17.1000003814697,14.6000003814697,13.6000003814697,13.3999996185303,12.3999996185303,12.3000001907349,12.1000003814697,11
Rwanda,,,,,,,,,,83.4000015258789,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,30,33.5999984741211,29.2999992370606,30.2000007629394,25.5,28,26.5,26.1000003814697,,15.1000003814697,16.2999992370605,18.7999992370605,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,30.6000003814697,,,,,,,,,,20.2000007629395,,,,,,
San Marino,5.40000009536743,5.40000009536743,5.30000019073486,5.19999980926514,5,3.29999995231628,3.09999990463257,3,2.79999995231628,2.59999990463257,2.40000009536743,2.20000004768372,2.09999990463257,1.89999997615814,,1.5,1.5,1.39999997615814,1.29999995231628,1.29999995231628,,0.5,0.5,0.40000000596046,0.5,0.60000002384186,0.5,0.5
Sao Tome and Principe,42.4000015258789,53.7000007629394,46.2000007629394,56.7999992370606,45.7999992370606,,,,,,,42.2999992370606,,,,,,,,,30.6000003814697,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,7.09999990463257,6.69999980926514,6.80000019073486,5.30000019073486,,,,4.59999990463257,5.40000009536743
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0999984741211,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,23.8999996185303,23.2999992370605,21.5,21.7000007629395
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,66,,,
Singapore,1.5,1.29999995231628,1.10000002384186,1.20000004768372,0.89999997615814,0.80000001192093,1,1.10000002384186,0.60000002384186,0.60000002384186,0.60000002384186,0.40000000596046,0.5,0.40000000596046,0.40000000596046,0.30000001192093,0.30000001192093,1.39999997615814,1.10000002384186,1.20000004768372,0,1.20000004768372,1.10000002384186,1.10000002384186,1.10000002384186,,1.60000002384186,1.60000002384186
